ID	Source	Target	OvertMarking
1	cloud	fog/mist	1
3	grass	straw/hay	1
4	smoke	fog/mist	1
5	steam	fog/mist	1
6	animal	bird	1
7	lake	swamp	1
9	smoke	cloud	1
12	tree	forest	1
13	day	dawn	1
15	day	noon	1
19	river/stream	flood	1
20	breast	milk	1
21	mouth	lip	1
22	belly/stomach	womb	1
23	heart	belly/stomach	1
27	heart	kidney	1
29	heart	lungs	1
30	tooth	jaw	1
33	mouth	cheek	1
34	skin	bark	1
37	house	nest	1
39	tongue	flame	1
40	road/street/way	milky way	1
41	seed	testicle	1
1	fog/mist	cloud	0
3	straw	grass	0
4	fog/mist	smoke	0
12	forest	tree	0
19	flood	river/stream	0
23	belly/stomach	heart	0
25	lungs	liver	0
29	lungs	heart	0
27	kidney	heart	0
30	jaw	tooth	0
34	bark	skin	0
