CONCEPTICON_ID	MRC_WORD	AGE_OF_ACQUISITION	CONCRETENESS	FAMILIARITY	IMAGABILITY	KUCERA_FRANCIS_FREQUENCY
1	CONTEMPTIBLE					2
2	DUST		550	558	549	70
3	BRAVE		283	544	427	24
4	COURTYARD					8
5	GAZELLE					1
6	EARTHQUAKE					9
7	GATHER					20
8	CURSE	450	363	484	415	11
9	ANNOUNCE					18
10	FIREWOOD	331	629	444	586	
11	DARKNESS	242	419	578	622	43
12	MIDDAY					5
13	DECEIT	519	257	440	338	2
14	YOKE		542	441	514	3
15	OTTER	383	631	391	572	5
16	SLED			477		
17	EYELID					1
21	TASTE		464	580	425	59
22	INTEND					15
23	RYE	500	600	388	459	4
24	PRAY		372	528	444	12
25	DIRT		564	571	547	43
26	UNPLEASANT			528	356	15
27	AIR		518	608	450	257
28	MOISTEN					2
30	DISPEL					3
31	PAN		586	566	532	16
37	LIBERATE					4
39	KEEN		336	449	335	11
40	ENVY	431	265	511	375	7
41	IGNORE		320	514	400	19
42	STINKING					2
43	LEAD	400	543	526	488	129
45	EVIL			538	434	72
49	REFUSE	394	426	518	419	16
50	JACK	414	552	472	460	92
51	SORE		502	544	486	10
52	SHIVER	308	455	517	578	4
53	SPIRIT	389	296	518	450	182
54	SHRINK					5
55	WHISPER	256	490	550	567	12
57	ATOP					6
58	LIQUID	343	555	578	589	48
59	ELECTRICITY	400	426	601	486	26
60	OAT		553	484	499	
61	INDUCE			448	300	9
63	RUMOUR	461	311	503	353	
64	PIN	261	600	524	576	16
65	AMBUSH			436		7
66	KNEEL					5
69	SOBER					19
70	BRACKISH					3
72	CLAW		587	445	600	1
73	BEAK		552	476	574	
74	PUPPY	203	623	522	635	2
75	DISGRACE	422	278	488	386	3
78	THAT		232	611	225	10595
79	WASTE	354	430	577	448	35
81	FATHOM					3
82	ANGER		315	541	488	48
83	FORBID		348	505	367	4
84	JUST		257	540	221	872
86	SIEVE					1
88	BEEHIVE	344	611	398	572	1
90	INNOCENT					37
91	INSOLENT		311	388	357	2
92	SPOIL					3
94	GRADUALLY					51
96	CRAWL		408	519	488	11
97	THROUGH		274	587	320	969
98	ALL		267	582	332	3001
100	FAITHFUL					12
101	BOAST	378	295	491	416	8
105	MATTRESS		640	524	601	
107	OMEN	558	319	394	413	2
108	RUDDER		572	390	520	1
109	FOREIGN			539	404	158
110	MOTOR	344	565	545	521	56
111	DRUMMING					4
112	TURTLE		644	509	564	8
113	SHORE		574	531	624	61
116	LARCH	406	623	406	508	
117	IMITATE		348	504	436	5
119	DIVE	322	494	508	586	23
120	PITCHER					21
121	SPIN					5
122	CART	258	576	454	597	5
123	FOREHEAD		590	521	596	16
124	THORN		586	454	600	3
125	SWEAT		569	545	560	23
126	SWEAT		569	545	560	23
127	EXTINGUISH					1
128	MUMBLE					1
129	CHOKE					9
130	GRATIS					1
131	FESTIVAL					27
132	SAUCE	258	576	522	569	20
133	WEAVE					4
134	FAULT		315	541	323	22
135	BOOMERANG					1
136	HERE		285	599	278	750
138	BATHE					4
141	BURN	217	490	548	541	15
143	HUMID					1
144	MACHINE		578	549	575	103
148	ITCH		488	526	486	5
150	WORRY					55
151	RAZOR			511		15
152	HOOF	306	596	401	598	2
153	GREY					12
155	CHOP	317	555	487	575	3
156	RED		501	607	585	197
157	DYE	392	542	490	506	
160	SET					414
161	MISS		372	586	447	258
163	BLACK		470	603	589	203
166	MAINLAND					11
167	MAIL		508	554	548	47
168	REST	222	351	590	396	163
169	IT		271	625	265	8756
174	PROUD		327	570	434	50
175	BLOW		397	528	458	33
176	BLOW		397	528	458	33
178	RIPE		360	534	490	14
182	SPOKE	328	526	532	466	87
183	BAKE			549	495	12
184	MAST	392	576	427	558	6
185	FIREPLACE		592	529	639	6
186	SHIN					3
187	LOIN					1
191	NUT					15
192	CORNER		533	556	556	115
193	SHALLOW		330	540	451	14
194	FAMILY	280	525	607	577	331
195	MAT		513	490	537	5
196	DONATE					3
197	OTHER		275	581	265	1702
199	FAMINE			444		3
200	SAME		248	569	326	686
201	FARM		565	564	560	125
202	STRENGTH	325	339	573	470	136
203	MARRY		362	557	523	18
204	AGAIN					578
205	TROUGH					3
207	SPARSE					5
209	RARE		327	559	439	41
210	LIFE		361	598	482	715
211	CAST		502	495	483	45
212	FIELD					274
213	FIN					2
214	STRETCH					26
216	MOVIE	386	590	523	571	29
218	FINE		328	560	392	161
219	TOILET		586	567	603	13
220	INTACT					14
221	FIRE		595	580	634	187
222	LAVISH					3
225	PESTLE		465	209	341	1
227	FISH		597	548	615	35
