ID	WORD	CONCRETENESS_MEAN	SUBTLEX_FREQ	CONCEPTICON_ID	MATCH
9528	dough	4.79	810	273	3
33215	turtledove	4.61	17	1853	2
9569	downward	3.16	60	1326	1
9592	drag	4.17	1349	2030	5
9595	dragon	4.39	984	2038	7
9596	dragonfly	4.83	145	2352	5
22728	paint	4.79	1877	2001	1
9635	dream	2.6	6798	2455	6
9661	dress	4.93	4447	814	2
9670	dribble	3.83	68	268	2
9684	drink	4.76	12617	1401	102
9689	drip	4.14	261	808	3
9694	drive	3.86	7810	3290	1
9703	drizzle	4.21	22	1016	2
9713	drop	4.21	6661	2087	1
9724	drown	3.93	540	1904	5
9731	drug	4.48	2306	1372	1
9739	drum	4.96	432	908	21
9743	drumming	4.21	57	111	1
17276	intoxicated	3.56	52	1463	2
9751	dry	3.77	2184	1786	4
9772	duck	4.86	1263	1360	34
12439	foolish	1.84	893	1518	2
9800	dumb	2.36	2395	1666	1
9810	dummy	3.96	500	3087	2
9822	dung	4.64	90	2057	2
9843	dusk	4.24	61	2297	1
9846	dust	4.4	1216	2	84
9853	dustpan	5	13	2051	1
21823	obligation	2.04	344	3471	1
9866	dwell	2.62	142	363	2
9873	dye	4.58	197	157	8
9897	eagle	5	586	1905	18
9898	ear	5	1632	1247	169
9906	earlobe	4.96	17	18	2
9907	early	2.25	5510	672	23
9910	earn	2.39	783	733	4
9921	earring	4.96	138	770	8
9924	earth	4.8	5074	965	2
9935	earthquake	3.97	325	6	9
9939	earthworm	4.89	7	2350	12
9941	earwax	4.87	9	32	4
9953	east	3.04	2527	1877	23
28916	simple	1.62	4555	686	1
9984	echo	3.64	350	2816	2
9992	eclipse	4.17	144	2285	1
37715	cutting edge	2.44	0	863	1
10047	eel	4.69	73	1013	6
10073	egg	4.97	1328	744	170
10079	eggplant	4.97	56	1146	11
10102	eight	4.04	5010	1705	76
10103	eighteen	3.96	310	1713	9
10107	eighty	3.41	129	1722	12
10132	elbow	5	313	981	41
10142	election	3.17	560	240	1
10154	electricity	3.9	584	59	1
10202	elephant	5	580	1290	31
10206	elevation	3.79	47	2936	1
10208	eleven	3.93	662	1706	27
10227	elk	4.93	306	1772	2
10233	elm	4.69	73	3317	3
10297	embrace	3.38	386	928	4
10328	emotion	2.44	423	2573	2
10343	emperor	4.35	690	3377	1
10367	empty	3.43	2409	1624	25
10368	emu	4.79	22	2817	2
10424	end	3.14	13559	743	1
10459	endure	2	225	833	3
10465	enemy	2.83	2474	1358	14
10486	engine	4.86	1626	2622	2
10539	enough	1.33	25568	1881	14
10574	enter	3.12	1516	749	12
10639	envelope	4.93	513	3088	3
10654	envy	1.69	487	40	3
10683	equal	2.56	682	1570	3
10757	erupt	3.7	20	3112	2
10766	escape	3.34	2258	1615	6
10808	estuary	4.17	5	2286	1
10886	evening	3.26	6155	1629	20
10913	everywhere	2	2641	2999	3
36416	wicked	2.11	678	45	1
31415	swap	3.85	185	2509	1
11034	excrement	4.43	62	47	1
11122	exit	3.93	794	1107	1
11189	expensiveness	2	0	1426	1
11191	experienced	1.5	510	2218	1
11208	explain	1.97	5670	1626	4
11312	extinguish	3.47	43	127	13
11395	eyes	4.85	11299	1248	1
11379	eyebrow	4.85	71	1173	22
11387	eyelash	5	44	1540	9
11390	eyelid	5	17	17	11
11416	face	4.87	14747	1560	38
11459	fade	2.48	286	2704	2
11471	faint	3.74	473	3616	1
11487	fairy	4.11	851	3206	1
11492	faithful	2.2	465	100	5
11501	falcon	4.9	169	3258	1
11504	fall	4.04	6044	2894	1
12779	fraud	1.68	512	3069	1
11526	fame	1.96	441	865	1
11528	familiar	2.03	1760	3005	1
11533	family	4.23	18067	194	8
11534	famine	3.55	81	199	2
11579	farm	4.59	1532	201	4
23131	peasant	3.96	205	979	1
11594	fart	4.18	328	1159	6
11614	fasten	4.14	190	1094	1
11621	fat	4.52	4051	2449	1
11630	fate	1.53	1375	1688	1
22702	padre	4.6	215	1217	1
11645	fathom	2.07	53	81	1
11648	fatigue	3.14	93	1140	1
11652	fatness	3.18	6	1279	1
14132	guilt	1.93	760	134	1
11683	fear	2.57	3523	781	3
11685	fearful	2.2	110	528	1
11700	feather	4.9	338	1201	105
19383	manure	4.64	106	675	1
11733	feed	4.17	2162	3046	1
11739	feel	2.28	31989	2521	1
11750	fell	3.55	3723	355	2
13040	fur	4.69	422	325	1
11760	female	4.57	1612	2105	1
11773	fence	4.82	819	1690	13
11781	ferment	2.92	11	967	1
22969	party	3.89	11890	131	1
11813	fetch	3.42	559	3551	2
11826	fever	3.27	1017	1534	9
11828	feverish	2.57	33	1847	1
11832	few	2.48	15393	3451	2
11865	field	4.26	3580	140	1
11882	fifteen	3.37	895	1709	14
11886	fifty	3.48	960	1717	15
11888	fig	4.97	62	322	5
11897	figure	3.63	6598	1945	1
11903	file	4.41	2246	3407	1
11912	fill	3.32	2241	2006	3
11935	fin	4.76	174	213	3
12699	found	2.53	20196	719	1
11953	fine	2.61	30502	218	3
11959	finger	5	1870	1303	52
20905	nail	4.93	951	1258	3
11979	fir	4.58	22	1915	5
11980	fire	4.68	10990	221	174
11993	firefly	4.9	28	206	3
14648	hearth	4.38	34	185	1
12011	firewood	4.93	77	10	36
12026	fish	5	4258	2638	4
12032	fisherman	4.73	221	1858	4
12036	fishhook	4.87	2	1074	6
25993	red	4.24	7551	388	1
12053	fist	4.93	375	1473	6
12066	five	3.87	14558	493	131
12068	fix	2.93	4426	3074	2
12091	flag	4.79	892	2623	4
12104	flail	3.79	9	3057	1
12114	flame	4.67	461	889	10
12148	flat	4.07	1337	1633	18
12161	flatter	2.14	200	2709	1
12180	flavor	3.55	255	2938	1
12192	flea	4.89	169	232	15
12198	flee	3.67	233	956	9
19640	meat	4.9	2226	2615	2
12216	flexible	2.64	136	1691	2
12244	flirt	3.26	200	494	1
12254	float	4.07	381	1574	41
12261	flock	4.67	237	2939	1
12267	flood	4.62	291	613	2
12279	floor	4.8	5132	1632	11
12299	flour	4.97	161	1594	12
12307	flow	3.72	701	2003	53
12309	flower	5	1161	239	105
12355	flute	5	108	777	8
15267	housefly	4.96	9	1504	2
12371	flying	4.1	2579	1441	2
12379	foam	4.85	179	1768	8
20275	mist	4.51	181	249	7
12398	fold	4.13	440	1470	5
38050	folk song	3.97	0	2059	1
12418	follow	3.26	6283	1085	11
23776	pizza	5	1709	256	1
12433	fool	3.19	4556	1438	2
12443	foot	4.9	3311	2098	2
12473	footstep	4.18	13	318	1
12488	forbid	1.96	436	83	5
12508	ford	4.19	587	2818	4
12510	forearm	4.69	50	446	3
12915	front	3.77	9259	123	2
12533	foreign	2.5	1137	109	1
17830	jungle	4.66	1151	420	2
12580	forge	4.04	166	288	3
12585	forget	2.04	14130	1523	22
12594	forgive	1.92	3917	1528	4
12603	fork	4.9	450	337	2
12625	former	2.18	932	3004	1
12626	formerly	1.9	123	2914	1
12679	forty	4.14	539	1716	12
12681	forward	2.66	3689	2912	3
12709	four	3.37	13045	1500	131
12713	fourteen	3.04	333	2451	8
12717	fowl	4.64	35	265	6
12718	fox	4.97	1102	1312	18
12748	fragrant	3.35	36	376	10
12753	frame	4.3	719	2624	1
12799	freckle	4.56	30	530	1
12803	free	2.04	9054	2316	1
12823	freeman	3.32	129	384	2
12836	freeze	3.96	1640	1431	32
12847	frequently	1.88	167	1852	2
12848	fresh	1.97	2780	243	4
12869	friend	3.07	21384	1325	24
12876	frighten	3.07	324	252	1
12892	fringe	3.38	85	2989	1
12909	frog	5	603	503	42
12914	from	1.84	103992	693	8
12926	frost	4.56	245	2034	9
12951	fruit	4.81	1108	1507	87
12972	fry	4.37	428	991	6
12986	full	3.59	8512	1429	111
13025	funeral	3.83	1693	3336	1
13031	fungus	4.59	112	641	1
13038	funny	2.5	11127	1976	1
13080	future	1.86	5278	2427	2
