SOURCE	SOURCE_GLOSS	RELATION	TARGET	TARGET_GLOSS
2146	ROAST OR FRY	narrower	1962	ROAST (SOMETHING)
2146	ROAST OR FRY	narrower	991	FRY
1484	OIL (ORGANIC SUBSTANCE)	narrower	2555	OIL (FROM PLANTS)
1484	OIL (ORGANIC SUBSTANCE)	broader	2556	OIL (HYDROPHOBIC LIQUID)
962	WOMAN	broader	2105	FEMALE PERSON
962	WOMAN	narrower	77	YOUNG WOMAN
2493	BOIL	broader	2493	BOIL
559	BROTHER (OF MAN)	narrower	2416	YOUNGER BROTHER (OF MAN)
1625	DEAD	similar	2101	DIE OR BE DEAD
504	LEARN	narrower	1929	STUDY
2224	BEND (SOMETHING)	transitiveof	2004	BEND
2109	FEAR OR FRIGHTEN	narrower	1419	FEAR (BE AFRAID)
2416	YOUNGER BROTHER (OF MAN)	broader	1760	YOUNGER BROTHER
2186	DRAGON BOAT FESTIVAL	classof	131	FESTIVAL
1416	SIT	resultsin	1649	SIT DOWN
1350	MONKEY	narrower	433	HOWLER MONKEY
2255	FATHER-IN-LAW (OF MAN)	broader	1055	FATHER-IN-LAW
2305	THIN (OF HAIR AND THREAD)	broader	2249	THIN (OF SHAPE OF OBJECT)
734	MAKE	broader	2575	DO OR MAKE
2308	THIN	narrower	2249	THIN (OF SHAPE OF OBJECT)
2272	HOT OR WARM	narrower	1232	WARM
2093	AFTERWARDS	broader	1685	AFTER
2143	LONG OR TALL	narrower	1203	LONG
2280	LOUSE OR NIT	narrower	267	NIT
485	DISAPPEAR	similar	423	GET LOST
