# Wordlist

# DATA
ID	LIST_ID	CONCEPTLIST	CONCEPTID	CONCEPT	ENGLISH	AGE SCORE	AGE_SCORE	ANALYZABILITY SCORE	BENNET1976100	BORROWED SCORE	BORROWING_SCORE	CATEGORY	CHEN1996200	CHINESE	COMMON_CHINESE	COMPOSITE SCORE	CONCEPTICON_GLOSS	CONTEXT	DEFINITION	DESCRIPTION	DSS_ID	FRENCH	GERMAN	HAUSA	IDS_ID	JACHONTOV_35	LATIN	NUMBER	NUMBERINSOURCE	OCCURRENCES	OMEGAWIKI	ONTOLOGICAL_CATEGORY	PAGENUMBER	RANK	REPRESENTATION	REPRESENTATION SCORE	RUSSIAN	SEEALSO	SEMANTICFIELD	SEMANTIC_FIELD	SIMPLICITY_SCORE	SPANISH	SWADESH_100	SWADESH_200	SWADESH_GLOSS	URL	WIKTIONARY	WOLD	WOLD_ID	RELATIONS
#
9149	Matisoff-1978-200-127	Matisoff-1978-200	428	(be) many (v.)	(be) many (v.)												BE MANY											127																						similar
#
5165	Bulakh-2013-870-1	Bulakh-2013-870	1798	(gun)powder	(gun)powder												GUNPOWDER				5							1		3																http://semshifts.iling-ran.ru/show-meaning.html?id=5				similar
#
6502	Kraft-1981-434-433	Kraft-1981-434	460	(rope) broke	(rope) broke												BREAK OF ROPE							yā tsinkḕ				433																						similar
#
6501	Kraft-1981-434-432	Kraft-1981-434	459	(stick) snapped	(stick) snapped												SNAPP OF STICK							yā karyḕ				432																						similar
#
1178	Heggarty-2005-30b-7	Heggarty-2005-30b	1291	(upper) back,shoulder	(upper) back,shoulder												BACK											7																						broader
1179		Heggarty-2005-30b	1482	(upper) back,shoulder	(upper) back,shoulder												SHOULDER											7																						broader
#
733	Gregersen-1976-217-20	Gregersen-1976-217	1402	**breasts	**breasts												BREAST											20																						similar
#
745	Gregersen-1976-217-30	Gregersen-1976-217	706	**dark	**dark												DARK											30																						similar
#
782	Gregersen-1976-217-66	Gregersen-1976-217	1429	**full	**full												FULL											66																						similar
#
800	Gregersen-1976-217-83	Gregersen-1976-217	1393	**horn	**horn												HORN, KERATINIZED SKIN											83																						similar
#
809	Gregersen-1976-217-92	Gregersen-1976-217	1371	**knee	**knee												KNEE											92																						similar
#
828	Gregersen-1976-217-109	Gregersen-1976-217	1313	**moon	**moon												MOON											109																						similar
#
859	Gregersen-1976-217-139	Gregersen-1976-217	1395	**round	**round												ROUND											139																						similar
#
804	Gregersen-1976-217-87	Gregersen-1976-217	1209	*I	*I												I											87																						similar
#
715	Gregersen-1976-217-2	Gregersen-1976-217	98	*all	*all												ALL											2																						similar
#
723	Gregersen-1976-217-10	Gregersen-1976-217	1204	*bark	*bark												BARK											10																						similar
#
725	Gregersen-1976-217-12	Gregersen-1976-217	1251	*belly	*belly												BELLY											12																						similar
#
726	Gregersen-1976-217-13	Gregersen-1976-217	1202	*big	*big												BIG											13																						similar
#
727	Gregersen-1976-217-14	Gregersen-1976-217	937	*bird	*bird												BIRD											14																						similar
#
728	Gregersen-1976-217-15	Gregersen-1976-217	1403	*bite	*bite												BITE											15																						similar
#
729	Gregersen-1976-217-16	Gregersen-1976-217	163	*black	*black												BLACK											16																						similar
#
730	Gregersen-1976-217-17	Gregersen-1976-217	946	*blood	*blood												BLOOD											17																						similar
#
732	Gregersen-1976-217-19	Gregersen-1976-217	1394	*bone	*bone												BONE											19																						similar
#
735	Gregersen-1976-217-22	Gregersen-1976-217	1428	*burn	*burn												BURN											22																						similar
#
741	Gregersen-1976-217-26	Gregersen-1976-217	1287	*cold	*cold												COLD OF TEMPERATURE											26																						similar
#
742	Gregersen-1976-217-27	Gregersen-1976-217	1446	*come	*come												COME											27																						similar
#
747	Gregersen-1976-217-32	Gregersen-1976-217	1494	*die	*die												DIE											32																						similar
#
750	Gregersen-1976-217-35	Gregersen-1976-217	2009	*dog	*dog												DOG											35																						similar
#
752	Gregersen-1976-217-37	Gregersen-1976-217	1401	*drink	*drink												DRINK ACTION											37																						similar
#
753	Gregersen-1976-217-38	Gregersen-1976-217	1398	*dry	*dry												DRY											38																						similar
#
756	Gregersen-1976-217-41	Gregersen-1976-217	1247	*ear	*ear												EAR											41																						similar
#
757	Gregersen-1976-217-42	Gregersen-1976-217	1228	*earth	*earth												EARTH, SOIL											42																						similar
#
758	Gregersen-1976-217-43	Gregersen-1976-217	1336	*eat	*eat												EAT											43																						similar
#
759	Gregersen-1976-217-44	Gregersen-1976-217	744	*egg	*egg												EGG											44																						similar
#
760	Gregersen-1976-217-45	Gregersen-1976-217	1248	*eye	*eye												EYE											45																						similar
#
763	Gregersen-1976-217-48	Gregersen-1976-217	1282	*fat-grease	*fat-grease												FAT, SUBSTANCE											48																						similar
#
767	Gregersen-1976-217-51	Gregersen-1976-217	1201	*feather	*feather												FEATHER											51																						similar
#
770	Gregersen-1976-217-54	Gregersen-1976-217	221	*fire	*fire												FIRE											54																						similar
#
771	Gregersen-1976-217-55	Gregersen-1976-217	227	*fish	*fish												FISH											55																						similar
#
776	Gregersen-1976-217-60	Gregersen-1976-217	1441	*fly vb	*fly vb												FLY, MOVE THROUGH AIR											60																						similar
#
778	Gregersen-1976-217-62	Gregersen-1976-217	1301	*foot	*foot												FOOT											62																						similar
#
784	Gregersen-1976-217-68	Gregersen-1976-217	1447	*give	*give												GIVE											68																						similar
#
785	Gregersen-1976-217-69	Gregersen-1976-217	1035	*good	*good												GOOD											69																						similar
#
787	Gregersen-1976-217-71	Gregersen-1976-217	1425	*green	*green												GREEN											71																						similar
#
789	Gregersen-1976-217-73	Gregersen-1976-217	1040	*hair	*hair												HAIR											73																						similar
#
790	Gregersen-1976-217-74	Gregersen-1976-217	1277	*hand	*hand												HAND											74																						similar
#
792	Gregersen-1976-217-76	Gregersen-1976-217	1256	*head	*head												HEAD											76																						similar
#
793	Gregersen-1976-217-77	Gregersen-1976-217	1408	*hear	*hear												HEAR											77																						similar
#
794	Gregersen-1976-217-78	Gregersen-1976-217	1223	*heart	*heart												HEART											78																						similar
#
808	Gregersen-1976-217-91	Gregersen-1976-217	1417	*kill	*kill												KILL											91																						similar
#
810	Gregersen-1976-217-93	Gregersen-1976-217	1410	*know	*know												KNOW											93																						similar
#
813	Gregersen-1976-217-96	Gregersen-1976-217	628	*leaf	*leaf												LEAF											96																						similar
#
816	Gregersen-1976-217-99	Gregersen-1976-217	215	*lie (down)	*lie (down)												LIE DOWN											99																						broader
817		Gregersen-1976-217	1411	*lie (down)	*lie (down)												LIE, REST											99																						broader
#
820	Gregersen-1976-217-102	Gregersen-1976-217	1224	*liver	*liver												LIVER											102																						similar
#
821	Gregersen-1976-217-103	Gregersen-1976-217	1203	*long	*long												LONG											103																						similar
#
822	Gregersen-1976-217-104	Gregersen-1976-217	1392	*louse	*louse												LOUSE											104																						similar
#
823	Gregersen-1976-217-105	Gregersen-1976-217	1554	*man-male	*man-male												MAN											105																						broader
824		Gregersen-1976-217	1553	*man-male	*man-male												MALE											105																						broader
#
