ID	NUMBER	ENGLISH	STABILITY	CONCEPTICON_ID	CONCEPTICON_GLOSS
Kassian-2015-50-1	2	ashes	38	646	ASH
Kassian-2015-50-2	6	bird	33	937	BIRD
Kassian-2015-50-3	8	black	48	163	BLACK
Kassian-2015-50-4	9	blood	20	946	BLOOD
Kassian-2015-50-5	10	bone	34	1394	BONE
Kassian-2015-50-6	13	fingernail	19	1258	FINGERNAIL
Kassian-2015-50-7	17	die	13	1494	DIE
Kassian-2015-50-8	18	dog	16	2009	DOG
Kassian-2015-50-9	19	drink	15	1401	DRINK
Kassian-2015-50-10	20	dry	24	1398	DRY
Kassian-2015-50-11	21	ear	32	1247	EAR
Kassian-2015-50-12	23	eat	25	1336	EAT
Kassian-2015-50-13	24	egg	47	744	EGG
Kassian-2015-50-14	25	eye	4	1248	EYE
Kassian-2015-50-15	28	fire	7	221	FIRE
Kassian-2015-50-16	31	foot	43	1301	FOOT
Kassian-2015-50-17	36	hair	27	1040	HAIR
Kassian-2015-50-18	37	hand	11	1277	HAND
Kassian-2015-50-19	38	head	9	1256	HEAD
Kassian-2015-50-20	39	hear	45	1408	HEAR
Kassian-2015-50-21	40	heart	14	1223	HEART
Kassian-2015-50-22	41	horn	44	1393	HORN (ANATOMY)
Kassian-2015-50-23	42	I	3	1209	I
Kassian-2015-50-24	43	kill	42	1417	KILL
Kassian-2015-50-25	46	leaf	41	628	LEAF
Kassian-2015-50-26	48	liver	25a	1224	LIVER
Kassian-2015-50-27	53	meat	46	634	MEAT
Kassian-2015-50-28	54	moon	18	1313	MOON
Kassian-2015-50-29	56	mouth	31	674	MOUTH
Kassian-2015-50-30	57	name	10	1405	NAME
Kassian-2015-50-31	59	new	23	1231	NEW
Kassian-2015-50-32	60	night	50	1233	NIGHT
Kassian-2015-50-33	61	nose	29	1221	NOSE
Kassian-2015-50-34	62	not	30	2279	NO OR NOT
Kassian-2015-50-35	63	one	21	1493	ONE
Kassian-2015-50-36	65	rain	39	658	RAIN (PRECIPITATION)
Kassian-2015-50-37	78	smoke	36	778	SMOKE (EXHAUST)
Kassian-2015-50-38	80	star	40	1430	STAR
Kassian-2015-50-39	81	stone	9	857	STONE
Kassian-2015-50-40	82	sun	35	1343	SUN
Kassian-2015-50-41	84	tail	26	1220	TAIL
Kassian-2015-50-42	87	thou	5	1215	THOU
Kassian-2015-50-43	88	tongue	8	1205	TONGUE
Kassian-2015-50-44	89	tooth	22	1380	TOOTH
Kassian-2015-50-45	90	tree	37	906	TREE
Kassian-2015-50-46	91	two	2	1498	TWO
Kassian-2015-50-47	94	water	28	948	WATER
Kassian-2015-50-48	95	we	1	1212	WE
Kassian-2015-50-49	96	what	12	1236	WHAT
Kassian-2015-50-50	98	who	6	1235	WHO
