ID	NUMBER	SPANISH	ENGLISH	CONCEPTICON_GLOSS	CONCEPTICON_ID	WORD_TYPE	SUBJECTIVE_FREQ_MEAN	NUMBER_LETTERS	FREQ_LOG_LEXESP	FAMILIARITY_LEXESP
Desrochers-2010-330-1	1	abrebotellas	bottle opener			Compound	4.82352941176471	12	1	
Desrochers-2010-330-2	2	abrecartas	letter opener			Compound	5.43562985714819	10		
Desrochers-2010-330-3	3	abrelatas	can opener			Compound	6.31372549019608	9		
Desrochers-2010-330-4	4	afilacuchillos	knife sharpener			Compound	2.92156862745098	14		
Desrochers-2010-330-5	5	afilalápices	pencil sharpeners			Compound	2.46078431372549	12		
Desrochers-2010-330-6	6	aguafiestas	party pooper			Compound	5.70302564053641	11	3	
Desrochers-2010-330-7	7	apagaincendios	firefighting			Compound	1.80392156862745	14		
Desrochers-2010-330-8	8	apagavelas	snuffers			Compound	1.75490196078431	10		
Desrochers-2010-330-9	9	atrapamonstruos	monster catcher			Compound	1.2843137254902	15		
Desrochers-2010-330-10	10	atrapamoscas	flycatcher			Compound	1.94117647058824	12		
Desrochers-2010-330-11	11	avisacoches	car horn			Compound	1.18627450980392	11		
Desrochers-2010-330-12	12	besamanos	hand kissing			Compound	2.30696917597294	9	2	
Desrochers-2010-330-13	13	buscapersonas	pager			Compound	2.25490196078431	13		
Desrochers-2010-330-14	14	buscavidas	pursuits			Compound	3.80392156862745	10	2	
Desrochers-2010-330-15	15	calientaplatos	hot plate			Compound	1.35294117647059	14		
Desrochers-2010-330-16	16	cantamañanas	morning coffee			Compound	5	12	5	
Desrochers-2010-330-17	17	cascanueces	nutcracker			Compound	5.58823529411765	11	1	
Desrochers-2010-330-18	18	cascarrabias	grumpy			Compound	5.32352941176471	12	3	
Desrochers-2010-330-19	19	catacaldos	spirit			Compound	1.42569589165057	10		
Desrochers-2010-330-20	20	catavinos	wine glass			Compound	2.8921568627451	9		
Desrochers-2010-330-21	21	cazafantasmas	ghost hunter			Compound	3.74509803921569	13		
Desrochers-2010-330-22	22	cazamarcianos	martian hunter			Compound	1.28712052022896	13		
Desrochers-2010-330-23	23	cazasubmarinos	submarine hunters			Compound	2.02941176470588	14		
Desrochers-2010-330-24	24	cazavampiros	vampire hunter			Compound	2.73267600529254	12		
Desrochers-2010-330-25	25	cierrapuertas	door closers			Compound	1.45098039215686	13		
Desrochers-2010-330-26	26	cortacigarros	cigarette cutter			Compound	1.76227526705051	13		
Desrochers-2010-330-27	27	cortacircuitos	short circuits			Compound	3.64346869415397	14		
Desrochers-2010-330-28	28	cortahierbas	weed whacker			Compound	1.77222041669434	12		
Desrochers-2010-330-29	29	cortapapeles	paper cutter			Compound	2.33662075925841	12		
Desrochers-2010-330-30	30	cortapizzas	pizza cutter			Compound	3.44554129376829	11		
Desrochers-2010-330-31	31	cortaplumas	penknives			Compound	2.37254901960784	11	2	
Desrochers-2010-330-32	32	cortapuros	cigar cutter			Compound	2.97058823529412	10		
Desrochers-2010-330-33	33	cortauñas	nail clippers			Compound	6.24509803921569	9	1	
Desrochers-2010-330-34	34	cubrecabezas	head cover			Compound	1.6435841572763	12		
Desrochers-2010-330-35	35	cubrecamas	bedspreads			Compound	3.88235294117647	10		
Desrochers-2010-330-36	36	cubremanteles	tablemats			Compound	3.84155102707004	13		
Desrochers-2010-330-37	37	cuentacuentos	storyteller			Compound	5.07926116917413	13		
Desrochers-2010-330-38	38	cuentagotas	eyedropper			Compound	4.89	11	3	
Desrochers-2010-330-39	39	cuentakilómetros	odometer			Compound	6.23529411764706	16	3	
Desrochers-2010-330-40	40	cumpleaños	birthday	BIRTHDAY	2407	Compound	6.75248373697095	10	77	6.82
Desrochers-2010-330-41	41	escurreplatos	dish drainer			Compound	4.81187776788162	13		
Desrochers-2010-330-42	42	espantamoscas	scary			Compound	2.16666666666667	13		
Desrochers-2010-330-43	43	espantapájaros	scarecrow			Compound	5.47058823529412	14	17	
Desrochers-2010-330-44	44	guardabarros	fenders			Compound	5.20588235294118	12	4	
Desrochers-2010-330-45	45	guardabosques	forest ranger			Compound	5.25490196078431	13	3	
Desrochers-2010-330-46	46	guardacabras	goat keeper			Compound	1.18627450980392	12		
Desrochers-2010-330-47	47	guardacoches	valet			Compound	3.38597785244465	12	2	
Desrochers-2010-330-48	48	guardacostas	coastguard			Compound	5.25490196078431	12	1	
Desrochers-2010-330-49	49	guardaespaldas	bodyguards			Compound	5.90196078431373	14	22	5.59
Desrochers-2010-330-50	50	guardajoyas	jewelry keeper			Compound	1.69607843137255	11		
Desrochers-2010-330-51	51	guardamuebles	furniture repository			Compound	4.05934779058154	13	1	
Desrochers-2010-330-52	52	lameculos	ass-kissers			Compound	5.70588235294118	9	3	
Desrochers-2010-330-53	53	lanzacohetes	rocket launcher			Compound	3.61764705882353	12		
Desrochers-2010-330-54	54	lanzagranadas	grenade launcher			Compound	2.74	13	2	
Desrochers-2010-330-55	55	lanzallamas	flamethrower			Compound	4.38621392506232	11	1	
Desrochers-2010-330-56	56	lanzapelotas	ball thrower			Compound	2.3762366523882	12		
Desrochers-2010-330-57	57	lanzatorpedos	torpedo launcher			Compound	2.84313725490196	13		
Desrochers-2010-330-58	58	lavacoches	car wash			Compound	4.5	10		
Desrochers-2010-330-59	59	lavafrutas	fruit washers			Compound	2.01960784313725	10		
Desrochers-2010-330-60	60	lavamanos	sink	SINK (BASIN)	915	Compound	2.35294117647059	9	1	
Desrochers-2010-330-61	61	lavaplatos	dishwasher			Compound	4.79411764705882	10	1	
Desrochers-2010-330-62	62	lavavajillas	dishwasher			Compound	6.54901960784314	12	2	
Desrochers-2010-330-63	63	limpiabarros	fender-washer			Compound	2.07843137254902	12		
Desrochers-2010-330-64	64	limpiabotas	shoeshine			Compound	4.21788148414978	11	11	3.68
Desrochers-2010-330-65	65	limpiacalles	street cleaner			Compound	1.85294117647059	12		
Desrochers-2010-330-66	66	limpiachimeneas	fireplace cleaner			Compound	1.81372549019608	15		
Desrochers-2010-330-67	67	limpiacristales	glass cleaner			Compound	5.6931914765858	15		
Desrochers-2010-330-68	68	limpiadientes	toothpaste			Compound	1.52473957309535	13		
Desrochers-2010-330-69	69	limpiagafas	glass cleaner			Compound	2.45098039215686	11		
Desrochers-2010-330-70	70	limpiamanos	hand cleaner			Compound	1.9801314575699	11		
Desrochers-2010-330-71	71	marcapáginas	bookmark			Compound	5.01960784313726	12		
Desrochers-2010-330-72	72	marcapasos	pacemaker			Compound	5.62745098039216	10	16	
Desrochers-2010-330-73	73	matamoscas	fly swatter			Compound	5.48525455034756	10	1	
Desrochers-2010-330-74	74	matarratas	rat poison			Compound	5.19809798302758	10	1	
Desrochers-2010-330-75	75	matasellos	postmark			Compound	5.38613519564198	10	3	
Desrochers-2010-330-76	76	metepatas	idiot			Compound	5.34652652044539	9		
Desrochers-2010-330-77	77	mezclabebidas	mixed drinks			Compound	1.62379031191996	13		
Desrochers-2010-330-78	78	parabrisas	windscreen			Compound	6.04901960784314	10	12	5.33
Desrochers-2010-330-79	79	paracaídas	parachute			Compound	5.65343215533444	10	22	3.45
Desrochers-2010-330-80	80	parachoques	bumper			Compound	6.02941176470588	11	3	
Desrochers-2010-330-81	81	paraguas	umbrella	UMBRELLA	3105	Compound	6.8	8	70	6.14
Desrochers-2010-330-82	82	pararrayos	lightning rod			Compound	5.35294117647059	10	4	
Desrochers-2010-330-83	83	partenueces	nutmeg			Compound	1.46078431372549	11		
Desrochers-2010-330-84	84	pasamanos	handrails			Compound	6.63	9	8	
Desrochers-2010-330-85	85	pasamontañas	balaclava			Compound	5.46531696466879	12	8	
Desrochers-2010-330-86	86	pelapatatas	potato peeler			Compound	4.03963017640608	11		
Desrochers-2010-330-87	87	pintalabios	lipstick	LIPSTICK	3093	Compound	6.14705882352941	11	3	
Desrochers-2010-330-88	88	pisapapeles	paperweight			Compound	5.14705882352941	11	1	
Desrochers-2010-330-89	89	pisauvas	winery			Compound	1.88125287796365	8		
Desrochers-2010-330-90	90	portacámaras	camera holder			Compound	2	12		
Desrochers-2010-330-91	91	portacarnets	cardholder			Compound	1.97026788765058	12		
Desrochers-2010-330-92	92	portadiscos	record holder			Compound	2.79209413204355	11		
Desrochers-2010-330-93	93	portadocumentos	document holder			Compound	3.27450980392157	15		
Desrochers-2010-330-94	94	portaequipajes	luggage rack			Compound	4.7843137254902	14	1	
Desrochers-2010-330-95	95	portafolios	portfolio			Compound	5.01978204996281	11	7	
Desrochers-2010-330-96	96	portafotos	photo gallery			Compound	4.5148807938701	10		
Desrochers-2010-330-97	97	portagafas	glasses holder			Compound	2.2843137254902	10		
Desrochers-2010-330-98	98	portalápices	pencil holder			Compound	3.19607843137255	12		
Desrochers-2010-330-99	99	portallaves	key holder			Compound	2.38614535324688	11		
Desrochers-2010-330-100	100	portamonedas	wallet			Compound	2.29411764705882	12		
Desrochers-2010-330-101	101	portaplatos	plate holder			Compound	1.84313725490196	11		
Desrochers-2010-330-102	102	portavasos	cup holder			Compound	2.91176470588235	10		
Desrochers-2010-330-103	103	posavasos	coaster			Compound	5.81192097185115	9	1	
Desrochers-2010-330-104	104	quitahielos	ice-removal			Compound	2.51960784313725	11		
Desrochers-2010-330-105	105	quitamanchas	stain remover			Compound	5.613887055094	12		
Desrochers-2010-330-106	106	quitamiedos	fence	FENCE	1690	Compound	4.37254901960784	11		
Desrochers-2010-330-107	107	quitanieves	snowplough			Compound	5.17822599133549	11	1	
Desrochers-2010-330-108	108	rascacielos	skyscraper			Compound	6.23529411764706	11	23	4.61
Desrochers-2010-330-109	109	rascaespaldas	body-scratcher			Compound	1.66340192751977	13		
Desrochers-2010-330-110	110	rompecabezas	puzzle			Compound	5.85294117647059	12	26	5.01
Desrochers-2010-330-111	111	rompecorazones	heartbreaker			Compound	5.58993651367091	14		
Desrochers-2010-330-112	112	rompehielos	icebreaker			Compound	3.12745098039216	11	6	
Desrochers-2010-330-113	113	rompenueces	nutcracker			Compound	1.86138919436713	11		
Desrochers-2010-330-114	114	rompeolas	breakwater			Compound	4.72549019607843	9	7	
Desrochers-2010-330-115	115	rompeplatos	dishwasher			Compound	1.64358919148308	11		
Desrochers-2010-330-116	116	rompetechos	roof breaker			Compound	3.33333333333333	11		
Desrochers-2010-330-117	117	sacacorchos	corkscrew			Compound	6.33333333333333	11	3	
Desrochers-2010-330-118	118	sacapuntas	pencil sharpener			Compound	6.55445068353494	10	1	
Desrochers-2010-330-119	119	salvavidas	life saver			Compound	5.65686274509804	10	21	5.21
Desrochers-2010-330-120	120	tiralíneas	drawing pen			Compound	3.57843137254902	10		
Desrochers-2010-330-121	121	tocadiscos	record player	RECORD PLAYER	4004	Compound	5.03968884955819	10	18	5.67
Desrochers-2010-330-122	122	tragalibros	gadgets			Compound	1.47058823529412	11		
Desrochers-2010-330-123	123	tragaperras	slots			Compound	5.63	11	11	
Desrochers-2010-330-124	124	trotamundos	globetrotter			Compound	5.1296511783235	11	1	
Desrochers-2010-330-125	125	agua	water	WATER	948	Noun	6.86274509803922	4	1654	6.8
Desrochers-2010-330-126	126	año	year	YEAR	1226	Noun	6.56862745098039	3	1926	6.68
Desrochers-2010-330-127	127	barro	mud	MUD	640	Noun	5.70588235294118	5	132	6.07
Desrochers-2010-330-128	128	bebida	drink	BEVERAGE	731	Noun	6.59803921568627	6	68	6.5
Desrochers-2010-330-129	129	bosque	forest	FOREST	420	Noun	5.76470588235294	6	273	5.04
Desrochers-2010-330-130	130	bota	boot	BOOT	585	Noun	6.08823529411765	4	29	6.35
Desrochers-2010-330-131	131	botella	bottle	BOTTLE	1321	Noun	6.55882352941176	7	177	6.34
Desrochers-2010-330-132	132	brisa	breeze			Noun	5	5	102	5.72
Desrochers-2010-330-133	133	cabeza	head	HEAD	1256	Noun	6.42156862745098	6	1976	6.18
Desrochers-2010-330-134	134	cabra	goat	GOAT	1502	Noun	5.23529411764706	5	63	5.94
Desrochers-2010-330-135	135	caída	fall			Noun	5.74509803921569	5	254	6.45
Desrochers-2010-330-136	136	caldo	broth	SOUP	1547	Noun	5.42156862745098	5	62	5.61
Desrochers-2010-330-137	137	calle	street	STREET	1362	Noun	6.6078431372549	5	1340	6.8
Desrochers-2010-330-138	138	cama	bed	BED	1663	Noun	6.73529411764706	4	764	6.41
Desrochers-2010-330-139	139	cámara	camera	CAMERA	2618	Noun	6.00980392156863	6	223	6.16
Desrochers-2010-330-140	140	carnet	card	CARD	2619	Noun	6.27450980392157	6	33	6.63
Desrochers-2010-330-141	141	carta	letter	LETTER	1612	Noun	6.2843137254902	5	472	6.56
Desrochers-2010-330-142	142	chimenea	chimney	CHIMNEY	1305	Noun	5.29712954133031	8	79	5.27
Desrochers-2010-330-143	143	choque	shock			Noun	5.76470588235294	6	84	5.9
Desrochers-2010-330-144	144	cielo	sky	SKY	1732	Noun	6.38235294117647	5	620	6.26
Desrochers-2010-330-145	145	cigarro	cigar	CIGAR	4019	Noun	6.2156862745098	7	45	5.71
Desrochers-2010-330-146	146	circuito	circuit			Noun	5.46078431372549	8	106	4.55
Desrochers-2010-330-147	147	coche	car	CAR	1111	Noun	6.77450980392157	5	688	6.59
Desrochers-2010-330-148	148	cohete	rocket			Noun	5.11764705882353	6	36	5.65
Desrochers-2010-330-149	149	corazón	heart	HEART	1223	Noun	6.22549019607843	7	848	6.76
Desrochers-2010-330-150	150	corcho	cork			Noun	5.31372549019608	6	22	
Desrochers-2010-330-151	151	costa	coast	COAST	1525	Noun	5.6078431372549	5	276	5.46
Desrochers-2010-330-152	152	cristal	glass	GLASS	604	Noun	6.31372549019608	7	264	6.61
Desrochers-2010-330-153	153	cuchillo	knife	KNIFE	1352	Noun	6.51960784313726	8	86	6.31
Desrochers-2010-330-154	154	cuento	story	STORY	2060	Noun	5.98039215686275	6	275	6.46
Desrochers-2010-330-155	155	culo	ass	BUTTOCKS	834	Noun	6.35294117647059	4	140	6.05
Desrochers-2010-330-156	156	diente	tooth	TOOTH	1380	Noun	6.1078431372549	6	39	6.31
Desrochers-2010-330-157	157	disco	album			Noun	6.34313725490196	5	126	6.09
Desrochers-2010-330-158	158	documento	document			Noun	5.93137254901961	9	170	5.38
Desrochers-2010-330-159	159	equipaje	luggage			Noun	5.69607843137255	8	64	5.69
Desrochers-2010-330-160	160	espalda	back	BACK	1291	Noun	6.35294117647059	7	368	6.21
Desrochers-2010-330-161	161	fantasma	ghost	GHOST	1175	Noun	5.06862745098039	8	101	4.86
Desrochers-2010-330-162	162	fiesta	party			Noun	6.6078431372549	6	356	6.7
