ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	JAPANESE	JAPANESE_ROMANIZED	NAME_AGREEMENT	AoA_JAPANESE	FAMILIARITY	MORA
Nishimoto-2005-359-1	1	Iron	4031	IRON (PRESSING)	アイロン	AIRON	100.0	4.4	5.3	4
Nishimoto-2005-359-2	2	Ironing board	3998	IRONING BOARD	アイロンダイ	AIRON-DAI	77.5	5.5	4.7	6
Nishimoto-2005-359-3	3	Accordion	2603	ACCORDION	アコーディオン	AKÔDEION	55.0	5.8	2.5	6
Nishimoto-2005-359-4	4	Foot	1301	FOOT	アシ	ASHI	100.0	1.6	6.6	2
Nishimoto-2005-359-5	5	Leg	1297	LEG	アシ	ASHI	97.5	2.6	6.7	2
Nishimoto-2005-359-6	6	Toe	1389	TOE	アシノユビ	ASHI NO YUBI	85.0	3.0	6.2	5
Nishimoto-2005-359-7	7	Asparagus	2605	ASPARAGUS	アスパラガス	ASUPARAGASU	77.5	5.5	5.3	6
Nishimoto-2005-359-8	8	Duck	1360	DUCK	アヒル	AHIRU	77.5	3.7	4.8	3
Nishimoto-2005-359-9	9	Ant	587	ANT	アリ	ARI	100.0	2.4	4.8	2
Nishimoto-2005-359-10	10	House	1252	HOUSE	イエ	IE	92.5	2.2	6.7	2
Nishimoto-2005-359-11	11	Anchor	1870	ANCHOR	イカリ	IKARI	90.0	6.1	2.8	3
Nishimoto-2005-359-12	12	Chair	1476	CHAIR	イス	ISU	97.5	2.6	6.1	2
Nishimoto-2005-359-13	13	Stool	1476	CHAIR	イス	ISU	92.5	1.9	6.5	2
Nishimoto-2005-359-14	14	Strawberry	3138	STRAWBERRY	イチゴ	ICHIGO	95.0	2.8	6.4	3
Nishimoto-2005-359-15	15	Spool of thread			イト	ITO	72.5	4.0	4.3	2
Nishimoto-2005-359-16	16	Well	954	WELL	イド	IDO	95.0	4.7	2.7	2
Nishimoto-2005-359-17	17	Spinning wheel	4009	SPINNING WHEEL	イトツムギ	ITO-TSUMUGI	2.5	6.7	2.5	5
Nishimoto-2005-359-18	18	Dog	2009	DOG	イヌ	INU	90.0	2.2	5.8	2
Nishimoto-2005-359-19	19	Dolphin	1479	DOLPHIN	イルカ	IRUKA	97.5	3.3	4.1	3
Nishimoto-2005-359-20	20	Rabbit	1136	RABBIT	ウサギ	USAGI	97.5	2.8	5.5	3
Nishimoto-2005-359-21	21	Cow	1007	COW	ウシ	USHI	100.0	3.1	4.2	2
Nishimoto-2005-359-22	22	Arm	1673	ARM	ウデ	UDE	67.5	2.8	6.8	2
Nishimoto-2005-359-23	23	Watch	3349	WRISTWATCH	ウデドケイ	UDE-DOKEI	100.0	4.4	6.4	5
Nishimoto-2005-359-24	24	Eel	1013	FRESHWATER EEL	ウナギ	UNAGI	80.0	4.9	4.3	3
Nishimoto-2005-359-25	25	Baby carriage	4029	BABY CARRIAGE	ウバグルマ	UBAGURUMA	85.0	3.9	3.4	5
Nishimoto-2005-359-26	26	Horse	615	HORSE	ウマ	UMA	100.0	3.0	4.7	2
Nishimoto-2005-359-27	27	Shrimp	2349	SHRIMP	エビ	EBI	67.5	3.7	4.9	2
Nishimoto-2005-359-28	28	Chimney	1305	CHIMNEY	エントツ	ENTOTSU	95.0	3.8	3.6	4
Nishimoto-2005-359-29	29	Pencil	2578	PENCIL	エンピツ	ENPITSU	95.0	3.5	6.5	4
Nishimoto-2005-359-30	30	Crown	1943	CROWN (OF HEAD)	オウカン	OUKAN	82.5	4.8	2.2	4
Nishimoto-2005-359-31	31	Wolf	522	WOLF	オオカミ	OOKAMI	50.0	3.7	2.7	4
Nishimoto-2005-359-32	32	Motorcycle	638	MOTORCYCLE	オートバイ	ÔTOBAI	12.5	5.3	4.3	5
Nishimoto-2005-359-33	33	Seal	651	SEAL	オットセイ	OTTOSEI	37.5	5.1	2.6	5
Nishimoto-2005-359-34	34	Axe	677	AXE	オノ	ONO	80.0	4.4	2.6	2
Nishimoto-2005-359-35	35	Thumb	1781	THUMB	オヤユビ	OYA-YUBI	97.5	3.1	6.7	4
Nishimoto-2005-359-36	36	Choir organ			オルガン	ORUGAN	75.0	4.0	3.1	4
Nishimoto-2005-359-37	37	Mosquito	1509	MOSQUITO	カ	KA	67.5	3.4	5.9	1
Nishimoto-2005-359-38	38	Curtain	2621	CURTAIN	カーテン	KÂTEN	100.0	3.9	6.3	4
Nishimoto-2005-359-39	39	Staircase	34	STAIRS	カイダン	KAIDAN	97.5	3.1	6.3	4
Nishimoto-2005-359-40	40	Frog	503	FROG	カエル	KAERU	100.0	2.6	4.3	3
Nishimoto-2005-359-41	41	Mirror	1171	MIRROR	カガミ	KAGAMI	92.5	3.3	6.7	3
Nishimoto-2005-359-42	42	Key	1472	KEY	カギ	KAGI	97.5	3.9	6.5	2
Nishimoto-2005-359-43	43	Lock	1596	LOCK	カギ	KAGI	85.0	3.8	5.6	2
Nishimoto-2005-359-44	44	Umbrella	3105	UMBRELLA	カサ	KASA	100.0	2.9	6.5	2
Nishimoto-2005-359-45	45	Snail	1543	SNAIL	カタツムリ	KATATSUMURI	87.5	2.9	4.1	5
Nishimoto-2005-359-46	46	Japanese sword			カタナ	KATANA	80.0	4.7	3.0	3
