ID	NUMBER	ENGLISH	RUSSIAN	ENGLISH_CONTEXT	RUSSIAN_CONTEXT	ENGLISH_DESCRIPTION	RUSSIAN_DESCRIPTION	CONCEPTICON_ID	CONCEPTICON_GLOSS
Kassian-2010-116-1	1	all (omnis)	все (omnis)	1. He has cut down all the trees <br> 2. He has killed all animals <br>3. All these men are brothers	1. Он срубил все деревья <br> 2. Он убил всех животных <br> 3. Все эти мужчины — братья	The “plural” ‘all’ (= Latin omnis). Not to be confused with ‘each, every’ (cf. context 3). If possible, should be separated from the “singular” ‘all’ (Latin totus, in contexts like: All of the water in the lake/pool became frozen/evaporated; He has eaten all the meat), which we recommend to exclude from the list.	‘Все’ применительно к совокупности объектов (латин. omnis). Отличать от ‘каждый’ (см. контекст 3). По возможности отличать от «сингулярного» ‘весь’ (латин. totus; контексты вроде: Вся вода в озере/луже высохла/заледенела; Он съел всё мясо), которое мы рекомендуем исключить из списка.	98	ALL
Kassian-2010-116-2	2	ashes	зола	1. The campfire has left only ashes.<br>2. The wind scattered the ashes.<br>3. He scooped up a handful of ashes.	1. От костра осталась одна зола и угли<br>2. Ветер развеял золу<br>3. Он взял в горсть золу	Ashes as the basic result of combustion of wood, grass, dry dung (not after cremation, as in Russian прах). Not to be confused with special words for “fly ash”, “tobacco ashes”, “volcanic ashes”, or “embers” (hot ashes/coals, cf. context 3).	Зола как продукт сгорания дерева, травы, кизяка (но не после кремации, как в русском прах). Отличать от маркированных «табачного пепла», «вулканического пепла», а также «жара костра» (неостывшая зола, см. контекст 3).	646	ASH
Kassian-2010-116-3	3	bark	кора	1. He tore some bark off the tree.<br>2. A piece of bark came loose from the tree.	1. Он содрал с дерева кору<br>2. От дерева отвалился кусок коры	The neutral word for ‘bark’, applicable to as many different tree species as possible.	Нейтральная ‘кора’, сочетающаяся с максимальным количеством видов деревьев.	1204	BARK
Kassian-2010-116-4	4	belly	живот	1. While fighting, he punched him in the belly.<br>2. Wrap this belt around your belly.	1. Он в драке ударил его в живот.<br>2. Завяжи пояс на животе.	Part of the human body located directly above the pelvis. Not to be confused with vari-ous terms that denote internal organs (stomach, intestines) or semantically/stylistically marked words (paunch).	Часть туловища между грудью и пахом. Отличать от многочисленных внутренних органов (желудок, кишки и т. п.) и семантически/сти¬ли¬сти¬че¬ски маркированных слов (пузо и т. п.)	1251	BELLY
Kassian-2010-116-5	5	big, large	большой	1. This person has a big nose, that one has a small nose.<br>2. A big stone [leaf, tree, pool, etc…]	1. У этого человека большой нос, а у того — маленький.<br>2. Большой камень [лист, дерево, водоем…]	An adjective or verb that may be applied to different objects. The contexts are the same as in No.78 ‘small’.	Прилагательное/глагол, сочетающееся с максимальным количеством объектов. Контексты те же, что и для №78 ‘маленький’.	1202	BIG
Kassian-2010-116-6	6	bird	птица	1. Something is moving in the bushes, I cannot tell if it is a bird or an animal.<br>2. Birds lay eggs, animals and people bear children.<br>3. There is a bird flying on high, I can-not tell what kind.	1. В кустах что-то шевелится, я не понимаю, это птица или зверь.<br>2. Птицы несут яйца, а звери и люди рожают.<br>3. Вон там далеко летит птица. Слишком далеко, я не могу разобрать какая именно.	Some languages make a contrast between ‘small bird’ / ‘large bird’ or have a special word for ‘large (predatory) bird’. The contexts have been specially chosen so as to assist in revealing the more neutral term.	В некоторых языках могут противопоставляться ‘большая (хищная) птица’ vs. ‘маленькая птица’ ит. п. Контексты подобраны так, чтобы попытаться выявить наименее маркированную лексему.	937	BIRD
Kassian-2010-116-7	7	to bite	кусать	1. The dog bit him.<br>2. He bit his opponent in a fight.	1. Собака укусила его.<br>2. Он в драке укусил противника.	Not to be confused with ‘to bite off’ (while eating) or ‘to gnaw’. Said of animals or people (not a separate word like ‘to sting’ used for insects, snakes, stinging plants etc.).	Отделять от ‘откусывать’ (кусание при принятии пищи), ‘грызть’. Отделять от ‘кусать’ (‘жалить’) применительно к насекомому, змее, жгучему растению.	1403	BITE
Kassian-2010-116-8	8	black	черный	[As on the RGB 0:0:0 card; the natural color of coal]	[Карточка RGB 0:0:0; естественный цвет угля]	Not to be confused with ‘dark’, ‘dirty’ etc.	Отличать от ‘тёмный’, ‘грязный’ и т. п.	163	BLACK
Kassian-2010-116-9	9	blood	кровь	1. If you cut yourself, blood will flow.<br>2. There’s blood flowing from his wound.<br>3. Blood is red.	1. Если порезаться, потечет кровь.<br>2. У него из раны течет кровь.<br>3. Кровь красная.	Of human blood. To be distinguished from ‘coagulated blood’, ‘ichor’, ‘menstrual blood’ etc. We know of no languages that distinguish lexically between ‘arterial blood’ (bright red) and ‘venous blood’ (dark red, black).	О человеке. Отличать от ‘запекшейся крови’, ‘сукровицы’, ‘менструальных выделений’ и т. п. Нам неизвестны языки, лексически различающие артериальную кровь (светло-красная) и венозную кровь (темно-красная, черная).	946	BLOOD
Kassian-2010-116-10	10	bone	кость	1. His bones are frail.<br>2. He was sucking the marrow out of a bone.<br>3. The body consists of flesh, fat and bones.<br>4. He choked on a bone.	1. У него хрупкие кости.<br>2. Он высасывал мозг из кости.<br>3. Тело состоит из мяса, жира и костей.<br>4. Он подавился костью.	General term for human and animal bones (anatomical, not as part of food). Not to be confused with specific designations of various bones (like ‘rib’, ‘vertebra’) and a possible designation of ‘tubular bone in general’.	Общее слово для кости как у человека, так и у животного (анатомический термин, не ‘кость как продукт, еда’). Отличать от конкретизированных обозначений различных костей (вроде ‘ребро’, ‘позвонок’) и от возможного специального обозначения трубчатой кости вообще.	1394	BONE
Kassian-2010-116-11	11	breast	грудь	1. He hit him in the breast (chest) while fighting.<br>2. His breast (chest) was decorated with ornaments.	1. Он в драке ударил его в грудь.<br>2. На груди у него были украшения.	Frontal part of the human body, located between the neck and the upper belly (region of the thorax). If there is a common term, applicable to both the male and female breasts, we recommend choosing this common term (e.g., English breast). If no common term is present, the word for male breast (= chest) must be chosen. Not to be confused with specific designations of the female mammary gland, nipples, internal organs (e.g., lungs) or thoracic cage.	Человеческая грудь как передняя часть туловища между шеей и животом. Если в языке есть общий термин, обозначающий как мужскую, так и женскую грудь, рекомендуется выбирать именно его. В противном случае следует брать обозначение мужской груди. Отличать от конкретизированного обозначения женских молочных желез или сосков; от внутренних органов (легкие и т. п.) и от грудной (реберной) клетки.	1402	BREAST
Kassian-2010-116-12	12	to burn (trans.)	жечь, сжечь	1. We have to burn fuel (wood) all night long, so as to have light and warmth.<br>2. Why are you burning your clothes?	1. Надо жечь костер/поленья/траву всю ночь, чтобы мы не замерзли и чтобы было светло.<br>2. Зачем ты жжешь свою одежду?	A transitive verb. To be distinguished from both inchoatives like ‘to set on fire’ and “emphatic perfectives” like ‘to burn down’.	Переходный глагол (не ‘гореть’). Отличать от ‘зажечь’, ‘поджечь’ и от маркированного ‘сжечь дотла’.	141	BURN (SOMETHING)
Kassian-2010-116-13	13	cloud	облако	1. There is a white cloud in the sky.<br>2. Rain does not come from (white) clouds, only from rain clouds.	1. На небе белое облако.<br>2. Облако не дает дождя, а туча дает.	White cumulus clouds, as distinguished from rain clouds (black). The original wordlist never specified the exact type of cloud, but for languages that distinguish lexically between the two, the immediate association seems to be with white rather than black cloud (e.g., Russian-based wordlists always use облако ‘white cloud’ rather than туча ‘black cloud, rain cloud’).	Белое кучевое облако; отличать от темной ‘тучи’ (дождевого облака).	1489	CLOUD
Kassian-2010-116-14	14	cold	холодный	1. The water is too cold.<br>2. I do not know if this stone is still cold or whether it already got hot in the sun.	1. Эта вода слишком холодная.<br>2. Я не знаю, этот камень холодный или он успел нагреться на солнце.	The regular antonym of ‘hot’. Should be separated from more specific temperature characteristics (‘ice-cold’, ‘cool’, etc.).	Стандартный антоним слова ‘горячий’. Отличать от оттенков холодности: ‘ледяной’, ‘прохладный’ и т. п.	1287	COLD
Kassian-2010-116-15	15	to come	приходить	1. He came to me / my place.	1. Он пришел ко мне (в мой дом).	Of humans: to reach (preferably on foot) a destination. Should be distinguished from ‘enter’ (‘penetrate some confined space’), and, if possible, from ‘arrive’ and ‘reach’ (with strong emphasis either on the circumstances of one’s arrival or on the very facts).	О человеке: достигать (желательно, пешком) точки-ориентира. Следует отличать как от ‘входить’ (‘внутрь ограниченного пространства’), так и от ‘прибывать’ или ‘достигать’ (упор на обстоятельства достижения цели или на сам факт того, что она достигнута).	1446	COME
Kassian-2010-116-16	16	to die	умирать	1. He was very old; he died a year ago.<br>2. All who live, die sooner or later.	1. Он был очень старый. Он умер год назад.<br>2. Все живущие рано или поздно умирают.	Non-violent human death (but to be separated from possible marked verb ‘to die of old age’). Neutral stylistics, to be distinguished from various polite or euphemistic forms.	Ненасильственная смерть человека (однако отличать от возможного маркированного глагола ‘умереть от старости’). Нейтральный термин; отличать от специальных вежливых или эвфемистических форм.	1494	DIE
Kassian-2010-116-17	17	dog	собака	1. A dog is a man’s best friend.<br>2. The dog dwells together with people, wild animals do not.	1. Собака — друг человека<br>2. Собака живет с человеком, а дикие звери — нет.	Domesticated dog. Not to be confused with various breeds or specific words for dogs of different ages or sexes (‘puppy’, ‘bitch’ etc.).	Одомашненная собака. Отличать от названий разных пород или половозрастных категорий (‘пёс’, ‘щенок’, ‘сука’ и т. п.).	2009	DOG
Kassian-2010-116-18	18	to drink	пить	1. He is drinking water.<br>2. I need to eat and drink to stay alive.	1. Он пьет воду.<br>2. Чтобы жить, надо есть и пить.	To be distinguished from specialized terms (‘to gulp’, ‘to drink to emptiness’, ‘to drink an alcoholic beverage’, etc.).	Отличать от специализированных понятий вроде ‘хлебать’, ‘выпить залпом’, ‘выпить до дна’, ‘пить алкогольный напиток’ и т. п.	1401	DRINK
Kassian-2010-116-19	19	dry	сухой	1. Dry earth<br>2. My clothes are already dry, but his are still wet.	1. Сухая земля<br>2. Моя одежда уже сухая, а его пока еще мокрая.	Antonym of ‘wet’, applicable to as many different types of objects as possible (to be separated from specialized terms like dessicated, dehydrated etc.).	Антоним ‘мокрого’, сочетающийся с максимальным количеством различных видов объектов. Отличать от специализированных терминов (сушеный, иссушенный, обезвоженный и т. п.).	1398	DRY
Kassian-2010-116-20	20	ear	ухо	1. He punched him in the ear while fighting.<br>2. To cut off someone’s ear.<br>3. That man has large ears, this one has small ones.	1. Он его в драке ударил в ухо.<br>2. Отрезать человеку ухо.<br>3. У того человека большие уши, а у этого — маленькие.	Separate from ‘internal ear’ as well as the abstract ‘hearing’ (as in, have a good ear for music).	Отличать от ‘внутреннего уха’ (т. е. внутренних органов) и ‘слуха’.	1247	EAR
Kassian-2010-116-21	21	earth	земля	1. While digging the hole, he was throwing out the earth.<br>2. He took a handful of earth.<br>3. I don’t know whether that site con-tains sand or earth.	1. Он рыл яму и выбрасывал наружу землю.<br>2. Он взял в горсть земли.<br>3. Я не знаю, что на том участке: земля или песок.	‘Earth’ as ‘soil’ (but not as a specialized professional term, e.g., Eng. ‘soil’ itself). To be separated from ‘ground’ (= ‘surface’), ‘land’ (= ‘dry land’ or ‘property’), etc. Also to be separated from specific kinds of soil (‘red earth’, ‘black earth’, ‘clayey soil’ etc.). Contexts are the same as in No.71 ‘sand’.	Земля как почва (собственно слово ‘почва’ не подходит как профессионально маркированный или «научный» термин). Отличать от поверхности земли (‘ground’), от суши (‘land’) и т. п. Отличать от конкретизированных типов почвы: ‘красная земля’, ‘черная земля’, ‘глинистая земля’ и т. п. Те же контексты, что и в №71 ‘песок’.	1228	EARTH (SOIL)
Kassian-2010-116-22	22	to eat	есть	1. I need to eat and drink to stay alive.<br>2. He is eating [insert primary food product(s) of given culture].<br>3. When he lived there, he ate and drank plenty.	1. Чтобы жить, надо есть и пить.<br>2. Он ест [базовый продукт для данной культуры].<br>3. Когда он там жил, он ел и пил вволю.	In some languages different verbs can be used for different food products (“eat meat”, “eat cereals”, “eat fruits / nuts”, etc.) or food types (“eat hard food”, “eat soft food”, “eat liquid food”, etc.). In such cases, one should probably choose the verb that agrees with the most basic food product for the civilization in question (= statistically frequent). Separate from marked verbs like ‘to eat up’ etc. and various nursery or polite words.	Для языков, противопоставляющих разные глаголы ‘есть’ по продуктам (мясо, злаки, фрукты, суп и т. п.) или типам пищи (твердая, мягкая) предлагается брать глагол, сочетающийся с базовым для данной культуры продуктом, т. к. он, скорее всего, будет наиболее частотным. Отличать от маркированных глаголов вроде ‘съесть всё до конца’ и т. п. и различных «детских» или вежливых слов вроде кушать.	1336	EAT
Kassian-2010-116-23	23	egg	яйцо	1. Birds lay eggs, animals do not.<br>2. He had an egg in his hand.<br>3. Do you eat eggs?	1. Птицы несут яйца, а звери нет<br>2. Он взял в руку яйцо.<br>3. Ты ешь яйца?	Note that the notion ‘to lay eggs’ can frequently be expressed syncretically by a separate verb; this should be rejected.	‘Снести яйцо’ может быть синкретически выражено отдельным глаголом, что не подходит как элемент списка.	744	EGG
Kassian-2010-116-24	24	eye	глаз	1. He plucked his eye out.<br>2. Most people have got two eyes, but this man only has one eye.	1. Он выколол ему глаз.<br>2. У большинства людей два глаза, а у этого человека только один глаз.	Singular “eye” (to avoid suppletive stems in the plural). Not to be confused with ‘eyeball’ or ‘eyesight’.	«Глаз» (ед. ч., чтобы избежать возможного супплетивизма с формой мн. ч.). Следует отличать от ‘зрачок’, ‘зрение’.	1248	EYE
Kassian-2010-116-25	25	fat	жир	1. The body consists of flesh, fat and bones.<br>2. One can get fat from many different animals.<br>3. Meat and fat can be eaten.<br>4. Here are some pieces of fat.	1. Тело состоит из мяса, жира и костей.<br>2. Жир можно добывать из разных животных.<br>3. Мясо и жир можно есть.<br>4. Вот куски жира.	Animal fat as a general substance used for eating or various economic needs. Should be distinguished from “vegetable fat” or “butter”, (liquid) “oil”, although many languages use the same word for these notions, as well as specific words denoting different kinds of fat contained in particular body parts (e.g., ‘suet’) or specially treated (e.g., boiled) fat.	Общее слово для животного жира как продукта, используемого в хозяйстве. Отличать от ‘растительного жира’, ‘масла’ (в т. ч. жидкого) там, где в языке есть соотв. дифференциация, а также от нутряного жира и специально обработанного или приготовленного жира.	323	GREASE
Kassian-2010-116-26	26	feather	перо	1. Adult birds are covered with feathers.<br>2. Birds have feathers, beasts have fur.<br>3. He plucked one feather from the bird’s wing.<br>4. He stuck a feather in his hair as an ornament.	1. Взрослые птицы покрыты перьями.<br>2. У птиц есть перья, а у зверей — мех.<br>3. Он вырвал у птицы из крыла одно перо.<br>4. Он воткнул в волосы перо как украшение.	The most general term should be chosen. If no single term for all kinds of feathers ex-ists, the reasonable choice is ‘quill, flight feather of a bird’. Not to be confused with ‘fluff’, ‘down’, etc. The word should be applicable to different bird species.	Должен быть выбран наиболее нейтральный термин. Если такого термина нет, то уместно выбрать ‘маховое перо птицы’. Отличать от ‘пуха’ и т. п. Обязательно проверить, чтобы слово можно было употреблять для разных видов птиц.	1201	FEATHER
Kassian-2010-116-27	27	fire	огонь	1. I see a fire in the distance.<br>2. He put the fire out with water.<br>3. Fire can burn you.	1. Вдалеке я вижу огонь<br>2. Он потушил огонь водой<br>3. Огонь может обжечь	Should be kept separate from ‘flame’ (= ‘tongues of fire’, stylistically marked), ‘bonfire’, ‘sacred fire’, etc.	Отличать от стилистически маркированного ‘пламени’, ‘костра’, ‘священного огня’ и т. п.	221	FIRE
Kassian-2010-116-28	28	fish	рыба	1. All fish live in water.<br>2. Birds fly, fish swim.<br>3. I want to catch this fish.	1. Все рыбы живут в воде.<br>2. Птицы летают, а рыбы пла-вают.<br>3. Я хочу поймать эту рыбу.	Live fish, to be distinguished from special terms for already caught or prepared fish.	Живая рыба; следует отличать от выловленной или разделанной.	227	FISH
Kassian-2010-116-29	29	to fly	лететь, летать	1. Birds can fly, beasts and people cannot.<br>2. Little chicks do not yet know how to fly.<br>3. There’s a bird in the sky. Where is it flying?	1. Птицы летают, а люди и животные — нет.<br>2. Маленькие птенцы еще не умеют летать.<br>3. Вот в небе птица. Куда она летит?	Of birds, denoting neutral movement through the sky (but not ‘to fly off’, ‘to fly away’ etc., frequently denoted by different verbs). Should be kept apart from specific types of flying (‘to soar’, ‘to flit’, etc.). On rare occasions a neutral iterative verb ‘to fly’ (Where is the bird flying?) and a more marked habitual verb ‘to fly’ (Little chicks do not yet know how to fly) can contain different roots that is a symmetric correspondence to the frequent root opposition ‘to go’ ~ ‘to walk’ (see No.33). In such a case both roots can be taken as synonyms. NB: this entry does not refer to the noun ‘fly’ (insect)!	О птицах; имеется в виду нейтральный тип перемещения по воздуху (но не ‘взлетать’, ‘улетать’ и т. п.; эти значения часто передаются особыми корнями). Следует отличать от конкретных типов полета (‘парить’, ‘порхать’). Изредка язык может различать корни глаголов ‘лететь’ (нейтральный итератив) и ‘летать’ (более маркированный хабитуалис), что является симметричной ситуацией к частой корневой оппозиции ‘идти’ ~ ‘ходить’ (см. №33). В таких случаях оба корня можно брать как синонимы.	1441	FLY (MOVE THROUGH AIR)
Kassian-2010-116-30	30	foot	нога	1. He put the shoe on his foot.<br>2. He kicked him with his foot.<br>3. Feet are for walking.	1. Он надел обувь на ногу.<br>2. Он ударил его ногой.<br>3. Ноги нужны для того, чтобы ходить.	Denoting the part of the leg below the ankle joint. In many languages, “leg” and “foot” are either not distinguished at all, and the particular meaning “foot” is translated as “smth. of the leg”, e.g., “head of leg”, “end of leg”, etc. In these cases, the “leg” root is still carrying the bulk of the meaning.	Часть ноги ниже лодыжки (но не специализированный анатомический термин ‘ступня’). В языках, не различающих обозначения ‘ноги выше ступни’ и ‘ступни’, последнее значение часто передается как композит: «голова ноги», «конец ноги» и т. п. Во всех таких случаях основным корнем считать следует именно ‘ногу’.	1301	FOOT
Kassian-2010-116-31	31	full		1. This jar is full, that one is empty.<br>2. The jar (bag, pit, etc.) is already full, we cannot put in anything else.	1. Этот сосуд пустой, а это полный.<br>2. Сосуд/мешок/яма полон(/а), больше ничего не поместится.	Adjective or verb, referring to the full state of a vessel. Can be used without depend-ents, thus, should not be confused with ‘filled with smth.’. Also to be distinguished from specialized words like ‘completely full’, ‘full to the brim’, ‘full with small/large objects’, etc.	Прилагательное или глагол (‘быть полным’), применительно к наполненному сосуду. Слово должно иметь возможность независимого употребления, так что следует отличать от ‘наполненный чем-либо’. Также отличать от маркированного ‘полностью заполненный’, ‘полный до краев’ или от конкретизированного ‘полный мелких предметов’ и т. п.	1429	FULL
Kassian-2010-116-32	32	to give	давать	1. I am giving my father a stone.<br>2. My father is giving me a stone.<br>3. He gave him a stick, but then snatched it back.	1. Я даю отцу камень.<br>2. Отец дает мне камень.<br>3. Он дал ему палку, но потом выхватил ее обратно.	To be distinguished from ‘to hand’, ‘to offer’ etc., as well as special polite forms if en-countered. Some languages make a clear and regular distinction between ‘to give (to 1st/2nd person)’ and ‘to give (to 3rd person)’ (cf. the difference between contexts 1 and 2); it is permissible to use these as synonyms if no third ‘recipient-neutral’ party is found.	Отличать от ‘протягивать’, ‘вкладывать в руку’ и т. п., а также от специальных «вежливых» форм. В некоторых языках отчетливо различаются понятия ‘давать (1 му/2 му л.)’ и ‘давать (3-му л.)’ (ср. разницу между контекстами 1 и 2); оба корня позволительно брать как синонимичные в том случае, если невозможно обнаружить третий предикат, нейтральный по отношению к лицу реципиента.	1447	GIVE
Kassian-2010-116-33	33	to go	идти	1. He was standing here, but now he is going that way [indicate direction w. hand].<br>2. Today I work at home, tomorrow I’m going to the next village.<br>3. Where are you going?	1. Он стоял тут, а теперь он идет туда [показать рукой направление].<br>2. Сегодня я буду работать дома, а завтра пойду в соседнее селение.<br>3. Куда ты идешь?	Indicates movement from point A to point B; on foot by default, but with more empha-sis on the fact of movement than on the mode of movement. A continuative/durative/ im¬per¬fective verb. The original Swadesh item ‘to walk’, referring either to movement with no specific direction (walking in the park) or emphasizing the idea of using one’s feet rather than any means of transport (I’m going to walk to the station), was rather am-biguous and tended to be replaced by ‘to go’ already in the early wordlists; we recom-mend preserving this tradition. NB: in many languages this may be the same root as ‘to go away’ (the antonym of ‘to come’), but the correlation is not necessary (cf. Russian идти, not уходить).	Нейтральное передвижение из точки A в точку B; по умолчанию ногами, но с бóльшим упором на факт передвижения, нежели на способ передвижения. Длительное действие. Исходный элемент в списке Сводеша — ‘to walk’, т. е. ‘гулять, расхаживать’ (walking in the park) или специфически ‘идти (именно) пешком’ (I’m going to walk to the station); двусмысленность и расплывчатость термина заставляла многих составителей списков уже на раннем этапе заменять его на ‘идти’ (go); мы рекомендуем придерживаться этой традиции. NB: во многих языках лексически совпадает с ‘уходить’ (= антоним to come ‘приходить’), но это совпадение не является правилом (ср. русское идти vs. уходить).	695	GO
Kassian-2010-116-34	34	good	хороший	1. You are a good man, he is a bad man.<br>2. A good knife.<br>3. A good house.<br>4. Good food.	1. Ты — хороший человек, он — плохой.<br>2. Хороший нож.<br>3. Хороший дом.<br>4. Хорошая еда.	Should be combined with as many different objects as possible. It also makes sense to look for a basic antonymous pair (‘good’ / ‘bad’).	Проверить на максимальную сочетаемость с объектами. Стоит искать также как один из членов базисной антонимической оппозиции ‘хороший’ : ‘плохой’.	1035	GOOD
Kassian-2010-116-35	35	green	зеленый	[As on the RGB 0:255:0 and similar cards. The natural color of fresh, newly sprung grass.]	[Карточка RGB 0:255:0 и близкие к ней. Цвет молодой свежей тра-вы.]			1425	GREEN
Kassian-2010-116-36	36	hair	волосы	1. He pulled him by his hair.<br>2. My hair grows better than his.	1. Он дернул его за волосы.<br>2. У меня волосы лучше растут, чем у него.	Collective or plural noun, applicable to head hair of human. Should be strictly separated from words that specifically designate ‘a single hair’, ‘body hair (fur)’ or ‘facial hair’. Also to be distinguished from numerous specific kinds of hair (‘long hair’, ‘blonde hair’, ‘curly hair’, various types of coiffures etc.).	Волосы на голове человека. Следует строго отличать от (отдельного) ‘волоска’, ‘волос на теле’ (шерсть, мех) и ‘волос на лице’ (борода, усы). Не путать с конкретизированными типами волос (напр., ‘длинные волосы’, ‘светлые волосы’, ‘курчавые волосы’, разные типы причесок и т. п.).	1040	HAIR
Kassian-2010-116-37	37	hand	рука	1. Man has two hands.<br>2. They cut off his hands.<br>3. People have fingers on each hand.	1. У человека две руки.<br>2. Ему отрубили обе руки.<br>3. У человека на каждой руке пальцы.	Specifically ‘hand’, i. e. the body part at the end of the arm below the wrist. Not to be confused with specialized terms like ‘palm’, ‘back side of the hand’, ‘right hand’, ‘left hand’ etc. Lack of the ‘hand’ : ‘arm’ opposition should be addressed the same way as with ‘foot’ : ‘leg’, see No.30.	Часть руки от запястья до пальцев, включая пальцы. Отличать от ‘ладони’, ‘тыльной стороны руки’, ‘правой руки’, ‘левой руки’, анатомического термина ‘кисть’ и т. п. Отсутствие оппозиции ‘рука (кисть)’ : ‘рука (выше кисти)’ следует трактовать так же, как в случае с ‘ногой’, см. №30.	1277	HAND
Kassian-2010-116-38	38	head	голова	1. While fighting, he hit him on the head.<br>2. This stone is the same size as a hu-man head.	1. Он в драке ударил его по голове.<br>2. Вот камень размером с человечью голову.	Not to be confused with: (a) narrower terms like ‘occiput’, ‘crown (of the head)’, etc.; (b) ‘brain’, ‘mind’, etc.; (c) metaphorical ‘head’ > ‘top’, ‘chief’, etc.	Отличать от: (а) более узких терминов — ‘затылок’, ‘макушка’ и т. п.; (б) ‘мозг’, ‘ум’ и т. п.; (в) метафорического переноса ‘голова’ > ‘верхушка’, ‘начальник’ и т. п.	1256	HEAD
