ID	NUMBER	CHINESE	ENGLISH	CONCEPTICON_GLOSS	CONCEPTICON_ID	VALENCE_MEAN	AROUSAL_MEAN	CONCRETENESS_MEAN	FAMILIARITY_MEAN	IMAGEABILITY_MEAN	CONTEXT_AVAILABILITY_MEAN
Yao-2017-1100-108	108	耻辱	shame	SHAME	1776	2.41	5.09	3.82	3.18	5.17	6.47
Yao-2017-1100-109	109	翅膀	wing	WING	1257	3.17	5.46	4.71	5	4.26	5.11
Yao-2017-1100-110	110	充沛	abundant			6.56	5.27	7.1	6.8	7.04	6.52
Yao-2017-1100-111	111	憧憬	hopeful			5.13	4.67	6.63	6.2	7.14	6.41
Yao-2017-1100-112	112	仇敌	enemy			2.45	5.05	5.86	4.55	6.37	5.47
Yao-2017-1100-113	113	仇人	enemy	ENEMY	1358	1.26	7.34	4.31	3.97	4.81	5.22
Yao-2017-1100-114	114	绸缎	silk	SILK	1641	5.6	5.77	4.72	5.8	4.68	5.57
Yao-2017-1100-115	115	酬金	commission			5.06	5.88	6.34	6.51	6.4	6.66
Yao-2017-1100-116	116	酬劳	rewards			2.11	7.06	5.43	5	5.32	5.54
Yao-2017-1100-117	117	愁苦	bitterness			1.68	5.45	4.41	2.27	5.21	5
Yao-2017-1100-118	118	丑陋	ugly	UGLY	1548	2.09	7.71	3.57	3.18	5.81	6.16
Yao-2017-1100-119	119	丑闻	scandle			6.83	5.6	6.68	5.32	6.96	6.43
Yao-2017-1100-120	120	出殡	death march			2.4	8.07	3.37	2.77	6.45	5.16
Yao-2017-1100-121	121	出轨	love affair			1.71	6.68	6.04	2.11	6.87	6.37
Yao-2017-1100-122	122	出嫁	marry out	MARRY (AS WOMAN)	2163	3.43	5.63	6.73	6.83	7.74	6.97
Yao-2017-1100-123	123	处分	split equal			3.05	7.14	6.6	4.23	7.19	6.35
Yao-2017-1100-124	124	处治	deal with			1.67	7.17	4.83	4.34	4.39	5.22
Yao-2017-1100-125	125	触犯	infringe			2.07	6.43	3.8	3.47	6.03	5.71
Yao-2017-1100-126	126	传染	contaminous			1.5	6.17	2.83	3.3	4.14	4.33
Yao-2017-1100-127	127	传统	tradition	CUSTOM	1747	4.85	6.05	6.39	6.46	7.63	6.54
Yao-2017-1100-128	128	创伤	hurt	HURT (SENSE PAIN)	2561	2.39	6.73	3.5	3.8	4.23	4.3
Yao-2017-1100-129	129	创新	innovative			7.47	5.03	7.1	6.6	7.42	6.49
Yao-2017-1100-130	130	垂钓	go fishing			4.24	4.17	5.98	6.17	6.12	5.6
Yao-2017-1100-131	131	垂柳	willow tree	WILLOW	818	1.98	6.97	6.2	6.37	6.67	6.7
Yao-2017-1100-132	132	春光	spring view			5.23	5.59	5.86	5.32	4.58	4.58
Yao-2017-1100-133	133	春联	spring couplets			6.95	5.64	5.41	5.36	3.67	3.38
Yao-2017-1100-134	134	春雨	spring rain			7.04	6	4.46	5.5	4.54	5.47
Yao-2017-1100-135	135	祠堂	ancestral hall			2.78	4.83	6.08	5.78	6.58	5.95
Yao-2017-1100-136	136	瓷器	porcelain			4.69	4.42	5.58	4.58	5.91	6.05
Yao-2017-1100-137	137	辞职	quit job			2.31	6.08	4.47	5.78	5.86	5.49
Yao-2017-1100-138	138	慈母	loving mother			6.44	3.06	7.08	7.06	7.19	7.56
Yao-2017-1100-139	139	丛林	woods	FOREST	420	5.14	5	6.43	5.79	8.28	7.59
Yao-2017-1100-140	140	粗糙	rough	ROUGH	1923	2.36	6.05	3.68	3	3.74	4.08
Yao-2017-1100-141	141	粗俗	vulgar	VULGAR	1080	1.93	6.29	2.79	3.18	5.46	5.32
Yao-2017-1100-142	142	猝死	sudden death			1.53	8.58	7.33	6.86	7.4	7.05
Yao-2017-1100-143	143	痤疮	pimples	PIMPLE	1809	2.72	6.43	3.52	4.45	4.62	5.43
Yao-2017-1100-144	144	措施	measures			5.46	5.91	4.46	5.51	4.32	4.78
Yao-2017-1100-145	145	打架	fight	FIGHT	1423	2.32	7.73	4.73	3.59	4.39	4.55
Yao-2017-1100-146	146	大雁	swallow			7.18	5.32	4	4.69	5.19	5.03
Yao-2017-1100-147	147	大雨	heavy rain			4.78	5.49	6.22	5.29	6.69	5.25
Yao-2017-1100-148	148	歹徒	gangster			6.23	4.97	6.2	5.77	6.96	6.23
Yao-2017-1100-149	149	淡雅	classy and modest			1.78	6.72	4.31	7.89	5.58	5.91
Yao-2017-1100-150	150	刀痕	knife cut			1.64	5.05	3.41	1.5	4.5	4.58
Yao-2017-1100-151	151	导弹	missile			2.06	6.48	4.77	4.86	3.71	4.03
Yao-2017-1100-152	152	倒塌	fall down	FALL	1280	2.2	6.5	3.13	3.33	4.07	5.01
Yao-2017-1100-153	153	盗版	piracy			1.89	7.75	3.82	3.09	4.74	3.74
Yao-2017-1100-154	154	道德	moral			6.25	4.32	4.75	4.57	4.74	5.59
Yao-2017-1100-155	155	道理	reasonable words			4.47	5.17	4.37	5.34	4.22	4.76
Yao-2017-1100-156	156	敌人	enemy	ENEMY	1358	2.43	6.37	4.37	4.57	6.29	5.67
Yao-2017-1100-157	157	地图	map	MAP	2625	5.14	5.27	5.09	4.49	4.65	5.24
Yao-2017-1100-158	158	地震	earth quake	EARTHQUAKE	6	3.63	5.57	4.83	4.06	5.98	6.21
Yao-2017-1100-159	159	典礼	ceremony			6.2	5.23	7.4	7.87	8.09	7.17
Yao-2017-1100-160	160	冻疮	frost bite			1.45	6.59	2.73	2.14	3.79	3.97
Yao-2017-1100-161	161	斗殴	fight			1.41	7.55	4.5	4.39	5.14	4.93
Yao-2017-1100-162	162	毒贩	drug dealer			1.58	6.19	5.18	3.69	6	6.05
Yao-2017-1100-163	163	毒瘤	poisonous tumor			5.85	5.2	5.73	4	5.95	5.08
Yao-2017-1100-164	164	毒蛇	poisonous snake			1.83	7.31	4.14	3.83	4.89	5.76
Yao-2017-1100-165	165	毒药	poison	POISON	655	2.23	7.27	5	2.55	4.53	4.5
Yao-2017-1100-166	166	堵车	traffic jam			2.89	5.91	5.27	3.72	6.32	6.19
Yao-2017-1100-167	167	度假	on vacation			1.95	7.55	4.23	7.14	4.86	6
Yao-2017-1100-168	168	恶魔	devil	DEMON	1973	1.68	5.9	4.24	4.76	4.2	4.26
Yao-2017-1100-169	169	恩师	mentor			5.17	4.97	4.56	5.72	5.23	5.42
Yao-2017-1100-170	170	耳环	ear ring	EARRING	770	2.54	5.37	5	5.5	4.34	4.37
Yao-2017-1100-171	171	发财	make a fortune			3.22	4.11	5.58	6.69	6.07	5.95
Yao-2017-1100-172	172	发芽	sprout	SPROUT (VERB)	2076	4.06	5.63	5.03	5.06	4.4	5
Yao-2017-1100-173	173	罚单	ticket for traffic			4.5	5.41	4.77	4.2	6.54	6.14
Yao-2017-1100-174	174	法规	regulations			4.53	4.17	4.47	4.58	4.72	4.72
Yao-2017-1100-175	175	法制	law and order			2.83	5.12	4.24	5.46	3.78	4.42
Yao-2017-1100-176	176	帆船	sailing boat			4.89	2.86	4.72	5.64	4.67	5.33
Yao-2017-1100-177	177	番茄	tomato	TOMATO	986	5.03	4.56	6.11	4.93	6.89	6.2
Yao-2017-1100-178	178	繁华	prosper			5.43	5.79	4.89	5.61	5	6.07
Yao-2017-1100-179	179	繁荣	flourish			2.82	5.75	4.07	5.11	3.73	5.41
Yao-2017-1100-180	180	犯人	prisoner	PRISONER	1072	6.17	5.89	6.83	5.31	7.05	6.93
Yao-2017-1100-181	181	飞镖	dart	DARTS	2587	2.12	5.28	4.17	5.4	4.75	5.19
Yao-2017-1100-182	182	妃嫔	concubine			3.94	4.57	6.49	6	6.95	6.46
Yao-2017-1100-183	183	肥田	fertile land			4.94	3.69	4.29	5.32	4.81	5.56
Yao-2017-1100-184	184	匪徒	bandits			1.31	6.39	4.08	3.83	6.09	5.6
Yao-2017-1100-185	185	诽谤	sniping			3.1	5.03	3.5	3.36	5.32	5.22
Yao-2017-1100-186	186	翡翠	jade			5.5	5.39	7.06	6.42	6.44	6.23
Yao-2017-1100-187	187	废品	trash			4	4.59	4.64	4.59	5.34	5.34
Yao-2017-1100-188	188	废墟	ruins			2.53	6.8	3.03	3.7	4.01	4.17
Yao-2017-1100-189	189	分手	breaking up			1.97	5.93	5.63	4.03	7.32	5.74
Yao-2017-1100-190	190	焚烧	burn	BURN (SOMETHING)	141	2.13	6.9	4.93	5.63	5.84	5.81
Yao-2017-1100-191	191	粉笔	chalk			5.86	4.35	5.82	6.59	7.08	6.87
Yao-2017-1100-192	192	粉尘	dust			5.63	4.29	5.6	7.07	7.04	6.9
Yao-2017-1100-193	193	奋斗	work hard for			2.33	7.83	4.3	7.2	4.96	6.43
Yao-2017-1100-194	194	粪便	shit	FAECES (EXCREMENT)	675	3.45	7.77	4.97	3.2	4.96	5.07
Yao-2017-1100-195	195	丰富	colorful	COLORFUL	2997	7.14	5.26	4.75	5.22	5.09	4.65
Yao-2017-1100-196	196	丰满	plump			5.73	6.95	6.82	5	7.08	6.24
Yao-2017-1100-197	197	丰收	good harvest			6.39	6.25	3.93	6.07	5.13	6.3
Yao-2017-1100-198	198	风车	wind mill	WINDMILL	3841	5.67	4.81	6.61	6.32	7.24	6.21
Yao-2017-1100-199	199	风光	passage of time			4.78	5.83	6.76	6.37	7.91	7.08
Yao-2017-1100-200	200	风景	scenery	SCENERY	3963	6.4	5.7	7.3	7.73	7.25	7.35
Yao-2017-1100-201	201	风铃	wind pipe			5.36	5.27	5.55	4.77	6.29	5.76
Yao-2017-1100-202	202	风沙	sand storms			2.29	6.93	3.75	3.64	5.73	5.63
Yao-2017-1100-203	203	风扇	electric fan			7.13	5.1	7.03	6.33	7.54	6.42
Yao-2017-1100-204	204	风俗	ritual	CUSTOM	1747	4.8	5.09	5.72	5.92	5.59	5.89
Yao-2017-1100-205	205	风韵	charm			5.28	5.64	7.31	7.14	7.14	7.09
Yao-2017-1100-206	206	风筝	kite			4.22	4.27	5.66	6.03	4.94	5.25
Yao-2017-1100-207	207	枫叶	maple leaf			3.05	5.36	4.91	5.95	4	4.21
Yao-2017-1100-208	208	封面	cover	COVER	761	4.94	5.19	3.53	5.23	4.86	5.09
Yao-2017-1100-209	209	疯狗	mad dog			3.24	6.2	5.05	4	6.25	5.41
Yao-2017-1100-210	210	疯子	crazy person			2.55	6.14	5.78	3.92	6.37	6.35
Yao-2017-1100-211	211	缝补	stitch patch			3.92	5.69	4.98	5.85	5.11	5.86
Yao-2017-1100-212	212	凤凰	phoenix			4.05	4.41	5.95	4.59	6	4.82
Yao-2017-1100-213	213	佛光	halo			6.11	6.46	4.82	4.21	4.58	4.24
Yao-2017-1100-214	214	佛像	buddha statue			7.07	5.32	7.39	7.61	8	6.77
Yao-2017-1100-215	215	夫人	wife			4.58	4.19	5.86	5.21	5.96	5.17
Yao-2017-1100-216	216	敷衍	perfunctory			5.05	3	5	3.63	5.42	5.81
Yao-2017-1100-217	217	服务	service			6.43	5.13	6.17	5.54	6.17	5.28
Yao-2017-1100-218	218	俘获	capture			5.82	5.09	4.41	5.18	4.53	4.68
Yao-2017-1100-219	219	俘虏	captivate			4.89	2.04	5.43	6.28	5.67	5.6
Yao-2017-1100-220	220	浮尘	dust	DUST	2	3.43	6.05	5.57	5.73	5.9	5.51
Yao-2017-1100-221	221	浮尸	floating body			1.95	7.45	3.64	2.91	5.45	4.62
Yao-2017-1100-222	222	福利	welfare			4.95	5	6	6.2	6.14	5.95
Yao-2017-1100-223	223	斧头	ax	AXE	677	5.11	4.86	4.06	4.94	3.83	4.67
Yao-2017-1100-224	224	腐蚀	errode			4.5	4.3	5.27	5.22	6.37	5.78
Yao-2017-1100-225	225	腐朽	decadent			1.64	7.64	4.32	3.18	5.24	5
Yao-2017-1100-226	226	父母	parents	PARENTS	505	4.79	3.75	4.18	6.45	4.03	4.26
Yao-2017-1100-227	227	讣告	obituary			3.79	5.96	5.04	3.21	6.91	6.24
Yao-2017-1100-228	228	盖头	head cover			4.64	4	4.11	4.86	5.14	5.86
Yao-2017-1100-229	229	甘甜	sweet	SWEET	717	3.06	5.46	5.23	4.45	4.32	4.87
Yao-2017-1100-230	230	干裂	try and cracked			2.69	3.75	4.42	4.06	4.95	5.65
Yao-2017-1100-231	231	干尸	dried body			2.08	5.67	4.53	5.17	5.49	5.93
Yao-2017-1100-232	232	钢琴	piano	PIANO (INSTRUMENT)	3994	4.21	3.75	4.68	5.25	4.63	5.3
Yao-2017-1100-233	233	港湾	bay	BAY	663	4.82	4	4.57	5.77	4.01	4.39
Yao-2017-1100-234	234	高傲	haunty			6.64	5.29	4.29	4.46	4.58	5.25
Yao-2017-1100-235	235	高堂	parents			6.79	5.29	4.68	4.32	5.77	5.13
Yao-2017-1100-236	236	高雅	refined taste			2.91	5.82	6.14	6.31	6.05	6.44
Yao-2017-1100-237	237	高原	plateau	PLATEAU	3988	5.31	5.25	6.61	6.75	6.23	6.19
Yao-2017-1100-238	238	羔羊	lamb	LAMB	820	5.23	5.27	5.59	4.82	5.53	5.29
Yao-2017-1100-239	239	膏药	ointment	OINTMENT	1926	7.17	6.63	6.9	6.7	7.65	6.03
Yao-2017-1100-240	240	糕点	pastry			6.22	6.44	5.15	6.98	5.02	6.12
Yao-2017-1100-241	241	稿费	contribution fee			6.06	5.91	4.73	4.23	3.92	3.95
Yao-2017-1100-242	242	哥哥	older brother	OLDER BROTHER	1759	7.83	7.03	6.97	7.2	6.94	6.78
Yao-2017-1100-243	243	歌迷	fans for the singer			5.64	6.21	6.19	5.11	7.37	6.56
Yao-2017-1100-244	244	歌女	female singer			4.68	5.11	6.79	7.25	8	7.21
Yao-2017-1100-245	245	阁楼	atic			5	4.88	4.88	5.63	3.68	4.2
Yao-2017-1100-246	246	哽咽	choked			2.49	6.95	4.12	5.37	5.35	6.08
Yao-2017-1100-247	247	公安	police force			7.61	5.08	6.89	6.17	7.26	7.05
Yao-2017-1100-248	248	公园	park			4.13	5.17	5.97	5.86	5.73	5.54
Yao-2017-1100-249	249	功夫	kong fu			2.14	7.53	4.83	5.08	4.12	3.56
Yao-2017-1100-250	250	宫殿	palace			5.18	5.32	5.05	6.32	4.32	4.89
Yao-2017-1100-251	251	拱桥	arched bridge			5.73	4.59	6.09	5.55	6.47	5.32
Yao-2017-1100-252	252	贡品	tribute			4.63	5.37	3.83	5.9	3.55	5.2
Yao-2017-1100-253	253	勾结	gang up with			2.49	5.91	5.34	4.37	5.36	5.33
Yao-2017-1100-254	254	孤岛	island	ISLAND	622	2.64	6.44	6.41	5.31	6.48	6.39
Yao-2017-1100-255	255	孤儿	orphan	ORPHAN	1149	1.93	7.96	3.4	3.13	5.33	5.07
Yao-2017-1100-256	256	姑娘	young lady	YOUNG WOMAN	77	2.07	6.17	3.23	5.33	4.14	5
Yao-2017-1100-257	257	古董	antique			7.22	5.16	7.1	6.78	8.09	6.97
Yao-2017-1100-258	258	古朴	vintage			4.51	3.06	3.77	5.2	4.13	4.29
Yao-2017-1100-259	259	骨灰	body ash			6.88	5.83	4.51	5.34	5.72	5.74
Yao-2017-1100-260	260	鼓励	encourage			2	6.89	4.71	5.36	5.39	6.34
Yao-2017-1100-261	261	鼓楼	drum tower			6.46	6.6	5.37	6.61	5.06	5.35
Yao-2017-1100-262	262	故居	old house			4.57	4.11	4.54	5.83	4.73	5.78
Yao-2017-1100-263	263	顾客	customer			4.97	2.66	6.11	5.33	6.58	6.6
Yao-2017-1100-264	264	顾问	consultant			5.06	5.53	3.86	6.08	4.56	4.91
Yao-2017-1100-265	265	雇工	employee			4.41	3.09	4	4.36	3.97	4.8
Yao-2017-1100-266	266	雇员	employee			1.64	7.95	3.14	4.64	3.42	3.77
Yao-2017-1100-267	267	寡妇	widow	WIDOW	1756	4.34	4.4	3.83	4.19	3.63	3.35
Yao-2017-1100-268	268	拐卖	kidnapping for business			2.14	5.25	4.11	4.36	4.91	4.91
Yao-2017-1100-269	269	拐骗	scam			2.77	6.68	4.41	2.86	5.63	4.71
Yao-2017-1100-270	270	拐杖	walking cane			4.63	3.8	3.66	4.45	4.36	4.61
Yao-2017-1100-271	271	关押	lock up			1.71	6.26	5.51	5.34	6.41	6.3
Yao-2017-1100-272	272	棺材	coffin	COFFIN	2011	6.74	4.94	5.66	4.17	6.84	6.49
Yao-2017-1100-273	273	冠军	champion			6.77	6.53	6.6	6.32	6.32	6.08
Yao-2017-1100-274	274	惯犯	habitual criminal			2.39	6.05	4.8	5.07	5.26	5.63
Yao-2017-1100-275	275	光芒	light	LIGHT (RADIATION)	630	4.89	3.48	4.63	5.23	4.22	5
Yao-2017-1100-276	276	规范	regulation			6.14	5.13	5.77	5.34	7.05	6.08
Yao-2017-1100-277	277	规律	regularity			2.17	7.14	5.23	6.09	5.92	5.82
Yao-2017-1100-278	278	规则	rules			4.67	4.63	2.57	6	4.13	4.97
Yao-2017-1100-279	279	闺蜜	best female friends			4.02	3.9	5.41	5.5	4.16	4.34
Yao-2017-1100-280	280	闺女	daughter	DAUGHTER	1357	4.92	4.54	4.57	6.4	4.65	5.05
Yao-2017-1100-281	281	鬼混	hang out			1.59	6.41	4.55	2.95	6.11	5.74
Yao-2017-1100-282	282	鬼魂	ghost	SPIRIT	53	4.03	3.46	4.17	3.97	5.27	5.7
Yao-2017-1100-283	283	贵人	honorable people			5.95	3.32	5.36	5.64	6.14	5.93
Yao-2017-1100-284	284	贵族	nobility			6	5.32	4.69	6.94	4.91	5.4
Yao-2017-1100-285	285	桂花	osmanthus			1.82	6.41	4.41	5.09	3.05	3.92
Yao-2017-1100-286	286	国宝	national treasure			2.75	6.54	6.68	5.15	6.89	5.84
Yao-2017-1100-287	287	国耻	national shame			2.71	6.75	3.68	3.93	4.51	5.2
Yao-2017-1100-288	288	国法	french made			6	6.59	5.95	4.05	6.92	6.26
Yao-2017-1100-289	289	国徽	national emblem			4.44	4.32	4.51	5.97	4.27	5.27
Yao-2017-1100-290	290	国货	native product			5.06	5.11	5.2	6.71	5.97	5.75
Yao-2017-1100-291	291	国旗	national flag			5.04	5.5	6.32	6.46	6.77	6.27
Yao-2017-1100-292	292	国情	national condition			3.05	5.64	5.36	4.89	6.9	6.29
Yao-2017-1100-293	293	果冻	jelly			6.4	4.31	5.09	6	4.73	4.92
Yao-2017-1100-294	294	果农	fruit farmer			4.86	5.74	5.8	5.06	6.27	6.05
Yao-2017-1100-295	295	果盘	fruit tray			3.88	4.57	4.37	5.83	4.87	5.42
Yao-2017-1100-296	296	果树	fruit tree			4.8	3.14	6.14	5.58	6.23	5.79
Yao-2017-1100-297	297	过程	process	PROCESS	3970	4.78	4.61	3.08	5.67	3.6	4.28
Yao-2017-1100-298	298	海岸	coastline			2.37	6.1	4.95	5.18	4.39	4.97
Yao-2017-1100-299	299	海报	poster			2.61	6.22	4.88	5.95	4.83	5.22
Yao-2017-1100-300	300	海盗	pirate			5.36	5.5	4.27	5.14	4.29	4.42
Yao-2017-1100-301	301	海军	navy			4.11	4.42	3.86	5.14	4.09	5.4
Yao-2017-1100-302	302	海豚	dolphin	DOLPHIN	1479	4.68	3.45	5.45	6.39	5.06	5.57
Yao-2017-1100-303	303	海洋	ocean	OCEAN	645	5.86	6.07	6.36	5.55	7.34	6.18
Yao-2017-1100-304	304	海葬	sea burial			6.61	5.68	4.29	5.48	5.27	5.89
Yao-2017-1100-305	305	汉奸	chinese traitor			2.44	6.89	4.25	3.89	4.88	4.88
Yao-2017-1100-306	306	汗水	sweat	SWEAT (SUBSTANCE)	125	2.56	8.19	4.64	4.73	4.03	4.55
Yao-2017-1100-307	307	行踪	whereabouts			4.53	4.27	3.73	4.87	4.12	4.7
Yao-2017-1100-308	308	豪迈	heroic			7.08	6.22	5.56	5.72	6.72	6.65
Yao-2017-1100-309	309	喝彩	applaud			6.66	6.24	5.42	6.69	5.47	5.49
Yao-2017-1100-310	310	合格	qualified			4.14	3.47	4.97	5.66	5.11	6
Yao-2017-1100-311	311	合理	reasonable			3.47	6.47	6.63	6.5	7.49	6.57
Yao-2017-1100-312	312	合影	group photo			5.92	4.26	6.09	6.55	6.68	6.71
Yao-2017-1100-313	313	荷塘	lotus pond			5.89	4.57	5.86	4.93	6.93	6.03
Yao-2017-1100-314	314	核桃	walnut	WALNUT	2042	2.17	5.43	5.5	4.54	7.07	6.59
Yao-2017-1100-315	315	贺卡	greeting cards			4.46	4.46	3.46	4.57	5.19	6.14
Yao-2017-1100-316	316	贺喜	congratulations			5.77	6.43	6.5	5.87	6.61	6.29
Yao-2017-1100-317	317	恒星	planet			4.23	5.5	3.5	4.68	3.57	4.49
Yao-2017-1100-318	318	横幅	banner			7.67	7.07	3.07	4.83	4.2	5.03
Yao-2017-1100-319	319	轰炸	bomb	BOMB	1804	4.25	4.75	4.11	3.39	5.89	6.23
Yao-2017-1100-320	320	红包	red envelope			7.14	6.46	6.14	6.29	6.51	6.58
Yao-2017-1100-321	321	红酒	red wine			4.58	5.03	4.78	5.31	5.09	5.47
Yao-2017-1100-322	322	红军	red army			5.45	4.95	4.95	6.05	3.47	4.08
Yao-2017-1100-323	323	红娘	matchmaker			7.31	7.11	5.58	4.44	6.35	6.35
Yao-2017-1100-324	324	洪水	flood	HIGH TIDE	613	3.03	5.47	4.83	4.44	6.19	5.84
Yao-2017-1100-325	325	洪灾	floods			1.77	6.68	3.06	3.42	4.86	4.89
Yao-2017-1100-326	326	哄抢	plunder	PLUNDER	3670	2.2	6.77	4.06	4.71	5.42	5.05
Yao-2017-1100-327	327	忽略	overlook			2.97	3.25	6.25	5.89	6.95	6.65
Yao-2017-1100-328	328	忽视	overlook			3.4	5.07	4.34	3.43	4.64	4.78
Yao-2017-1100-329	329	狐狸	fox	FOX	1312	4.33	4.76	5.12	4.9	5.71	5.29
Yao-2017-1100-330	330	湖泊	lake	LAKE	624	4.86	4.94	5.69	5.39	5.33	5.51
Yao-2017-1100-331	331	蝴蝶	butterfly	BUTTERFLY	1791	7.67	5.61	6.75	7.25	7.59	7.3
Yao-2017-1100-332	332	糊涂	baffled			3.2	6.5	5.5	5.27	6.76	6.42
Yao-2017-1100-333	333	护士	nurse	NURSE	1104	6.96	7.68	6.32	3.86	5.34	5.24
Yao-2017-1100-334	334	护照	passport			5.07	4.36	6.11	4.61	5.89	5.65
Yao-2017-1100-335	335	花车	decorated vehicle in parade			4.72	4.67	6.22	5.86	5.4	5.3
Yao-2017-1100-336	336	花朵	flowers	FLOWER	239	6.97	6.7	7.43	7.83	7.68	7.21
Yao-2017-1100-337	337	花卉	flowers			6.93	5.13	7.1	6.73	7.52	7.02
Yao-2017-1100-338	338	花篮	flower basket			2.66	5.02	5.83	5.22	6.92	6.03
Yao-2017-1100-339	339	花蕾	bud	BUD	1684	4.78	2.23	6.93	6.9	7.12	6.46
Yao-2017-1100-340	340	花瓶	vase	VASE	3746	5.24	5.26	3.66	5.34	4.24	4.55
Yao-2017-1100-341	341	花圈	wreath for the death	WREATH	2589	1.53	7.2	4.2	3.6	4.12	4.46
Yao-2017-1100-342	342	花束	bouquet			5.29	4.94	5.74	5.63	6.11	5.97
Yao-2017-1100-343	343	花坛	flower bed			5.1	4.8	5.23	6.6	4	5.32
Yao-2017-1100-344	344	花园	garden	GARDEN	586	6.63	7.3	6.87	6.5	7.33	6.17
Yao-2017-1100-345	345	滑雪	skiing			2.34	6.43	4.54	5.86	5.24	5.81
Yao-2017-1100-346	346	画家	painter			1.33	6.25	4.06	5.14	3.73	4.65
Yao-2017-1100-347	347	画像	portrait			1.68	6.55	4.18	4.27	2.87	3.82
Yao-2017-1100-348	348	欢呼	cheer			5	6.2	6.87	6.63	7.47	8.32
Yao-2017-1100-349	349	欢快	merrily			5.22	5.1	7.39	6.61	7.34	6.57
Yao-2017-1100-350	350	欢乐	happy			7.77	7.18	7.82	7.41	7.11	7.05
Yao-2017-1100-351	351	欢送	farewell	GOODBYE	3554	4.77	4.41	6.82	6.36	7	6.13
Yao-2017-1100-352	352	欢喜	happy	HAPPY	1495	7.31	8.14	6.6	5.83	6.59	6.13
Yao-2017-1100-353	353	宦官	eunuck			3.77	5.54	3.94	4.78	4.88	4.67
Yao-2017-1100-354	354	荒岛	deserted island			2.4	6.85	4.4	4.48	4.54	4.92
Yao-2017-1100-355	355	荒漠	desert			3.43	6.4	4.4	3.93	6.2	5.99
Yao-2017-1100-356	356	皇宫	royal palace			5.82	4.82	4.96	3.5	6.54	6.04
Yao-2017-1100-357	357	皇冠	crown	CROWN (OF HEAD)	1943	7	5.05	6.36	5.25	6.33	6.46
Yao-2017-1100-358	358	皇上	the emperor	EMPEROR	3377	4.91	2.82	5.32	5.55	4.76	5.24
Yao-2017-1100-359	359	黄金	gold	GOLD	1369	6.73	5.1	6	6.68	5.78	5.76
Yao-2017-1100-360	360	蝗虫	locust	LOCUST	810	1.72	7.19	4.83	4.4	5.81	5.28
Yao-2017-1100-361	361	灰尘	dust			7.8	6.43	4.23	3.45	3.84	4.58
Yao-2017-1100-362	362	灰烬	ashes	ASH	646	4.86	6.54	5.94	5.39	7.16	7.09
Yao-2017-1100-363	363	辉煌	glorious			7.39	6.47	6.64	6.97	6.86	7.12
Yao-2017-1100-364	364	回归	home coming	RETURN HOME	142	8.14	7.39	7.08	6.78	7.09	6.65
Yao-2017-1100-365	365	回眸	look back			6.59	5.91	6.05	5.23	6.47	5.05
Yao-2017-1100-366	366	毁容	ruined face			5.09	4.95	4.18	2.77	4.5	4.79
Yao-2017-1100-367	367	贿赂	bribery			4.63	4.2	6.1	6.17	6.55	6.2
Yao-2017-1100-368	368	昏君	foolish emperor			2.83	4.39	6.51	6.12	7.62	6.31
Yao-2017-1100-369	369	昏迷	coma			4.83	3.15	5.77	3.12	6.11	5.35
Yao-2017-1100-370	370	婚房	wedding room			6.75	6.18	3.29	5.18	3.17	5
Yao-2017-1100-371	371	婚纱	wedding gown			4.55	4.32	4.23	6.32	4.74	4.47
Yao-2017-1100-372	372	婚宴	wedding ceremony			2.63	5.71	5.17	6.29	4.46	4.81
Yao-2017-1100-373	373	火化	cremate			2.18	6.57	4.5	4.32	6.74	6.71
Yao-2017-1100-374	374	火炬	torch	TORCH	1919	5.51	5.57	5.11	5.57	4.68	5.03
Yao-2017-1100-375	375	火苗	flame	FLAME	889	2.61	7.65	5.18	4.43	6.49	5.91
Yao-2017-1100-376	376	火山	volcano	VOLCANO	2291	3.59	4.82	4.45	2.59	4.58	4.42
Yao-2017-1100-377	377	火药	fire powder			5.11	5.32	4.71	5.39	5.23	5.31
Yao-2017-1100-378	378	火葬	cremation			3.07	7.21	4.04	3.14	3.67	4.31
Yao-2017-1100-379	379	货币	currency			2.3	6.43	5.23	4.5	5.89	4.89
Yao-2017-1100-380	380	击毙	shoot down			2.73	5.59	4.05	2.64	5.39	5.5
Yao-2017-1100-381	381	饥寒	cold angry			3.89	4.8	4.12	3.61	5.77	4.62
Yao-2017-1100-382	382	饥民	hungry people			5.72	4.69	5.58	4.22	6.35	6.35
Yao-2017-1100-383	383	机舱	fuselage			4.48	4.71	4.03	4.91	4.17	4.86
Yao-2017-1100-384	384	机场	airport			4.41	3.51	6.1	7.07	6.8	6.41
Yao-2017-1100-385	385	肌肤	skin	SKIN	763	3.4	6.23	5.28	5.75	5.58	5.49
Yao-2017-1100-386	386	积木	toy bricks			4.89	4.51	6.51	6.32	7.14	6.68
Yao-2017-1100-387	387	激励	stimulate			7.3	7.07	7.23	7.9	7.8	7.16
Yao-2017-1100-388	388	激情	passion			7.08	7.94	6.91	6.08	5.46	5.84
Yao-2017-1100-389	389	吉祥	auspicious			6.57	6.32	6.54	6.46	7.51	6.16
Yao-2017-1100-390	390	集市	market	MARKET	633	3	4.42	4.86	4.5	4.29	3.51
Yao-2017-1100-391	391	嫉妒	jealousy	JEALOUSY	2016	2.17	7.02	4.46	4.85	4.54	5.06
