ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	GREEK	LENGTH	FREQUENCY	NAME_AGREEMENT_PERCENT	VISUAL_COMPLEXITY_MEAN	GREEK_AOA_MEAN	GREEK_AOA_SD
Dimitropoulou-2009-260-226	226	Table	1775	TABLE	ηξαπέδη 	7	44.8	98.17	1.72	1.62	0.63
Dimitropoulou-2009-260-227	227	Telephone	1379	TELEPHONE	ηειέθσλν 	8	32.4	98.78	2.57	1.84	0.74
Dimitropoulou-2009-260-228	228	Television	1788	TELEVISION	ηειεόξαζε 	9	77.1	100.0	2.72	1.75	0.71
Dimitropoulou-2009-260-229	229	Tennis racket			ξαθέηα 	6	2.2	100.0	2.48	2.86	0.78
Dimitropoulou-2009-260-230	230	Thimble 			δαρηπιήζξα 	10	0.1	95.67	2.79	3.4	1.05
Dimitropoulou-2009-260-231	231	Thumb	1781	THUMB	αληίρεηξαο 	10	0.1	83.69	2.38	2.35	0.99
Dimitropoulou-2009-260-232	232	Tie	1917	TIE	γξαβάηα 	7	3.6	100.0	2.12	2.79	0.88
Dimitropoulou-2009-260-233	233	Tiger	846	TIGER	ηίγξεο 	6	1.2	98.77	2.89	2.33	0.79
Dimitropoulou-2009-260-234	234	Toaster	4010	TOASTER	θξπγαληέξα 	10	0.0	54.29	2.81	3.32	0.95
Dimitropoulou-2009-260-235	235	Toe	1389	TOE	δάρηπιν 	7	3.7	76.45	2.22	1.73	0.81
Dimitropoulou-2009-260-236	236	Tomato	986	TOMATO	ληνκάηα 	7	2.2	100.0	1.85	1.86	0.68
Dimitropoulou-2009-260-237	237	Toothbrush	2579	TOOTHBRUSH	νδνληόβνπξηζα 	13	0.1	98.78	2.19	2.13	0.65
Dimitropoulou-2009-260-238	238	Top	3996	TOP (TOY)	ζβνύξα 	6	0.5	98.45	2.59	2.32	0.86
Dimitropoulou-2009-260-239	239	Traffic light			θαλάξη 	6	6.9	94.50	2.88	2.61	0.82
Dimitropoulou-2009-260-240	240	Train	900	TRAIN	ηξέλν 	5	15.8	97.87	3.3	2.28	0.84
Dimitropoulou-2009-260-241	241	Tree	906	TREE	δέληξν 	6	13.4	98.78	2.33	1.61	0.65
Dimitropoulou-2009-260-242	242	Truck	4011	TRUCK	θνξηεγό 	7	9.1	83.54	2.63	2.39	0.92
Dimitropoulou-2009-260-243	243	Trumpet	775	TRUMPET	ηξνκπέηα 	8	0.9	88.65	2.95	3.3	0.93
Dimitropoulou-2009-260-244	244	Turtle	112	TURTLE	ρειώλα 	6	1.6	100.0	2.6	2.04	0.71
Dimitropoulou-2009-260-245	245	Umbrella	3105	UMBRELLA	νκπξέια 	7	5.1	100.0	2.69	2.2	0.69
Dimitropoulou-2009-260-246	246	Vase	3746	VASE	βάδν 	4	1.4	98.47	2.47	2.31	0.76
Dimitropoulou-2009-260-247	247	Vest	3140	VEST	γηιέθν 	6	0.8	98.78	3.0	3.3	0.96
Dimitropoulou-2009-260-248	248	Violin	4023	VIOLIN	βηνιί 	5	6.9	96.64	3.29	3.05	0.87
Dimitropoulou-2009-260-249	249	Wagon	122	CART	θαξόηζη 	7	2.1	55.28	2.82	2.62	1.03
Dimitropoulou-2009-260-250	250	Watch	3349	WRISTWATCH	ξνιόη 	5	9.7	89.94	2.46	2.11	0.72
Dimitropoulou-2009-260-251	251	Watering can			πνηηζηήξη 	9	0.0	98.47	2.57	2.76	1.8
Dimitropoulou-2009-260-252	252	Watermelon	2766	WATERMELON	θαξπνύδη 	8	0.8	98.18	2.17	2.07	0.7
Dimitropoulou-2009-260-253	253	Well	954	WELL	πεγάδη 	6	3.9	99.08	2.99	2.77	0.84
Dimitropoulou-2009-260-254	254	Wheel	710	WHEEL	ξόδα 	4	2.0	63.38	2.05	2.27	0.84
Dimitropoulou-2009-260-255	255	Whistle	3107	WHISTLE (INSTRUMENT)	ζθπξίρηξα 	9	1.5	100.0	2.37	2.5	0.78
Dimitropoulou-2009-260-256	256	Windmill	3841	WINDMILL	αλεκόκπινο 	10	0.4	80.49	3.07	3.18	0.86
Dimitropoulou-2009-260-257	257	Window	1375	WINDOW	παξάζπξν 	8	32.4	99.08	2.36	1.87	0.69
Dimitropoulou-2009-260-258	258	Wineglass			πνηήξη 	6	10.1	81.48	2.13	2.25	1.04
Dimitropoulou-2009-260-259	259	Wrench			θιεηδί 	6	24.9	62.31	2.52	3.67	0.98
Dimitropoulou-2009-260-260	260	Zebra	3675	ZEBRA	δέβξα 	5	0.0	99.39	2.9	2.62	0.86
