ID	NUMBER	ENGLISH	FRENCH	CONCEPTICON_ID	CONCEPTICON_GLOSS	Page	categoryID	subcategoryID	subsubcategoryID	categoryNAME	subcategoryNAME	subsubcategoryNAME
Snider-2004-1700-1	1	body	corps	1480	BODY	3	1	1		MAN'S PHYSICAL BEING	BODY PARTS	
Snider-2004-1700-2	2	skin (of man)	peau (d'homme)	2613	SKIN (HUMAN)	3	1	1		MAN'S PHYSICAL BEING	BODY PARTS	
Snider-2004-1700-3	3	head	tête	1256	HEAD	3	1	1	1	MAN'S PHYSICAL BEING	BODY PARTS	Head
Snider-2004-1700-4	4	forehead	front	123	FOREHEAD	3	1	1	1	MAN'S PHYSICAL BEING	BODY PARTS	Head
Snider-2004-1700-5	5	face	visage	1560	FACE	3	1	1	1	MAN'S PHYSICAL BEING	BODY PARTS	Head
Snider-2004-1700-6	6	eye	oeil	1248	EYE	3	1	1	1	MAN'S PHYSICAL BEING	BODY PARTS	Head
Snider-2004-1700-7	7	eyebrow	sourcil	1173	EYEBROW	3	1	1	1	MAN'S PHYSICAL BEING	BODY PARTS	Head
Snider-2004-1700-8	8	eyelid	paupière	17	EYELID	3	1	1	1	MAN'S PHYSICAL BEING	BODY PARTS	Head
Snider-2004-1700-9	9	eyelash	cil	1540	EYELASH	3	1	1	1	MAN'S PHYSICAL BEING	BODY PARTS	Head
Snider-2004-1700-10	10	pupil (of eye)	pupille	1658	PUPIL	3	1	1	1	MAN'S PHYSICAL BEING	BODY PARTS	Head
Snider-2004-1700-11	11	nose	nez	1221	NOSE	3	1	1	1	MAN'S PHYSICAL BEING	BODY PARTS	Head
Snider-2004-1700-12	12	bridge (of nose)	arête, dos du nez			3	1	1	1	MAN'S PHYSICAL BEING	BODY PARTS	Head
Snider-2004-1700-13	13	ear	oreille	1247	EAR	3	1	1	1	MAN'S PHYSICAL BEING	BODY PARTS	Head
Snider-2004-1700-14	14	cheek	joue	1730	CHEEK	3	1	1	1	MAN'S PHYSICAL BEING	BODY PARTS	Head
Snider-2004-1700-15	15	mouth	bouche	674	MOUTH	3	1	1	1	MAN'S PHYSICAL BEING	BODY PARTS	Head
Snider-2004-1700-16	16	lip	lèvre	478	LIP	3	1	1	1	MAN'S PHYSICAL BEING	BODY PARTS	Head
Snider-2004-1700-17	17	tongue	langue	1205	TONGUE	3	1	1	1	MAN'S PHYSICAL BEING	BODY PARTS	Head
Snider-2004-1700-18	18	tooth	dent	1380	TOOTH	3	1	1	1	MAN'S PHYSICAL BEING	BODY PARTS	Head
Snider-2004-1700-19	19	molar tooth	molaire	1049	MOLAR TOOTH	3	1	1	1	MAN'S PHYSICAL BEING	BODY PARTS	Head
Snider-2004-1700-20	20	palate	palais (de la bouche)	540	PALATE	3	1	1	1	MAN'S PHYSICAL BEING	BODY PARTS	Head
Snider-2004-1700-21	21	jaw	mâchoire	798	JAW	3	1	1	1	MAN'S PHYSICAL BEING	BODY PARTS	Head
Snider-2004-1700-22	22	chin	menton	1510	CHIN	3	1	1	1	MAN'S PHYSICAL BEING	BODY PARTS	Head
Snider-2004-1700-23	23	neck	cou	1333	NECK	3	1	1	1	MAN'S PHYSICAL BEING	BODY PARTS	Head
Snider-2004-1700-24	24	nape of neck	nuque	1347	NAPE (OF NECK)	3	1	1	1	MAN'S PHYSICAL BEING	BODY PARTS	Head
Snider-2004-1700-25	25	throat	gorge	1346	THROAT	3	1	1	1	MAN'S PHYSICAL BEING	BODY PARTS	Head
Snider-2004-1700-26	26	voice box, larynx, Adam's apple	larynx, pomme d'Adam			3	1	1	1	MAN'S PHYSICAL BEING	BODY PARTS	Head
Snider-2004-1700-27	27	hair (of head)	cheveux (de tête)	2648	HAIR (HEAD)	3	1	1	1	MAN'S PHYSICAL BEING	BODY PARTS	Head
Snider-2004-1700-28	28	beard	barbe	678	BEARD	3	1	1	1	MAN'S PHYSICAL BEING	BODY PARTS	Head
Snider-2004-1700-29	29	hair (of body)	poil (du corps)	189	HAIR (BODY)	3	1	1	1	MAN'S PHYSICAL BEING	BODY PARTS	Head
Snider-2004-1700-30	30	tuft, lock (of hair)	touffe, mèche (de cheveux)			3	1	1	1	MAN'S PHYSICAL BEING	BODY PARTS	Head
Snider-2004-1700-31	31	shoulder	épaule	1482	SHOULDER	3	1	1	2	MAN'S PHYSICAL BEING	BODY PARTS	Trunk
Snider-2004-1700-32	32	shoulder blade	omoplate	172	SHOULDERBLADE	3	1	1	2	MAN'S PHYSICAL BEING	BODY PARTS	Trunk
Snider-2004-1700-33	33	chest	poitrine	1592	CHEST	3	1	1	2	MAN'S PHYSICAL BEING	BODY PARTS	Trunk
Snider-2004-1700-34	34	breast	sein, mamelle	1402	BREAST	4	1	1	2	MAN'S PHYSICAL BEING	BODY PARTS	Trunk
Snider-2004-1700-35	35	side (of body)	côté (du corps), flanc	3344	SIDE (BODY)	4	1	1	2	MAN'S PHYSICAL BEING	BODY PARTS	Trunk
Snider-2004-1700-36	36	waist	taille	1681	WAIST	4	1	1	2	MAN'S PHYSICAL BEING	BODY PARTS	Trunk
Snider-2004-1700-37	37	navel	nombril	1838	NAVEL	4	1	1	2	MAN'S PHYSICAL BEING	BODY PARTS	Trunk
Snider-2004-1700-38	38	umbilical cord	cordon umbilical	2663	UMBILICAL CORD	4	1	1	2	MAN'S PHYSICAL BEING	BODY PARTS	Trunk
Snider-2004-1700-39	39	abdomen (external)	ventre, abdomen (externe)	1251	BELLY	4	1	1	2	MAN'S PHYSICAL BEING	BODY PARTS	Trunk
Snider-2004-1700-40	40	stomach (internal)	estomac, ventre (interne)	819	STOMACH	4	1	1	2	MAN'S PHYSICAL BEING	BODY PARTS	Trunk
