ID	NUMBER	RELATION	CONCEPTICON_ID	CONCEPTICON_GLOSS	GLOSS	GERMAN	WORD_RESPONSE	SIMILARITY_MEAN	POS
Scheible-2014-5052-1	1	ANT			chargeable	kostenpflichtig	kostenlos	9.8	ADJ
Scheible-2014-5052-2	2	ANT			operational	operativ	langfristig	2.6	ADJ
Scheible-2014-5052-3	3	ANT			obvious	naheliegend	entfernt	8	ADJ
Scheible-2014-5052-4	4	ANT			unjustified	unberechtigt	autorisiert	8.8	ADJ
Scheible-2014-5052-5	5	ANT			cheerful	heiter	traurig	9.8	ADJ
Scheible-2014-5052-6	6	ANT			lush	üppig	mager	8.2	ADJ
Scheible-2014-5052-7	7	ANT			hierarchic	hierarchisch	anarchistisch	8.4	ADJ
Scheible-2014-5052-8	8	ANT	704	CLEAN	clean	sauber	unrein	9.4	ADJ
Scheible-2014-5052-9	9	ANT			incompatible	inkompatibel	kompatibel	10	ADJ
Scheible-2014-5052-10	10	ANT	717	SWEET	sweet	süß	sauer	9.6	ADJ
Scheible-2014-5052-11	11	ANT			highly toxic	hochgiftig	ungiftig	9.6	ADJ
Scheible-2014-5052-12	12	ANT	717	SWEET	sweet	süß	bitter	7.4	ADJ
Scheible-2014-5052-13	13	ANT			live	lebend	tot	10	ADJ
Scheible-2014-5052-14	14	ANT			naive	naiv	erfahren	8.8	ADJ
Scheible-2014-5052-15	15	ANT			harmoniously	harmonisch	unharmonisch	10	ADJ
Scheible-2014-5052-16	16	ANT			relocated	verlegt	unveröffentlicht	6.8	ADJ
Scheible-2014-5052-17	17	ANT			hierarchic	hierarchisch	demokratisch	6.4	ADJ
Scheible-2014-5052-18	18	ANT	712	RICH	rich	reichhaltig	spärlich	10	ADJ
Scheible-2014-5052-19	19	ANT	1674	POOR	poor	arm	wohlhabend	9.4	ADJ
Scheible-2014-5052-20	20	ANT			no classes	unterrichtsfrei	planmäßig	3.8	ADJ
Scheible-2014-5052-21	21	ANT			federal-republican	bundesrepublikanisch	ausländisch	6.2	ADJ
Scheible-2014-5052-22	22	ANT	1396	SHARP	sharp	scharf	stumpf	9.2	ADJ
Scheible-2014-5052-23	23	ANT			cheerful	heiter	trist	8.8	ADJ
Scheible-2014-5052-24	24	ANT	2504	DIFFERENT	different	verschieden	gleichartig	9.2	ADJ
Scheible-2014-5052-25	25	ANT			cheerless	freudlos	freudig	9.6	ADJ
Scheible-2014-5052-26	26	ANT			overfull	übervoll	leer	9.6	ADJ
Scheible-2014-5052-27	27	ANT			indignantly	empört	entzückt	8.4	ADJ
Scheible-2014-5052-28	28	ANT			registered	registriert	anonym	7.6	ADJ
Scheible-2014-5052-29	29	ANT			vigorously	energisch	lasch	8.4	ADJ
Scheible-2014-5052-30	30	ANT			apathetic	teilnahmslos	engagiert	9	ADJ
Scheible-2014-5052-31	31	ANT			quick	fix	lahm	7.4	ADJ
Scheible-2014-5052-32	32	ANT	1633	FLAT	flat	platt	wellig	9	ADJ
Scheible-2014-5052-33	33	ANT			obvious	naheliegend	fern	9.2	ADJ
Scheible-2014-5052-34	34	ANT	90	INNOCENT	innocent	unschuldig	schuldig	10	ADJ
Scheible-2014-5052-35	35	ANT			incompatible	inkompatibel	passend	9.4	ADJ
Scheible-2014-5052-36	36	ANT			unanimously	übereinstimmend	ungleichartig	7.2	ADJ
Scheible-2014-5052-37	37	ANT			known	bekannt	unbekannt	10	ADJ
Scheible-2014-5052-38	38	ANT			spatial	räumlich	linear	7.2	ADJ
Scheible-2014-5052-39	39	ANT			Middle High German	mittelhochdeutsch	umgangssprachlich	5.6	ADJ
Scheible-2014-5052-40	40	ANT			operational	operativ	non-invasiv	5.6	ADJ
Scheible-2014-5052-41	41	ANT			germ-free	keimfrei	verkeimt	8.2	ADJ
Scheible-2014-5052-42	42	ANT			protective	schützend	gefährdend	9	ADJ
Scheible-2014-5052-43	43	ANT	1552	GLOOMY	gloomy	düster	heiter	9.2	ADJ
Scheible-2014-5052-44	44	ANT			racist	rassistisch	fremdenfreundlich	8.2	ADJ
Scheible-2014-5052-45	45	ANT			bottomless	bodenlos	begrenzt	6.8	ADJ
Scheible-2014-5052-46	46	ANT			undecided	unentschieden	entschieden	9.6	ADJ
Scheible-2014-5052-47	47	ANT			modular	modular	vielfach	1.4	ADJ
Scheible-2014-5052-48	48	ANT			accurate	präzis	unpräzise	9.8	ADJ
Scheible-2014-5052-49	49	ANT			modular	modular	monolithisch	4.2	ADJ
Scheible-2014-5052-50	50	ANT			accurate	präzis	ungenau	9.8	ADJ
Scheible-2014-5052-51	51	ANT			undecided	unentschieden	siegreich	4.8	ADJ
Scheible-2014-5052-52	52	ANT	1564	LAZY	lazy	faul	fleißig	10	ADJ
Scheible-2014-5052-53	53	ANT			dominant	tonangebend	schüchtern	8.4	ADJ
Scheible-2014-5052-54	54	ANT			noble	edel	billig	7.4	ADJ
Scheible-2014-5052-55	55	ANT	3053	TIGHT	tight	stramm	locker	9.4	ADJ
Scheible-2014-5052-56	56	ANT			artistic	künstlerisch	banal	5.8	ADJ
Scheible-2014-5052-57	57	ANT			no classes	unterrichtsfrei	schulpflichtig	4.4	ADJ
Scheible-2014-5052-58	58	ANT			vigorously	energisch	vorsichtig	6.4	ADJ
Scheible-2014-5052-59	59	ANT			incalculable	unübersehbar	versteckt	9.6	ADJ
Scheible-2014-5052-60	60	ANT			ready talk	gesprächsbereit	verschlossen	8.2	ADJ
Scheible-2014-5052-61	61	ANT			barren	unfruchtbar	fruchtbar	10	ADJ
Scheible-2014-5052-62	62	ANT			relaxed	locker	steif	9	ADJ
Scheible-2014-5052-63	63	ANT			unclean	unrein	rein	10	ADJ
Scheible-2014-5052-64	64	ANT			relaxed	locker	fest	9.8	ADJ
Scheible-2014-5052-65	65	ANT			opaque	undurchsichtig	durchsichtig	10	ADJ
Scheible-2014-5052-66	66	ANT			biblical	biblisch	weltlich	5.2	ADJ
Scheible-2014-5052-67	67	ANT			not free	unfrei	ungebunden	3.8	ADJ
Scheible-2014-5052-68	68	ANT	2410	GOOD-LOOKING	attractive	attraktiv	hässlich	9.6	ADJ
Scheible-2014-5052-69	69	ANT			gratinated	überbacken	unüberbacken	9.4	ADJ
Scheible-2014-5052-70	70	ANT			conventional	konventionell	modern	6.6	ADJ
Scheible-2014-5052-71	71	ANT			excessive	überhöht	tief	5.8	ADJ
Scheible-2014-5052-72	72	ANT			quick	fix	langsam	7.8	ADJ
Scheible-2014-5052-73	73	ANT	207	SPARSE	sparse	spärlich	üppig	9.4	ADJ
Scheible-2014-5052-74	74	ANT			cleverly	geschickt	tollpatschig	9.6	ADJ
Scheible-2014-5052-75	75	ANT			protective	schützend	ausliefernd	7	ADJ
Scheible-2014-5052-76	76	ANT	2316	FREE	free	frei	gefangen	9.6	ADJ
Scheible-2014-5052-77	77	ANT	3053	TIGHT	tight	stramm	schlaff	9	ADJ
Scheible-2014-5052-78	78	ANT			funny	witzig	humorlos	9	ADJ
Scheible-2014-5052-79	79	ANT			representative	repräsentativ	bescheiden	4	ADJ
Scheible-2014-5052-80	80	ANT			French	französisch	unfranzösisch	8.4	ADJ
Scheible-2014-5052-81	81	ANT			transfer	übertragen	behalten	6.8	ADJ
Scheible-2014-5052-82	82	ANT			cheerless	freudlos	fröhlich	8.4	ADJ
Scheible-2014-5052-83	83	ANT			apathetic	teilnahmslos	interessiert	9.2	ADJ
Scheible-2014-5052-84	84	ANT			refreshing	erfrischend	ermüdend	9	ADJ
Scheible-2014-5052-85	85	ANT	2504	DIFFERENT	different	verschieden	gleich	10	ADJ
Scheible-2014-5052-86	86	ANT			Satanic	satanisch	satanistisch	0.2	ADJ
Scheible-2014-5052-87	87	ANT	1552	GLOOMY	gloomy	düster	hell	9	ADJ
Scheible-2014-5052-88	88	ANT			not free	unfrei	frei	10	ADJ
Scheible-2014-5052-89	89	ANT			esthetic	ästhetisch	unattraktiv	8.6	ADJ
Scheible-2014-5052-90	90	ANT			gratinated	überbacken	einfach	1.2	ADJ
Scheible-2014-5052-91	91	ANT			harmoniously	harmonisch	disharmonisch	9.8	ADJ
Scheible-2014-5052-92	92	ANT			restless	unruhig	ruhig	9.8	ADJ
Scheible-2014-5052-93	93	ANT			ready talk	gesprächsbereit	unkooperativ	7.6	ADJ
Scheible-2014-5052-94	94	ANT			restless	unruhig	still	9	ADJ
Scheible-2014-5052-95	95	ANT			biblical	biblisch	unbiblisch	9.8	ADJ
Scheible-2014-5052-96	96	ANT			racist	rassistisch	tolerant	7.4	ADJ
Scheible-2014-5052-97	97	ANT			done	erledigt	energiegeladen	7.2	ADJ
Scheible-2014-5052-98	98	ANT			imaginable	vorstellbar	unmöglich	7	ADJ
Scheible-2014-5052-99	99	ANT			artistically	kunstvoll	laienhaft	6	ADJ
Scheible-2014-5052-100	100	ANT			exaggerated	übertrieben	untertrieben	9.8	ADJ
Scheible-2014-5052-101	101	ANT			chargeable	kostenpflichtig	kostenfrei	9.8	ADJ
Scheible-2014-5052-102	102	ANT			downright	richtiggehend	ungenau	6.2	ADJ
Scheible-2014-5052-103	103	ANT	3633	CURIOUS	curious; excited	gespannt	entspannt	8	ADJ
Scheible-2014-5052-104	104	ANT			unanimously	übereinstimmend	abweichend	9.6	ADJ
Scheible-2014-5052-105	105	ANT	2316	FREE	free	frei	unfrei	10	ADJ
Scheible-2014-5052-106	106	ANT			inviolable	unantastbar	verfügbar	6.4	ADJ
Scheible-2014-5052-107	107	ANT			Occidental	abendländisch	morgenländisch	9	ADJ
Scheible-2014-5052-108	108	ANT			representative	repräsentativ	unauffällig	5.4	ADJ
Scheible-2014-5052-109	109	ANT			Occidental	abendländisch	östlich	5.8	ADJ
Scheible-2014-5052-110	110	ANT			plastic	plastisch	organisch	4	ADJ
Scheible-2014-5052-111	111	ANT			furious	furios	ruhig	7.8	ADJ
Scheible-2014-5052-112	112	ANT	1631	FAST	fast	schnell	langsam	10	ADJ
Scheible-2014-5052-113	113	ANT			horny	geil	prüde	8.4	ADJ
Scheible-2014-5052-114	114	ANT			naive	naiv	clever	8	ADJ
Scheible-2014-5052-115	115	ANT			highly toxic	hochgiftig	gesund	9	ADJ
Scheible-2014-5052-116	116	ANT			unsporting	unsportlich	sportlich	9.8	ADJ
Scheible-2014-5052-117	117	ANT			artistic	künstlerisch	grobschlächtig	6.6	ADJ
Scheible-2014-5052-118	118	ANT			spatial	räumlich	zweidimensional	8.2	ADJ
Scheible-2014-5052-119	119	ANT			fixed	fixiert	lose	9.4	ADJ
