ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	GROUP	SEMANTIC FIELD	VISUAL SALIENCE	BROADER_CONCEPT	BROADER_ID
Tjuka-2022-784-120	120	1781	THUMB	THUMB	body	human body part	visual		
Tjuka-2022-784-121	121	443	TIP (OF TONGUE)	TIP (OF TONGUE)	body	human body part	visual		
Tjuka-2022-784-122	122	1389	TOE	TOE	body	human body part	visual	FINGER OR TOE	2120
Tjuka-2022-784-123	123	1205	TONGUE	TONGUE	body	human body part	visual		
Tjuka-2022-784-124	124	1380	TOOTH	TOOTH	body	human body part	visual		
Tjuka-2022-784-125	125	2663	UMBILICAL CORD	UMBILICAL CORD	body	human body part	non-visual		
Tjuka-2022-784-126	126	431	UPPER ARM	UPPER ARM	body	human body part	visual		
Tjuka-2022-784-127	127	445	UPPER BACK	UPPER BACK	body	human body part	non-visual		
Tjuka-2022-784-128	128	471	UPPER LEG (THIGH)	UPPER LEG (THIGH)	body	human body part	visual		
Tjuka-2022-784-129	129	2293	UVULA	UVULA	body	human body part	non-visual		
Tjuka-2022-784-130	130	1836	VAGINA	VAGINA	body	human body part	non-visual		
Tjuka-2022-784-131	131	1924	VEIN	VEIN	body	human body part	non-visual		
Tjuka-2022-784-132	132	804	WOMB	WOMB	body	human body part	non-visual		
Tjuka-2022-784-133	133	799	WRIST	WRIST	body	human body part	visual		
Tjuka-2022-784-134	134	3891	EARHOLE	EARHOLE	body	human body part	non-visual		
Tjuka-2022-784-135	135	20	SCYTHE	SCYTHE	object	tool	visual	SICKLE OR SCYTHE	2132
Tjuka-2022-784-136	136	124	THORN	THORN	object	plant	visual		
Tjuka-2022-784-137	137	146	SUGAR CANE	SUGAR CANE	object	plant	visual		
Tjuka-2022-784-138	138	159	SWEET POTATO	SWEET POTATO	object	food	visual		
Tjuka-2022-784-139	139	217	BETELNUT	BETELNUT	object	food	visual		
Tjuka-2022-784-140	140	239	FLOWER	FLOWER	object	plant	visual		
Tjuka-2022-784-141	141	241	TREE STUMP	TREE STUMP	object	plant	visual		
Tjuka-2022-784-142	142	284	HOE	HOE	object	tool	visual		
Tjuka-2022-784-143	143	287	CONE	CONE	object	plant	visual		
Tjuka-2022-784-144	144	337	PITCHFORK	PITCHFORK	object	tool	visual		
Tjuka-2022-784-145	145	338	RAKE	RAKE	object	tool	visual		
Tjuka-2022-784-146	146	339	DIGGING STICK	DIGGING STICK	object	tool	visual		
Tjuka-2022-784-147	147	340	LASSO	LASSO	object	tool	visual		
Tjuka-2022-784-148	148	341	SICKLE	SICKLE	object	tool	visual	SICKLE OR SCYTHE	2132
Tjuka-2022-784-149	149	344	TREE TRUNK	TREE TRUNK	object	plant	visual		
Tjuka-2022-784-150	150	409	FORKED BRANCH	FORKED BRANCH	object	plant	visual		
Tjuka-2022-784-151	151	410	YAM	YAM	object	food	visual		
Tjuka-2022-784-152	152	411	GOURD	GOURD	object	food	visual	GOURD OR MELON	3398
Tjuka-2022-784-153	153	464	ALANG-ALANG GRASS	ALANG-ALANG GRASS	object	plant	visual		
Tjuka-2022-784-154	154	496	CUCUMBER	CUCUMBER	object	food	visual		
Tjuka-2022-784-155	155	506	MAIZE	MAIZE	object	food	visual		
Tjuka-2022-784-156	156	507	MELON	MELON	object	food	visual	GOURD OR MELON	3398
Tjuka-2022-784-157	157	527	DOG-ROSE	DOG-ROSE	object	plant	visual		
Tjuka-2022-784-158	158	546	SUCKER	SUCKER	object	plant	visual		
Tjuka-2022-784-159	159	595	GROUNDNUT (PEANUT)	GROUNDNUT (PEANUT)	object	food	visual		
Tjuka-2022-784-160	160	605	GRAIN	GRAIN	object	food	visual		
Tjuka-2022-784-161	161	606	GRASS	GRASS	object	plant	visual		
Tjuka-2022-784-162	162	628	LEAF	LEAF	object	plant	visual		
Tjuka-2022-784-163	163	641	MUSHROOM	MUSHROOM	object	food	visual		
Tjuka-2022-784-164	164	659	REED	REED	object	plant	visual		
Tjuka-2022-784-165	165	670	ROOT	ROOT	object	plant	non-visual		
Tjuka-2022-784-166	166	714	SEED	SEED	object	plant	visual		
Tjuka-2022-784-167	167	864	PUMPKIN	PUMPKIN	object	food	visual		
Tjuka-2022-784-168	168	868	BANANA	BANANA	object	food	visual		
Tjuka-2022-784-169	169	906	TREE	TREE	object	plant	visual	TREE OR WOOD	2141
Tjuka-2022-784-170	170	922	PEAR	PEAR	object	food	visual		
Tjuka-2022-784-171	171	926	RICE	RICE	object	food	visual		
Tjuka-2022-784-172	172	968	ACORN	ACORN	object	plant	visual		
Tjuka-2022-784-173	173	970	COCONUT	COCONUT	object	food	visual		
Tjuka-2022-784-174	174	982	LIME (FRUIT)	LIME (FRUIT)	object	food	visual		
Tjuka-2022-784-175	175	1124	PIPE	PIPE	object	tool	visual		
Tjuka-2022-784-176	176	1176	SPADE	SPADE	object	tool	visual		
Tjuka-2022-784-177	177	1204	BARK	BARK	object	plant	visual		
Tjuka-2022-784-178	178	1249	SPIKE	SPIKE	object	plant	visual		
Tjuka-2022-784-179	179	1320	APPLE	APPLE	object	food	visual		
Tjuka-2022-784-180	180	1531	BRANCH	BRANCH	object	plant	visual	BRANCH OR TWIG	3223
Tjuka-2022-784-181	181	1684	BUD	BUD	object	plant	visual		
Tjuka-2022-784-182	182	1690	FENCE	FENCE	object	tool	visual		
Tjuka-2022-784-183	183	1800	DANDELION	DANDELION	object	plant	visual		
Tjuka-2022-784-184	184	1901	SHOVEL	SHOVEL	object	tool	visual		
Tjuka-2022-784-185	185	1956	SUNFLOWER	SUNFLOWER	object	plant	visual		
Tjuka-2022-784-186	186	1960	CORNFLOWER	CORNFLOWER	object	plant	visual		
Tjuka-2022-784-187	187	2000	CLOVE	CLOVE	object	food	visual		
Tjuka-2022-784-188	188	2002	DITCH	DITCH	object	landscape	visual		
Tjuka-2022-784-189	189	2026	RICE PLANT	RICE PLANT	object	plant	visual		
Tjuka-2022-784-190	190	2042	WALNUT	WALNUT	object	food	visual		
Tjuka-2022-784-191	191	2043	PEACH	PEACH	object	food	visual		
Tjuka-2022-784-192	192	2044	PERSIMMON	PERSIMMON	object	food	visual		
Tjuka-2022-784-193	193	2154	PLOUGH (INSTRUMENT)	PLOUGH (INSTRUMENT)	object	tool	visual		
Tjuka-2022-784-194	194	2251	BEER BANANA	BEER BANANA	object	food	visual		
Tjuka-2022-784-195	195	2356	CHINESE PLUM	CHINESE PLUM	object	food	visual		
Tjuka-2022-784-196	196	2360	SWEET OLIVE	SWEET OLIVE	object	food	visual		
Tjuka-2022-784-197	197	2363	CHAFF (HUSK)	CHAFF (HUSK)	object	plant	visual		
Tjuka-2022-784-198	198	2365	RADISH	RADISH	object	food	visual		
Tjuka-2022-784-199	199	2366	ONION	ONION	object	food	visual		
Tjuka-2022-784-200	200	2367	MANDARINE	MANDARINE	object	food	visual		
Tjuka-2022-784-201	201	2368	GARLIC	GARLIC	object	food	visual		
Tjuka-2022-784-202	202	2388	LIANA	LIANA	object	plant	visual		
Tjuka-2022-784-203	203	2398	MANGO	MANGO	object	food	visual		
Tjuka-2022-784-204	204	2440	PINEAPPLE	PINEAPPLE	object	food	visual		
Tjuka-2022-784-205	205	2441	CASHEW	CASHEW	object	food	visual		
Tjuka-2022-784-206	206	2442	COCOA BEAN	COCOA BEAN	object	food	visual		
Tjuka-2022-784-207	207	2500	GINGER	GINGER	object	food	visual		
Tjuka-2022-784-208	208	2501	RICE HUSK	RICE HUSK	object	plant	visual		
Tjuka-2022-784-209	209	2545	HARROW (TOOL)	HARROW (TOOL)	object	tool	visual		
Tjuka-2022-784-210	210	2605	ASPARAGUS	ASPARAGUS	object	food	visual		
Tjuka-2022-784-211	211	2617	BULB	BULB	object	plant	visual		
Tjuka-2022-784-212	212	2627	ORANGE (FRUIT)	ORANGE (FRUIT)	object	food	visual		
Tjuka-2022-784-213	213	2628	PLANT STEM	PLANT STEM	object	plant	visual		
Tjuka-2022-784-214	214	2655	JACKFRUIT	JACKFRUIT	object	food	visual		
Tjuka-2022-784-215	215	2744	PLUM BLOSSOM	PLUM BLOSSOM	object	plant	visual		
Tjuka-2022-784-216	216	2745	APRICOT BLOSSOM	APRICOT BLOSSOM	object	plant	visual		
Tjuka-2022-784-217	217	2746	PEACH BLOSSOM	PEACH BLOSSOM	object	plant	visual		
Tjuka-2022-784-218	218	2748	SWEET OLIVE FLOWER	SWEET OLIVE FLOWER	object	plant	visual		
Tjuka-2022-784-219	219	2749	UNHUSKED RICE	UNHUSKED RICE	object	plant	visual		
Tjuka-2022-784-220	220	2750	GLUTINOUS RICE	GLUTINOUS RICE	object	food	visual		
Tjuka-2022-784-221	221	2803	LEAF SPINE	LEAF SPINE	object	plant	non-visual		
Tjuka-2022-784-222	222	2809	BLUEBERRY	BLUEBERRY	object	food	visual		
Tjuka-2022-784-223	223	3034	GREEN COCONUT	GREEN COCONUT	object	plant	visual		
Tjuka-2022-784-224	224	3035	RIPE COCONUT	RIPE COCONUT	object	food	visual		
Tjuka-2022-784-225	225	3036	TREETOP	TREETOP	object	plant	visual		
Tjuka-2022-784-226	226	3050	SEEDLING	SEEDLING	object	plant	visual		
Tjuka-2022-784-227	227	3062	TURNIP	TURNIP	object	food	visual		
Tjuka-2022-784-228	228	3085	CARROT	CARROT	object	food	visual		
Tjuka-2022-784-229	229	3091	LEMON	LEMON	object	food	visual		
Tjuka-2022-784-230	230	3138	STRAWBERRY	STRAWBERRY	object	food	visual		
Tjuka-2022-784-231	231	3155	DIBBLE STICK	DIBBLE STICK	object	tool	visual		
Tjuka-2022-784-232	232	3222	TWIG	TWIG	object	plant	visual	BRANCH OR TWIG	3223
Tjuka-2022-784-233	233	3244	EAR (OF GRAIN)	EAR (OF GRAIN)	object	plant	visual		
Tjuka-2022-784-234	234	3247	KIWIFRUIT	KIWIFRUIT	object	food	visual		
Tjuka-2022-784-235	235	3330	LENTILS	LENTILS	object	food	visual		
Tjuka-2022-784-236	236	3358	SPROUT (SHOOT)	SPROUT (SHOOT)	object	plant	visual		
Tjuka-2022-784-237	237	3390	WILD RICE	WILD RICE	object	plant	visual		
Tjuka-2022-784-238	238	3391	RICE STRAW	RICE STRAW	object	plant	visual		
Tjuka-2022-784-239	239	3444	WAX GOURD	WAX GOURD	object	food	visual		
Tjuka-2022-784-240	240	3686	CORN HUSK	CORN HUSK	object	plant	visual		
Tjuka-2022-784-241	241	3767	RICE SEEDLING	RICE SEEDLING	object	plant	visual		
Tjuka-2022-784-242	242	3801	DATE (FRUIT)	DATE (FRUIT)	object	food	visual		
Tjuka-2022-784-243	243	3803	RASPBERRY	RASPBERRY	object	food	visual		
Tjuka-2022-784-244	244	3815	ALMOND	ALMOND	object	food	visual		
Tjuka-2022-784-245	245	3839	BROAD BEAN	BROAD BEAN	object	food	visual		
Tjuka-2022-784-246	246	3840	CRANBERRY	CRANBERRY	object	food	visual		
Tjuka-2022-784-247	247	3882	ROSE	ROSE	object	plant	visual		
Tjuka-2022-784-248	248	598	SHELL	SHELL	object	animal	visual		
Tjuka-2022-784-249	249	1065	SPIDER WEB	SPIDER WEB	object	animal	visual		
Tjuka-2022-784-250	250	1873	ANTHILL	ANTHILL	object	animal	visual		
Tjuka-2022-784-251	251	2764	CHICKEN NEST	CHICKEN NEST	object	animal	visual		
Tjuka-2022-784-252	252	3412	WASP NEST	WASP NEST	object	animal	visual		
Tjuka-2022-784-253	253	3549	BIRD NEST	BIRD NEST	object	animal	visual		
Tjuka-2022-784-254	254	3857	EGGSHELL	EGGSHELL	object	animal	visual		
Tjuka-2022-784-255	255	135	BOOMERANG	BOOMERANG	object	tool	visual		
Tjuka-2022-784-256	256	195	MAT	MAT	object	household items	visual		
Tjuka-2022-784-257	257	234	PADDLE	PADDLE	object	vehicle	visual	OAR OR PADDLE	3318
Tjuka-2022-784-258	258	245	BROOM	BROOM	object	tool	visual		
Tjuka-2022-784-259	259	290	ADZE	ADZE	object	tool	visual		
Tjuka-2022-784-260	260	292	RUG	RUG	object	household items	visual		
Tjuka-2022-784-261	261	293	NETBAG	NETBAG	object	tool	visual		
Tjuka-2022-784-262	262	294	TUMPLINE	TUMPLINE	object	tool	visual		
Tjuka-2022-784-263	263	295	WHETSTONE	WHETSTONE	object	tool	visual		
Tjuka-2022-784-264	264	356	SHEARS	SHEARS	object	tool	visual		
Tjuka-2022-784-265	265	361	PEG	PEG	object	tool	visual		
Tjuka-2022-784-266	266	362	STRING	STRING	object	tool	visual		
Tjuka-2022-784-267	267	502	NAIL (TOOL)	NAIL (TOOL)	object	tool	visual		
Tjuka-2022-784-268	268	677	AXE	AXE	object	tool	visual		
Tjuka-2022-784-269	269	760	KNOT	KNOT	object	tool	visual		
Tjuka-2022-784-270	270	1002	STATUE	STATUE	object	landscape	visual		
Tjuka-2022-784-271	271	1218	ROPE	ROPE	object	tool	visual		
Tjuka-2022-784-272	272	1254	HANDLE	HANDLE	object	household items	visual		
Tjuka-2022-784-273	273	1481	HAMMER	HAMMER	object	tool	visual		
Tjuka-2022-784-274	274	1539	BASKET	BASKET	object	household items	visual		
Tjuka-2022-784-275	275	1627	CHAIN	CHAIN	object	tool	visual		
Tjuka-2022-784-276	276	1648	ANVIL	ANVIL	object	tool	visual		
Tjuka-2022-784-277	277	1948	SAW	SAW	object	tool	visual		
Tjuka-2022-784-278	278	1971	FAN (OBJECT)	FAN (OBJECT)	object	tool	visual		
Tjuka-2022-784-279	279	1979	CHISEL	CHISEL	object	tool	visual		
Tjuka-2022-784-280	280	2051	DUSTPAN	DUSTPAN	object	tool	visual		
Tjuka-2022-784-281	281	2052	BUCKET	BUCKET	object	tool	visual		
Tjuka-2022-784-282	282	2119	BOW STRING	BOW STRING	object	tool	visual		
Tjuka-2022-784-283	283	2246	BELL	BELL	object	tool	visual		
Tjuka-2022-784-284	284	2319	LID (COVER, CAP)	LID (COVER, CAP)	object	household items	visual		
Tjuka-2022-784-285	285	2459	GRINDSTONE	GRINDSTONE	object	tool	visual		
Tjuka-2022-784-286	286	2468	BAG	BAG	object	clothing	visual		
Tjuka-2022-784-287	287	2604	NOOSE	NOOSE	object	tool	visual		
Tjuka-2022-784-288	288	2653	NET (FOR CATCHING)	NET (FOR CATCHING)	object	tool	visual		
Tjuka-2022-784-289	289	2795	MOSQUITO NET	MOSQUITO NET	object	tool	visual		
Tjuka-2022-784-290	290	2951	POUCH	POUCH	object	clothing	visual		
Tjuka-2022-784-291	291	2959	LEASH	LEASH	object	tool	visual		
Tjuka-2022-784-292	292	2963	NET	NET	object	tool	visual		
Tjuka-2022-784-293	293	2969	RIBBON	RIBBON	object	tool	visual		
Tjuka-2022-784-294	294	2973	STRAP	STRAP	object	tool	visual		
Tjuka-2022-784-295	295	2990	SACK	SACK	object	tool	visual		
Tjuka-2022-784-296	296	3016	FIRE STICK	FIRE STICK	object	tool	visual		
Tjuka-2022-784-297	297	3022	TOP GRINDSTONE	TOP GRINDSTONE	object	tool	visual	GRINDSTONE	2459
Tjuka-2022-784-298	298	3023	BOTTOM GRINDSTONE	BOTTOM GRINDSTONE	object	tool	visual	GRINDSTONE	2459
Tjuka-2022-784-299	299	3057	FLAIL	FLAIL	object	tool	visual		
Tjuka-2022-784-300	300	3065	SADDLE	SADDLE	object	tool	visual		
Tjuka-2022-784-301	301	3088	ENVELOPE	ENVELOPE	object	tool	visual		
Tjuka-2022-784-302	302	3092	LIGHTER	LIGHTER	object	tool	visual		
Tjuka-2022-784-303	303	3094	PAINTBRUSH	PAINTBRUSH	object	tool	visual		
Tjuka-2022-784-304	304	3101	SWING	SWING	object	tool	visual		
Tjuka-2022-784-305	305	3104	THERMOMETER	THERMOMETER	object	tool	visual		
Tjuka-2022-784-306	306	3107	WHISTLE (INSTRUMENT)	WHISTLE (INSTRUMENT)	object	instrument	visual		
Tjuka-2022-784-307	307	3137	OAR	OAR	object	vehicle	visual	OAR OR PADDLE	3318
Tjuka-2022-784-308	308	3159	BURDEN STICK	BURDEN STICK	object	tool	visual		
Tjuka-2022-784-309	309	3303	PICTURE (PAINTING)	PICTURE (PAINTING)	object	household items	visual		
Tjuka-2022-784-310	310	3325	PEARL	PEARL	object	clothing	visual		
Tjuka-2022-784-311	311	3353	SIEVE (TOOL)	SIEVE (TOOL)	object	tool	visual		
Tjuka-2022-784-312	312	3360	BAMBOO BASKET	BAMBOO BASKET	object	tool	visual		
Tjuka-2022-784-313	313	3405	RULER	RULER	object	tool	visual		
Tjuka-2022-784-314	314	3407	FILE (TOOL)	FILE (TOOL)	object	tool	visual		
Tjuka-2022-784-315	315	3408	PLANE (TOOL)	PLANE (TOOL)	object	tool	visual		
Tjuka-2022-784-316	316	3423	DRILL	DRILL	object	tool	visual		
Tjuka-2022-784-317	317	3424	SHEATH	SHEATH	object	tool	visual		
Tjuka-2022-784-318	318	3432	SHOULDER POLE	SHOULDER POLE	object	tool	visual		
Tjuka-2022-784-319	319	3742	POCKETKNIFE	POCKETKNIFE	object	tool	visual		
Tjuka-2022-784-320	320	3830	WALL	WALL	object	landscape	visual		
Tjuka-2022-784-321	321	64	PIN	PIN	object	tool	visual		
