ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	RUSSIAN	RUSSIAN_DOMINANT	NAME_AGREEMENT_PERCENT	IMAGE_AGREEMENT_M	CONCEPTUAL_FAMILIARITY_M	RUSSIAN_AOA_M	IMAGEABILITY_M
Tsaparina-2011-260-1	1	accordion	2603	ACCORDION	аккордеон	аккордеон	52	4.47	2.31	2.94	3.62
Tsaparina-2011-260-2	2	airplane	1597	AIRPLANE	самолет	самолет	98	4.47	3.94	1.61	4.50
Tsaparina-2011-260-3	3	alligator	1581	ALLIGATOR	крокодил	крокодил	98	4.59	2.75	1.74	3.88
Tsaparina-2011-260-4	4	anchor	1870	ANCHOR	якорь	якорь	100	4.50	3.14	2.26	4.09
Tsaparina-2011-260-5	5	ant	587	ANT	муравей	муравей	96	4.53	3.53	1.71	4.29
Tsaparina-2011-260-6	6	apple	1320	APPLE	яблоко	яблоко	96	3.91	4.81	1.26	4.94
Tsaparina-2011-260-7	7	arm	1673	ARM	рука 	рука 	89	4.12	4.89	1.19	4.79
Tsaparina-2011-260-8	8	arrow	977	ARROW	стрелка	стрелка	80	4.38	3.42	2.13	4.38
Tsaparina-2011-260-9	9	artichoke	3997	ARTICHOKE	артишок	артишок	26	2.41	1.61	4.29	1.71
Tsaparina-2011-260-10	10	ashtray	4028	ASHTRAY	пепельница	пепельница	96	4.29	3.53	3.06	4.53
Tsaparina-2011-260-11	11	aspargus			спаржа	спаржа	46	3.18	2.42	3.77	3.00
Tsaparina-2011-260-12	12	axe	677	AXE	топор	топор	93	4.50	3.31	2.23	4.50
Tsaparina-2011-260-13	13	baby carriage	4029	BABY CARRIAGE	детская коляска	коляска	98	4.32	3.50	1.52	4.41
Tsaparina-2011-260-14	14	ball	1845	BALL	мяч 	мяч	93	3.97	4.06	1.26	4.79
Tsaparina-2011-260-15	15	balloon	3083	BALLOON	воздушный шар	шар 	46	4.26	3.58	1.45	4.53
Tsaparina-2011-260-16	16	banana	868	BANANA	банан	банан	98	4.65	4.56	1.74	4.94
Tsaparina-2011-260-17	17	barn	3025	BARN OR SHED	амбар	амбар  	20	3.50	2.00	3.00	3.09
Tsaparina-2011-260-18	18	barrel	2548	BARREL	бочка	бочка	100	4.68	3.58	1.68	4.53
Tsaparina-2011-260-19	19	baseball bat			бейсбольная бита 	 бита 	54	4.53	2.53	3.16	3.44
Tsaparina-2011-260-20	20	basket	1539	BASKET	корзина 	корзина	72	4.03	3.92	1.81	4.56
Tsaparina-2011-260-21	21	bear	1820	BEAR	медведь 	медведь 	91	4.35	3.03	1.55	4.12
Tsaparina-2011-260-22	22	bed	1663	BED	кровать	кровать	96	4.26	4.63	1.35	4.68
Tsaparina-2011-260-23	23	bee	665	BEE	пчела	пчела 	43	3.71	3.69	1.48	4.56
Tsaparina-2011-260-24	24	beetle	2242	BEETLE	жук	жук	89	4.15	3.58	1.48	4.53
Tsaparina-2011-260-25	25	bell	2246	BELL	колокол / колокольчик 	колокольчик 	70	4.44	3.36	1.84	4.35
Tsaparina-2011-260-26	26	belt	772	BELT	ремень	ремень	91	4.62	4.53	2.00	4.85
Tsaparina-2011-260-27	27	bicycle	747	BICYCLE	велосипед	велосипед	100	4.62	4.17	1.77	4.85
Tsaparina-2011-260-28	28	bird	937	BIRD	птица	птица	87	3.97	4.19	1.45	4.44
Tsaparina-2011-260-29	29	blouse	4018	BLOUSE	блузка	рубашка	39	3.09	4.11	1.55	4.53
Tsaparina-2011-260-30	30	book	963	BOOK	книга	книга	100	4.59	4.64	1.39	4.97
Tsaparina-2011-260-31	31	boot	585	BOOT	сапог 	сапог 	87	4.00	4.53	1.45	4.76
Tsaparina-2011-260-32	32	bottle	1321	BOTTLE	бутылка 	бутылка 	89	4.35	4.64	1.84	4.88
Tsaparina-2011-260-33	33	bow	994	BOW	бант 	бант 	91	4.47	3.58	1.42	4.38
Tsaparina-2011-260-34	34	bowl	1530	BOWL	миска	миска	70	3.91	4.11	1.71	4.65
Tsaparina-2011-260-35	35	box	1465	BOX	коробка	коробка	100	4.44	4.17	1.70	4.76
Tsaparina-2011-260-36	36	bread	1368	BREAD	хлеб 	хлеб 	89	4.12	4.86	1.29	4.82
Tsaparina-2011-260-37	37	broom	245	BROOM	метла 	метла 	93	4.26	3.46	1.97	4.38
Tsaparina-2011-260-38	38	brush	1821	BRUSH	щетка 	щетка 	91	4.12	4.47	1.97	4.65
Tsaparina-2011-260-39	39	bus	1070	BUS	автобус	автобус	100	4.44	4.36	1.45	4.76
Tsaparina-2011-260-40	40	butterfly	1791	BUTTERFLY	бабочка	бабочка	100	4.38	3.69	1.52	4.65
Tsaparina-2011-260-41	41	button	757	BUTTON	пуговица	пуговица	100	4.59	4.36	1.42	4.82
