ID	NUMBER	CATEGORY	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Snoek-2013-61-1	1	body-part terms	ankle	803	ANKLE
Snoek-2013-61-2	2	body-part terms	arm	1673	ARM
Snoek-2013-61-3	3	body-part terms	bone	1394	BONE
Snoek-2013-61-4	4	body-part terms	breast	1402	BREAST
Snoek-2013-61-5	5	body-part terms	butt	834	BUTTOCKS
Snoek-2013-61-6	6	body-part terms	cheek	1730	CHEEK
Snoek-2013-61-7	7	body-part terms	chin	1510	CHIN
Snoek-2013-61-8	8	body-part terms	ear(s)	1247	EAR
Snoek-2013-61-9	9	body-part terms	eye	1248	EYE
Snoek-2013-61-10	10	body-part terms	face	1560	FACE
Snoek-2013-61-11	11	body-part terms	finger	1303	FINGER
Snoek-2013-61-12	12	body-part terms	gums	139	GUMS
Snoek-2013-61-13	13	body-part terms	hand	1277	HAND
Snoek-2013-61-14	14	body-part terms	head	1256	HEAD
Snoek-2013-61-15	15	body-part terms	hip	1745	HIP
Snoek-2013-61-16	16	body-part terms	intestine	1991	INTESTINES
Snoek-2013-61-17	17	body-part terms	jaw	798	JAW
Snoek-2013-61-18	18	body-part terms	kidney(s)	489	KIDNEY
Snoek-2013-61-19	19	body-part terms	leg	1297	LEG
Snoek-2013-61-20	20	body-part terms	lips	478	LIP
Snoek-2013-61-21	21	body-part terms	liver	1224	LIVER
Snoek-2013-61-22	22	body-part terms	lungs	688	LUNG
Snoek-2013-61-23	23	body-part terms	marrow	1835	MARROW
Snoek-2013-61-24	24	body-part terms	mouth	674	MOUTH
Snoek-2013-61-25	25	body-part terms	navel	1838	NAVEL
Snoek-2013-61-26	26	body-part terms	neck	1333	NECK
Snoek-2013-61-27	27	body-part terms	nipple	796	NIPPLE
Snoek-2013-61-28	28	body-part terms	penis	1222	PENIS
Snoek-2013-61-29	29	body-part terms	person/people	2661	PEOPLE OR PERSON
Snoek-2013-61-30	30	body-part terms	ribs	801	RIB
Snoek-2013-61-31	31	body-part terms	shoulder	1482	SHOULDER
Snoek-2013-61-32	32	body-part terms	shoulder blade	172	SHOULDERBLADE
Snoek-2013-61-33	33	body-part terms	sinew	1137	TENDON
Snoek-2013-61-34	34	body-part terms	testicle(s)	797	TESTICLES
Snoek-2013-61-35	35	body-part terms	throat	1346	THROAT
Snoek-2013-61-36	36	body-part terms	thumb	1781	THUMB
Snoek-2013-61-37	37	body-part terms	toe	1389	TOE
Snoek-2013-61-38	38	body-part terms	tongue	1205	TONGUE
Snoek-2013-61-39	39	body-part terms	vagina	1836	VAGINA
Snoek-2013-61-40	40	body-part terms	wrist	799	WRIST
Snoek-2013-61-41	41	effluvia	blood	946	BLOOD
Snoek-2013-61-42	42	effluvia	excrement	675	FAECES (EXCREMENT)
Snoek-2013-61-43	43	effluvia	fart	1159	FART
Snoek-2013-61-44	44	effluvia	gall/bile	1780	BILE
Snoek-2013-61-45	45	effluvia	mucus	208	NASAL MUCUS (SNOT)
Snoek-2013-61-46	46	effluvia	pus	1808	PUS
Snoek-2013-61-47	47	effluvia	saliva	1503	SALIVA
Snoek-2013-61-48	48	effluvia	snot	208	NASAL MUCUS (SNOT)
Snoek-2013-61-49	49	effluvia	sweat	125	SWEAT (SUBSTANCE)
Snoek-2013-61-50	50	effluvia	tear	1651	TEAR (OF EYE)
Snoek-2013-61-51	51	effluvia	vomit	1278	VOMIT
Snoek-2013-61-52	52	effluvia	urine	1142	URINE
Snoek-2013-61-53	53	ephemera	wart	2665	WART
Snoek-2013-61-54	54	ephemera	fat	323	FAT (ORGANIC SUBSTANCE)
Snoek-2013-61-55	55	ephemera	fingernail	1258	FINGERNAIL
Snoek-2013-61-56	56	ephemera	hair	1040	HAIR
Snoek-2013-61-57	57	ephemera	scab	2664	SCAB
Snoek-2013-61-58	58	ephemera	scar	497	SCAR
Snoek-2013-61-59	59	ephemera	teeth	1380	TOOTH
Snoek-2013-61-60	60	ephemera	toenail	2662	TOENAIL
Snoek-2013-61-61	61	ephemera	umbilical cord	2663	UMBILICAL CORD
