ID	NUMBER	ENGLISH	RUSSIAN	CONCEPTICON_ID	CONCEPTICON_GLOSS
Swadesh-1960-215-1	1	*all	все	98	ALL
Swadesh-1960-215-2	2	and	и	1577	AND
Swadesh-1960-215-3	3	animal	животное	619	ANIMAL
Swadesh-1960-215-4	4	*ashes	зола	646	ASH
Swadesh-1960-215-5	5	at	возле	1461	AT
Swadesh-1960-215-6	6	back	спина	1291	BACK
Swadesh-1960-215-7	7	bad	плохой	1292	BAD
Swadesh-1960-215-8	8	*bark	кора	1204	BARK
Swadesh-1960-215-9	9	because	так как	1157	BECAUSE
Swadesh-1960-215-10	10	*belly	живот	1251	BELLY
Swadesh-1960-215-11	11	berry	ягода	904	BERRY
Swadesh-1960-215-12	12	*big	большой	1202	BIG
Swadesh-1960-215-13	13	*bird	птица	937	BIRD
Swadesh-1960-215-14	14	*bite	кусать	1403	BITE
Swadesh-1960-215-15	15	*black	черный	163	BLACK
Swadesh-1960-215-16	16	*blood	кровь	946	BLOOD
Swadesh-1960-215-17	17	blow	дуть	175	BLOW (OF WIND)
Swadesh-1960-215-18	18	*bone	кость	1394	BONE
Swadesh-1960-215-19	19	breathe	дышать	1407	BREATHE
Swadesh-1960-215-20	20	brother	брат	1262	BROTHER
Swadesh-1960-215-21	21	*burn	гореть	1428	BURNING
Swadesh-1960-215-22	22	child	ребенок	2099	CHILD
Swadesh-1960-215-23	23	clothing	одевание	1895	CLOTHES
Swadesh-1960-215-24	24	*cloud	облако	1489	CLOUD
Swadesh-1960-215-25	25	*cold	холодный	1287	COLD
Swadesh-1960-215-26	26	*come	приходить	1446	COME
Swadesh-1960-215-27	27	cook	варить	1100	COOK (SOMETHING)
Swadesh-1960-215-28	28	count	считать	1420	COUNT
Swadesh-1960-215-29	29	cry	кричать	1839	CRY
Swadesh-1960-215-30	30	cut	резать	1432	CUT
Swadesh-1960-215-31	31	dance	танцевать	1879	DANCE
Swadesh-1960-215-32	32	day	день	1225	DAY (NOT NIGHT)
Swadesh-1960-215-33	33	*die	умирать	1494	DIE
Swadesh-1960-215-34	34	dig	копать	1418	DIG
Swadesh-1960-215-35	35	dirty	грязный	1230	DIRTY
Swadesh-1960-215-36	36	*dog	собака	2009	DOG
Swadesh-1960-215-37	37	*drink	пить	1401	DRINK
Swadesh-1960-215-38	38	*dry	сухо	1398	DRY
Swadesh-1960-215-39	39	dull	тупой	379	BLUNT
Swadesh-1960-215-40	40	dust	пыль	2	DUST
Swadesh-1960-215-41	41	*ear	ухо	1247	EAR
Swadesh-1960-215-42	42	*earth	земля	1228	EARTH (SOIL)
Swadesh-1960-215-43	43	*eat	есть (питаться)	1336	EAT
Swadesh-1960-215-44	44	*egg	яйцо	744	EGG
Swadesh-1960-215-45	45	eight	восемь	1705	EIGHT
Swadesh-1960-215-46	46	*eye	глаз	1248	EYE
Swadesh-1960-215-47	47	fall	падать	1280	FALL
Swadesh-1960-215-48	48	far	далекий	1406	FAR
Swadesh-1960-215-49	49	*fat	жирный	1279	FAT (OBESE)
Swadesh-1960-215-50	50	father	отец	1217	FATHER
Swadesh-1960-215-51	51	fear	бояться	1419	FEAR (BE AFRAID)
Swadesh-1960-215-52	52	*feather	перо	1201	FEATHER
Swadesh-1960-215-53	53	few	мало	1242	FEW
Swadesh-1960-215-54	54	fight	сражаться	1423	FIGHT
Swadesh-1960-215-55	55	*fire	огонь	221	FIRE
Swadesh-1960-215-56	56	*fish	рыба	227	FISH
Swadesh-1960-215-57	57	five	пять	493	FIVE
Swadesh-1960-215-58	58	float	плыть	1574	FLOAT
Swadesh-1960-215-59	59	flow	течь	2003	FLOW
Swadesh-1960-215-60	60	flower	цветок	239	FLOWER
Swadesh-1960-215-61	61	*fly	лететь	1441	FLY (MOVE THROUGH AIR)
Swadesh-1960-215-62	62	fog	туман	249	FOG
Swadesh-1960-215-63	63	*foot	ступня	1301	FOOT
Swadesh-1960-215-64	64	four	четыре	1500	FOUR
Swadesh-1960-215-65	65	freeze	замерзать	1431	FREEZE
Swadesh-1960-215-66	66	*give	давать	1447	GIVE
Swadesh-1960-215-67	67	*good	хороший	1035	GOOD
Swadesh-1960-215-68	68	grass	трава	606	GRASS
Swadesh-1960-215-69	69	*green	зеленый	1425	GREEN
Swadesh-1960-215-70	70	guts	кишки	1334	GUTS
Swadesh-1960-215-71	71	*hair	волосы	1040	HAIR
Swadesh-1960-215-72	72	*hand	рука	1277	HAND
Swadesh-1960-215-73	73	he	он	1211	HE
Swadesh-1960-215-74	74	*head	голова	1256	HEAD
Swadesh-1960-215-75	75	*hear	слышать	1408	HEAR
Swadesh-1960-215-76	76	*heart	сердце	1223	HEART
Swadesh-1960-215-77	77	here	здесь	136	HERE
Swadesh-1960-215-78	78	hit	ударять	1433	HIT
Swadesh-1960-215-79	79	hold	держать	1448	HOLD
Swadesh-1960-215-80	80	how	как	1239	HOW
