ID	NUMBER	ENGLISH	FRENCH	GERMAN	CONCEPTICON_ID	CONCEPTICON_GLOSS
Williamson-1973-118-1	1	animal	animal	Tier	619	ANIMAL
Williamson-1973-118-2	2	arm: hand	bras: main	Arm: Hand	2121	ARM OR HAND
Williamson-1973-118-3	3	armpit	aisselle	Achselhöhle	1886	ARMPIT
Williamson-1973-118-4	4	arrow	flèche	Pfeil	977	ARROW
Williamson-1973-118-5	5	ashes	cendres	Asche	646	ASH
Williamson-1973-118-6	6	ask (a question)	demander	fragen	1309	ASK (INQUIRE)
Williamson-1973-118-7	7	bad, be	mauvais (être)	schlecht sein	1292	BAD
Williamson-1973-118-8	8	bean	haricot	Bohne	832	BEAN
Williamson-1973-118-9	9	beg (=ask for something)	demander (qqc à qqn)	bitten um, erbitten, betteln	1828	ASK (REQUEST)
Williamson-1973-118-10	10	belly	ventre	Bauch, Unterleib	1251	BELLY
Williamson-1973-118-11	11	bite	mordre	beissen	1403	BITE
Williamson-1973-118-12	12	buffalo	buffle	Büffel	934	BUFFALO
Williamson-1973-118-13	13	build	bâtir	bauen	1840	BUILD
Williamson-1973-118-14	14	calabash	calebasse	Kalebasse	411	GOURD
Williamson-1973-118-15	15	carve	sculpter	schnitzen	228	CARVE
Williamson-1973-118-16	16	charcoal (coal)	charbon	Holzkohle (Kohle)	2659	CHARCOAL OR COAL
Williamson-1973-118-17	17	child	enfant	Kind	2099	CHILD
Williamson-1973-118-18	18	come out	sortir	herauskommen	1107	GO OUT
Williamson-1973-118-19	19	cool, be(come)	se refraîchir	kühl sein, kühl werden		
Williamson-1973-118-20	20	corpse	cadavre	Leichnam, Leiche, der Tote	767	CORPSE
Williamson-1973-118-21	21	count: draw a line:: reckon	compter: tirer un ligne:: calculer	zählen: eine Linie ziehen: rechnen		
Williamson-1973-118-22	22	cow	vache	Kuh	1007	COW
Williamson-1973-118-23	23	crab	crabe	Krabbe	2348	CRAB
Williamson-1973-118-24	24	crocodile	crocodile	Krokodil	1857	CROCODILE
Williamson-1973-118-25	25	dance v. and n.	danser: danse	tanzen: Tanz		
Williamson-1973-118-26	26	depth (of water)	profondeur (de l’eau)	Tiefe (vom Wasser)	2534	DEPTH
Williamson-1973-118-27	27	die: death	mourir: mort	sterben: Tod	3186	BE DEAD OR DEATH OR DIE
Williamson-1973-118-28	28	divide	diviser	teilen, verteilen, einteilen	1119	DIVIDE
Williamson-1973-118-29	29	draw (water)	puiser (de l'eau)	(Wasser) schöpfen, (Wasser) holen	1911	DRAW (WATER)
Williamson-1973-118-30	30	dry, become	se dessécher	trocken werden; trocknen	1786	DRY UP
Williamson-1973-118-31	31	ear	oreille	Ohr	1247	EAR
Williamson-1973-118-32	32	eat	manger	essen; fressen (animals)	1336	EAT
Williamson-1973-118-33	33	egg	oeuf	Ei; Hühnerei (hen’s egg, chicken’s egg)	744	EGG
Williamson-1973-118-34	34	elephant	éléphant	Elefant	1290	ELEPHANT
Williamson-1973-118-35	35	extinguished, be	s’éteindre	erlöschen (vom Licht); ausgelöscht sein	2209	BECOME EXTINGUISHED
Williamson-1973-118-36	36	eye	oeil	Auge	1248	EYE
Williamson-1973-118-37	37	fall	tomber	fallen, stürzen, abstürzen, niederfallen, herunterfallen	1280	FALL
Williamson-1973-118-38	38	fat: oil	graisse: huile	Fett: Öl (Palmöl)	2551	ORGANIC FAT OR OIL
Williamson-1973-118-39	39	fear	peur	Furcht, Angst	781	FEAR (FRIGHT)
Williamson-1973-118-40	40	female	femelle	weiblich	1551	FEMALE
Williamson-1973-118-41	41	firewood	bois de feu	Brennholz, Feuerholz	10	FIREWOOD
Williamson-1973-118-42	42	forest	forêt: brousse	Wald, Forst, Urwald:Gebüsch	420	FOREST
Williamson-1973-118-43	43	fowl (chicken)	volaille	Huhn	265	FOWL
Williamson-1973-118-44	44	fry: bake in ashes	faire frire: faire cuire	braten: in Asche backen	2146	ROAST OR FRY
Williamson-1973-118-45	45	give: «dash»	donner: faire cadeau	geben: schenken	1447	GIVE
Williamson-1973-118-46	46	go: walk	aller: marcher	gehen, fahren: zu Fuss gehen	695	GO
Williamson-1973-118-47	47	grasshopper	sauterelle	Grashüpfer, Heuschrecke	607	GRASSHOPPER
Williamson-1973-118-48	48	grow: become strong	croître: grandir	wachsen: stark werden	479	GROW
Williamson-1973-118-49	49	guineafowl	pintade	Perlhuhn	456	GUINEA FOWL
Williamson-1973-118-50	50	head	tête	Kopf	1256	HEAD
Williamson-1973-118-51	51	heart	coeur	Herz	1223	HEART
Williamson-1973-118-52	52	heavy	lourd (être)	schwer	1210	HEAVY
Williamson-1973-118-53	53	hoe: cultivate	piocher: cultiver	hacken: anbauen	1541	CULTIVATE
Williamson-1973-118-54	54	kill	tuer	töten	1417	KILL
Williamson-1973-118-55	55	leg: foot	jambe: pied	Bein: Fuss	2098	FOOT OR LEG
Williamson-1973-118-56	56	leopard: «panther»	léopard: «panthère»	Leopard: Panther	1139	LEOPARD
Williamson-1973-118-57	57	lie down: stretch oneself:: sleep	se coucher: s’allonger:: dormir	liegen, sich hinlegen: sich (aus)strecken :: schlafen		
Williamson-1973-118-58	58	lick	lécher	lecken	319	LICK
Williamson-1973-118-59	59	man: husband	homme: mari	Mann: Ehemann, Gatte, Gemahl	2646	HUSBAND OR MALE PERSON
Williamson-1973-118-60	60	meat	viande	Fleisch	634	MEAT
Williamson-1973-118-61	61	mould	mouler	abformen, modellieren		
Williamson-1973-118-62	62	mount	monter	hinaufgehen, besteigen, ersteigen	705	GO UP (ASCEND)
Williamson-1973-118-63	63	name	nom	Name	1405	NAME
Williamson-1973-118-64	64	night: day of 24 hours	nuit: jour de 24 heures	Nacht: Tag von 24 Stunden		
Williamson-1973-118-65	65	oil palm: fan palm:: dum palm	palmier à huile: ?:: ?	Ölpalme: ?::?		
Williamson-1973-118-66	66	person	personne	Person, Mensch	683	PERSON
Williamson-1973-118-67	67	pig (domestic): (wild)	cochon: phacochère	Ferkel: Wildschwein [?]	1337	PIG
Williamson-1973-118-68	68	press: squeeze out: milk	presser::traire	drücken, pressen: auspressen, ausdrücken:: melken		
Williamson-1973-118-69	69	quarrel v. and n.	se quereller, disputer: querelle	(sich) streiten: Streit		
Williamson-1973-118-70	70	raphia palm (vinifera): (hookeri):: date palm	raphia (vinifera): hookeri:: dattier	?: ?:: Dattelpalme		
Williamson-1973-118-71	71	refuse: retain	refuser: retenir	verweigern, abschlagen: zurückhalten, einbehalten		
Williamson-1973-118-72	72	resemble: be equal to	ressembler: être égal à	ähnlich sein: gleichen, gleich sein	1777	RESEMBLE
Williamson-1973-118-73	73	road: path	route: sentier	(Land)Strasse: Pfad, Weg	2457	PATH OR ROAD
Williamson-1973-118-74	74	roast on coals	griller au feu de bois	auf Kohlen rösten		
Williamson-1973-118-75	75	rot	pourrir	verfaulen, verwesen	2907	ROT
Williamson-1973-118-76	76	rubbish-heap	tas d’ordures	Schutthaufen		
Williamson-1973-118-77	77	send: work n.	envoyer: travail	schicken, senden: Arbeit:: arbeiten		
Williamson-1973-118-78	78	set a trap	poser un piège	eine Falle stellen		
Williamson-1973-118-79	79	sew	coudre	nähen	1457	SEW
Williamson-1973-118-80	80	shine: be light: be white	briller: être pâle:: être blanc	scheinen, leuchten: hell sein, licht sein:: weiss sein		
Williamson-1973-118-81	81	sing	chanter	singen	1261	SING
Williamson-1973-118-82	82	skin: hide:: bark	peau:: écorce	Haut: Fell, Haut grösseren Tieren:: (Baum) Rinde, Borke	2127	BARK OR SKIN
Williamson-1973-118-83	83	smell v.	sentir	riechen	1586	SMELL (PERCEIVE)
Williamson-1973-118-84	84	snake	serpent	Schlange	730	SNAKE
Williamson-1973-118-85	85	song	chanson	Lied, Gesang	1096	SONG
Williamson-1973-118-86	86	speak	parler	sprechen, reden	1623	SPEAK
Williamson-1973-118-87	87	spit	cracher	spucken	1440	SPIT
Williamson-1973-118-88	88	spread in sun to dry	secher au soleil	im Sonnenlicht (in der Sonne?) ausbreiten um zu trocknen		
Williamson-1973-118-89	89	sticky, be	poisser	klebrig sein	3703	STICKY
Williamson-1973-118-90	90	stone: rock	pierre: rocher	Stein: Fels (Felsen? Felsgestein?)	2125	STONE OR ROCK
Williamson-1973-118-91	91	take out of: empty	retirer: vider	herausnehmen: leeren		
Williamson-1973-118-92	92	thing	chose	Ding	738	THING
Williamson-1973-118-93	93	tongue: language	langue: langue (langage)	Zunge: Sprache		
Williamson-1973-118-94	94	tooth	dent	Zahn	1380	TOOTH
Williamson-1973-118-95	95	tortoise	tortue	Schildkröte	895	TORTOISE
Williamson-1973-118-96	96	tree	arbre	Baum	906	TREE
Williamson-1973-118-97	97	twin	jumeau (x)	Zwilling	1005	TWINS
Williamson-1973-118-98	98	want: lack:: seek	vouloir: manquer de:: chercher	wünschen, wollen: nicht haben, Mangel haben an:: suchen		
Williamson-1973-118-99	99	war	guerre	Krieg	935	WAR
Williamson-1973-118-100	100	water	eau	Wasser	948	WATER
Williamson-1973-118-101	101	wing	aile	Flügel	1257	WING
Williamson-1973-118-102	102	woman: wife	femme: épouse	Weib, Frau: Ehefrau, Gattin		
