ID	NUMBER	ENGLISH	NSM_SEMANTIC_PRIMES	CONCEPTICON_ID	CONCEPTICON_GLOSS	EXPLANATION
Goddard-2011-63-1	1	i, you 	I, YOU 	1209	I	I don’t know, I want you to do or know something, something bad can happen to me or you, someone like me 
Goddard-2011-63-2	2	here 	HERE 	136	HERE	something is happening here now
Goddard-2011-63-3	3	now 	NOW 	1376	NOW	something is happening here now
Goddard-2011-63-4	4	someone 	SOMEONE 	2422	SOMEONE	this someone, the same someone, someone else, this other someone 
Goddard-2011-63-5	5	place~where	PLACE~WHERE	723	PLACE (POSITION)	(in) this place, (in) the same place, somewhere else, (in) this other place, in some places, in many places, in the place where
Goddard-2011-63-6	6	time~when	TIME~WHEN	892	TIME	(at) this time, (at) the same time, at another time, at this other time, at some times, at many times, at the time when
Goddard-2011-63-7	7	something~thing 	SOMETHING~THING 	738	THING	this thing, the same thing, something else, this other something
Goddard-2011-63-8	8	part 	PART 	779	PART	this part, the same part, another part, this other part, part of something, part of someone’s body, part of a place, this thing has two or many parts
Goddard-2011-63-9	9	kind 	KIND 	844	KIND (THING)	this kind, the same kind, another kind, this other kind, something or someone of one or two or many kinds, people of one or two or many kinds
Goddard-2011-63-10	10	people 	PEOPLE 	789	PEOPLE	many people, some people, people think like this, people can say 
Goddard-2011-63-11	11	body	BODY	1480	BODY	part of someone’s body, two kinds of bodies, body of one kind 
Goddard-2011-63-12	12	words	WORDS	1599	WORD	many words, other words, one word, say something with (not with) words, say these words, these words say something 
Goddard-2011-63-13	13	this~it 	THIS~IT 	1214	THIS	this someone (something), these people, at this time, in this place, this kind, this part, because of this, it is like this 
Goddard-2011-63-14	14	the same	THE SAME	200	SAME	the same someone, the same thing, the same part, the same kind, at the same time, in the same place, someone says or does or thinks or knows or wants or feels the same
Goddard-2011-63-15	15	other~else 	OTHER~ELSE 	197	OTHER	someone else, something else, at another time, somewhere else, other parts, other kinds, this other part, this other kind, this other someone, this other thing 
Goddard-2011-63-16	16	all 	ALL 	98	ALL	all people, all things, all parts, all kinds, at all times, in all places 
Goddard-2011-63-17	17	one 	ONE 	1493	ONE	one someone, one thing, one part, one kind, one of these things or people, something of one kind, at one time, in one place, one more thing
