ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ENGLISH_PLURAL	ENGLISH_FREQUENCY	ENGLISH_FREQUENCY_PM	AMHARIC	AMHARIC_PLURAL	AMHARIC_FREQUENCY	AMHARIC_FREQUENCY_PM	ARABIC	ARABIC_PLURAL	ARABIC_FREQUENCY	ARABIC_FREQUENCY_PM	BENGALI	BENGALI_PLURAL	BENGALI_FREQUENCY	BENGALI_FREQUENCY_PM	CHINESE	CHINESE_PLURAL	CHINESE_FREQUENCY	CHINESE_FREQUENCY_PM	CROATIAN	CROATIAN_PLURAL	CROATIAN_FREQUENCY	CROATIAN_FREQUENCY_PM	CZECH	CZECH_PLURAL	CZECH_FREQUENCY	CZECH_FREQUENCY_PM	DUTCH	DUTCH_PLURAL	DUTCH_FREQUENCY	DUTCH_FREQUENCY_PM	GERMAN	GERMAN_PLURAL	GERMAN_FREQUENCY	GERMAN_FREQUENCY_PM	GREEK	GREEK_PLURAL	GREEK_FREQUENCY	GREEK_FREQUENCY_PM	HEBREW	HEBREW_PLURAL	HEBREW_FREQUENCY	HEBREW_FREQUENCY_PM	HINDI	HINDI_PLURAL	HINDI_FREQUENCY	HINDI_FREQUENCY_PM	HUNGARIAN	HUNGARIAN_PLURAL	HUNGARIAN_FREQUENCY	HUNGARIAN_FREQUENCY_PM	ITALIAN	ITALIAN_PLURAL	ITALIAN_FREQUENCY	ITALIAN_FREQUENCY_PM	JAPANESE	JAPANESE_PLURAL	JAPANESE_FREQUENCY	JAPANESE_FREQUENCY_PM	LATIN	LATIN_PLURAL	LATIN_FREQUENCY	LATIN_FREQUENCY_PM	LATVIAN	LATVIAN_PLURAL	LATVIAN_FREQUENCY	LATVIAN_FREQUENCY_PM	MALAY	MALAY_PLURAL	MALAY_FREQUENCY	MALAY_FREQUENCY_PM	POLISH	POLISH_PLURAL	POLISH_FREQUENCY	POLISH_FREQUENCY_PM	PORTUGUESE	PORTUGUESE_PLURAL	PORTUGUESE_FREQUENCY	PORTUGUESE_FREQUENCY_PM	RUSSIAN	RUSSIAN_PLURAL	RUSSIAN_FREQUENCY	RUSSIAN_FREQUENCY_PM	SOMALI	SOMALI_PLURAL	SOMALI_FREQUENCY	SOMALI_FREQUENCY_PM	SPANISH	SPANISH_PLURAL	SPANISH_FREQUENCY	SPANISH_FREQUENCY_PM	SWAHILI	SWAHILI_PLURAL	SWAHILI_FREQUENCY	SWAHILI_FREQUENCY_PM	TAGALOG	TAGALOG_PLURAL	TAGALOG_FREQUENCY	TAGALOG_FREQUENCY_PM	TAMIL	TAMIL_PLURAL	TAMIL_FREQUENCY	TAMIL_FREQUENCY_PM	TURKISH	TURKISH_PLURAL	TURKISH_FREQUENCY	TURKISH_FREQUENCY_PM	URDU	URDU_PLURAL	URDU_FREQUENCY	URDU_FREQUENCY_PM	YORUBA	YORUBA_PLURAL	YORUBA_FREQUENCY	YORUBA_FREQUENCY_PM	BRAINAREA_SENSORY	BRAINAREA_MOTOR	BODYAREA_ANTERIOR_ARM1	BODYAREA_AP_ARM1	BODYAREA_ANTERIOR_BOTH_ARM1	BODYAREA_AP_BOTH_ARM1	BODYAREA_ANTERIOR_ARM2	BODYAREA_AP_ARM2	BODYAREA_ANTERIOR_BOTH_ARM2	BODYAREA_AP_BOTH_ARM2
Guenther-2022-30-1	1	803	ANKLE	ankle	ankles	16626	8.71041457701218	ቁርጭምጭሚት	ቁርጭምጭሚቶች	12	0.461967629466236	الكاحل	الكاحلين	7246	0.969283533378368	গোড়ালি	NA	NA	NA	脚踝	双脚踝	38989	2.88138687266209	gležanj	gležnjevi	7046	5.82303848200848	kotník	kotníky	109712	10.4465507440554	enkel	enkels	1300767	512.372318280206	knöchel	NA	2396	1.78890590204436	αστράγαλος	αστράγαλοι	541	4.35287714558625	קרסול	קרסוליים	23	0.480847086988625	टखना	एड़ियों	68	0.629862276259836	boka	NA	30118	11.7071280932486	caviglia	caviglie	6296	4.04646606600361	足首	NA	977	2.9002540673028	talus	tali	122	11.0538285206897	potīte	potītes	3435	6.4766415144078	buku_lali	NA	NA	NA	kostka	kostki	303846	39.3795346288224	tornozelo	tornozelos	17196	4.41331283577937	щиколотка	щиколотки	9382	0.644640150840826	idhib	cidhiyaal	NA	NA	tobillo	tobillos	366	3.74335764964596	kifundo	vifundo	37	2.06906389901223	bukung-bukong	NA	294	1.48553241496911	கணுக்கால்	NA	37	1.38315094120618	ayak_bileği	ayak_bilekleri	NA	NA	ٹخنه	ٹخنوں	208	3.9046900452349	orun_ese	NA	NA	NA	NA	0.93	0.52	0.8	1.04	1.6	0.52	0.8	1.04	1.6
Guenther-2022-30-2	2	1673	ARM	arm	arms	189960	99.5206515727916	ክንድ	ክንዶች	760	29.2579498661949	ذراع	اذرع	98357	13.1570273933889	বাহু	NA	134	11.6322170745321	胳膊	双臂	176133	13.0166794234936	ruka	ruke	508945	420.608333838462	ruka	ruce	4181777	398.180195701689	arm	armen	143817	56.6495380787676	arm	arme	188105	140.443299125232	μπράτσο	χέρια	1205	9.69541027806179	זרוע	נשק	3910	81.7440047880662	बांह/बाजु	बांहें/बाजुएं	NA	NA	kar	karok	320974	124.765380589759	braccio	braccia	90828	58.3755431770928	腕	NA	11039	32.7696055772319	bracchium	bracchia	1014	91.8736239342569	roka	rokas	250640	472.577999758711	tangan	NA	113009	618.960335377049	ręka	ręce	2550457	330.548401989239	braço	braços	229140	58.8082404739757	рука	руки	3011531	206.923235781478	gacan	gacmo	24728	344.058086377252	brazo	brazos	6275	64.1791509604602	mkono	mikono	11360	635.258537642675	braso	NA	12688	64.1103240854696	கை	ஆயுத	5681	212.369743161954	kol	kollar	8880	270.801958959414	بازو	NA	1716	32.2136928731879	apa	NA	608	215.835127521996	5.32	NA	2	4	4	8	3.5	7	7	14
Guenther-2022-30-3	3	1291	BACK	back	backs	1621409	849.461361054898	ጀርባ	ጀርባዎች	2161	83.1926706063779	ظهر	ظهورهم	874973	117.043461364984	পেছনে	পিঠের	6	0.520845540650692	后背	几个后背	73044	5.39813851924209	leđa	NA	85294	70.4896741817246	záda	NA	727908	69.3099010044833	rug	NA	174086	68.57250176252	rücken	NA	104417	77.9600115082497	πλάτη	πλάτες	1595	12.8333438950278	חזור	גב	3194	66.7750259061595	पीठ/कमर	पीठ/पीठें	NA	NA	hát	hátak	1539408	598.381255188644	schiena	schiene	22113	14.2121194595835	後	NA	171203	508.221286678036	tergum	terga	2059	186.556007574591	mugura	muguras	50206	94.6626677939907	belakang_badan	belakang	59931	328.247412679361	plecy	NA	403024	52.233360203019	costa	costas	648673	166.480395273524	спина	спины	285042	19.5853248642049	dhabar	dhabaryaal	2329	32.405017921895	espalda	espaldas	4030	41.21784515867	mgongo	migongo	877	49.0424064711819	likod	NA	37495	189.455911221996	முதுகு	NA	322	12.0371514342808	sırt	sırtlar	2886	88.0106366618096	پیٹھ	NA	742	13.9292308344437	eyin	NA	415	147.321674213205	NA	0.47	13	13	13	13	13	13	13	13
Guenther-2022-30-4	4	1402	BREAST	breast	breasts	47956	25.1243017836639	ጡቶች	NA	22	0.846940654021432	ثدي	NA	11626	1.5551877393123	স্তন	NA	359	31.1639248489331	胸脯	几个胸脯	23567	1.74166160783881	prsa	grudi	52238	43.1711445108088	hrudník	hrudníky	101793	9.69251986919964	borst	borsten	95826	37.7458759113039	brust	brüste	29041	21.6826445330844	στήθος	στήθη	5150	41.4368157112185	שד	שדיים	684	14.29997423914	स्थन	स्थन/स्थनों	25	0.231567013330822	mell	mellek	134286	52.1981341101659	petto	petti	24013	15.4332575671767	胸	NA	15328	45.5016318767833	pectus	pectoris	4615	418.142775598221	krūts	krūtis	52630	99.2330838146383	buah_dada	NA	NA	NA	pierś	piersi	519477	67.3260879207781	peito	peitos	111865	28.709888367903	грудь	NA	444082	30.513012946674	NAs	naaso	176	2.44881200268507	pecho	pechos	3120	31.9105898002607	matiti	NA	NA	NA	dibdib	NA	29445	148.780618907365	மார்பக	மார்பகங்களை	339	12.6726532180782	göğüs	göğüsler	2394	73.0067443410853	چھاتی	NA	308	5.78194487467475	oyon	NA	NA	NA	NA	NA	5.17	5.17	5.17	5.17	5.17	5.17	5.17	5.17
Guenther-2022-30-5	5	1173	EYEBROW	brow	brows	6108	3.20000073597921	ፍንጭ	ግንባር	5820	224.054300291124	حاجب_العين	الحاجبين	6763	0.90467354902538	ললাট	কপালে	133	11.5454094844237	眉毛	双眉	106443	7.86641008712127	obrva	obrve	9539	7.88333296620478	obočí	NA	87057	8.28938829048081	wenkbrauw	wenkbrauwen	18778	7.39665704362557	augenbraue	augenbrauen	3203	2.39142971796665	μέτωπο	μέτωπα	6001	48.283947783111	מצח	גבות	247	5.1638795863561	भौह	भौहें	47	0.435345985061945	szemöldök	NA	37628	14.626330297256	sopracciglio	sopracciglia	3077	1.97760103003385	眉	NA	1452	4.31030594239884	supercilium	supercilia	280	25.3694425065009	uzacu	uzacis	163	0.307334080596353	NA	dahi	3061	16.7653690112216	brew	brwi	75754	9.81799091076338	sobrancelha	sobrancelhas	11295	2.89883510584601	бровь	брови	146807	10.087154831005	xirib	xiribo	NA	NA	ceja	cejas	480	4.90932150773241	nyusi	NA	NA	NA	kilay	NA	5524	27.9118403411203	புருவம்	NA	56	2.09341764074449	kaşlar	kaş	1021	31.1361261371128	بهویں	ابرو	157	2.94729008222057	irun_oju	NA	NA	NA	NA	0.8	0.04	0.04	0.08	0.08	0.04	0.04	0.08	0.08
Guenther-2022-30-6	6	981	ELBOW	elbow	elbows	12795	6.70334142384644	ክርን	ክርኖች	33	1.27041098103215	مرفق	مرافق	127708	17.083254413564	কনুই	NA	34	2.95145806368726	胳膊肘	双胳膊肘	4254	0.314381485965389	lakat	laktovi	10460	8.64447665651557	loket	lokty	122879	11.70028537333	elleboog	ellebogen	11729	4.62005487616809	ellbogen	ellenbogen	1637	1.22221993390927	αγκώνας	αγκώνες	631	5.07701567257842	מרפק	מרפקים	57	1.19166451992833	कोहनी	कोहनीयां	435	4.0292660319563	könyök	könyökök	16924	6.5785057390975	gomito	gomiti	7908	5.08250534465638	肘	NA	1220	3.6216069212993	cubitum	cubita	419	37.9635586079425	elkonis	elkoņi	4152	7.82853437200035	siku	NA	1120	6.13433952713761	łokieć	łokcie	67975	8.80980452727434	cotovelo	cotovelos	21479	5.51253468246716	локоть	локти	94805	6.51408116611219	xusul	xusulo	421	5.85766962005917	codo	codos	746	7.62990384326746	kiwiko	viwiko	27	1.50985743981974	siko	NA	1586	8.0137905106837	முழங்கை	முழங்கைகள்	69	2.57938959306017	dirsek	dirsekler	345	10.5210220541664	کہنی	NA	168	3.15378811345895	igun'pa	NA	NA	NA	0.7	5.25	0.63	0.63	1.26	1.26	0.63	0.63	1.26	1.26
Guenther-2022-30-7	7	1248	EYE	eye	eyes	311743	163.32315478657	አይን	አይኖች	2002	77.0715995159503	عين	عيون	1348673	180.409402540989	চোখ	NA	4228	367.022490978521	眼睛	双眼	1534955	113.437102442408	oko	oči	1389586	1148.39806302302	oko	oči	2699980	257.08653636735	oog	ogen	619647	244.079047135555	auge	augen	299239	223.418369458202	μάτι	μάτια	33375	268.534703759595	עיין	עיניים	3709	77.5418193756874	आँख	आंखें	22964	212.70819576516	szem	szemek	1207992	469.556978538399	occhio	occhi	322303	207.14551341664	目	NA	176677	524.471021339669	oculus	oculi	6630	600.712156493218	acs	acis	144812	273.040876560239	mata	NA	117387	642.939030421521	oko	oczy	2842049	368.339774136602	olho	olhos	633653	162.625547704705	глаз	глаза	3613443	248.280797332629	il	indo	2566	35.7025659027834	ojo	ojos	20745	212.17473891231	Jicho	macho	83	4.64141361129771	mata	NA	69280	350.060155472993	கண்	கண்கள்	4778	178.613383704949	göz	gözleri	29954	913.468680030438	آنکھ	آنکھیں	7307	137.17101038717	oju	NA	2357	836.716111133791	0.68	2.71	0.1	0.1	0.2	0.2	0.1	0.1	0.2	0.2
Guenther-2022-30-8	8	17	EYELID	eyelid	eyelids	3229	1.69168342771396	የዐይን_ሽፋን	የዓይን_ሽፋኖች	NA	NA	جفن	الجفون	22490	3.00844419896212	নেত্রপল্লব	NA	NA	NA	眼睑	几个眼皮	43346	3.20338032220398	očni_kapak	kapci	NA	NA	oční_víčko	víčka	65	0.00618916616563002	ooglid	oogleden	9796	3.85864588344638	augenlid	augenlider	1440	1.07513543361598	βλέφαρο	βλέφαρα	968	7.78851215698242	עפעף	עפעפיים	199	4.16037262220593	पलक	पलकें	2042	18.9143936488615	szemhéj	NA	11527	4.4806449807715	palpebra	palpebre	4243	2.72699420553579	瞼	NA	517	1.53473014615716	palpebra	palpebrae	94	8.5168842700396	plakstiņš	plakstiņi	2373	4.47425627763893	kelopak_mata	NA	NA	NA	powieka	powieki	96424	12.4968972671997	pálpebra	pálpebras	10257	2.632434854419	веко	веки	120313	8.26674381455045	NA	NA	NA	NA	párpado	párpados	389	3.97859597189148	kope	NA	33	1.84538131533524	takipmata	NA	91	0.459807652252344	கண்ணிமை	கண்_இமைகள்	6	0.224294747222624	göz_kapakları	gözkapağı	NA	NA	پلک	پلکیں	374	7.02093306210505	ipenpe_oju	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Guenther-2022-30-9	9	1560	FACE	face	faces	488751	256.058212133362	ፊት	ፊቶች	26707	1028.14745667956	وجه	اوجه	950608	127.161010364028	মুখ	NA	5140	446.191013157426	脸	NA	1077562	79.634589275937	lice	lica	234470	193.773464785201	obličej	obličeje	505217	48.1057225030939	gezicht	gezichten	217041	85.4924827673627	gesicht	gesichter	115457	86.2027164993055	πρόσωπο	πρόσωπα	39494	317.768077611429	פנים	NA	7204	150.609670202872	चेहरा	चेहरे	20374	188.717853184087	arc	arcok	598646	232.698897818941	faccia	facce	100784	64.7743068608812	顔	NA	53957	160.17298742012	faciem	facies	3670	332.52090713878	seja	sejas	77870	146.822729178147	muka	NA	73158	400.692867077084	twarz	twarzy	1138155	147.508982298491	rosto	rostos	182281	46.781988661241	лицо	лица	4295546	295.148307544629	waji	wajiyaal	2099	29.2048658729316	cara	caras	11884	121.546618328942	uso	NA	2135	119.390579037598	mukha	NA	78689	397.602245583348	முகம்	முகங்கள்	3509	131.175044667364	yüz	yüzleri	37348	1138.95400486669	چہرہ	چہرے	7860	147.552229593972	oju	NA	2357	836.716111133791	4.12	NA	2.14	2.14	2.14	2.14	2.14	2.14	2.14	2.14
Guenther-2022-30-10	10	1303	FINGER	finger	fingers	66962	35.0816059729273	ጣት	ጣቶች	1042	40.1141891586515	اصبع_اليد	اصابع_اليد	NA	NA	আঙ্গুল	আঙ্গুলের	265	23.0040113787389	手指	多个手指	373534	27.6051184716962	prst	prsti	91282	75.4383478164488	prst	prsty	693757	66.0581131010613	vinger	vingers	111987	44.1116962586269	finger	NA	44382	33.1365700102391	δάχτυλο	δάχτυλα	3112	25.0391010666625	אצבע	אצבעות	1492	31.1923414690012	उंगली	उंगलियों	3016	27.9362444882304	ujj	ujjak	143313	55.7070073852092	dito	dite	49952	32.1043635528927	指	NA	11253	33.404871053591	digitus	digiti	1228	111.263126421368	pirksts	pirksti	35490	66.9158682230954	jari	NA	15403	84.3635997647327	palec	palce	536219	69.4959113469735	dedo	dedos	139593	35.8262141593946	Палец	пальцы	310090	21.3063807689439	far	faro	5226	72.7130200342736	dedo	dedos	4557	46.6078710640346	kidole	vidole	1160	64.8679492663295	daliri	NA	19404	98.0451393879613	விரல்	விரல்கள்	1053	39.3637281375704	parmak	parmaklar	3655	111.461842341966	انگلی	انگلیاں	1561	29.3039478875561	ika_owo	NA	NA	NA	7.65	3.77	0.43	0.96	0.86	1.92	0.43	0.96	0.86	1.92
