ID	NUMBER	PICTURE	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	ITALIAN	SPANISH	GERMAN	WESTERNFLEMISH	FRENCH	H_INDEX_ENGLISH	MODAL_NAME_ENGLISH	VALID_RESPONSES_ENGLISH	NUMBER_DIFFERENT_RESPONSES_ENGLISH	UNKNOWN_RESPONSES_ENGLISH	VISUAL_COMPLEXITY_ENGLISH	H_INDEX_ITALIAN	MODAL_NAME_ITALIAN	VALID_RESPONSES_ITALIAN	NUMBER_DIFFERENT_RESPONSES__ITALIAN	UNKNOWN_RESPONSES__ITALIAN	IDIOSYNCRATIC_RESPONSES__ITALIAN	VISUAL_COMPLEXITY__ITALIAN	H_INDEX_SPANISH	MODAL_NAME_SPANISH	VALID_RESPONSES_SPANISH	NUMBER_DIFFERENT_RESPONSES_SPANISH	UNKNOWN_RESPONSES_SPANISH	IDIOSYNCRATIC_RESPONSES_SPANISH	VISUAL_COMPLEXITY_SPANISH	H_INDEX_GERMAN	MODAL_NAME_GERMAN	VALID_RESPONSES_GERMAN	NUMBER_DIFFERENT_RESPONSES_GERMAN	UNKNOWN_RESPONSES_GERMAN	IDIOSYNCRATIC_RESPONSES_GERMAN	VISUAL_COMPLEXITY_GERMAN	H_INDEX_WESTERNFLEMISH	MODAL_NAME_WESTERNFLEMISH	VALID_RESPONSES_WESTERNFLEMISH	NUMBER_DIFFERENT_RESPONSES_WESTERNFLEMISH	UNKNOWN_RESPONSES_WESTERNFLEMISH	IDIOSYNCRATIC_RESPONSES_WESTERNFLEMISH	VISUAL_COMPLEXITY_WESTERNFLEMISH	H_INDEX_FRENCH	MODAL_NAME_FRENCH	VALID_RESPONSES_FRENCH	NUMBER_DIFFERENT_RESPONSES_FRENCH	UNKNOWN_RESPONSES_FRENCH	IDIOSYNCRATIC_RESPONSES_FRENCH	VISUAL_COMPLEXITY_FRENCH
Dunabeitia-2018-750-9	9	PICTURE_9	3128	SHOWER (ACTION)	shower	doccia	ducha	dusche	douche	douche	0.0	100.0	99	1	0	2.79	0.288538514	94.94949495	99	2	1	0	2.56	0	100	100	1	0	0	2.6	0.468995594	90	100	2	0	0	3.04	0.821498557	81.3559322	98.33333333	3	0	1.666666667	3.466666667	0.14257333	97.97979798	99	2	0	1	2.656565657
Dunabeitia-2018-750-89	89	PICTURE_89	3762	SAFE	safe	presa	enchufe	steckdose	stopcontact	prise	1.608998724	49.01960784	51	4	40	2.76	1.433492627	67.10526316	76	5	21	3	2.67	0	100	97	1	0	3	2.3	0	100	98	1	0	2	2.97	0.439496987	90.90909091	93.22033898	2	5.084745763	1.694915254	2.661016949	1.247915242	67.41573034	89	4	10	1	2.454545455
Dunabeitia-2018-750-88	88	PICTURE_88			crutches	stampella	muleta	kruecke	kruk	béquille	0.554778163	87.09677419	93	2	5	2.11	0.0	100	98	1	0	2	1.73	0	100	100	1	0	0	1.65	0.249882293	95.83333333	96	2	0	4	2.09	0	100	93.33333333	1	0	6.666666667	2.016666667	0.365923651	93	100	2	0	0	1.656565657
Dunabeitia-2018-750-87	87	PICTURE_87	4006	ROBOT	robot	robot	robot	roboter	robot	robot	0.0	100.0	97	1	0	2.76	0.0	100	96	1	1	3	2.56	0	100	99	1	0	1	2.54	0	100	99	1	0	1	2.85	0	100	98.33333333	1	1.666666667	0	3.2	0	100	98	1	1	1	2.575757576
Dunabeitia-2018-750-86	86	PICTURE_86	666	RIVER	river	fiume	río	fluss	rivier	rivière	1.894728645	62.22222222	90	8	4	2.73	1.527311258	68.08510638	94	6	2	4	2.53	0.452120135	92.63157895	95	3	0	5	2.43	0.932913773	83.87096774	93	5	0	7	2.74	0.527765223	90.90909091	93.22033898	3	0	6.779661017	3.050847458	1.126516008	79.34782609	92	5	2	6	2.414141414
Dunabeitia-2018-750-85	85	PICTURE_85	3878	DIAMOND	diamond	diamante	diamante	diamant	diamant	diamant	0.195909271	96.96969697	99	2	0	2.67	0.14372617	97.95918367	98	2	2	0	2.27	0	100	99	1	0	1	2.18	0.553149088	89.69072165	97	3	0	3	2.55	0.219297308	96.49122807	96.61016949	2	1.694915254	1.694915254	2.779661017	0	100	96	1	0	4	2.262626263
Dunabeitia-2018-750-84	84	PICTURE_84	2005	MASK	mask	maschera	máscara	maske	masker	masque	0.348574912	94.73684211	95	3	4	3.56	0.0	100	99	1	1	0	3.212121212	0.768281409	77.55102041	98	2	0	2	3.11	0.14372617	97.95918367	98	2	0	2	3.72	0	100	96.66666667	1	1.666666667	1.666666667	3.949152542	0.429585505	92.92929293	99	3	0	1	3.191919192
Dunabeitia-2018-750-83	83	PICTURE_83	1223	HEART	heart	cuore	corazón	herz	hart	coeur	0.0	100.0	100	1	0	1.45	0.0	100	99	1	1	0	1.25	0	100	99	1	0	1	1.21	0	100	100	1	0	0	1.14	0.423680572	91.37931034	96.66666667	2	1.666666667	1.666666667	1.05	0	100	100	1	0	0	1.070707071
Dunabeitia-2018-750-82	82	PICTURE_82			park	parco	parque	park	park	parc	0.615018229	88.42105263	95	3	2	3.79	1.33251875	75	96	6	1	3	3.43	1.039399731	80.80808081	99	5	0	1	3.44	1.571594956	59.7826087	92	6	0	8	3.87	0.844273145	81.81818182	91.66666667	3	1.666666667	6.666666667	4.45	1.202097884	75	88	5	2	10	3.656565657
Dunabeitia-2018-750-81	81	PICTURE_81	634	MEAT	meat	carne	carne	fleisch	vlees	viande	0.729881874	87.64044944	89	4	6	3.28	0.606798047	90.32258065	93	4	2	5	3.08	0.513587736	88.54166667	96	2	0	4	3.05	0.552081074	91.39784946	93	4	2	5	3.1	0.910235442	83.33333333	81.3559322	4	11.86440678	6.779661017	3.762711864	0.366637352	94.38202247	89	3	6	5	3.121212121
Dunabeitia-2018-750-80	80	PICTURE_80	2580	HELICOPTER	helicopter	elicottero	helicóptero	hubschrauber	helikopter	hélicoptère	0.0	100.0	100	1	0	3.15	0.141440543	98	100	2	0	0	3.01	0	100	100	1	0	0	3.05	0.996390619	53.53535354	99	2	0	1	3.41	0	100	96.61016949	1	0	3.389830508	3.644067797	0	100	100	1	0	0	3
Dunabeitia-2018-750-8	8	PICTURE_8	1297	LEG	leg	gamba	pierna	bein	been	jambe	0.288538514	94.94949495	99	2	0	2.33	0.288538514	94.94949495	99	2	1	0	2.141414141	0.327444919	94	100	2	0	0	1.99	0.448864489	90.625	96	2	0	4	2.3	0.222284831	96.42857143	94.91525424	2	1.694915254	3.389830508	2.344827586	0.286396957	95	100	2	0	0	1.797979798
Dunabeitia-2018-750-79	79	PICTURE_79			keyboard	tastiera	teclado	tastatur	toetsenbord	clavier	0.0	100.0	97	1	0	2.05	0.244141642	95.95959596	99	2	1	0	1.98	0	100	98	1	0	2	1.87	0.244141642	95.95959596	99	2	0	1	2.11	0.622634316	84.48275862	98.30508475	2	1.694915254	0	2.338983051	0.194391858	97	100	2	0	0	1.636363636
Dunabeitia-2018-750-78	78	PICTURE_78	1472	KEY	key	chiave	llave	schluessel	sleutel	clé	0.0	100.0	100	1	0	2.08	0.0	100	100	1	0	0	1.8	0	100	100	1	0	0	1.797979798	0	100	100	1	0	0	2.01	0	100	98.33333333	1	1.666666667	0	2.25	0	100	100	1	0	0	1.797979798
Dunabeitia-2018-750-77	77	PICTURE_77	1871	CAMEL	camel	cammello	camello	kamel	kameel	chameau	0.0	100.0	98	1	2	3.717171717	0.887629706	69.47368421	95	2	5	0	3.03	0.863120569	71.42857143	98	2	2	0	3.23	0.442571065	90.81632653	98	2	1	1	3.4	0.881290899	70	100	2	0	0	3.9	0.892338681	69.07216495	97	2	2	1	3.464646465
