ID	NUMBER	RUSSIAN	GLOSS	GERMAN	LATIN	FRENCH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Pallas-1786-442-1	1	Богъ	god (noun)	Gott	Deus	Dieu	1944	GOD
Pallas-1786-442-2	2	Отецъ	father (noun)	Vater	Pater	Pére	1217	FATHER
Pallas-1786-442-3	3	Мать	mother (noun)	Mutter	Mater	Mére	1216	MOTHER
Pallas-1786-442-4	4	Сынъ	son (noun)	Sohn	Filius	Fils	1620	SON
Pallas-1786-442-5	5	Дочь	daughter (noun)	Tochter	Filia	Fille	1357	DAUGHTER
Pallas-1786-442-6	6	Братъ	brother (noun)	Bruder	Frater	Frére	1262	BROTHER
Pallas-1786-442-7	7	Сестра	sister (noun)	Schweßter	Soror	Soeur	1263	SISTER
Pallas-1786-442-8	8	Мужъ	husband (noun)	Mann	Maritus	Mari	1200	HUSBAND
Pallas-1786-442-9	9	Жена	wife (noun)	Weib	Uxor	Femme	1199	WIFE
Pallas-1786-442-10	10	Дѣва	girl (noun)	Maedchen	Puella	Fille	1646	GIRL
Pallas-1786-442-11	11	Мальчикъ	boy (noun)	Knabe	Puer	Garҫon	1366	BOY
Pallas-1786-442-12	12	Дитя	child (descendant, noun)	Kind	Infans	Enfant	2099	CHILD
Pallas-1786-442-13	13	Человѣкъ	person (noun)	Menßch	Homo	Homme	683	PERSON
Pallas-1786-442-14	14	Люди	people (noun)	Leute	NAN	Gens	789	PEOPLE
Pallas-1786-442-15	15	Глава	head (noun)	Kopf	Caput	Tête	1256	HEAD
Pallas-1786-442-16	16	Лицо	face (noun)	Antlitz	Facies	Vißage (Face)	1560	FACE
Pallas-1786-442-17	17	Носъ	nose (noun)	Naße	Naßus	Nez	1221	NOSE
Pallas-1786-442-18	18	Ноздри	nostrils (noun)	Naslöcher	Nares	Narines	1178	NOSTRIL
Pallas-1786-442-19	19	Око	eye (noun)	Auge	Oculus	Oeuil	1248	EYE
Pallas-1786-442-20	20	Брови	eyebrow (noun)	Augbraunen	Supercilia	Sourcils	1173	EYEBROW
Pallas-1786-442-21	21	Ресницы	eyelash (noun)	Augwimmern	Cilia	Cils	1540	EYELASH
Pallas-1786-442-22	22	Ухо	ear (noun)	Ohr	Auris	Oreille	1247	EAR
Pallas-1786-442-23	23	Лобъ	front, forehead (noun)	Stirn	Frons	Front	123	FOREHEAD
Pallas-1786-442-24	24	Волосъ	hair (noun)	Haar	Capillus	Cheveux	2648	HAIR (HEAD)
Pallas-1786-442-25	25	Щоки	cheeks (noun)	Wangen	Genæ	Joues	1730	CHEEK
Pallas-1786-442-26	26	Ротъ	mouth (noun)	Mund	Os	Bouche	674	MOUTH
Pallas-1786-442-27	27	Горло	throat (noun)	Kehle	Guttur	Goßier	1346	THROAT
Pallas-1786-442-28	28	Губы	lips (noun)	Lippen	Labra	Lévres	478	LIP
Pallas-1786-442-29	29	Зубы	teeth, tooth (noun)	Zaehne	Dentes	Dents	1380	TOOTH
Pallas-1786-442-30	30	Языкъ	tongue (noun)	Zunge	Lingua	Langue	1205	TONGUE
Pallas-1786-442-31	31	Брада	beard (noun)	Bart	Barba	Barbe	678	BEARD
Pallas-1786-442-32	32	Шея	neck (noun)	Hals	Collum	Col	1333	NECK
Pallas-1786-442-33	33	Плечо	shoulder (noun)	Schulter	Axilla	Epaule	1482	SHOULDER
Pallas-1786-442-34	34	Локоть	elbow (noun)	Ellbogen	Ulna	Coude	981	ELBOW
Pallas-1786-442-35	35	Рука	hand, arm (noun)	Arm, Hand	Brachium, Manus	Bras, Main	2121	ARM OR HAND
Pallas-1786-442-36	36	Палцы	finger (noun)	Finger, Zaehen	Digiti	Doigts	1303	FINGER
Pallas-1786-442-37	37	Ногти	nail (noun)	Naegel	Ungues	Ongles	1896	FINGERNAIL OR TOENAIL
Pallas-1786-442-38	38	Грудь	chest (noun)	Brußt	Pectus	Poitrine	1592	CHEST
Pallas-1786-442-39	39	Брюхо	belly (noun)	Bauch	Venter	Ventre	1251	BELLY
Pallas-1786-442-40	40	Спина	back, spine (noun)	Rükken	Dorßum	Dos	1291	BACK
Pallas-1786-442-41	41	Нога	foot (noun)	Fus	Pes	Pied	1301	FOOT
Pallas-1786-442-42	42	Колено	knee (noun)	Knie	Genu	Genou	1371	KNEE
Pallas-1786-442-43	43	Сердце	heart (noun)	Hertz	Cor	Coeur	1223	HEART
Pallas-1786-442-44	44	Желудокъ	stomach (noun)	Magen	Stomachus	Eßtomac	819	STOMACH
Pallas-1786-442-45	45	Кровь	blood (noun)	Blut	Sanguis	Sang	946	BLOOD
Pallas-1786-442-46	46	Молоко	milk (noun)	Milch	Lac	Lait	635	MILK
Pallas-1786-442-47	47	Кожа	skin (noun)	Haut	Pellis	Peau	763	SKIN
Pallas-1786-442-48	48	Мясо	meat (noun)	Fleißch	Caro	Chair	634	MEAT
Pallas-1786-442-49	49	Кость	bone (noun)	Knochen	Os	Os	1394	BONE
Pallas-1786-442-50	50	Слухъ	hearing (noun)	Gehör	Auditus	Ouïe	2518	HEARING (AURAL SENSE)
Pallas-1786-442-51	51	Зрѣнïе	sight, seeing (noun)	Sehen	Vißus	Vuë	2519	SEEING (VISUAL SENSE)
Pallas-1786-442-52	52	Видѣть	to see	Sehen	Videre	Voir	1409	SEE
Pallas-1786-442-53	53	Вкусъ	taste (noun)	Geßchmak	Gußtus	Gout	2190	TASTE
Pallas-1786-442-54	54	Обонянïе	smell, olfaction (noun)	Geruch	Olfactus	Odorat	2520	SMELLING (OLFACTORY SENSE)
Pallas-1786-442-55	55	Нюхать	to smell	Riechen	Olfacere	Sentir	1586	SMELL (PERCEIVE)
Pallas-1786-442-56	56	Осязанïе	feeling, sense (noun)	Gefühl	Tactus	Attouchement	2521	FEELING (HAPTIC SENSE)
Pallas-1786-442-57	57	Голосъ	voice (noun)	Stimme	Vox	Voix	1363	VOICE
Pallas-1786-442-58	58	Говорить	to speak	Reden	Loqui	Parler	1623	SPEAK
Pallas-1786-442-59	59	Рѣчъ	talk (noun)	Rede	Oratio	Dißcour	1115	SPEECH
Pallas-1786-442-60	60	Слово	word (noun)	Wort	Verbum	Mot	1599	WORD
Pallas-1786-442-61	61	Имя	name (noun)	Nahme	Nomen	Nom	1405	NAME
Pallas-1786-442-62	62	Кричать	to shout, to cry	Kreißchen	Clamare	Crier		
Pallas-1786-442-63	63	Крикъ	shout, cry (noun)	Geßchrey	Clamor	Cri	2522	SCREAM (NOISE)
Pallas-1786-442-64	64	Шумъ	noise (noun)	Geräußch	Strepitus	Bruit	1182	NOISE
Pallas-1786-442-65	65	Вопль	howl (noun)	Geheul	Ululatus	Hurlement	2523	HOWLING
Pallas-1786-442-66	66	Плакать	to cry, to weep (verb)	Weinen	Plorare	Pleurer	1839	CRY
Pallas-1786-442-67	67	Смѣяться	to laugh (verb)	Lachen	Ridere	Rire	1355	LAUGH
Pallas-1786-442-68	68	Пѣть	to sing (verb)	Singen	Cantare	Chanter	1261	SING
Pallas-1786-442-69	69	Чихать	to sneeze (verb)	Nießen	Sternutare	Eternuer	1621	SNEEZE
Pallas-1786-442-70	70	Дрожать	to tremble (verb)	Zittern	Tremere	Trembler	52	SHIVER
Pallas-1786-442-71	71	Пѣть	to sing (verb)	Singen	Cantare	Chanter	1261	SING
Pallas-1786-442-72	72	Стонать	to groan, to moan (verb)	Stoehnen	Sußpirare	Soupirer	716	GROAN
Pallas-1786-442-73	73	Зѣвать	to yawn (verb)	Gaehnen	Oßcitare	Bailler	1028	YAWN
Pallas-1786-442-74	74	Свистать	to whistle (verb)	Pfeiffen	Sibilare	Sifler	1025	WHISTLE
Pallas-1786-442-75	75	Лечь	to lie, to rest (verb)	Liegen	Cubare	Coucher	1411	LIE (REST)
Pallas-1786-442-76	76	Стой	to stand (verb)	Stehe	Sta	Arrête	1442	STAND
Pallas-1786-442-77	77	Итти	to go (verb)	Gehen	Ire	Aller	695	GO
Pallas-1786-442-78	78	Иди	go! (imperative, verb)	Gehe	Ito	Va	695	GO
Pallas-1786-442-79	79	Пади	go away! (imperative, verb)	Gehe-fort	Abi	Va-t-en	1752	LEAVE
Pallas-1786-442-80	80	Спать	to sleep (verb)	Schlafen	Dormire	Dormir	1585	SLEEP
Pallas-1786-442-81	81	Сонъ	sleep (noun)	Schlaf	Somnus	Someil	2972	SLEEP (STATE)
Pallas-1786-442-82	82	Скакать	to jump (verb)	Springen	Saltare	Sauter	1829	JUMP
Pallas-1786-442-83	83	Держать	to hold (verb)	Halten	Tenere	Tenir	1448	HOLD
Pallas-1786-442-84	84	Бѣжать	to run (verb)	Laufen	Currere	Courir	1519	RUN
Pallas-1786-442-85	85	Плясать	to dance (verb)	Tantzen	Saltare	Dancer	1879	DANCE
Pallas-1786-442-86	86	Любить	to love (verb)	Lieben	Amare	Aimer	923	LOVE
Pallas-1786-442-87	87	Любовь	love (noun)	Liebe	Amor	Amour	923	LOVE
Pallas-1786-442-88	88	Радъ	glad (adjective)	Froh	Laetus	Joyeu	1495	HAPPY
Pallas-1786-442-89	89	Радость	joy (noun)	Freude	Laetitia	Joye	2524	JOY
Pallas-1786-442-90	90	Печаль	grief (noun)	Kummer	Trißtitia	Trißteßße, Chagrin	1668	GRIEF
Pallas-1786-442-91	91	Боль	pain (noun)	Schmertz	Dolor	Douleur	1783	PAIN
Pallas-1786-442-92	92	Трудъ	labor, effort (noun)	Mühe	Labor	Peine	2525	LABOUR (EFFORT)
Pallas-1786-442-93	93	Работа	labor, work (noun)	Arbeit	Labor	Travail	984	WORK (LABOUR)
Pallas-1786-442-94	94	Лѣнь	lazy (noun)	Faul	Piger	Pareßßeu	1564	LAZY
Pallas-1786-442-95	95	Я	I (pronoun)	Ich	Ego	Je	1209	I
Pallas-1786-442-96	96	Ты	thou, you (pronoun)	Du	Tu	Tu	1215	THOU
Pallas-1786-442-97	97	Онъ	he (pronoun)	Er	Ille	Il	1211	HE
Pallas-1786-442-98	98	Мы	we (pronoun)	Wir	Nos	Nous	1212	WE
Pallas-1786-442-99	99	Вы	you (plural, pronoun)	Ihr	Vos	Vous	1213	YOU
Pallas-1786-442-100	100	Они	they (pronoun)	Sie	Illi	Ils	817	THEY
Pallas-1786-442-101	101	Быть	to be (verb)	Seyn	Eßße	Etre	1579	BE
Pallas-1786-442-102	102	Есмь	I am (verb)	Ich bin	Sum	Je ßuis	1579	BE
Pallas-1786-442-103	103	Еси	you are (verb)	Du bißt	Es	Tu es	1579	BE
Pallas-1786-442-104	104	Есть	he is (verb)	Er ißt	Eßt	Il eßt	1579	BE
Pallas-1786-442-105	105	Есми	we are (verb)	Wir ßind	Sumus	Nous ßommes	1579	BE
Pallas-1786-442-106	106	Есте	you are (verb)	Ihr, Seyd	Eßtis	Vous étes	1579	BE
Pallas-1786-442-107	107	Суть	they are (verb)	Sie ßind	Sunt	Ils ßont	817	THEY
Pallas-1786-442-108	108	Былъ, Бѣ	was (verb)	War	Fuit	Fut	1579	BE
Pallas-1786-442-109	109	Ястй	to eat (verb)	Eßßen	Edere	Manger	1336	EAT
Pallas-1786-442-110	110	Ѣмъ	I eat (verb)	Eßßen	Edo	Je mange	1336	EAT
Pallas-1786-442-111	111	Ѣшь	you eat (verb)	Ißßeßt	Edis	Tu mange	1336	EAT
Pallas-1786-442-112	112	Ѣсть	he eats (verb)	Ißßet	Edit	Il mange	1336	EAT
Pallas-1786-442-113	113	Пить	to drink (verb)	Trinken	Bibere	Boire	1401	DRINK
Pallas-1786-442-114	114	Кормить	to feed (verb)	Naehren	Nutrire	Nourrir	739	FEED
Pallas-1786-442-115	115	Взять	to take (verb)	Nehmen	Sumere	Prendre	1749	TAKE
Pallas-1786-442-116	116	Бить	to beat (verb)	Schlagen	Verberare	Battre	3308	STRIKE (SOMEONE)
Pallas-1786-442-117	117	Носить	to wear (verb)	Tragen	Ferre	Porter	976	WEAR
Pallas-1786-442-118	118	Бросать	to throw (verb)	Werfen	Projicere	Jetter	1456	THROW
Pallas-1786-442-119	119	Драть	to pull (verb)	Reßßen	Lacerare	Dechirer	1455	PULL
Pallas-1786-442-120	120	Лить	to pour (verb)	Gießßen	Fundere	Verßer	1487	POUR
Pallas-1786-442-121	121	Дать	to give (verb)	Geben	Dare	Donner	1447	GIVE
Pallas-1786-442-122	122	Дай	give! (imperative, verb)	Gieb	Da	Donne	1447	GIVE
Pallas-1786-442-123	123	Рѣзать	to cut (verb)	Schneiden	Secare	Couper	1432	CUT
Pallas-1786-442-124	124	Скрыть	to hide (verb)	Verbergen	Occultare	Cacher	602	HIDE (CONCEAL)
Pallas-1786-442-125	125	Сила	strength (noun)	Staerke	Vis	Force	202	STRENGTH
Pallas-1786-442-126	126	Мочъ	ability (noun)	Krafft	Potentia	Faculté	2527	ABILITY
Pallas-1786-442-127	127	Власть	power (noun)	Gewalt	Potentia	Pouvoir	2526	POWER
Pallas-1786-442-128	128	Родить	to give birth (verb)	Gebaehren	Parere	Enfanter	1195	GIVE BIRTH
Pallas-1786-442-129	129	Родъ	family (noun)	Geßchlecht	Genus	Famille	194	FAMILY
Pallas-1786-442-130	130	Бракъ	marriage (noun)	Ehe	Matrimonium	Mariage	2432	MARRIAGE
Pallas-1786-442-131	131	Свадба	wedding (noun)	Hochzeit	Nuptiae	Noҫes	1259	WEDDING
Pallas-1786-442-132	132	Вдова	widow (noun)	Wittwe	Vidua	Veuve	1756	WIDOW
Pallas-1786-442-133	133	Жить	to live (verb)	Leben	Vivere	Vivre	1422	BE ALIVE
Pallas-1786-442-134	134	Жизнь	life (noun)	das Leben	Vita	Vie	210	LIFE
Pallas-1786-442-135	135	Тѣло	body (noun)	Leib	Corpus	Corps	1480	BODY
Pallas-1786-442-136	136	Рость	height, size (noun)	Wuchs	Statura	Taille	2528	SIZE (OF PERSON)
Pallas-1786-442-137	137	Духъ	spirit (noun)	Geißt, Duft	Spiritus	Eßprit	53	SPIRIT
Pallas-1786-442-138	138	Душа	soul (noun)	Seele	Anima	Ame	811	SOUL
Pallas-1786-442-139	139	Умереть	to die (verb)	Sterben	Mori	Mourir	1494	DIE
Pallas-1786-442-140	140	Смерть	death (noun)	Tod	Mors	Mort	910	DEATH
Pallas-1786-442-141	141	Старъ	old (adjective)	Alt	Senex	Vieu	2112	OLD (AGED)
Pallas-1786-442-142	142	Молодъ	young (adjective)	Jung	Juvenis	Jeune	1207	YOUNG
