ID	NUMBER	GLOSS	GERMAN	PORTUGUESE	CONCEPTICON_ID	CONCEPTICON_GLOSS	PAGE	SEMANTIC_CATEGORY	SEMANTIC_SUBCATEGORY
KochGrunberg-1914-821-1	1	tongue	Zunge	língua (parte do corpo)	1205	TONGUE	812	A. Körperteile	
KochGrunberg-1914-821-2	2	mouth	Mund	boca	674	MOUTH	812	A. Körperteile	
KochGrunberg-1914-821-3	3	lip	Lippen	lábios	478	LIP	812	A. Körperteile	
KochGrunberg-1914-821-4	4	tooth	Zahn	dente	1380	TOOTH	812	A. Körperteile	
KochGrunberg-1914-821-5	5	nose	Nase	nariz	1221	NOSE	812	A. Körperteile	
KochGrunberg-1914-821-6	6	nostril	Nasenloch	narina	1178	NOSTRIL	812	A. Körperteile	
KochGrunberg-1914-821-7	7	eye	Auge	olho	1248	EYE	812	A. Körperteile	
KochGrunberg-1914-821-8	8	ear	Ohr	orelha	1247	EAR	812	A. Körperteile	
KochGrunberg-1914-821-9	9	earhole	Ohrloch als Gehörgang	ouvido	3891	EARHOLE	812	A. Körperteile	
KochGrunberg-1914-821-10	10	hole in the earlobe	Loch im Ohrläppchen	furo no lobo da orelha			812	A. Körperteile	
KochGrunberg-1914-821-11	11	pin in the earlobe	Stift im Ohrläppchen	alargador no lobo da orelha			812	A. Körperteile	
KochGrunberg-1914-821-12	12	hole in the lower lip	Loch in der Unterlippe	furo no lábio inferior			812	A. Körperteile	
KochGrunberg-1914-821-13	13	long and thin cylinder in the lower lip	Stift in der Unterlippe	cilindro longo e fino no lábio inferior			812	A. Körperteile	
KochGrunberg-1914-821-14	14	hole in the nasal septum	Loch in der Nasenscheidewand	furo no septo nasal			812	A. Körperteile	
KochGrunberg-1914-821-15	15	pin in the nasal septum	Stift in der Nasenscheidewand	talo da pena no septo nasal			812	A. Körperteile	
KochGrunberg-1914-821-16	16	forehead	Stirn	testa	123	FOREHEAD	812	A. Körperteile	
KochGrunberg-1914-821-17	17	head	Kopf	cabeça	1256	HEAD	812	A. Körperteile	
KochGrunberg-1914-821-18	18	hair (head)	Kopfhaar	cabelo	2648	HAIR (HEAD)	812	A. Körperteile	
KochGrunberg-1914-821-19	19	eyebrow	Augenbrauen	sobrancelhas	1173	EYEBROW	812	A. Körperteile	
KochGrunberg-1914-821-20	20	eyelash	Augenwimpern	cílios	1540	EYELASH	812	A. Körperteile	
KochGrunberg-1914-821-21	21	beard	Bart	barba	678	BEARD	812	A. Körperteile	
KochGrunberg-1914-821-22	22	pubic hair	Schamhaar	pelo pubiano	36	PUBIC HAIR	812	A. Körperteile	
KochGrunberg-1914-821-23	23	armpit hair	Achselhaar	pelo nas axilas			812	A. Körperteile	
KochGrunberg-1914-821-24	24	cheek	Wange	bochecha	1730	CHEEK	812	A. Körperteile	
KochGrunberg-1914-821-25	25	chin	Kinn	queixo	1510	CHIN	812	A. Körperteile	
KochGrunberg-1914-821-26	26	shoulder	Schulter	ombro	1482	SHOULDER	812	A. Körperteile	
