ID	NUMBER	RUSSIAN	TRANSLITERATION	ENGLISH	CATEGORY	ABSTRACTNESS	LENGTH	GENDER	OBJECTIVE_WORD_FREQUENCY	VISUAL_MEAN	AUDITORY_MEAN	OLFACTORY_MEAN	GUSTATORY_MEAN	HAPTIC_MEAN	IMAGEABILITY_MEAN	MANIPULABILITY_MEAN	SPATIAL_LOCALIZATION_MEAN	AOA_MEAN	SUBJECTIVE_FREQ_MEAN	CONCEPTICON_ID	CONCEPTICON_GLOSS
Miklashevsky-2018-506-1	1	абрикос	abrikos	apricot	Food	concrete	7	m	0.6	4.03	1.63	5	5.82	4.97	5.93	6	3.92	4.13	3.96	3730	APRICOT
Miklashevsky-2018-506-2	2	автобус	avtobus	bus	Transport	concrete	7	m	1.8	4.53	4.77	2.97	1.61	5.14	6.67	5.66	3.22	4.03	6.75	1070	BUS
Miklashevsky-2018-506-3	3	автомобиль	avtomobil	car	Transport	concrete	10	m	2.2	6.45	5	4.1	1.74	4.46	6.86	6.7	2.88	3.63	6.08	1111	CAR
Miklashevsky-2018-506-4	4	аист	aist	stork	Animal	concrete	4	m	0.6	3.9	1.79	2.21	2.21	2.66	6.55	1.9	5.24	4.33	2.14	3724	STORK
Miklashevsky-2018-506-5	5	акула	akula	shark	Animal	concrete	5	f	1	4.91	2.29	2.24	2.27	3.11	6.86	2.16	1.71	4.8	3.2	1110	SHARK
Miklashevsky-2018-506-6	6	акцент	aktsent	accent	Sound	concrete	6	m	1.4	1.91	4.64	1.38	1	1.68	3.82	1.8	3.64	9.4	4.2		
Miklashevsky-2018-506-7	7	ананас	ananas	pineapple	Food	concrete	6	m	0.7	4.48	1.55	5.41	6.15	4.07	6.83	4.27	2.91	5.2	2.9	2440	PINEAPPLE
Miklashevsky-2018-506-8	8	антенна	antenna	antenna	Object	concrete	7	f	1	4.57	1.96	1.58	1	3.19	6.66	5.43	5.16	5.69	3.27		
Miklashevsky-2018-506-9	9	апельсин	apelsin	orange	Food	concrete	8	m	0.9	4.8	1.86	6.15	6.54	4.7	6.9	5.68	3.72	3.38	5.69	2627	ORANGE (FRUIT)
Miklashevsky-2018-506-10	10	арбуз	arbuz	water-melon	Food	concrete	5	m	1	4.41	2.07	5.14	6.03	5.1	6.93	5.21	1.78	3.11	3.89	2766	WATERMELON
Miklashevsky-2018-506-11	11	асфальт	asfalt	asphalt 	Ground	concrete	7	m	1.5	4.14	1.79	4	1.91	3.97	6.66	3.86	2.15	4.57	4.41		
Miklashevsky-2018-506-12	12	атака	ataka	attack	Action	abstract	5	f	1.6	3.6	3.71	1.81	1.54	3.11	5	5.14	4.22	5.62	3.73	722	ATTACK
Miklashevsky-2018-506-13	13	аэростат	aerostat	balloon	Transport	concrete	8	m	0.5	3.53	3.43	1.52	1.23	2.32	4.04	3.8	4.32	11.25	1.6		
Miklashevsky-2018-506-14	14	бабочка	babochka	butterfly	Animal	concrete	7	f	1.3	5.87	1.7	1.27	1.44	4.08	6.83	2.73	4.79	3.23	3.65	1791	BUTTERFLY
Miklashevsky-2018-506-15	15	баклажан	baklazhan	aubergine	Food	concrete	8	m	0.7	4.66	1.64	3.55	5.27	4.14	6.86	4.84	1.97	5.83	3.27	1146	AUBERGINE
Miklashevsky-2018-506-16	16	баран	baran	ram	Animal	concrete	5	m	1	5.44	4.5	4.07	4.14	3.79	6.75	3.48	2.62	4.13	3.73	1344	RAM
Miklashevsky-2018-506-17	17	баржа	barzha	barge	Transport	concrete	5	f	1	3.76	2.76	2	1.45	2.62	5.82	4.2	2.67	8.83	1.97		
Miklashevsky-2018-506-18	18	барсук	barsuk	badger	Animal	concrete	6	m	0.4	4	2.03	3.59	2.18	2.79	6.17	2.3	2.58	6.67	2.38	3717	BADGER
Miklashevsky-2018-506-19	19	батарейка	batareyka	battery	Tool_precise_grip	concrete	9	f	0.7	4.63	1.57	2	2.05	4.36	6.82	4.74	2.26	5.13	4.5	662	BATTERY
Miklashevsky-2018-506-20	20	башня	bashnya	tower	Building	concrete	5	f	1.6	5.4	1.8	2.21	1.54	2.76	6.33	4.5	5.49	5.2	3.79	1671	TOWER
Miklashevsky-2018-506-21	21	бег	beg	running	Action	abstract	3	m	1.3	3.41	3.37	2.07	1.72	2.92	5.1	3	2.61	3.7	5.38		
Miklashevsky-2018-506-22	22	бездна	bezdna	abyss	Ground	concrete	6	f	1.2	3.57	2.63	1.47	1.5	1.83	5.21	1.23	1.78	9.63	3.03		
Miklashevsky-2018-506-23	23	белка	belka	squirrel	Animal	concrete	5	f	1.1	4.97	3.17	2.52	3.11	4.28	6.33	3.16	3.62	4.27	4.52	1628	SQUIRREL
Miklashevsky-2018-506-24	24	бисер	biser	glass beads	Tool_precise_grip	concrete	5	m	0.6	5.13	2.18	1.17	1.64	4.11	6.71	6.32	2.5	6.27	2.53		
Miklashevsky-2018-506-25	25	бобр	bobr	beaver	Animal	concrete	4	m	0	4.84	1.5	1.9	1.44	3.23	6.55	2.3	2.66	4.87	2.96	1194	BEAVER
Miklashevsky-2018-506-26	26	бокал	bokal	wineglass	Tool_precise_grip	concrete	5	m	1.4	4.38	2.97	2.55	2.76	5.69	6.59	5.83	3.03	6.07	5		
Miklashevsky-2018-506-27	27	болт	bolt	bolt	Tool_precise_grip	concrete	4	m	0.8	3.93	2	1.77	1.4	3.34	6.41	5.65	2.47	6.19	3		
Miklashevsky-2018-506-28	28	боль	bol	pain	Sense_Phys	abstract	4	f	2.1	3	3.34	2.17	2.12	4.14	3.86	3.17	4.42	3.67	5.14	1783	PAIN
Miklashevsky-2018-506-29	29	ботинок	botinok	lace boot	Clothes	concrete	7	m	1.6	3.86	2.17	3.52	1.39	4.83	6.86	4.63	1.94	3.8	4.93		
