ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	CHINESE	ENGLISH2	NOTE
Castro-2015-608-1	1	sun	1343	SUN	太阳 	sun	
Castro-2015-608-2	2	star	1430	STAR	星星 	star	
Castro-2015-608-3	3	sky	1732	SKY	天空 	sky	
Castro-2015-608-4	4	cloud	1489	CLOUD	云 	cloud	
Castro-2015-608-5	5	mist	249	FOG	雾 	mist, fog	
Castro-2015-608-6	6	rain	658	RAIN (PRECIPITATION)	雨 	rain	
Castro-2015-608-7	7	snow	784	SNOW	雪 	snow	
Castro-2015-608-8	8	dew	1977	DEW	露 	dew	
Castro-2015-608-9	9	wind	960	WIND	风（刮风） 	wind (blow a wind)	
Castro-2015-608-10	10	lightning	1654	LIGHTNING	闪电 	lightning	
Castro-2015-608-11	11	thunder	1150	THUNDER	雷 	thunder	
Castro-2015-608-12	12	year	1226	YEAR	年 	year	
Castro-2015-608-13	13	moon	1313	MOON	月 	moon	
Castro-2015-608-14	14	day	1225	DAY (NOT NIGHT)	天（日） 	day	
Castro-2015-608-15	15	night	1233	NIGHT	夜 	night	
Castro-2015-608-16	16	morning	1339	MORNING	上午 	morning	
Castro-2015-608-17	17	yesterday	1174	YESTERDAY	昨天 	yesterday	
Castro-2015-608-18	18	tomorrow	1329	TOMORROW	明天 	tomorrow	
Castro-2015-608-19	19	spring/summer			春夏 	spring, summer	
Castro-2015-608-20	20	autumn/winter			秋冬 	autumn, winter	
Castro-2015-608-21	21	fire	221	FIRE	火 	fire	
Castro-2015-608-22	22	ashes	646	ASH	灰（火灰） 	ashes	
Castro-2015-608-23	23	smoke	1689	SMOKE (INHALE)	烟（冒烟） 	smoke	
Castro-2015-608-24	24	cigarette	969	CIGARETTE	烟（吸烟） 	cigarette	
Castro-2015-608-25	25	water	948	WATER	水 	water	
Castro-2015-608-26	26	steam	1193	STEAM	蒸汽 	steam	
Castro-2015-608-27	27	river	666	RIVER	河 	river	
Castro-2015-608-28	28	stream	947	STREAM	溪 	stream	
Castro-2015-608-29	29	large pool			水塘（大的） 	large pool	
Castro-2015-608-30	30	rock	857	STONE	石头 	stone, rock	
Castro-2015-608-31	31	earth	1228	EARTH (SOIL)	土，土壤 	earth, mud	
Castro-2015-608-32	32	ground	2159	GROUND	地（地下） 	ground	
Castro-2015-608-33	33	sand	671	SAND	沙子（细的） 	sand	
Castro-2015-608-34	34	iron	621	IRON	铁 	iron	
Castro-2015-608-35	35	mountain	639	MOUNTAIN	山（石山，大山） 	mountain	
Castro-2015-608-36	36	hill	614	HILL	丘陵（土山，小山） 	hill	
Castro-2015-608-37	37	cave	1155	CAVE	洞（山洞） 	cave	
Castro-2015-608-38	38	tree	906	TREE	树 	tree	
Castro-2015-608-39	39	firewood	10	FIREWOOD	木柴（柴火） 	wood, firewood	
Castro-2015-608-40	40	forest	420	FOREST	树林 	forest	
Castro-2015-608-41	41	cypress	3243	CYPRESS	柏树 	cypress, cedar	
Castro-2015-608-42	42	pine	1740	PINE	杉树 	pine	
Castro-2015-608-43	43	maple	3248	MAPLE TREE	枫树 	maple tree	
Castro-2015-608-44	44	vine	343	VINE	藤子 	vine	
Castro-2015-608-45	45	thorn	124	THORN	荆棘 	thorn	
Castro-2015-608-46	46	bamboo	1927	BAMBOO	竹子 	bamboo	
Castro-2015-608-47	47	root	670	ROOT	根（树根） 	root	
Castro-2015-608-48	48	branch	1531	BRANCH	树枝（小的） 	branch	
Castro-2015-608-49	49	bark	1204	BARK	树皮 	bark	
Castro-2015-608-50	50	leaf	628	LEAF	叶（树叶） 	leaf	
Castro-2015-608-51	51	sprout			豆芽 	bean sprout	
Castro-2015-608-52	52	flower	239	FLOWER	花 	flower	
Castro-2015-608-53	53	bud	1684	BUD	花苞 	bud	
Castro-2015-608-54	54	clf. for fruit	3246	FRUIT (CLASSIFIER)	个（水果，大的）〈量〉 	m.w. for fruit	
Castro-2015-608-55	55	banana	868	BANANA	芭蕉 	banana	
Castro-2015-608-56	56	pear	922	PEAR	梨 	pear	
Castro-2015-608-57	57	kiwi	3247	KIWIFRUIT	猕猴桃 	kiwi fruit	
Castro-2015-608-58	58	seed	714	SEED	种子 	seed	
Castro-2015-608-59	59	sugarcane	146	SUGAR CANE	甘蔗 	sugarcane	
Castro-2015-608-60	60	mountain grass			草（茅草） 	grass, grows on mountain, leaves are thinner and longer	
Castro-2015-608-61	61	field grass	606	GRASS	草（牛吃的） 	grass, grows by fields, leaves wider	
Castro-2015-608-62	62	rice	926	RICE	米，饭 	rice	
Castro-2015-608-63	63	sticky rice			糯米 	sticky rice, glutinous rice	
Castro-2015-608-64	64	millet	931	MILLET	小米 	millet	
Castro-2015-608-65	65	sticky rice cake			糯米粑 	glutinous rice cake/dough	
Castro-2015-608-66	66	seedling	3050	SEEDLING	秧（水稻的秧） 	seedling	
Castro-2015-608-67	67	paddy	140	PADDY FIELD	田（稻田） 	paddy, (wet) field	
Castro-2015-608-68	68	land	626	LAND	地（干田） 	field (dry field), land (dry land)	
Castro-2015-608-69	69	ear of grain	3244	EAR (OF GRAIN)	穗 	ear of grain	
Castro-2015-608-70	70	chaff	2363	CHAFF (HUSK)	糠 	chaff	
Castro-2015-608-71	71	top of rice steam			穗草（稻芯） 	top of rice stem, rice already harvested	
Castro-2015-608-72	72	rice grass			稻草 	rice grass, rice straw	
Castro-2015-608-73	73	vegetable	924	VEGETABLES	菜（蔬菜） 	vegetable	
