ID	NUMBER	ENGLISH	LEXIBANK_GLOSS	RUSSIAN	CONCEPTICON_ID	CONCEPTICON_GLOSS
Daniel-2021-160-1	1	ant	the ant	муравей	587	ANT
Daniel-2021-160-2	2	arch	the arch	арка	876	ARCH
Daniel-2021-160-3	3	axe/ax	the axe/ax	топор	677	AXE
Daniel-2021-160-4	4	ball	the ball	мяч, шар	1845	BALL
Daniel-2021-160-5	5	barrel	the barrel	бочка	2548	BARREL
Daniel-2021-160-6	6	bat	the bat	летучая мышь	1793	BAT
Daniel-2021-160-7	7	beak	the beak	клюв	73	BEAK
Daniel-2021-160-8	8	beard	the beard	борода	678	BEARD
Daniel-2021-160-9	9	beeswax	the beeswax	воск (пчелиный)	1931	BEESWAX
Daniel-2021-160-10	10	belt	the belt	ремень, пояс	772	BELT
Daniel-2021-160-11	11	blanket	the blanket	одеяло	806	BLANKET
Daniel-2021-160-12	12	blister	the blister	мозоль	1584	BLISTER
Daniel-2021-160-13	13	boar	the boar	кабан, боров, вервь	3154	WILD BOAR
Daniel-2021-160-14	14	body	the body	тело	1480	BODY
Daniel-2021-160-15	15	bottle	the bottle	бутылка	1321	BOTTLE
Daniel-2021-160-16	16	boundary	the boundary	граница, межа	2546	BORDER
Daniel-2021-160-17	17	bow	the bow	лук (оружие)	994	BOW
Daniel-2021-160-18	18	bracelet	the bracelet	браслет	1754	BRACELET
Daniel-2021-160-19	19	bridge	the bridge	мост	1011	BRIDGE
Daniel-2021-160-20	20	broom	the broom	метла	245	BROOM
Daniel-2021-160-21	21	bucket	the bucket	ведро	2052	BUCKET
Daniel-2021-160-22	22	butterfly	the butterfly	бабочка	1791	BUTTERFLY
Daniel-2021-160-23	23	cabbage	the cabbage	капуста (кочанная)	774	CABBAGE
Daniel-2021-160-24	24	candle	the candle	свеча	1273	CANDLE
Daniel-2021-160-25	25	carrot	the carrot	морковь	3085	CARROT
Daniel-2021-160-26	26	cat	the cat	кошка	1208	CAT
Daniel-2021-160-27	27	cattle	the cattle	крупный рогатый скот	1153	CATTLE
Daniel-2021-160-28	28	cave	the cave	пещера	1155	CAVE
Daniel-2021-160-29	29	chain	the chain	цепь	1627	CHAIN
Daniel-2021-160-30	30	clan	the clan	тухум, род	302	CLAN
Daniel-2021-160-31	31	clothes	the clothing or clothes	одежда	1895	CLOTHES
Daniel-2021-160-32	32	rooster	the cock/rooster	петух	1511	ROOSTER
Daniel-2021-160-33	33	color	the colour/color	цвет	1613	COLOR
