ID	NUMBER	ENGLISH	REFLEXES_PER_SYLLABLE_NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS
SatterthwaitePhillips-2011-50-1	1	I	0.20	1209	I
SatterthwaitePhillips-2011-50-2	2	ride	0.20	367	RIDE
SatterthwaitePhillips-2011-50-3	3	six	0.21	1703	SIX
SatterthwaitePhillips-2011-50-4	4	three	0.21	492	THREE
SatterthwaitePhillips-2011-50-5	5	steal	0.21	713	STEAL
SatterthwaitePhillips-2011-50-6	6	eight	0.21	1705	EIGHT
SatterthwaitePhillips-2011-50-7	7	you (sg)	0.22	1215	THOU
SatterthwaitePhillips-2011-50-8	8	brain	0.22	1583	BRAIN
SatterthwaitePhillips-2011-50-9	9	dull	0.22	379	BLUNT
SatterthwaitePhillips-2011-50-10	10	blood	0.22	946	BLOOD
SatterthwaitePhillips-2011-50-11	11	bitter	0.23	887	BITTER
SatterthwaitePhillips-2011-50-12	12	hurt	0.23	2411	HURT (SOMEBODY)
SatterthwaitePhillips-2011-50-13	13	nine	0.23	1483	NINE
SatterthwaitePhillips-2011-50-14	14	thick	0.23	1244	THICK
SatterthwaitePhillips-2011-50-15	15	tree	0.23	906	TREE
SatterthwaitePhillips-2011-50-16	16	ear	0.24	1247	EAR
SatterthwaitePhillips-2011-50-17	17	die	0.24	1494	DIE
SatterthwaitePhillips-2011-50-18	18	five	0.24	493	FIVE
SatterthwaitePhillips-2011-50-19	19	thin (object)	0.24	2306	THIN (OF LEAF AND CLOTH)
SatterthwaitePhillips-2011-50-20	20	come	0.24	1446	COME
SatterthwaitePhillips-2011-50-21	21	eat	0.24	1336	EAT
SatterthwaitePhillips-2011-50-22	22	open	0.24	1156	OPEN
SatterthwaitePhillips-2011-50-23	23	rain	0.25	2108	RAINING OR RAIN
SatterthwaitePhillips-2011-50-24	24	black	0.25	163	BLACK
SatterthwaitePhillips-2011-50-25	25	tiger	0.25	846	TIGER
SatterthwaitePhillips-2011-50-26	26	not	0.25	1240	NOT
SatterthwaitePhillips-2011-50-27	27	father	0.25	1217	FATHER
SatterthwaitePhillips-2011-50-28	28	heart	0.25	1223	HEART
SatterthwaitePhillips-2011-50-29	29	poison	0.25	655	POISON
SatterthwaitePhillips-2011-50-30	30	dream	0.25	2374	DREAM
SatterthwaitePhillips-2011-50-31	31	round	0.25	1395	ROUND
SatterthwaitePhillips-2011-50-32	32	shoulder	0.26	1482	SHOULDER
SatterthwaitePhillips-2011-50-33	33	lick	0.26	319	LICK
SatterthwaitePhillips-2011-50-34	34	meat	0.26	634	MEAT
SatterthwaitePhillips-2011-50-35	35	ten	0.26	1515	TEN
SatterthwaitePhillips-2011-50-36	36	horn	0.26	1393	HORN (ANATOMY)
SatterthwaitePhillips-2011-50-37	37	hand	0.26	1277	HAND
SatterthwaitePhillips-2011-50-38	38	finger	0.26	1303	FINGER
SatterthwaitePhillips-2011-50-39	39	mother	0.26	1216	MOTHER
SatterthwaitePhillips-2011-50-40	40	lung	0.26	688	LUNG
SatterthwaitePhillips-2011-50-41	41	fat (of meat)	0.26	2449	FAT (OF MEAT AND FOOD)
SatterthwaitePhillips-2011-50-42	42	buy	0.26	1869	BUY
SatterthwaitePhillips-2011-50-43	43	four	0.26	1500	FOUR
SatterthwaitePhillips-2011-50-44	44	sick	0.26	1847	SICK
SatterthwaitePhillips-2011-50-45	45	liver	0.27	1224	LIVER
SatterthwaitePhillips-2011-50-46	46	road	0.27	667	ROAD
SatterthwaitePhillips-2011-50-47	47	snot	0.27	208	NASAL MUCUS, SNOT
SatterthwaitePhillips-2011-50-48	48	moon	0.27	1313	MOON
SatterthwaitePhillips-2011-50-49	49	palm (of hand)	0.27	1183	PALM OF HAND
SatterthwaitePhillips-2011-50-50	50	wind	0.28	960	WIND
