ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	URL	ENGLISH	FRENCH
TeilDautrey-2008-430-1	1	1953	ABUSE	https://abvd.shh.mpg.de/bantu/word.php?v=1	abuse	insulter
TeilDautrey-2008-430-2	2	98	ALL	https://abvd.shh.mpg.de/bantu/word.php?v=2	all	tout
TeilDautrey-2008-430-3	3	53	SPIRIT	https://abvd.shh.mpg.de/bantu/word.php?v=3	ancestor's spirit	esprit des ancêtres, mâne
TeilDautrey-2008-430-4	4	619	ANIMAL	https://abvd.shh.mpg.de/bantu/word.php?v=4	animal	animal
TeilDautrey-2008-430-5	5	1275	ANSWER	https://abvd.shh.mpg.de/bantu/word.php?v=5	answer	répondre à une question
TeilDautrey-2008-430-6	6			https://abvd.shh.mpg.de/bantu/word.php?v=6	answer a call	répondre à un appel
TeilDautrey-2008-430-7	7	1873	ANTHILL	https://abvd.shh.mpg.de/bantu/word.php?v=7	ant-hill	termitière
TeilDautrey-2008-430-8	8	1673	ARM	https://abvd.shh.mpg.de/bantu/word.php?v=8	arm	bras
TeilDautrey-2008-430-9	9	1886	ARMPIT	https://abvd.shh.mpg.de/bantu/word.php?v=9	armpit	aisselle
TeilDautrey-2008-430-10	10	1387	ARRIVE	https://abvd.shh.mpg.de/bantu/word.php?v=10	arrive	arriver
TeilDautrey-2008-430-11	11	977	ARROW	https://abvd.shh.mpg.de/bantu/word.php?v=11	arrow	flèche
TeilDautrey-2008-430-12	12	646	ASH	https://abvd.shh.mpg.de/bantu/word.php?v=12	ashes	cendre
TeilDautrey-2008-430-13	13	1828	ASK (REQUEST)	https://abvd.shh.mpg.de/bantu/word.php?v=13	ask for	demander
TeilDautrey-2008-430-14	14	677	AXE	https://abvd.shh.mpg.de/bantu/word.php?v=14	axe	hache
TeilDautrey-2008-430-15	15	1291	BACK	https://abvd.shh.mpg.de/bantu/word.php?v=15	back	dos
TeilDautrey-2008-430-16	16	805	SPINE	https://abvd.shh.mpg.de/bantu/word.php?v=16	backbone	colonne vertébrale
TeilDautrey-2008-430-17	17	1292	BAD	https://abvd.shh.mpg.de/bantu/word.php?v=17	bad	mauvais
TeilDautrey-2008-430-18	18	868	BANANA	https://abvd.shh.mpg.de/bantu/word.php?v=18	banana	banane
TeilDautrey-2008-430-19	19	1795	BANANA TREE	https://abvd.shh.mpg.de/bantu/word.php?v=19	banana-tree	bananier
TeilDautrey-2008-430-20	20	1204	BARK	https://abvd.shh.mpg.de/bantu/word.php?v=20	bark	écorce
TeilDautrey-2008-430-21	21	138	BATHE	https://abvd.shh.mpg.de/bantu/word.php?v=21	bathe	se baigner
TeilDautrey-2008-430-22	22	1419	FEAR (BE AFRAID)	https://abvd.shh.mpg.de/bantu/word.php?v=22	be afraid	avoir peur, craindre
TeilDautrey-2008-430-23	23	320	LAME	https://abvd.shh.mpg.de/bantu/word.php?v=23	be lame	être infirme
TeilDautrey-2008-430-24	24	106	SATIATED	https://abvd.shh.mpg.de/bantu/word.php?v=24	be satiated	être rassasié
TeilDautrey-2008-430-25	25	1990	BECOME	https://abvd.shh.mpg.de/bantu/word.php?v=25	be, become	être, devenir
TeilDautrey-2008-430-26	26	678	BEARD	https://abvd.shh.mpg.de/bantu/word.php?v=26	beard	barbe
TeilDautrey-2008-430-27	27	1428	BURNING	https://abvd.shh.mpg.de/bantu/word.php?v=27	become burnt	brûler (intr.)
TeilDautrey-2008-430-28	28	1786	DRY UP	https://abvd.shh.mpg.de/bantu/word.php?v=28	become dry	sécher (intr.), être sec
TeilDautrey-2008-430-29	29	1429	FULL	https://abvd.shh.mpg.de/bantu/word.php?v=29	become full	se remplir
TeilDautrey-2008-430-30	30	479	GROW	https://abvd.shh.mpg.de/bantu/word.php?v=30	become large	grandir
TeilDautrey-2008-430-31	31	479	GROW	https://abvd.shh.mpg.de/bantu/word.php?v=31	become large, grow up	grandir, pousser
TeilDautrey-2008-430-32	32	1663	BED	https://abvd.shh.mpg.de/bantu/word.php?v=32	bed	lit
TeilDautrey-2008-430-33	33	665	BEE	https://abvd.shh.mpg.de/bantu/word.php?v=33	bee	abeille
TeilDautrey-2008-430-34	34	1639	BEER	https://abvd.shh.mpg.de/bantu/word.php?v=34	beer	bière
TeilDautrey-2008-430-35	35	2251	BEER BANANA	https://abvd.shh.mpg.de/bantu/word.php?v=35	beer bananas	
TeilDautrey-2008-430-36	36	1686	BEHIND	https://abvd.shh.mpg.de/bantu/word.php?v=36	behind	derrière
TeilDautrey-2008-430-37	37	2114	BELLY OR STOMACH	https://abvd.shh.mpg.de/bantu/word.php?v=37	belly, stomach	ventre
TeilDautrey-2008-430-38	38	1485	BELOW OR UNDER	https://abvd.shh.mpg.de/bantu/word.php?v=38	below	en dessous
TeilDautrey-2008-430-39	39	118	BEWITCH	https://abvd.shh.mpg.de/bantu/word.php?v=39	bewitch	ensorceler, jeter un sort
TeilDautrey-2008-430-40	40	1202	BIG	https://abvd.shh.mpg.de/bantu/word.php?v=40	big	grand
TeilDautrey-2008-430-41	41	1780	BILE	https://abvd.shh.mpg.de/bantu/word.php?v=41	bile	bile
TeilDautrey-2008-430-42	42	937	BIRD	https://abvd.shh.mpg.de/bantu/word.php?v=42	bird	oiseau
TeilDautrey-2008-430-43	43	1403	BITE	https://abvd.shh.mpg.de/bantu/word.php?v=43	bite	mordre
TeilDautrey-2008-430-44	44	887	BITTER	https://abvd.shh.mpg.de/bantu/word.php?v=44	bitter	-amer
TeilDautrey-2008-430-45	45	163	BLACK	https://abvd.shh.mpg.de/bantu/word.php?v=45	black	noir
TeilDautrey-2008-430-46	46	1746	BLADDER	https://abvd.shh.mpg.de/bantu/word.php?v=46	bladder	vessie
TeilDautrey-2008-430-47	47	457	BLIND PERSON	https://abvd.shh.mpg.de/bantu/word.php?v=47	blind person	aveugle
TeilDautrey-2008-430-48	48	946	BLOOD	https://abvd.shh.mpg.de/bantu/word.php?v=48	blood	sang
TeilDautrey-2008-430-49	49	1480	BODY	https://abvd.shh.mpg.de/bantu/word.php?v=49	body	corps
TeilDautrey-2008-430-50	50	2493	BOIL	https://abvd.shh.mpg.de/bantu/word.php?v=50	boil	bouillir
TeilDautrey-2008-430-51	51	1394	BONE	https://abvd.shh.mpg.de/bantu/word.php?v=51	bone	os
TeilDautrey-2008-430-52	52	1010	BOUNDARY	https://abvd.shh.mpg.de/bantu/word.php?v=52	boundary	limite, frontière
TeilDautrey-2008-430-53	53	994	BOW	https://abvd.shh.mpg.de/bantu/word.php?v=53	bow	arc
TeilDautrey-2008-430-54	54	1583	BRAIN	https://abvd.shh.mpg.de/bantu/word.php?v=54	brain	cerveau, cervelle
TeilDautrey-2008-430-55	55	1531	BRANCH	https://abvd.shh.mpg.de/bantu/word.php?v=55	branch	branche
TeilDautrey-2008-430-56	56	680	BREAK (DESTROY OR GET DESTROYED)	https://abvd.shh.mpg.de/bantu/word.php?v=56	break	casser, rompre
TeilDautrey-2008-430-57	57	1159	FART	https://abvd.shh.mpg.de/bantu/word.php?v=57	break wind	péter
TeilDautrey-2008-430-58	58	1402	BREAST	https://abvd.shh.mpg.de/bantu/word.php?v=58	breast	sein
TeilDautrey-2008-430-59	59	870	BREATH	https://abvd.shh.mpg.de/bantu/word.php?v=59	breath	haleine
TeilDautrey-2008-430-60	60	692	BRING	https://abvd.shh.mpg.de/bantu/word.php?v=60	bring	apporter
TeilDautrey-2008-430-61	61	2134	RAISE (BRING UP)	https://abvd.shh.mpg.de/bantu/word.php?v=61	bring up child	élever un enfant
TeilDautrey-2008-430-62	62	1840	BUILD	https://abvd.shh.mpg.de/bantu/word.php?v=62	build	construire
TeilDautrey-2008-430-63	63	1008	BULL	https://abvd.shh.mpg.de/bantu/word.php?v=63	bull	taureau
TeilDautrey-2008-430-64	64	931	MILLET	https://abvd.shh.mpg.de/bantu/word.php?v=64	bulrush millet	petit mil
TeilDautrey-2008-430-65	65	1679	LOAD	https://abvd.shh.mpg.de/bantu/word.php?v=65	burden, load	fardeau
TeilDautrey-2008-430-66	66	2102	BURN	https://abvd.shh.mpg.de/bantu/word.php?v=66	burn	brûler (tr.)
TeilDautrey-2008-430-67	67	1719	BURY	https://abvd.shh.mpg.de/bantu/word.php?v=67	bury	enterrer
TeilDautrey-2008-430-68	68	1683	BUSH	https://abvd.shh.mpg.de/bantu/word.php?v=68	bush	brousse
TeilDautrey-2008-430-69	69	834	BUTTOCKS	https://abvd.shh.mpg.de/bantu/word.php?v=69	buttock	fesse
TeilDautrey-2008-430-70	70	1869	BUY	https://abvd.shh.mpg.de/bantu/word.php?v=70	buy	acheter
TeilDautrey-2008-430-71	71	498	CALF OF LEG	https://abvd.shh.mpg.de/bantu/word.php?v=71	calf of leg	mollet
TeilDautrey-2008-430-72	72	1084	CALL	https://abvd.shh.mpg.de/bantu/word.php?v=72	call	appeler
TeilDautrey-2008-430-73	73	1123	PREGNANT	https://abvd.shh.mpg.de/bantu/word.php?v=73	carry (child)	
TeilDautrey-2008-430-74	74	465	CARRY ON BACK	https://abvd.shh.mpg.de/bantu/word.php?v=74	carry child on back	porter un enfant sur le dos
TeilDautrey-2008-430-75	75	1208	CAT	https://abvd.shh.mpg.de/bantu/word.php?v=75	cat	chat
TeilDautrey-2008-430-76	76	1153	CATTLE	https://abvd.shh.mpg.de/bantu/word.php?v=76	cattle	bovin, vache
TeilDautrey-2008-430-77	77	1928	CEASE	https://abvd.shh.mpg.de/bantu/word.php?v=77	cease, finish	cesser, fìnir (ìntr.)
TeilDautrey-2008-430-78	78	1476	CHAIR	https://abvd.shh.mpg.de/bantu/word.php?v=78	chair, seat	chaise, siège
TeilDautrey-2008-430-79	79	1188	CHARCOAL	https://abvd.shh.mpg.de/bantu/word.php?v=79	charcoal	charbon de bois
TeilDautrey-2008-430-80	80	30	DISPEL	https://abvd.shh.mpg.de/bantu/word.php?v=80	chase away	chasser, faire partir
TeilDautrey-2008-430-81	81	1730	CHEEK	https://abvd.shh.mpg.de/bantu/word.php?v=81	cheek	joue
TeilDautrey-2008-430-82	82	1592	CHEST	https://abvd.shh.mpg.de/bantu/word.php?v=82	chest	poitrine (d'homme)
TeilDautrey-2008-430-83	83	2099	CHILD	https://abvd.shh.mpg.de/bantu/word.php?v=83	child	enfant
TeilDautrey-2008-430-84	84	1510	CHIN	https://abvd.shh.mpg.de/bantu/word.php?v=84	chin	menton
TeilDautrey-2008-430-85	85	1750	CHOOSE	https://abvd.shh.mpg.de/bantu/word.php?v=85	choose	choisir
TeilDautrey-2008-430-86	86	302	CLAN	https://abvd.shh.mpg.de/bantu/word.php?v=86	clan	clan
TeilDautrey-2008-430-87	87	1895	CLOTHES	https://abvd.shh.mpg.de/bantu/word.php?v=87	clothes	vêtements
TeilDautrey-2008-430-88	88	1489	CLOUD	https://abvd.shh.mpg.de/bantu/word.php?v=88	cloud	nuage
TeilDautrey-2008-430-89	89	1287	COLD	https://abvd.shh.mpg.de/bantu/word.php?v=89	cold	froid
TeilDautrey-2008-430-90	90	1446	COME	https://abvd.shh.mpg.de/bantu/word.php?v=90	come	venir
TeilDautrey-2008-430-91	91	1766	FINISH	https://abvd.shh.mpg.de/bantu/word.php?v=91	complete, finish	terminer (tr.)
TeilDautrey-2008-430-92	92	1100	COOK (SOMETHING)	https://abvd.shh.mpg.de/bantu/word.php?v=92	cook	faire la cuisine
TeilDautrey-2008-430-93	93	3653	COOKING POT	https://abvd.shh.mpg.de/bantu/word.php?v=93	cooking pot	marmite, pot
TeilDautrey-2008-430-94	94	767	CORPSE	https://abvd.shh.mpg.de/bantu/word.php?v=94	corpse	cadavre
TeilDautrey-2008-430-95	95	879	COUGH	https://abvd.shh.mpg.de/bantu/word.php?v=95	cough	tousser
TeilDautrey-2008-430-96	96	1420	COUNT	https://abvd.shh.mpg.de/bantu/word.php?v=96	count	compter
TeilDautrey-2008-430-97	97	1300	COUNTRY	https://abvd.shh.mpg.de/bantu/word.php?v=97	country	pays
TeilDautrey-2008-430-98	98	4	COURTYARD	https://abvd.shh.mpg.de/bantu/word.php?v=98	courtyard	cour (d'une concession)
TeilDautrey-2008-430-99	99	574	TRANSIT	https://abvd.shh.mpg.de/bantu/word.php?v=99	cross river	traverser une rivière
