ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	WORDPAIR_GLOSS	WORDPAIR	POS	SIMILARITY_SCORE_ARABIC	SIMILARITY_SCORE_CHINESE	SIMILARITY_SCORE_WELSH	SIMILARITY_SCORE_ENGLISH	SIMILARITY_SCORE_ESTONIAN	SIMILARITY_SCORE_FINNISH	SIMILARITY_SCORE_FRENCH	SIMILARITY_SCORE_HEBREW	SIMILARITY_SCORE_POLISH	SIMILARITY_SCORE_RUSSIAN	SIMILARITY_SCORE_SPANISH	SIMILARITY_SCORE_KISWAHILI	SIMILARITY_SCORE_YUE_CHINESE	SIMILARITY_SCORE_MEAN	ARABIC	CHINESE	WELSH	ESTONIAN	FINNISH	FRENCH	HEBREW	POLISH	RUSSIAN	SPANISH	KISWAHILI	YUE_CHINESE
Vulic-2020-3776-1	1	arm	1673	ARM	arm; muscle	word1-1	nouns	2.9	1.181818182	0.6	0.692307692	1.4	1.2	2.6	1.4	1.3	1.1	1.4	0.3	0.545454545	1.143298368	ذراع	手臂	braich	käsi	käsivarsi	bras	זרוע	ramię	рука	brazo	mkono	手臂
Vulic-2020-3776-2	2	democracy			democracy; monarchy	word1-2	nouns	0.4	0.090909091	0.3	0.923076923	1.2	1.6	2.7	1.6	0.6	0.1	1.3	1	0	0.951165501	ديمقراطية	民主	democratiaeth	demokraatia	demokratia	démocratie	דמוקרטיה	demokracja	демократия	democracia	ufalme	民主
Vulic-2020-3776-3	3	roof	769	ROOF	roof; ceiling	word1-3	nouns	4.8	3.181818182	4.4	3.692307692	3.4	3.9	4.4	3.8	2.2	2.3	4.8	4.3	3.272727273	3.637237762	سطح	屋顶	to	katus	katto	toit	גג	dach	крыша	tejado	paa	屋頂
Vulic-2020-3776-4	4	friend	1325	FRIEND	friend; teacher	word1-4	nouns	0.7	0.818181818	0.6	0.307692308	1.2	0.6	1.4	0.9	0.2	1.9	0.4	0.4	0.909090909	0.802913753	صديق	朋友	ffrind	sõber	ystävä	ami	חבר	przyjaciel	друг	amigo	rafiki	朋友
Vulic-2020-3776-5	5	hand	1277	HAND	hand; foot	word1-5	nouns	2.3	0.454545455	0.4	1	1.5	1.4	2.5	1.3	0.7	0.4	1.1	0.8	1.818181818	1.114393939	يد	手	llaw	käsi	käsi	main	יד	ręka	кисть	mano	mkono	手
Vulic-2020-3776-6	6	biography			biography; fiction	word1-6	nouns	0.1	2.636363636	0	0.692307692	1.5	1	2.3	0.8	0.3	1	0.7	0.9	1.636363636	1.122086247	سيرة شخصية	传记	bywgraffiad	biograafia	elämäkerta	biographie	ביוגרפיה	biografia	биография	biografía	wasifu	傳記
Vulic-2020-3776-7	7	disc			disc; computer	word1-7	nouns	1	0.545454545	0.8	0.692307692	0.6	0.4	2.3	1	1.3	1.4	1.3	0.5	1.272727273	1.009207459	إسطوانة	磁盘	disg	ketas	levy	disque	דיסק	dysk	диск	disco	CD	磁盘
Vulic-2020-3776-8	8	fencing			fencing; gymnastics	word1-8	nouns	0.5	0.909090909	0.4	0.769230769	1.6	1.7	2.5	1.3	0.8	0.4	2.6	0	0.545454545	1.126981352	سياج	击剑	ffensio	vehklemine	miekkailu	escrime	סיוף	szermierka	фехтование	Esgrima	mazoezi	擊劍
Vulic-2020-3776-9	9	bank	1284	BANK	bank; seat	word1-9	nouns	0.2	0.181818182	0.1	0	0.4	0	1.9	0.1	0.3	0	5.1	0	0	0.673484848	مصرف	银行	banc	pank	pankki	banque	שיפוע	brzeg	наклон	banco	kiti	銀行
Vulic-2020-3776-10	10	emperor			emperor; constitution	word1-10	nouns	1.2	0.090909091	0.1	0.153846154	0.8	0.3	1.2	0.6	0	0.4	1.2	0.3	0.363636364	0.459032634	إمبراطور	皇帝	ymerawdwr	imperaator	keisari	empereur	קיסר	cesarz	император	emperador	katiba	皇帝
Vulic-2020-3776-11	11	gun	1566	GUN	gun; trick	word1-11	nouns	0	0.090909091	0	0	0.4	0	4.2	0.2	0.1	0.1	0.2	0.1	0	0.449242424	بندقية	枪	gwn	relv	ase	coup	אקדח	pistolet	ружье	pistola	bunduki	槍
Vulic-2020-3776-12	12	size	2845	SIZE (OF OBJECT)	size; magnitude	word1-12	nouns	4	2.272727273	2.7	4.615384615	3.5	5.8	4	4	5.2	4.7	5	4.9	3.545454545	4.186130536	حجم	大小	maint	suurus	koko	taille	מידה	rozmiar	размер	tamaño	saizi	大小
Vulic-2020-3776-13	13	ball			ball; glove	word1-13	nouns	1.5	0.181818182	0.1	0.538461538	0.4	0.2	1.4	1	0.2	0.1	1.1	1.4	0.181818182	0.566841492	كرة	球	pêl	ball	pallo	balle	כדור	piłka	мяч	pelota	mpira	球
Vulic-2020-3776-14	14	sheep	1331	SHEEP	sheep; cattle	word1-14	nouns	3.3	1.363636364	0.7	1.538461538	1.8	2.5	4	2.6	1.3	3.2	2.7	3.3	1.909090909	2.242599068	خروف	羊	dafad	lammas	lammas	mouton	כבש	owca	овца	oveja	kondoo	羊
Vulic-2020-3776-15	15	lizard	632	LIZARD	lizard; crocodile	word1-15	nouns	3.4	0.454545455	1	2	2.6	3.1	3.4	2.8	1.3	0.8	2.6	2.5	2	2.046212121	سحليّة	蜥蜴	madfall	sisalik	lisko	lézard	לטאה	jaszczurka	ящерица	lagartija	mamba	蜥蜴
Vulic-2020-3776-16	16	friend			friend; guest	word1-16	nouns	2.7	3.181818182	0.6	1.923076923	2	0.8	2.9	2.1	1.2	1.2	1.6	0.1	3.636363636	1.770104895	صديق	朋友	ffrind	sõber	ystävä	ami	חבר	przyjaciel	друг	amigo	rafiki	朋友
Vulic-2020-3776-17	17	birthday	2407	BIRTHDAY	birthday; date	word1-17	nouns	3.5	1.454545455	1.2	1.692307692	2	2.1	2.9	1.6	1.9	3.6	1.4	1.4	1.909090909	1.929662005	عيد ميلاد	生日	pen-blwydd	sünnipäev	syntymäpäivä	date	יום הולדת	urodziny	юбилей 	cumpleaños	siku ya kuzaliwa	生日
