ID	NUMBER	ENGLISH	CROATIAN	DIFFICULTY	DISCRIMINATION	CONCEPTICON_ID	CONCEPTICON_GLOSS
Rogic-2013-346-1	1	aquarium	akvarij	1.00	-		
Rogic-2013-346-2	2	pineapple	ananas	1.00	-	2440	PINEAPPLE
Rogic-2013-346-3	3	car	auto	0.92	-0.06	1111	CAR
Rogic-2013-346-4	4	bus	autobus	0.96	0.26	1070	BUS
Rogic-2013-346-5	5	airplane	avion	0.96	-0.12	1597	AIRPLANE
Rogic-2013-346-6	6	barrel	bačva	0.98	0.25	2548	BARREL
Rogic-2013-346-7	7	balloon	balon	0.58	0.06	3083	BALLOON
Rogic-2013-346-8	8	banana	banana	1.00	-	868	BANANA
Rogic-2013-346-9	9	pool	bazen	1.00	-		
Rogic-2013-346-10	10	baby	beba	0.70	-0.17	1289	BABY
Rogic-2013-346-11	11	bicycle	bicikla	0.58	-0.14	747	BICYCLE
Rogic-2013-346-12	12	whip	bič	0.68	0.21	2630	WHIP
Rogic-2013-346-13	13	bottle	boca	1.00	-	1321	BOTTLE
Rogic-2013-346-14	14	small bottle	bočica	0.50	-0.02		
Rogic-2013-346-15	15	bomb	bomba	0.88	0.23	1804	BOMB
Rogic-2013-346-16	16	beard	brada	0.98	0.15	678	BEARD
Rogic-2013-346-17	17	mustache	brkovi	0.92	-0.23	1165	MOUSTACHE
Rogic-2013-346-18	18	boat	brod	0.98	0.03	1844	BOAT
Rogic-2013-346-19	19	nail	brokva	0.62	-0.03	502	NAIL (TOOL)
Rogic-2013-346-20	20	ladybug	bubamara	0.52	-0.14	3139	LADYBUG
Rogic-2013-346-21	21	drums	bubnjevi	0.50	-0.18	111	DRUMMING
Rogic-2013-346-22	22	well	bunar	0.82	0.12	954	WELL
Rogic-2013-346-23	23	pumpkin	bundeva	0.56	0.06	864	PUMPKIN
Rogic-2013-346-24	24	drill	bušilica	0.86	0.16	3423	DRILL
Rogic-2013-346-25	25	road	cesta	0.96	0.17	2457	PATH OR ROAD
Rogic-2013-346-26	26	cigarette	cigareta	0.56	-0.02	969	CIGARETTE
Rogic-2013-346-27	27	shoe	cipela	0.90	0.33	1381	SHOE
Rogic-2013-346-28	28	church	crkva	0.98	0.09	1349	CHURCH
Rogic-2013-346-29	29	flowers	cvijeće	0.60	0.01	239	FLOWER
Rogic-2013-346-30	30	flower	cvijet	0.92	0.14	239	FLOWER
Rogic-2013-346-31	31	sock	čarapa	0.96	-0.11	1522	SOCK
Rogic-2013-346-32	32	glass	čaša	0.96	-0.11	604	GLASS
