ID	NUMBER	ENGLISH	PORTUGUESE	CONCEPTICON_ID	CONCEPTICON_GLOSS
Chacon-2017-102-1	1	I	eu	1209	I
Chacon-2017-102-2	2	all	tudo	98	ALL
Chacon-2017-102-3	3	ash	cinza	646	ASH
Chacon-2017-102-4	4	bark	casca	1204	BARK
Chacon-2017-102-5	5	belly	barriga	1251	BELLY
Chacon-2017-102-6	6	big	ser grande	1202	BIG
Chacon-2017-102-7	7	bird	pássaro	937	BIRD
Chacon-2017-102-8	8	bite	morder	1403	BITE
Chacon-2017-102-9	9	black	preto	163	BLACK
Chacon-2017-102-10	10	blood	sangue	946	BLOOD
Chacon-2017-102-11	11	bone	osso	1394	BONE
Chacon-2017-102-12	12	breast_1	seio	1402	BREAST
Chacon-2017-102-13	13	breast_2	seio	1402	BREAST
Chacon-2017-102-14	14	burn_1	Epps	2102	BURN
Chacon-2017-102-15	15	burn_2	queimar	2102	BURN
Chacon-2017-102-16	16	claw	unha	72	CLAW
Chacon-2017-102-17	17	cloud	nuvem	1489	CLOUD
Chacon-2017-102-18	18	cold	frio	1287	COLD
Chacon-2017-102-19	19	come	vir	1446	COME
Chacon-2017-102-20	20	die	morrer	1494	DIE
Chacon-2017-102-21	21	dog	cachorro	2009	DOG
Chacon-2017-102-22	22	drink	beber	1401	DRINK
Chacon-2017-102-23	23	dry (N)	secar	1786	DRY UP
Chacon-2017-102-24	24	ear	orelha	1247	EAR
Chacon-2017-102-25	25	earth	chão	1228	EARTH (SOIL)
Chacon-2017-102-26	26	eat	comer	1336	EAT
Chacon-2017-102-27	27	egg	ovo	744	EGG
Chacon-2017-102-28	28	eye	olho	1248	EYE
Chacon-2017-102-29	29	feather	pluma	1201	FEATHER
Chacon-2017-102-30	30	fire	fogo	221	FIRE
Chacon-2017-102-31	31	fish (N)	peixe	227	FISH
Chacon-2017-102-32	32	flesh	carne	2259	FLESH
Chacon-2017-102-33	33	fly (V)	voar	1441	FLY (MOVE THROUGH AIR)
Chacon-2017-102-34	34	foot	pé	1301	FOOT
Chacon-2017-102-35	35	full	estar cheio	1429	FULL
Chacon-2017-102-36	36	give	dar	1447	GIVE
Chacon-2017-102-37	37	good	bom	1035	GOOD
Chacon-2017-102-38	38	grease	gordura	323	FAT (ORGANIC SUBSTANCE)
Chacon-2017-102-39	39	green	verde	1425	GREEN
Chacon-2017-102-40	40	hair	pelo	1040	HAIR
Chacon-2017-102-41	41	hand	mão	1277	HAND
Chacon-2017-102-42	42	head	cabeça	1256	HEAD
Chacon-2017-102-43	43	hear	escutar	1408	HEAR
Chacon-2017-102-44	44	heart	coração	1223	HEART
Chacon-2017-102-45	45	horn	chifre	1393	HORN (ANATOMY)
Chacon-2017-102-46	46	hot	quente	1286	HOT
Chacon-2017-102-47	47	kill	matar	1417	KILL
Chacon-2017-102-48	48	knee	joelho	1371	KNEE
Chacon-2017-102-49	49	know	saber	1410	KNOW (SOMETHING)
Chacon-2017-102-50	50	leaf	folha	628	LEAF
Chacon-2017-102-51	51	lie	deitar	215	LIE DOWN
Chacon-2017-102-52	52	liver	fígado	1224	LIVER
Chacon-2017-102-53	53	long	comprido	1203	LONG
Chacon-2017-102-54	54	louse	piolho	1392	LOUSE
Chacon-2017-102-55	55	man (adult male)	homem	1554	MAN
Chacon-2017-102-56	56	many	muito	1198	MANY
Chacon-2017-102-57	57	moon	lua	1313	MOON
Chacon-2017-102-58	58	mountain	montanha	639	MOUNTAIN
Chacon-2017-102-59	59	mouth	boca	674	MOUTH
Chacon-2017-102-60	60	name	nome	1405	NAME
Chacon-2017-102-61	61	neck	pescoço	1333	NECK
Chacon-2017-102-62	62	new	novo	1231	NEW
Chacon-2017-102-63	63	night	noite	1233	NIGHT
Chacon-2017-102-64	64	nose	nariz	1221	NOSE
Chacon-2017-102-65	65	not	não	1240	NOT
Chacon-2017-102-66	66	one	um	1493	ONE
Chacon-2017-102-67	67	path	caminho	2252	PATH
Chacon-2017-102-68	68	person	gente	683	PERSON
Chacon-2017-102-69	69	rain	chuva	658	RAIN (PRECIPITATION)
Chacon-2017-102-70	70	red	vermelho	156	RED
Chacon-2017-102-71	71	root	raiz	670	ROOT
Chacon-2017-102-72	72	round	redondo	1395	ROUND
Chacon-2017-102-73	73	sand	areia	671	SAND
Chacon-2017-102-74	74	say	dizer	1458	SAY
Chacon-2017-102-75	75	see	ver	1409	SEE
Chacon-2017-102-76	76	seed	semente	714	SEED
Chacon-2017-102-77	77	sit	jáʔakahe	1416	SIT
Chacon-2017-102-78	78	skin	mutum	763	SKIN
Chacon-2017-102-79	79	sleep	dormir	1585	SLEEP
Chacon-2017-102-80	80	small	pequeno	1246	SMALL
Chacon-2017-102-81	81	smoke	nevoeiro	778	SMOKE (EXHAUST)
Chacon-2017-102-82	82	stand	levantar-se	1442	STAND
Chacon-2017-102-83	83	star	estrela	1430	STAR
Chacon-2017-102-84	84	stone	pedra	857	STONE
Chacon-2017-102-85	85	sun	sol	1343	SUN
Chacon-2017-102-86	86	swim	nadar	1439	SWIM
Chacon-2017-102-87	87	tail	rabo	1220	TAIL
Chacon-2017-102-88	88	that	esse	78	THAT
Chacon-2017-102-89	89	this	este	1214	THIS
Chacon-2017-102-90	90	thou, you	vocês	1215	THOU
Chacon-2017-102-91	91	tongue	língua	1205	TONGUE
Chacon-2017-102-92	92	tooth	dente	1380	TOOTH
Chacon-2017-102-93	93	tree, wood	árvore	906	TREE
Chacon-2017-102-94	94	two	dois	1498	TWO
Chacon-2017-102-95	95	walk	andar	1443	WALK
Chacon-2017-102-96	96	water	água	948	WATER
Chacon-2017-102-97	97	we	nós	1212	WE
Chacon-2017-102-98	98	what	nós	1236	WHAT
Chacon-2017-102-99	99	white	branco	1335	WHITE
Chacon-2017-102-100	100	who	quem	1235	WHO
Chacon-2017-102-101	101	woman	mulher	962	WOMAN
Chacon-2017-102-102	102	yellow	amarelo	1424	YELLOW
