ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH_FAMILIARITY_MEAN	ENGLISH_FEATURES_TAXONOMIC_SCORE	ENGLISH_FEATURES_FUNCTIONAL_SCORE	ENGLISH_FEATURES_VISUAL_MOTOR_SCORE	ENGLISH_FEATURES_VISUAL_SURFACE_SCORE	ENGLISH_FEATURES_VISUAL_COLOR_SCORE	ENGLISH_FEATURES_AUDITORY_SCORE	ENGLISH_FEATURES_GUSTATORY_SCORE	ENGLISH_FEATURES_OLFACTORY_SCORE	ENGLISH_FEATURES_HAPTIC_SCORE	ENGLISH_FEATURES_ENCYCLOPEDIC_SCORE
McRae-2005-541-1	1	accordion	2603	ACCORDION	2.90	1	2	0	2	0	2	0	0	0	2
McRae-2005-541-2	2	airplane	1597	AIRPLANE	6.55	0	3	3	5	0	0	0	0	0	2
McRae-2005-541-3	3	alligator	1581	ALLIGATOR	3.75	2	0	2	6	1	0	0	0	0	5
McRae-2005-541-4	4	ambulance	4013	AMBULANCE	6.45	2	7	1	4	3	1	0	0	0	1
McRae-2005-541-5	5	anchor	1870	ANCHOR	3.85	1	3	0	3	0	0	0	0	1	6
McRae-2005-541-6	6	ant	587	ANT	7.55	1	0	2	3	2	0	0	0	0	4
McRae-2005-541-7	7	apartment			7.80	1	1	0	8	0	0	0	0	0	8
McRae-2005-541-8	8	apple	1320	APPLE	8.30	2	2	0	4	3	0	3	0	2	3
McRae-2005-541-9	9	apron	2046	APRON	4.75	0	8	0	4	0	0	0	0	0	1
McRae-2005-541-10	10	armour	1061	ARMOUR	2.45	0	4	0	2	1	0	0	0	1	3
McRae-2005-541-11	11	ashtray	4028	ASHTRAY	5.60	0	4	0	5	0	0	0	1	0	1
McRae-2005-541-12	12	asparagus	2605	ASPARAGUS	5.85	1	3	0	1	1	0	1	0	0	2
McRae-2005-541-13	13	avocado	3725	AVOCADO	3.70	2	2	0	2	1	0	1	0	1	1
McRae-2005-541-14	14	axe	677	AXE	4.60	2	6	0	5	0	0	0	0	2	1
McRae-2005-541-15	15	bag	2468	BAG	8.55	0	3	0	5	1	0	0	0	0	3
McRae-2005-541-16	16	bagpipe			3.20	1	2	0	2	1	1	0	0	0	2
McRae-2005-541-17	17	ball	1845	BALL	8.35	0	5	0	1	1	0	0	0	1	1
McRae-2005-541-18	18	balloon	3083	BALLOON	7.05	0	2	2	4	2	2	0	0	1	5
McRae-2005-541-19	19	banana	868	BANANA	8.10	1	3	0	4	2	0	1	0	1	3
McRae-2005-541-20	20	banjo			3.15	1	4	0	4	0	2	0	0	0	1
McRae-2005-541-21	21	banner			6.10	1	3	0	7	1	0	0	0	0	1
McRae-2005-541-22	22	barn	3025	BARN OR SHED	5.60	1	6	0	6	1	0	0	1	0	2
McRae-2005-541-23	23	barrel	2548	BARREL	5.05	1	4	0	5	1	0	0	0	0	0
McRae-2005-541-24	24	basement	4108	CELLAR	7.60	0	1	0	7	0	0	0	1	2	5
McRae-2005-541-25	25	basket	1539	BASKET	6.90	0	4	0	3	0	0	0	0	0	2
McRae-2005-541-26	26	bat_(animal)	1793	BAT	4.25	2	0	1	4	1	1	0	0	0	7
McRae-2005-541-27	27	bat_(baseball)			6.85	0	4	0	3	0	0	0	0	1	0
McRae-2005-541-28	28	bathtub	4027	BATHTUB	8.05	0	7	0	3	1	0	0	0	1	4
McRae-2005-541-29	29	baton			3.20	0	5	0	4	0	0	0	0	0	1
McRae-2005-541-30	30	bayonet			1.75	1	1	0	1	0	0	0	0	1	3
McRae-2005-541-31	31	bazooka			2.05	2	3	0	2	0	2	0	0	0	2
McRae-2005-541-32	32	beans	832	BEAN	7.00	3	3	0	2	3	0	0	0	0	4
McRae-2005-541-33	33	bear	1820	BEAR	4.55	2	1	1	7	3	0	0	0	0	5
McRae-2005-541-34	34	beaver	1194	BEAVER	4.05	2	1	2	2	1	0	0	0	1	6
McRae-2005-541-35	35	bed	1663	BED	8.95	1	2	0	5	0	0	0	0	3	6
McRae-2005-541-36	36	bedroom	2505	BEDROOM	8.95	1	2	0	6	0	0	0	0	0	1
McRae-2005-541-37	37	beehive	88	BEEHIVE	5.10	0	2	0	1	1	0	0	0	0	4
McRae-2005-541-38	38	beetle	2242	BEETLE	4.20	2	0	2	6	1	0	0	0	1	1
McRae-2005-541-39	39	beets			5.50	2	4	0	2	2	0	0	0	1	4
McRae-2005-541-40	40	belt	772	BELT	7.95	2	4	0	6	0	0	0	0	0	1
McRae-2005-541-41	41	bench	2584	BENCH	7.60	0	2	0	5	1	0	0	0	1	2
McRae-2005-541-42	42	bike	747	BICYCLE	7.70	2	4	1	11	0	0	0	0	0	2
McRae-2005-541-43	43	bin_(waste)			8.10	0	2	0	6	0	0	0	1	0	0
McRae-2005-541-44	44	birch	1855	BIRCH	5.50	1	1	0	4	1	0	0	0	0	3
McRae-2005-541-45	45	biscuit	4126	BISCUIT	7.40	1	2	0	2	0	0	1	0	1	4
McRae-2005-541-46	46	bison	3142	BISON	2.75	2	2	1	1	1	0	0	0	1	2
McRae-2005-541-47	47	blackbird	4127	BLACKBIRD	3.75	2	0	2	3	1	2	0	0	0	2
McRae-2005-541-48	48	blender			5.80	1	5	0	7	0	1	0	0	0	1
McRae-2005-541-49	49	blouse	4018	BLOUSE	7.25	2	2	0	6	1	0	0	0	1	3
McRae-2005-541-50	50	blueberry	2809	BLUEBERRY	6.05	2	4	0	2	1	0	2	0	1	2
McRae-2005-541-51	51	bluejay			5.10	2	0	1	4	1	1	0	0	0	3
McRae-2005-541-52	52	board_(black)	3084	BLACKBOARD	7.90	0	4	0	2	2	0	0	0	0	3
McRae-2005-541-53	53	board_(wood)	1227	BOARD	5.95	0	5	0	3	1	0	0	0	1	3
McRae-2005-541-54	54	boat	1844	BOAT	6.55	0	3	1	4	0	0	0	0	0	2
McRae-2005-541-55	55	bolts			4.90	1	5	0	5	0	0	0	0	0	2
McRae-2005-541-56	56	bomb	1804	BOMB	3.05	2	4	0	1	0	2	0	0	0	6
McRae-2005-541-57	57	book	963	BOOK	8.80	0	3	0	8	0	0	0	0	0	5
McRae-2005-541-58	58	bookcase			8.15	1	3	0	5	0	0	0	0	0	3
McRae-2005-541-59	59	boots	585	BOOT	8.10	2	8	0	7	2	0	0	0	0	2
McRae-2005-541-60	60	bottle	1321	BOTTLE	8.35	1	5	0	5	2	0	0	0	0	2
McRae-2005-541-61	61	bouquet			6.05	0	1	0	2	1	0	0	1	0	3
McRae-2005-541-62	62	bow_(ribbon)			6.35	0	3	0	2	2	0	0	0	0	1
McRae-2005-541-63	63	bow_(weapon)	994	BOW	3.25	1	4	0	5	0	0	0	0	0	3
McRae-2005-541-64	64	bowl	1530	BOWL	8.50	0	7	0	4	1	0	0	0	0	2
McRae-2005-541-65	65	box	1465	BOX	7.80	1	2	0	10	1	0	0	0	0	0
McRae-2005-541-66	66	bra	4128	BRA	7.45	2	3	0	9	3	0	0	0	1	2
McRae-2005-541-67	67	bracelet	1754	BRACELET	8.20	2	3	0	6	0	0	0	0	0	3
McRae-2005-541-68	68	bread	1368	BREAD	8.55	2	5	0	1	2	0	0	0	1	5
McRae-2005-541-69	69	brick	1006	BRICK	7.40	0	2	0	2	2	0	0	0	3	0
McRae-2005-541-70	70	bridge	1011	BRIDGE	7.10	1	5	0	6	0	0	0	0	0	2
McRae-2005-541-71	71	broccoli	3726	BROCCOLI	7.55	1	3	0	3	1	0	1	0	0	3
McRae-2005-541-72	72	broom	245	BROOM	7.65	0	5	0	6	0	0	0	0	0	2
McRae-2005-541-73	73	brush	1821	BRUSH	8.70	0	6	0	4	0	0	0	0	0	2
McRae-2005-541-74	74	bucket	2052	BUCKET	6.55	0	3	0	4	0	0	0	0	0	0
McRae-2005-541-75	75	buckle	1917	TIE	7.65	0	2	0	4	0	0	0	0	0	2
McRae-2005-541-76	76	budgie	3720	BUDGERIGAR	4.40	2	0	3	3	4	4	0	0	0	1
McRae-2005-541-77	77	buffalo	934	BUFFALO	3.50	2	2	2	4	1	0	0	0	1	3
McRae-2005-541-78	78	buggy			4.00	0	6	0	5	0	0	0	0	0	1
McRae-2005-541-79	79	building	3396	BUILDING	8.35	0	3	0	11	0	0	0	0	0	1
McRae-2005-541-80	80	bull	1008	BULL	3.60	3	1	0	2	0	0	0	0	0	6
McRae-2005-541-81	81	bullet	1114	BULLET	3.65	1	7	1	4	0	0	0	0	0	1
McRae-2005-541-82	82	bungalow			4.30	1	2	0	6	0	0	0	0	0	0
McRae-2005-541-83	83	bureau			5.50	3	3	0	4	0	0	0	0	1	1
McRae-2005-541-84	84	bus	1070	BUS	8.35	1	4	0	8	1	1	0	0	0	2
McRae-2005-541-85	85	butterfly	1791	BUTTERFLY	6.15	2	0	2	3	2	0	0	0	0	6
McRae-2005-541-86	86	buzzard	1865	BUZZARD	2.20	3	0	3	5	1	0	0	0	0	2
McRae-2005-541-87	87	cabbage	774	CABBAGE	5.60	1	6	0	2	2	0	0	1	0	4
McRae-2005-541-88	88	cabin			5.10	0	2	0	4	0	0	0	0	1	3
McRae-2005-541-89	89	cabinet	3357	CUPBOARD	8.35	1	2	0	5	0	0	0	0	0	2
McRae-2005-541-90	90	cage	3283	CAGE	5.65	0	6	0	6	0	0	0	0	0	1
McRae-2005-541-91	91	cake	2408	CAKE	7.40	3	3	0	0	0	0	3	0	0	8
McRae-2005-541-92	92	calf	498	CALF OF LEG	4.35	2	3	2	5	0	1	0	0	0	1
McRae-2005-541-93	93	camel	1871	CAMEL	2.40	2	2	2	4	2	0	0	0	0	3
McRae-2005-541-94	94	camisole			4.20	3	3	0	7	1	0	0	0	2	2
McRae-2005-541-95	95	canary	4129	CANARY	3.65	2	0	3	6	1	2	0	0	0	1
McRae-2005-541-96	96	candle	1273	CANDLE	7.70	0	2	2	4	1	0	0	1	0	4
McRae-2005-541-97	97	cannon	3202	CANNON	2.95	1	2	1	5	1	2	0	0	1	4
McRae-2005-541-98	98	canoe	1970	CANOE	6.10	1	6	2	5	0	0	0	0	0	4
McRae-2005-541-99	99	cantaloupe	507	MELON	6.30	2	0	0	3	2	0	2	0	2	3
McRae-2005-541-100	100	cap_(bottle)			7.95	0	4	0	4	0	0	0	0	0	1
McRae-2005-541-101	101	cap_(hat)	1288	CAP	6.90	2	5	0	2	1	0	0	0	1	1
McRae-2005-541-102	102	cape	1662	CAPE	4.05	1	4	1	2	1	0	0	0	0	3
McRae-2005-541-103	103	car	1111	CAR	8.60	1	2	1	7	1	0	0	0	0	4
McRae-2005-541-104	104	card_(greeting)	1497	POSTCARD	7.05	0	4	0	3	1	0	0	0	0	5
McRae-2005-541-105	105	caribou	1876	REINDEER	3.60	3	2	2	6	1	0	0	0	0	4
McRae-2005-541-106	106	carpet	292	RUG	8.75	0	4	0	3	2	0	0	0	4	4
McRae-2005-541-107	107	carrot	3085	CARROT	7.60	2	4	0	4	2	0	0	0	1	5
McRae-2005-541-108	108	cart	122	CART	5.70	0	5	0	6	0	0	0	0	0	0
McRae-2005-541-109	109	cat	1208	CAT	7.65	5	0	2	8	0	2	0	0	0	3
McRae-2005-541-110	110	catapult			2.15	1	4	0	3	0	0	0	0	0	1
McRae-2005-541-111	111	caterpillar	2247	CATERPILLAR	5.35	1	1	2	3	3	0	0	0	1	3
McRae-2005-541-112	112	catfish	3777	CATFISH	3.35	1	1	2	4	0	0	0	0	0	2
McRae-2005-541-113	113	cathedral			4.70	2	5	0	4	0	0	0	0	0	2
McRae-2005-541-114	114	cauliflower	2843	CAULIFLOWER	6.80	1	5	0	2	2	0	1	0	0	3
McRae-2005-541-115	115	cedar	4147	CEDAR	5.50	4	3	0	5	1	0	0	1	0	1
McRae-2005-541-116	116	celery	3727	CELERY	7.55	1	2	0	4	1	0	2	0	1	4
McRae-2005-541-117	117	cellar	4108	CELLAR	4.70	1	3	0	2	0	0	0	0	2	2
McRae-2005-541-118	118	cello			2.75	1	1	0	3	0	2	0	0	0	2
McRae-2005-541-119	119	certificate			6.95	2	4	0	4	0	0	0	0	0	2
McRae-2005-541-120	120	chain	1627	CHAIN	7.05	1	2	0	4	2	0	0	0	0	2
McRae-2005-541-121	121	chair	1476	CHAIR	8.70	1	3	0	7	0	0	0	0	2	3
McRae-2005-541-122	122	chandelier			6.50	1	3	0	7	0	0	0	0	1	3
McRae-2005-541-123	123	chapel			5.25	0	3	0	1	0	0	0	0	0	7
McRae-2005-541-124	124	cheese	1569	CHEESE	8.25	4	5	0	0	3	0	2	1	2	2
McRae-2005-541-125	125	cheetah	3146	CHEETAH	3.40	4	1	2	1	2	0	0	0	1	2
McRae-2005-541-126	126	cherry	2765	CHERRY	6.90	2	1	0	4	1	0	2	0	0	2
McRae-2005-541-127	127	chickadee			3.80	3	0	1	5	3	2	0	0	0	1
McRae-2005-541-128	128	chicken	1318	CHICKEN	7.95	2	2	4	4	0	2	0	0	0	6
McRae-2005-541-129	129	chimp	3734	CHIMPANZEE	3.25	3	1	5	2	1	0	0	0	0	5
McRae-2005-541-130	130	chipmunk	4131	CHIPMUNK	6.00	2	0	3	3	2	0	0	0	1	3
McRae-2005-541-131	131	chisel	1979	CHISEL	3.85	1	5	0	2	0	0	0	0	1	1
McRae-2005-541-132	132	church	1349	CHURCH	6.10	1	4	0	4	0	0	0	0	0	6
McRae-2005-541-133	133	cigar	4019	CIGAR	4.60	0	1	0	4	1	0	0	1	0	4
McRae-2005-541-134	134	cigarette	969	CIGARETTE	5.20	0	1	0	3	1	0	0	1	0	7
McRae-2005-541-135	135	clam			4.20	2	1	0	2	0	0	0	0	1	2
McRae-2005-541-136	136	clamp			4.10	2	6	0	2	0	0	0	0	0	0
McRae-2005-541-137	137	clarinet			3.60	1	4	0	5	1	2	0	0	0	0
McRae-2005-541-138	138	cloak	326	CLOAK	3.30	3	1	0	2	1	0	0	0	1	0
McRae-2005-541-139	139	clock	1323	CLOCK	8.60	2	3	0	5	0	1	0	0	0	3
McRae-2005-541-140	140	closet	3357	CUPBOARD	8.70	1	3	0	6	0	0	0	0	0	3
McRae-2005-541-141	141	coat	603	COAT	8.35	1	4	0	11	1	0	0	0	1	1
McRae-2005-541-142	142	cockroach	1575	COCKROACH	3.60	1	0	1	5	2	0	0	0	1	4
McRae-2005-541-143	143	coconut	970	COCONUT	5.35	1	2	0	6	4	0	2	0	2	4
McRae-2005-541-144	144	cod	4132	COD	3.60	1	1	1	3	0	0	0	0	0	3
McRae-2005-541-145	145	coin	1867	COIN	8.85	0	4	0	6	0	0	0	0	0	1
McRae-2005-541-146	146	colander			2.35	1	1	0	3	0	0	0	0	0	1
McRae-2005-541-147	147	comb	1475	COMB	7.90	0	4	0	5	1	0	0	0	0	2
McRae-2005-541-148	148	cork			5.70	0	4	0	1	1	0	0	0	0	1
McRae-2005-541-149	149	corkscrew			5.60	0	4	0	4	0	0	0	0	0	2
McRae-2005-541-150	150	corn	506	MAIZE	7.85	1	3	0	5	1	0	1	0	0	2
McRae-2005-541-151	151	cottage	4116	COTTAGE	6.35	1	2	0	5	0	0	0	0	0	5
McRae-2005-541-152	152	couch	3099	SOFA	8.05	1	6	0	7	0	0	0	0	3	3
McRae-2005-541-153	153	cougar	1891	PUMA	2.20	5	0	3	7	1	0	0	0	0	7
McRae-2005-541-154	154	cow	1007	COW	5.40	2	3	4	5	3	1	0	1	0	3
McRae-2005-541-155	155	coyote	912	COYOTE	2.85	5	1	0	4	0	1	0	0	1	5
McRae-2005-541-156	156	crab	2348	CRAB	4.20	3	1	1	5	1	0	1	0	1	3
McRae-2005-541-157	157	cranberry	3840	CRANBERRY	4.05	2	2	0	2	1	0	3	0	0	4
McRae-2005-541-158	158	crane_(machine)	3745	CRANE (DEVICE)	3.70	1	4	0	2	1	0	0	0	1	2
McRae-2005-541-159	159	crayon			7.60	0	7	0	1	2	0	0	0	0	3
McRae-2005-541-160	160	crocodile	1857	CROCODILE	2.65	2	0	3	7	1	0	0	0	0	4
McRae-2005-541-161	161	crossbow	3193	CROSSBOW	3.35	1	3	0	2	0	0	0	0	0	2
McRae-2005-541-162	162	crow	913	CROW	5.00	2	0	2	4	1	3	0	0	0	1
McRae-2005-541-163	163	crowbar			4.00	2	5	0	2	1	0	0	0	2	0
McRae-2005-541-164	164	crown	1943	CROWN (OF HEAD)	2.95	0	4	0	4	0	0	0	0	1	5
McRae-2005-541-165	165	cucumber	496	CUCUMBER	7.10	1	3	0	5	3	0	0	0	2	2
McRae-2005-541-166	166	cup	476	CUP	8.20	2	6	0	8	1	0	0	0	0	4
McRae-2005-541-167	167	cupboard	3357	CUPBOARD	8.00	0	5	0	4	0	0	0	0	0	1
McRae-2005-541-168	168	curtains	2621	CURTAIN	8.40	0	8	0	2	1	0	0	0	0	2
McRae-2005-541-169	169	cushion	1044	PILLOW	7.90	1	3	0	6	1	0	0	0	2	3
McRae-2005-541-170	170	dagger	4133	DAGGER	3.00	2	4	0	6	0	0	0	0	1	1
