ID	NUMBER	GLOSS	POS	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMLEX_IDS	SIMLEX_GLOSSES	LINKS	ENGLISH	ARABIC	CHINESE	WELSH	ESTONIAN	FINNISH	FRENCH	HEBREW	POLISH	RUSSIAN	SPANISH	CANTONESE	ENGLISH_IN_SOURCE	ARABIC_IN_SOURCE	CHINESE_IN_SOURCE	WELSH_IN_SOURCE	ESTONIAN_IN_SOURCE	FINNISH_IN_SOURCE	FRENCH_IN_SOURCE	HEBREW_IN_SOURCE	POLISH_IN_SOURCE	RUSSIAN_IN_SOURCE	SPANISH_IN_SOURCE	CANTONESE_IN_SOURCE	ENGLISH_SCORE	ARABIC_SCORE	CHINESE_SCORE	WELSH_SCORE	ESTONIAN_SCORE	FINNISH_SCORE	FRENCH_SCORE	HEBREW_SCORE	POLISH_SCORE	RUSSIAN_SCORE	SPANISH_SCORE	CANTONESE_SCORE	MANDARIN_ERRATUM	FRENCH_ERRATUM	RUSSIAN_ERRATUM	SPANISH_ERRATUM
Vulic-2020-2244-1	1	statue	nouns	1002	STATUE	203:2	sculpture	1989	statue	تمثال	雕像	cerflun	kuju	patsas	statue	אנדרטה	statua	статуя	estatua	雕像	statue	تمثال	雕像	cerflun	kuju	patsas	statue	אנדרטה	statua	статуя	estatua	雕像	4.923076923076923	3.9	5.363636363636363	5.1	4.7	5.4	5.2	4.1	5.1	3.9	5.3	4.454545454545454	0	0	0	0
Vulic-2020-2244-2	2	permit	verbs	1003	PERMIT	1443:1	approve	945	permit	يسمح	准许	caniatáu	lubama	antaa lupa	permettre	להרשות	pozwalać	разрешать	permitir	准許	permit	يسمح	准许	caniatáu	lubama	antaa lupa	permettre	להרשות	pozwalać	разрешать	permitir	准許	4.769230769230769	4.0	3.8181818181818183	2.6	3.7	2.4	3.6	4.7	4.0	2.8	3.1	3.3636363636363638	0	0	0	0
Vulic-2020-2244-3	3	muscle	nouns	1004	MUSCLE	1:2 690:1 696:1	arm tongue bone	306 62 172	muscle	عضل	肌肉	cyhyrau (cyhyr)	lihas	lihas	muscle	שריר	mięsień	мускул	músculo	肌肉	muscle muscle muscle	عضل عضل عضل	肌肉 肌肉 肌肉	cyhyr cyhyrau cyhyrau	lihas lihas lihas	lihas lihas lihas	muscle muscle muscle	שריר שריר שריר	mięsień mięsień mięsień	мускул мускул мускул	músculo músculo músculo	肌肉 肌肉 肌肉	0.6923076923076923 1.6153846153846154 0.15384615384615385	2.9 2.8 2.4	1.1818181818181819 0.8181818181818182 0.36363636363636365	0.6 1.8 0.4	1.4 0.8 1.5	1.2 1.8 0.9	2.6 3.4 2.3	1.4 1.4 1.0	1.3 1.3 0.1	1.1 0.8 0.6	1.4 2.0 0.5	0.5454545454545454 0.2727272727272727 0.36363636363636365	0 0 0	0 0 0	0 0 0	0 0 0
Vulic-2020-2244-4	4	brick	nouns	1006	BRICK	618:2	wall	842	brick	طابوق	砖	bricsen	telliskivi	tiili	brique	לבנה	cegła	кирпич	ladrillo	磚	brick	طابوق	砖	bricsen	telliskivi	tiili	brique	לבנה	cegła	кирпич	ladrillo	磚	0.6153846153846154	1.0	0.6363636363636364	1.2	1.2	0.8	2.2	1.7	0.7	1.0	1.3	0.8181818181818182	0	0	0	0
Vulic-2020-2244-5	5	cow	nouns	1007	COW	120:1 549:1	goat cattle	226 46	cow	بقرة	牛	buwch	lehm	lehmä	vache	פרה	krowa	корова	vaca	牛	cow cow	بقرة بقرة	牛 牛	buwch buwch	lehm lehm	lehmä lehmä	vache vache	פרה פרה	krowa krowa	корова корова	vaca vaca	牛 牛	0.8461538461538461 4.230769230769231	2.8 3.1	0.45454545454545453 3.5454545454545454	1.2 4.8	1.1 1.5	1.5 3.0	2.6 4.1	1.7 3.9	1.1 4.9	0.5 2.5	1.3 2.6	2.272727272727273 4.090909090909091	0 0	0 0	0 0	0 0
Vulic-2020-2244-6	6	bull	nouns	1008	BULL	508:2	calf	408	bull	ثور	公牛	tarw	pull	sonni	taureau	שור	byk	бык	toro	公牛	bull	ثور	公牛	tarw	pull	sonni	taureau	שור	byk	бык	toro	公牛	1.6153846153846154	4.5	3.1818181818181817	1.8	1.5	2.3	3.1	2.6	2.0	2.2	2.3	3.3636363636363638	0	0	0	0
Vulic-2020-2244-7	7	boundary	nouns	1010	BOUNDARY	919:1	border	495	boundary	طرف	分界线	terfyn	piire	rajaviiva	frontière	תחום	odgraniczenie	рубеж	límite	分界線	boundary	طرف	分界线	terfyn	piire	rajaviiva	frontière	תחום	odgraniczenie	рубеж	límite	分界線	4.846153846153846	4.1	3.1818181818181817	4.1	3.4	3.0	5.6	4.3	3.4	4.4	5.1	3.727272727272727	0	0	0	0
Vulic-2020-2244-8	8	bridge	nouns	1011	BRIDGE	704:2	car	34	bridge	جسر	桥	pont	sild	silta	pont	גשר	most	мост	puente	橋	bridge	جسر	桥	pont	sild	silta	pont	גשר	most	мост	puente	橋	0.0	0.7	0.18181818181818182	0.3	0.6	0.3	0.6	0.8	0.0	0.4	0.2	0.2727272727272727	0	0	0	0
Vulic-2020-2244-9	9	drizzle	nouns	1016	DRIZZLE	764:1	rain	723	drizzle	رذاذ	毛毛雨	glaw mân	uduvihm	tihkusade	bruine	טפטוף	mżawka	морось	llovizna	毛毛雨	drizzle	رذاذ	毛毛雨	glaw mân	uduvihm	tihkusade	bruine	טפטוף	mżawka	морось	llovizna	毛毛雨	3.230769230769231	3.3	3.3636363636363638	3.8	4.0	4.1	4.7	3.1	3.6	4.3	4.4	4.2727272727272725	0	0	0	0
Vulic-2020-2244-10	10	whistle	verbs	1025	WHISTLE	1341:2	stop	542	whistle	يصفّر	哨	chwibanu	vilistama	viheltää	siffler	לשרוק	gwizdać	свистеть	silbar	哨	whistle	يصفّر	哨	chwibanu	vilistama	viheltää	siffler	לשרוק	gwizdać	свистеть	silbar	哨	0.0	0.9	0.0	0.1	0.3	0.1	0.5	0.2	0.1	0.0	0.5	0.2727272727272727	0	0	0	0
