ID	NUMBER	ENGLISH	LEXIBANK_GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	NORWEGIAN	NORWEGIAN_FREQUENCY	SWEDISH	SWEDISH_FREQUENCY	BORROWING	ANIMACY	MASS_NOUN	ABSTRACTNESS
Epps-2021-844-292	292	FOG	FOG 1 // FOG 2	249	FOG	skodd,skodde	13	skadda	0	c	0	1	0
Epps-2021-844-293	293	FOOD	FOOD	256	FOOD	mat	164	mat	93	c	0	1	0
Epps-2021-844-294	294	FOOT	FOOT	1301	FOOT	fot	125	fot	61	c	0	0	0
Epps-2021-844-295	295	FOOTPRINT	FOOTPRINT	318	FOOTPRINT	fotefar	1			c	0	0	0
Epps-2021-844-296	296	FOREHEAD	FOREHEAD	123	FOREHEAD	panne	24	panna	15	c	0	0	0
Epps-2021-844-297	297	FORK	FORK	1302	FORK	gaffel	7	gaffel	2	l	0	0	0
Epps-2021-844-298	298	FORTRESS	FORTRESS 1 // FORTRESS 2	1938	FORTRESS	borg	5	borg	11	c	0	1	0
Epps-2021-844-299	299	FOX	FOX	1312	FOX	rev	10	räv	9	c	1	0	0
Epps-2021-844-300	300	FREEDOM	FREEDOM			fridom		frihet		l	0	1	1
Epps-2021-844-301	301	FRIDAY	FRIDAY	1692	FRIDAY	fredag	153	fredag	95	l	0	0	1
Epps-2021-844-302	302	FRIEND	FRIEND 1 // FRIEND 2	1325	FRIEND	ven, venn	123	vän	209	c	1	0	0
Epps-2021-844-303	303	FROG	FROG 1 // FROG 2	503	FROG	frosk	2			c	1	0	0
Epps-2021-844-304	304	FRUIT	FRUIT	1507	FRUIT	frukt	25	frukt	44	l	0	0	0
Epps-2021-844-305	305	FUR	FUR	580	FUR	pels	1	päls	11	l	0	0	0
Epps-2021-844-306	306	FURROW	FURROW	1794	FURROW	for	0	fåra	6	c	0	0	0
Epps-2021-844-307	307	GAME	GAME	2467	GAME	spel		spel		l	0	0	1
Epps-2021-844-308	308	GARDEN	GARDEN	586	GARDEN			trädgård	50	c	0	0	0
Epps-2021-844-309	309	GARDEN-HOUSE	GARDEN-HOUSE	403	GARDEN-HOUSE	veksthus	6	växthus	6	c	0	0	0
Epps-2021-844-310	310	GATE	GATE	2940	GATE	grind	12	grind	3	c	0	0	0
Epps-2021-844-311	311	GHOST	GHOST 1 // GHOST 2 // GHOST 3 // GHOST 4	1175	GHOST			oknytt	0	c	1	0	1
Epps-2021-844-312	312	GILL	GILL	1916	GILL	gjelle	0	gäl	1	c	0	0	0
Epps-2021-844-313	313	GLASS	GLASS	604	GLASS	glas	67	glas	51	l	0	1	0
Epps-2021-844-314	314	GLOVE	GLOVE	867	GLOVE	hanske	6	handske	8	l	0	0	0
Epps-2021-844-315	315	GLUE	GLUE	1069	GLUE	lim	1	lim	3	c	0	1	0
Epps-2021-844-316	316	GOAT	GOAT	1502	GOAT	geit	13	get	11	c	1	0	0
Epps-2021-844-317	317	GOD	GOD	1944	GOD	gud	19	gud	111	c	1	0	1
Epps-2021-844-318	318	GOITER	GOITER	1957	GOITER	struma	0	struma	0	l	0	0	0
Epps-2021-844-319	319	GOLD	GOLD	1369	GOLD	gull	28	guld	45	c	0	1	0
Epps-2021-844-320	320	GOOD LUCK	GOOD LUCK 1 // GOOD LUCK 2	720	GOOD LUCK	tur	235	tur	137	l	0	x	1
Epps-2021-844-321	321	GOOSE	GOOSE	1187	GOOSE	gås	0	gås	9	c	1	1	0
Epps-2021-844-322	322	GOVERNMENT	GOVERNMENT	815	GOVERNMENT	regjering	164	regering	387	l	0	0	0
Epps-2021-844-323	323	GRAIN	GRAIN 1 // GRAIN 2 // GRAIN 3 // GRAIN 4 // GRAIN 5 // GRAIN 6 // GRAIN 7	605	GRAIN	såd	0	säd	2	c	0	1	0
Epps-2021-844-324	324	GRANDCHILD	GRANDCHILD	1617	GRANDCHILD	barnebarn	7	barnbarn	11	c	1	0	0
Epps-2021-844-325	325	GRANDPARENTS	GRANDPARENTS	305	GRANDPARENTS	besteforelder	0	mor- eller,farföräldrar		c	1	1	0
Epps-2021-844-326	326	GRAPE	GRAPE	920	GRAPE	drue	0	druva	3	l	0	0	0
Epps-2021-844-327	327	GRASS	GRASS 1 // GRASS 2	606	GRASS	torv	6	tov	0	c	0	1	0
Epps-2021-844-328	328	GRASSHOPPER	GRASSHOPPER	607	GRASSHOPPER	grashoppe	1	gräshoppa	4	c	1	1	0
Epps-2021-844-329	329	GRAVE	GRAVE	1773	GRAVE	grav	34	grav	29	c	0	0	0
Epps-2021-844-330	330	GREASE OR FAT	GREASE OR FAT	323	FAT (ORGANIC SUBSTANCE)	feitt	7	fett	9	l	0	1	0
Epps-2021-844-331	331	GRIEF	GRIEF 1 // GRIEF 2	1668	GRIEF	sorg	30	sorg	21	c	0	x	1
Epps-2021-844-332	332	GRIP	GRIP			handfang		fång	3	l	0	0	0
Epps-2021-844-333	333	GUARD	GUARD	1940	GUARD	vakt	35	vakt	30	l	1	0	0
Epps-2021-844-334	334	GUEST	GUEST	1782	GUEST	gjest	89	gäst	118	c	1	0	0
Epps-2021-844-335	335	GUMS	GUMS 1 // GUMS 2	139	GUMS	tannhald	0	hull	4	c	0	1	0
Epps-2021-844-336	336	GUN	GUN 1 // GUN 2	1566	GUN	pistol	10	pistol	7	l	0	0	0
Epps-2021-844-337	337	HAIR	HAIR 1 // HAIR 2	1040	HAIR	luv	0	luv	1	c	0	1	0
Epps-2021-844-338	338	HALF	HALF	816	HALF	halve	0	halva	6	c	0	0	1
Epps-2021-844-339	339	HAMMER	HAMMER	1481	HAMMER	hamar,hammar	17	hammare	2	c	0	0	0
Epps-2021-844-340	340	HAMMOCK	HAMMOCK	2019	HAMMOCK	matte	4	hängmatta	3	l	0	0	0
Epps-2021-844-341	341	HAND	HAND	1277	HAND	hand	397	hand	482	c	0	0	0
Epps-2021-844-342	342	HANDKERCHIEF OR RAG	HANDKERCHIEF OR RAG 1 // HANDKERCHIEF OR RAG 2	332	RAG	naseduk	7	näsduk	5	l	0	0	0
Epps-2021-844-343	343	HAPPENING	HAPPENING			hending		händelse		c	0	0	1
Epps-2021-844-344	344	HARE	HARE	1190	HARE	hare	7	hare	4	c	1	0	0
Epps-2021-844-345	345	HARVEST	HARVEST	611	HARVEST	skurd	2	skörd	36	c	0	1	0
Epps-2021-844-346	346	HAT OR CAP	HAT OR CAP 1 // HAT OR CAP 2 // HAT OR CAP 3	771	HAT	lue, luve	4	luva	1	c	0	0	0
Epps-2021-844-347	347	HATCH	HATCH	3116	HATCH (OUT)	luke		lucka	31	c	0	0	0
Epps-2021-844-348	348	HAWK	HAWK	307	HAWK	hauk	6	hök	2	c	1	0	0
Epps-2021-844-349	349	HAY	HAY	342	HAY	høy	16	hö	2	c	0	1	0
Epps-2021-844-350	350	HEAD	HEAD	1256	HEAD	hovud	191	huvud	240	c	0	0	0
Epps-2021-844-351	351	HEADBAND OR HEADDRESS	HEADBAND OR HEADDRESS	3457	HEADBAND OR HEADDRESS	band	52	pannband	0	c	0	0	0
Epps-2021-844-352	352	HEART	HEART	1223	HEART	hjarta, hjarte	74	hjärta	68	c	0	0	0
Epps-2021-844-353	353	HEEL	HEEL	980	HEEL	hæl	18	häl	0	c	0	0	0
Epps-2021-844-354	354	HELL	HELL	878	HELL	helvete	50	helvete	19	l	0	1	1
Epps-2021-844-355	355	HELMET	HELMET	1680	HELMET	hjelm	4	hjälm	8	c	0	0	0
Epps-2021-844-356	356	HERDSMAN	HERDSMAN	263	HERDSMAN	gjetar	6			c	1	0	0
Epps-2021-844-357	357	HERON	HERON	758	HERON	hegre	1	häger	0	c	1	0	0
Epps-2021-844-358	358	HILL	HILL	614	HILL	bakke	80	backe	21	c	0	0	0
Epps-2021-844-359	359	HIP	HIP 1 // HIP 2	1745	HIP	hoft, hofte	5	höft	7	l	0	0	0
Epps-2021-844-360	360	HOE	HOE	284	HOE	hakke	0	hacka	2	l	0	0	0
Epps-2021-844-361	361	HOLE	HOLE	1667	HOLE	hol	60	hål	23	c	0	0	0
Epps-2021-844-362	362	HONEY	HONEY	942	HONEY	honning	0	honung	4	c	0	1	0
Epps-2021-844-363	363	HOOK	HOOK 1 // HOOK 2 // HOOK 3	1071	HOOK	pukkel	0	puckel	10	l	0	0	0
Epps-2021-844-364	364	HORN/TRUMPET	HORN/TRUMPET	775	TRUMPET	horn	18	horn	10	c	0	0	0
Epps-2021-844-365	365	HORSE	HORSE	615	HORSE	hest	137	häst	67	c	1	0	0
Epps-2021-844-366	366	HOSPITAL	HOSPITAL	616	HOSPITAL	sjukehus	99	sjukhus	121	c	0	0	0
Epps-2021-844-367	367	HOST	HOST	1545	HOST	vert	18	värd	111	l	1	0	0
Epps-2021-844-368	368	HOUR	HOUR	1353	HOUR	time	290	timme	269	c	0	0	1
Epps-2021-844-369	369	HOUSE	HOUSE	1252	HOUSE	hus	496	hus	315	c	0	0	0
Epps-2021-844-370	370	HUT	HUT	1678	HUT	stove	100	stuga	40	l	0	0	0
Epps-2021-844-371	371	ICE	ICE 1 // ICE 2	617	ICE	is	68	is	45	c	0	1	0
Epps-2021-844-372	372	IDEA	IDEA 1 // IDEA 2	1609	IDEA	aning	8	aning	42	l	0	0	1
Epps-2021-844-373	373	IDOL	IDOL	1945	IDOL	idol	0	idol	7	l	1	0	0
Epps-2021-844-374	374	IMPRESSION	IMPRESSION			avtrykk	1	avtryck	2		0	0	0
Epps-2021-844-375	375	INJECTION	INJECTION	1805	INJECTION	sprøyte	1	spruta	4	c	0	0	0
Epps-2021-844-376	376	INSECT	INSECT 1 // INSECT 2	620	INSECT	kuse&	0			c	1	1	0
Epps-2021-844-377	377	INTENTION	INTENTION	1162	INTENTION	meining	246	mening	285	l	0	x	1
Epps-2021-844-378	378	INTERNET	INTERNET			internett		internet		l	0	x	0
Epps-2021-844-379	379	INTESTINES OR GUTS	INTESTINES OR GUTS	1334	GUTS	tarm	1	tarm	0	c	0	1	0
Epps-2021-844-380	380	IRON	IRON	621	IRON	jarn, jern	34	järn	23	c	0	1	0
Epps-2021-844-381	381	ISLAND	ISLAND	622	ISLAND	øy	65	ö	131	c	0	0	0
Epps-2021-844-382	382	ITCH	ITCH	148	ITCH	klåe, kløe	1	klåda	0	c	0	1	0
Epps-2021-844-383	383	JAW	JAW 1 // JAW 2	798	JAW	kjake	6	käke	1	c	0	0	0
Epps-2021-844-384	384	JEALOUSY	JEALOUSY	2016	JEALOUSY	svartsjuke	0	svartsjuka	5	c	0	x	1
Epps-2021-844-385	385	JEWEL	JEWEL	1029	JEWEL	juvel	0	juvel	1	l	0	0	0
Epps-2021-844-386	386	JOINT	JOINT	999	JOINT	ledd	0	led	14	c	0	0	0
Epps-2021-844-387	387	JUDGE	JUDGE	861	JUDGE	domar	0	domare	25	c	1	0	0
Epps-2021-844-388	388	JUDGMENT	JUDGMENT	1067	JUDGMENT	dom	33	dom	52	c	0	0	1
Epps-2021-844-389	389	JUG/PITCHER	JUG/PITCHER	270	JUG	kanne	0	kanna	2	c	0	0	0
Epps-2021-844-390	390	KANGAROO	KANGAROO	164	KANGAROO	kenguru	0	känguru	1	l	1	0	0
Epps-2021-844-391	391	KETTLE	KETTLE 1 // KETTLE 2	854	KETTLE	kokar	3	vattenkokare m	0	l	0	0	0
Epps-2021-844-392	392	KEY	KEY	1472	KEY	nykel, nøkkel	20	nyckel	21	c	0	0	0
Epps-2021-844-393	393	KID	KID	1972	KID	killing	1	killing	0	c	1	0	0
Epps-2021-844-394	394	KIDNEY	KIDNEY	489	KIDNEY	nyre	2	njure	21	c	0	0	0
Epps-2021-844-395	395	KING	KING	1508	KING	konge	66	kung	106	c	1	0	0
Epps-2021-844-396	396	KNEE	KNEE	1371	KNEE	kne	41	knä	32	c	0	0	0
Epps-2021-844-397	397	KNIFE	KNIFE 1 // KNIFE 2	1352	KNIFE	kniv	31	kniv	18	c	0	0	0
Epps-2021-844-398	398	KNOT	KNOT	760	KNOT	knut, knute	8	knut	14	c	0	0	0
Epps-2021-844-399	399	KNOWLEDGE	KNOWLEDGE	3874	KNOWLEDGE	kunnskap		kunskap		l	0	1	1
Epps-2021-844-400	400	LADDER	LADDER	1464	LADDER	stige	9	stege	4	c	0	0	0
Epps-2021-844-401	401	LAKE	LAKE	624	LAKE	sjø	118	sjö	89	c	0	0	0
Epps-2021-844-402	402	LAMB	LAMB 1 // LAMB 2	820	LAMB	lam	27	lamm	6	c	1	1	0
Epps-2021-844-403	403	LAMP OR TORCH	LAMP OR TORCH 1 // LAMP OR TORCH 2 // LAMP OR TORCH 3	2131	TORCH OR LAMP	lampe	4	lampa	21	l	0	0	0
Epps-2021-844-404	404	LAND/ COUNTRY	LAND/ COUNTRY	1300	COUNTRY	land	939	land	1060	c	0	1	0
Epps-2021-844-405	405	LANGUAGE	LANGUAGE 1 // LANGUAGE 2	1307	LANGUAGE	mål	377	mål	0	c	0	0	1
Epps-2021-844-406	406	LATCH OR DOOR BOLT	LATCH OR DOOR BOLT 1 // LATCH OR DOOR BOLT 2 // LATCH OR DOOR BOLT 3	1012	LATCH	lås	4	lås	11	c	0	0	0
Epps-2021-844-407	407	LAW	LAW	1062	LAW	lov	214	lag	135	c	0	0	1
Epps-2021-844-408	408	LEAD	LEAD	43	LEAD (GUIDE)	bly	1	bly	1	c	0	1	0
Epps-2021-844-409	409	LEADERSHIP	LEADERSHIP			leiarskap		ledarskap		c	0	1	1
Epps-2021-844-410	410	LEAF	LEAF 1 // LEAF 2	628	LEAF	lauv	9	löv	0	c	0	1	0
Epps-2021-844-411	411	LEARNING	LEARNING			lærdom		lärdom		c	0	1	1
Epps-2021-844-412	412	LEATHER	LEATHER	629	LEATHER	ler	2	läder	3	c	0	0	0
Epps-2021-844-413	413	LEG	LEG	1297	LEG	bein	70	ben	72	c	0	0	0
Epps-2021-844-414	414	LETTER	LETTER	1612	LETTER	brev	173	brev	135	l	0	1	0
Epps-2021-844-415	415	LICENSE PLATE	LICENSE PLATE	1790	LICENSE PLATE	nummerskilt& n	32	nummerskylt	28	l	0	0	0
Epps-2021-844-416	416	LICENSE PLATE/PLATE	LICENSE PLATE/PLATE	480	PLATE	plate	80	nummerplåt	12	l	0	0	0
Epps-2021-844-417	417	LIFE	LIFE	210	LIFE	liv	549	liv	560	c	0	1	1
Epps-2021-844-418	418	LIGHT/CANDLE	LIGHT/CANDLE	1273	CANDLE	lys	150	ljus	124	c	0	1	0
Epps-2021-844-419	419	LIGHTNING	LIGHTNING 1 // LIGHTNING 2	1654	LIGHTNING	eling&	7	eldning	0	c	0	0	0
Epps-2021-844-420	420	LINE	LINE 1 // LINE 2 // LINE 3	1048	LINE	rå	250	rad	313	c	0	0	0
Epps-2021-844-421	421	LINEN	LINEN	916	LINEN	lin	0	linne	5	l	0	0	0
Epps-2021-844-422	422	LIP	LIP	478	LIP	leppe	21	läpp	10	c	0	0	0
Epps-2021-844-423	423	LIVER	LIVER	1224	LIVER	lever	1	lever	11	c	0	0	0
Epps-2021-844-424	424	LIVESTOCK	LIVESTOCK 1 // LIVESTOCK 2	631	LIVESTOCK	kreatur	1	kreatur	3	l	1	0	0
Epps-2021-844-425	425	LIZARD	LIZARD	632	LIZARD	øgle	1	ödla	5	c	1	0	0
Epps-2021-844-426	426	LOCK	LOCK	1596	LOCK			knäppe		c	0	0	0
Epps-2021-844-427	427	LONELINESS	LONELINESS			einsemd@		ensamhet		l	0	1	1
Epps-2021-844-428	428	LOOM	LOOM	1787	LOOM	vevstol	0	vävstol	7	c	0	0	0
Epps-2021-844-429	429	LOTTERY	LOTTERY			lotteri		lotteri		l	0	1	1
Epps-2021-844-430	430	LOUSE	LOUSE	1392	LOUSE	lus	6	lus	8	c	1	1	0
Epps-2021-844-431	431	LUNCH	LUNCH 1 // LUNCH 2	768	LUNCH	undorn	0			c	0	0	0
Epps-2021-844-432	432	LUNG	LUNG	688	LUNG	lunge	5	lunga	6	c	0	0	0
Epps-2021-844-433	433	MACHINE	MACHINE	144	MACHINE	maskin	78	maskin	120	l	0	0	0
Epps-2021-844-434	434	MAGIC	MAGIC 1 // MAGIC 2 // MAGIC 3	392	MAGIC	trolldom	0	trolldom	0	c	0	1	1
Epps-2021-844-435	435	MAIN THING	MAIN THING			hovudsak		huvudsak		c	0	0	0
Epps-2021-844-436	436	MAIZE/CORN	MAIZE/CORN	506	MAIZE	mais	0	majs	2	l	0	1	0
Epps-2021-844-437	437	MANAGEMENT	MANAGEMENT			styre		styrelse		c	0	0	0
Epps-2021-844-438	438	MANNER	MANNER 1 // MANNER 2 // MANNER 3	488	MANNER	måte	645	måtta	4	l	0	x	1
Epps-2021-844-439	439	MARKET	MARKET	633	MARKET	marknad	108	marknad	110	c	0	1	1
Epps-2021-844-440	440	MASON	MASON	877	MASON	murar	2	murare	0	l	0	0	0
Epps-2021-844-441	441	MAST	MAST	184	MAST	mast	5	mast	6	l	0	0	0
Epps-2021-844-442	442	MASTER	MASTER	383	MASTER	meister	48	mästare		l	1	0	0
Epps-2021-844-443	443	MAT/RUG	MAT/RUG	195	MAT	matte	4	matta	23	l	0	0	0
Epps-2021-844-444	444	MATCH	MATCH	1133	MATCH	fyrstikk,fyrstikke	15	tändsticka	6	c	0	0	0
Epps-2021-844-445	445	MATTRESS	MATTRESS 1 // MATTRESS 2	105	MATTRESS	bolster	0	bolster	0	c	0	0	0
Epps-2021-844-446	446	MEAD	MEAD	941	MEAD	mjød	1	mjöd	0	c	0	0	0
Epps-2021-844-447	447	MEAL	MEAL 1 // MEAL 2	1526	MEAL	måltid	10	måltid	17	l	0	0	0
Epps-2021-844-448	448	MEDICINE	MEDICINE	1372	MEDICINE	medisin	26	medicin	33	l	0	1	0
Epps-2021-844-449	449	MERCHANT	MERCHANT	1082	MERCHANT	handlar	0	handlare	2	l	1	0	0
Epps-2021-844-450	450	MIDDLE	MIDDLE	1093	MIDDLE	midt	47	mitten	75	c	0	0	0
Epps-2021-844-451	451	MILK	MILK	635	MILK	mjølk	76	mjölk	19	c	0	1	0
Epps-2021-844-452	452	MILL	MILL	636	MILL	kvern	6	kvarn	7	c	0	0	0
Epps-2021-844-453	453	MIND	MIND	1562	MIND	sinn	18	sinne	55	l	0	0	1
Epps-2021-844-454	454	MINISTER	MINISTER	486	MINISTER	minister	9	minister	49	l	1	0	0
Epps-2021-844-455	455	MIRROR	MIRROR	1171	MIRROR	spegel	14	spegel	18	l	0	0	0
Epps-2021-844-456	456	MISTAKE	MISTAKE 1 // MISTAKE 2	1293	MISTAKE			misslycka	0	l	0	0	1
Epps-2021-844-457	457	MOBILE PHONE	MOBILE PHONE			mobil				l	0	0	0
Epps-2021-844-458	458	MOLAR TOOTH	MOLAR TOOTH	1049	MOLAR TOOTH	jeksel	0	oxel	0	c	0	1	0
Epps-2021-844-459	459	MONDAY	MONDAY	1697	MONDAY	måndag	136	måndag	119	c	0	0	1
Epps-2021-844-460	460	MONEY	MONEY	1559	MONEY	penning	0	pänning	5	c	0	1	0
Epps-2021-844-461	461	MONTH	MONTH	1370	MONTH	månad	276	månad	277	c	0	0	1
Epps-2021-844-462	462	MOON	MOON 1 // MOON 2	1313	MOON	måne	17	måne	20	c	0	0	0
Epps-2021-844-463	463	MORNING	MORNING	1339	MORNING	morgon	203	morgon	110	c	0	0	1
Epps-2021-844-464	464	MORTAR	MORTAR	224	MORTAR	mortar	0	mortel	0	l	0	0	0
Epps-2021-844-465	465	MOSQUE	MOSQUE	1603	MOSQUE	moske	0	moské	0	l	0	0	0
Epps-2021-844-466	466	MOTOR	MOTOR	110	MOTOR	motor	21	motor	60	l	0	0	0
Epps-2021-844-467	467	MOTORCYCLE	MOTORCYCLE	638	MOTORCYCLE	motorsykkel	14		9	l	0	0	0
Epps-2021-844-468	468	MOUND	MOUND					kuv	0	c	0	0	0
Epps-2021-844-469	469	MOUNTAIN	MOUNTAIN 1 // MOUNTAIN 2 // MOUNTAIN 3	639	MOUNTAIN	berg	28	berg	87	c	0	1	0
Epps-2021-844-470	470	MOUSE	MOUSE	1491	MOUSE	mus	12	mus	5	c	1	1	0
Epps-2021-844-471	471	MOUTH	MOUTH 1 // MOUTH 2 // MOUTH 3	674	MOUTH			slappra	0		0	0	0
