ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	MAURITIAN	HAITIAN	FRENCH
Wittmann-1973-200-1	1	98	ALL	all	tu	tu	tout
Wittmann-1973-200-2	2	1577	AND	and	ek	é, épi	et
Wittmann-1973-200-3	3	619	ANIMAL	animal	zanimo	bèt	animal
Wittmann-1973-200-4	4	646	ASH	ashes	lasan	sân	cendres
Wittmann-1973-200-5	5	1461	AT	at		a	à
Wittmann-1973-200-6	6	1291	BACK	back	ledo	dó	dos
Wittmann-1973-200-7	7	1292	BAD	bad	move	móvé	mauvais
Wittmann-1973-200-8	8	1204	BARK	bark	lekors	ékòs	écorce
Wittmann-1973-200-9	9	1157	BECAUSE	because	akoz	paské	parce que
Wittmann-1973-200-10	10	1251	BELLY	belly	vât	vât	ventre
Wittmann-1973-200-11	11	1202	BIG	big	gro, grâ, bel	gró, grâ	gros, grand
Wittmann-1973-200-12	12	937	BIRD	bird	zozo	zwézó	oiseau
Wittmann-1973-200-13	13	1403	BITE	to bite	mord-e	mòdé	mordre
Wittmann-1973-200-14	14	163	BLACK	black	noar	nwa	noir
Wittmann-1973-200-15	15	946	BLOOD	blood	disâ	sâ	sang
Wittmann-1973-200-16	16	175	BLOW (OF WIND)	to blow	sufle	suflé	souffler
Wittmann-1973-200-17	17	1394	BONE	bone	lezo	zó	os
Wittmann-1973-200-18	18	1407	BREATHE	to breathe	respir-e	suflé	respirer
Wittmann-1973-200-19	19	2102	BURN	to burn	bril-e	bulé, brilé	brûler
Wittmann-1973-200-20	20	1304	CHILD (YOUNG HUMAN)	child	zâfâ	pitit, ti-mun	enfant
Wittmann-1973-200-21	21	1489	CLOUD	cloud	nyaz	nwaž	nuage
Wittmann-1973-200-22	22	1287	COLD	cold	fre	fwèt	froid
Wittmann-1973-200-23	23	1446	COME	to come	vin-i	vin(i)	venir
Wittmann-1973-200-24	24	1420	COUNT	to count	kôt-e	kôté	compter
Wittmann-1973-200-25	25	1432	CUT	to cut	kup-e	kupé	couper
Wittmann-1973-200-26	26	1225	DAY (NOT NIGHT)	day	li-zur	žu, lažûnê	jour
Wittmann-1973-200-27	27	1494	DIE	to die	mor	muri	mourir
Wittmann-1973-200-28	28	1418	DIG	to dig	fuy-e	fuyé	fouiller, creuser
Wittmann-1973-200-29	29	1230	DIRTY	dirty	sal, malán	sal, króté	sale
Wittmann-1973-200-30	30	2009	DOG	dog	lisyê	šê	chien
Wittmann-1973-200-31	31	1401	DRINK	to drink	boar	bwè	boire
Wittmann-1973-200-32	32	1398	DRY	dry	sek	šèš	sec
Wittmann-1973-200-33	33	379	BLUNT	dull (knife)	pa kup byê	pa filé	émoussé
Wittmann-1973-200-34	34	2	DUST	dust	lapusyer	pusiè	poussière
Wittmann-1973-200-35	35	1247	EAR	ear	zorey	zórèy	oreille
Wittmann-1973-200-36	36	1228	EARTH (SOIL)	earth	later	(la)tè	terre
Wittmann-1973-200-37	37	1336	EAT	to eat	mâz-e	mâžé	manger
Wittmann-1973-200-38	38	744	EGG	egg	dizef	zé	œuf
Wittmann-1973-200-39	39	1248	EYE	eye	lizye	žé	œil
Wittmann-1973-200-40	40	1280	FALL	to fall	tôb-e	tôbé	tomber
Wittmann-1973-200-41	41	1406	FAR	far	luê	lwê	loin
Wittmann-1973-200-42	42	323	FAT (ORGANIC SUBSTANCE)	fat-grease	lagres	grès	graisse
Wittmann-1973-200-43	43	1217	FATHER	father	papa	papa	papa, père
Wittmann-1973-200-44	44	1419	FEAR (BE AFRAID)	to fear	per	pè	avoir peur (de)
Wittmann-1973-200-45	45	1201	FEATHER	feather	plim	plim	plume
Wittmann-1973-200-46	46	1242	FEW	few	pa buku, tigin	pa âpil, kèk	peu de
Wittmann-1973-200-47	47	1423	FIGHT	to fight	lager	gumê	lutter, se battre
Wittmann-1973-200-48	48	221	FIRE	fire	dife	difé	feu
Wittmann-1973-200-49	49	227	FISH	fish	posò	pwésô	poisson
Wittmann-1973-200-50	50	493	FIVE	five	sêk	sêk	cinq
Wittmann-1973-200-51	51	1574	FLOAT	to float	flot-e	flóté	flotter
Wittmann-1973-200-52	52	2003	FLOW	to flow	kul-e	kulé	couler
Wittmann-1973-200-53	53	239	FLOWER	flower	fler	flè	fleur
Wittmann-1973-200-54	54	1441	FLY (MOVE THROUGH AIR)	to fly	âvol-e	vólé	voler
Wittmann-1973-200-55	55	249	FOG	fog	bruyar	bruya	brouillard
Wittmann-1973-200-56	56	1301	FOOT	foot	lipye	pié	pied
Wittmann-1973-200-57	57	1500	FOUR	four	kat	kat(r)	quatre
Wittmann-1973-200-58	58	1431	FREEZE	to freeze	gê fre, kôzele	žélé	geler
Wittmann-1973-200-59	59	1507	FRUIT	fruit	fri	fwi	fruit
Wittmann-1973-200-60	60	1447	GIVE	to give	don-e	ba(y)	donner
Wittmann-1973-200-61	61	1035	GOOD	good	bô	bô	bon
Wittmann-1973-200-62	62	606	GRASS	grass	lerb	zèb	herbe
Wittmann-1973-200-63	63	1425	GREEN	green	ver	vèt	vert
Wittmann-1973-200-64	64	1334	GUTS	guts	trip	trip	tripes, intestins
Wittmann-1973-200-65	65	1040	HAIR	hair	seve	šivé, pwèl	cheveu(x), poil(s)
Wittmann-1973-200-66	66	1277	HAND	hand	lamê	mê	main
Wittmann-1973-200-67	67	1211	HE	he	li	li	lui
Wittmann-1973-200-68	68	1256	HEAD	head	latet	tèt	tête
Wittmann-1973-200-69	69	1408	HEAR	to hear	tâd-e	tâdé	entendre
Wittmann-1973-200-70	70	1223	HEART	heart	leker	kè, čè	cœur
