ID	NUMBER	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	AFRIKAANS_AOA	AFRIKAANS	AMERICANENGLISH_AOA	AMERICANENGLISH	CATALAN_AOA	CATALAN	CZECH_AOA	CZECH	DANISH_AOA	DANISH	DUTCH_AOA	DUTCH	ENGLISH_AOA	ENGLISH	FINNISH_AOA	FINNISH	GAELIC_AOA	GAELIC	GERMAN_AOA	GERMAN	GREEK_AOA	GREEK	HEBREW_AOA	HEBREW	HUNGARIAN_AOA	HUNGARIAN	ICELANDIC_AOA	ICELANDIC	IRISH_AOA	IRISH	XHOSA_AOA	XHOSA	ITALIAN_AOA	ITALIAN	LEBANESEARABIC_AOA	LEBANESEARABIC	LITHUANIAN_AOA	LITHUANIAN	LUXEMBOURGISH_AOA	LUXEMBOURGISH	MALAY_AOA	MALAY	MALTESE_AOA	MALTESE	PERSIAN_AOA	PERSIAN	POLISH_AOA	POLISH	RUSSIAN_AOA	RUSSIAN	SOUTHAFRICANENGLISH_AOA	SOUTHAFRICANENGLISH	SERBIAN_AOA	SERBIAN	SLOVAK_AOA	SLOVAK	SPANISH_AOA	SPANISH	SWEDISH_AOA	SWEDISH	TURKISH_AOA	TURKISH	WESTERNARMENIAN_AOA	WESTERNARMENIAN
Luniewska-2019-299-1	1	airplane	1597	AIRPLANE		-	3.78260869565217	plane	4.15	avió	2.88461538461538	letadlo	3.30434782608696	flyvemaskine	3.95454545454545	vliegtuig	3.55241935483871	airplane	1.83333333333333	lentokone	6.57142857142857	itealan	3.23809523809524	Flugzeug		-	2.52380952380952	matos	3.52380952380952	repülő	3.26086956521739	flugvél	3.65	eitleán	5.5	inqwelo-moya	4.31818181818182	aeroplano		-	4.17857142857143	lėktuvas	2.77272727272727	Fliger	4.05405405405405	kapal terbang	4.2	ajruplan	3.9047619047619	هواپیما		-	2.65714285714286	самолёт	3.57142857142857	aeroplane	4.72727272727273	avion	2.77777777777778	lietadlo	3.58823529411765	avión	3.17391304347826	flygplan	3.04761904761905	uçak	2.58333333333333	Օդանաւ 
Luniewska-2019-299-2	2	ant	587	ANT	3.21621621621622	mier	3.08695652173913	ant	3.1	formiga	3.34615384615385	mravenec	2.65217391304348	myre	2.95454545454545	mier	3.17338709677419	ant	2.04166666666667	muurahainen	8.61904761904762	seangan	2.80952380952381	Ameise	3.15151515151515	μυρμήγκι	2.9047619047619	nemala	3.66666666666667	hangya	4.5	maur	5.29411764705882	seangán	4.54166666666667	imbovane	3.08	formica	2.5952380952381	namle	4.25	skruzdėlė	3.31818181818182	Seechomes	4.0945945945946	semut	3.76923076923077	nemla	3.14285714285714	مورچه	3.3125	mrówka	3.22222222222222	муравей	2.78048780487805	ant	3.75757575757576	mrav	2.90909090909091	mravec	3.22727272727273	hormiga	2.56521739130435	myra	2.84615384615385	karınca	3.25	Մրջիւն 
Luniewska-2019-299-3	3	apple	1320	APPLE	2.83783783783784	appel	3.04347826086957	apple	2.5	poma	2.19230769230769	jablko	2.08695652173913	æble	2.45454545454545	appel	2.5241935483871	apple	1.66666666666667	omena	3.42857142857143	ubhal	1.80952380952381	Apfel	2.75	μήλο	1.97619047619048	tapu'ax	2.6	alma	2.60869565217391	epli	2.1	úll	3.33333333333333	iapile	2.2	mela	1.97619047619048	teffeha	2.75	obuolys	2.25	Apel	4.43243243243243	epal	3.18181818181818	tuffieħa	2.61904761904762	سیب	2.65625	jabłko	2.02777777777778	яблоко	2.28571428571429	apple	3.3030303030303	jabuka	2.12121212121212	jablko	2.77272727272727	manzana	2.30434782608696	äpple	2.25641025641026	elma	2.16666666666667	Խնձոր 
Luniewska-2019-299-4	4	axe	677	AXE	4.40540540540541	byl	5.04347826086957	axe	5.4	destral	4.38461538461539	sekera	3.95652173913043	økse	5	bijl	5.57258064516129	axe	3.29166666666667	kirves	7.42857142857143	tuagh	5.47619047619048	Axt	5.30882352941176	τσεκούρι	4.94444444444444	garzen	5.19047619047619	balta	5.17391304347826	öxi	5.7	tua	5.72727272727273	izembe	4.92	zappa	9.33333333333333	ferra3a	4.57142857142857	kirvis	4.5	Aaxt	5.35135135135135	kapak	8	mannara	5.47619047619048	تبر	4.6875	siekiera	4.16666666666667	топор	4.82926829268293	axe	5.51515151515152	sekira	5.33333333333333	sekera	5.40909090909091	hacha	4.69565217391304	yxa	4.41025641025641	balta		-
Luniewska-2019-299-5	5	ball	1845	BALL	2.59459459459459	bal	2.60869565217391	ball	2.55	pilota	2.30769230769231	míč	1.91304347826087	bold	1.80952380952381	bal	2.03225806451613	ball	1.21739130434783	pallo	3.71428571428571	ball(a)	2	Ball	2.13235294117647	μπάλα	1.66666666666667	kadur	2.19047619047619	labda	2.30434782608696	bolti	2.25	liathróid	3.28	ibhola	2	palla	1.69047619047619	tabe	2.60714285714286	kamuolys	2.04761904761905	Ball	3.83783783783784	bola	3	ballun	2.30952380952381	توپ	2.59375	piłka	1.76388888888889	мяч	2.19047619047619	ball	2.6969696969697	lopta	2.12121212121212	lopta	2.59090909090909	pelota	1.8695652173913	boll	1.97435897435897	top	1.41666666666667	Գնդակ 
Luniewska-2019-299-6	6	balloon	3083	BALLOON		-	3.65217391304348	balloon	3.3	globus	2.57692307692308	balónek	2.56521739130435	ballon	2.42857142857143	ballon	2.93145161290323	balloon	1.88888888888889	ilmapallo	4.90476190476191	bailiùn/balùn	2.42857142857143	Luftballon		-	1.85714285714286	balon	3.25	lufi	3.56521739130435	blaðra	3.15789473684211	balún	3.36363636363636	ibhaloni	2.8	palloncino		-	3.39285714285714	balionas	2.77272727272727	Ballon	4.06756756756757	belon	3.1875	bużżieqa	2.9047619047619	بادکنک		-	3.44444444444444	воздушный шар	2.61904761904762	balloon	3.21212121212121	balon	2.11111111111111	balón	2.82352941176471	globo	2.65217391304348	ballong	2.23809523809524	balon	2.33333333333333	Փուչիկ 
Luniewska-2019-299-7	7	banana	868	BANANA	3.13513513513513	piesang	3.47826086956522	banana	2.95	plàtan	2.30769230769231	banán	2.26086956521739	banan	2.45454545454545	banaan	2.72983870967742	banana	1.83333333333333	banaani	3.61904761904762	banana	2.04761904761905	Banane	2.96666666666667	μπανάνα	1.61904761904762	banana	4.14285714285714	banán	3.04347826086957	banani	2.95	banana	3.55555555555556	ibhanana	2.64	banana	1.88095238095238	mawze	5.42857142857143	bananas	2.47727272727273	Banann	3.97297297297297	pisang	3.18181818181818	banana	3.33333333333333	موز	3.0625	banan	3.86111111111111	банан	2.54761904761905	banana	3.60606060606061	banana	2.54545454545455	banán	2.81818181818182	plátano	2.30434782608696	banan	2.94871794871795	muz	1.91666666666667	Պանան 
Luniewska-2019-299-8	8	barrel	2548	BARREL	3.66666666666667	vat	5.39130434782609	barrel	4.3	bóta	4.03846153846154	sud	3.77272727272727	tønde	4	ton	5.60975609756098	barrel	4	tynnyri	6.28571428571429	baraille	4.52380952380952	Fass	4.6875	βαρέλι	4.65	xavit	4.90476190476191	hordó	4	tunna	4.26315789473684	bairille	7.12	ifatyi	4.08	botte	5	barmi:l	5.48148148148148	statinė	4.47619047619048	Faass	5.56756756756757	tong	6.45454545454545	bettija	5.52380952380952	بشکه	4.65625	beczka	3.97222222222222	бочка	6.07317073170732	barrel	5.27272727272727	bure	4.75757575757576	sud	5.95238095238095	barril	3.91304347826087	tunna	6.61538461538462	fıçı		-
Luniewska-2019-299-9	9	basket	1539	BASKET	4.05405405405405	mandjie	4.39130434782609	basket	4.2	cistella	3.30769230769231	košík	3.60869565217391	kurv	3.63636363636364	mand	4.04032258064516	basket	2.625	kori	4.23809523809524	basgaid	3.42857142857143	Korb	3.70967741935484	καλάθι	3.33333333333333	sal	3.57142857142857	kosár	4	karfa	4	ciseán	6.59259259259259	ibhaskithi	3.76	cestino	3.9047619047619	salle	4.46428571428571	krepšys	3	Kuerf	4.68918918918919	bakul	4	qoffa	4.04761904761905	سبد	3.75	koszyk	3.47222222222222	корзина	3.4390243902439	basket	4.6969696969697	korpa	3.12121212121212	kôš	4.40909090909091	cesta	3.65217391304348	korg	3.89473684210526	sepet	4.58333333333333	Սակառ 
Luniewska-2019-299-10	10	battery	662	BATTERY	4.89189189189189	battery	5	battery	6	pila	5.46153846153846	baterie	4.34782608695652	batteri	5.5	batterij	5.13709677419355	battery	3.29166666666667	patteri	7.28571428571429	bataraidh	4.76190476190476	Batterie	4.66176470588235	μπαταρία	5.27777777777778	batariya	5.57142857142857	elem	5.39130434782609	rafhlaða	9.23529411764706	cadhnra	6.04	ibhetri	5.2	pila	4.28571428571429	bettariye	7.10714285714286	elementas	4.5	Batterie	6.02702702702703	bateri	5.4375	batterija	4.57142857142857	باتری	4.78125	bateria	3.94285714285714	батарея	5	battery	5.72727272727273	baterija	4.60606060606061	baterka	4.90909090909091	pila	4.26086956521739	batteri	4.17948717948718	pil		-
