ID	NUMBER	ENGLISH	VIETNAMESE	IDS_KEY	CONCEPTICON_ID	CONCEPTICON_GLOSS
Tjuka-2024-1310-1	1	often	thường	14-320	1852	OFTEN
Tjuka-2024-1310-2	2	always	luôn luôn	14-310	1676	ALWAYS
Tjuka-2024-1310-3	3	ready	sẵn sàng	14-290	790	READY
Tjuka-2024-1310-4	4	cease, stop	ngừng	14-280	1928	CEASE
Tjuka-2024-1310-5	5	finish	xong	14-270	1766	FINISH
Tjuka-2024-1310-6	6	end (temporal)	kết thúc	14-260	743	END (OF TIME)
Tjuka-2024-1310-7	7	last, endure	kéo dài	14-252	1186	LAST (ENDURE)
Tjuka-2024-1310-8	8	begin, beginning	bắt đầu	14-250	3447	BEGIN OR START
Tjuka-2024-1310-9	9	retard, delay	trễ, trì hoãn	14-240	425	BE LATE
Tjuka-2024-1310-10	10	hasten, hurry	vội vã, vội vàng	14-230	754	HURRY
Tjuka-2024-1310-11	11	slow	chậm	14-220	701	SLOW
Tjuka-2024-1310-12	12	swift, fast, quick	nhanh	14-210	1631	FAST
Tjuka-2024-1310-13	13	immediately	ngay	14-190	1963	IMMEDIATELY
Tjuka-2024-1310-14	14	now	hiện nay	14-180	1376	NOW
Tjuka-2024-1310-15	15	late	muộn	14-170	477	LATE
Tjuka-2024-1310-16	16	early	sớm	14-160	672	EARLY
Tjuka-2024-1310-17	17	old	cũ	14-150	1229	OLD
Tjuka-2024-1310-18	18	young	trẻ	14-140	1207	YOUNG
Tjuka-2024-1310-19	19	age	tuổi	14-120	1789	AGE
Tjuka-2024-1310-20	20	new	mới	14-130	1231	NEW
Tjuka-2024-1310-21	21	time	thời gian	14-110	892	TIME
Tjuka-2024-1310-22	22	three times	ba lần	13-440	417	THREE TIMES
Tjuka-2024-1310-23	23	third	thứ ba	13-420	1859	THIRD
Tjuka-2024-1310-24	24	two times	hai lần	13-380	1546	TWICE
Tjuka-2024-1310-25	25	pair	đôi	13-370	1888	PAIR
Tjuka-2024-1310-26	26	second	thứ nhì, thứ hai	13-360	1384	SECOND
Tjuka-2024-1310-27	27	last	cuối cùng	13-350	1529	LAST (FINAL)
Tjuka-2024-1310-28	28	first	thứ nhất, đầu tiên	13-340	728	FIRST
Tjuka-2024-1310-29	29	alone, only	một mình	13-330	1580	ONLY
Tjuka-2024-1310-30	30	half	nửa	13-240	816	HALF
Tjuka-2024-1310-31	31	part, piece	phần, bộ phận	13-230	779	PART
Tjuka-2024-1310-32	32	empty	rỗng	13-220	1624	EMPTY
Tjuka-2024-1310-33	33	full	đầy	13-210	1429	FULL
Tjuka-2024-1310-34	34	multitude, crowd	đám đông	13-190	2023	CROWD
Tjuka-2024-1310-35	35	some	một số	13-181	1241	SOME
Tjuka-2024-1310-36	36	little (quantity), few	ít	13-170	1242	FEW
Tjuka-2024-1310-37	37	enough	đủ	13-180	1881	ENOUGH
Tjuka-2024-1310-38	38	more	hơn	13-160	1992	MORE
Tjuka-2024-1310-39	39	much, many	nhiều	13-150	1198	MANY
Tjuka-2024-1310-40	40	every, all	mọi, tất cả	13-140	98	ALL
Tjuka-2024-1310-41	41	count	đếm	13-107	1420	COUNT
Tjuka-2024-1310-42	42	thousand	nghìn	13-106	1843	THOUSAND
Tjuka-2024-1310-43	43	hundred	trăm	13-105	1634	HUNDRED
Tjuka-2024-1310-44	44	twenty	hai mươi	13-104	1710	TWENTY
Tjuka-2024-1310-45	45	fifteen	mười lăm	13-103	1709	FIFTEEN
Tjuka-2024-1310-46	46	twelve	mười hai	13-102	1707	TWELVE
Tjuka-2024-1310-47	47	eleven	mười một	13-101	1706	ELEVEN
Tjuka-2024-1310-48	48	ten	mười	13-100	1515	TEN
Tjuka-2024-1310-49	49	nine	chín	13-90	1483	NINE
Tjuka-2024-1310-50	50	eight	tám	13-80	1705	EIGHT
Tjuka-2024-1310-51	51	seven	bảy	13-70	1704	SEVEN
Tjuka-2024-1310-52	52	six	sáu	13-60	1703	SIX
Tjuka-2024-1310-53	53	five	năm	13-50	493	FIVE
Tjuka-2024-1310-54	54	four	bốn	13-40	1500	FOUR
Tjuka-2024-1310-55	55	two	hai	13-20	1498	TWO
Tjuka-2024-1310-56	56	three	ba	13-30	492	THREE
Tjuka-2024-1310-57	57	one	một	13-10	1493	ONE
Tjuka-2024-1310-58	58	zero, nothing	không	13-0	3198	NOTHING OR ZERO
Tjuka-2024-1310-59	59	change	thay đổi	12-930	1264	CHANGE
