ID	NUMBER	SPANISH	ENGLISH	CONCEPTICON_GLOSS	CONCEPTICON_ID	COLOR_MEAN	MOTION_MEAN	GRASP_MEAN	PAIN_MEAN	SOUND_MEAN	TASTE_MEAN	SMELL_MEAN	BODY_OBJECT_INTERACTION	CONCRETENESS	IMAGEABILITY	SEMANTIC_CATEGORY
DiezAlamo-2018-750-1	1	ABEJA	bee	BEE	665	6.15151515151515	7.52	4.20833333333333	5.38461538461539	3.32258064516129	2.3125	1.8	4.47457627118644	6.418	6.593	Insectos (An insect)
DiezAlamo-2018-750-2	2	ABRIGO	coat	COAT	603	4.66666666666667	2.8	7.33333333333333	1.80769230769231	1.7741935483871	2.625	3	6.06779661016949	4.983	6.72	Prendas de vestir (An article of clothing)
DiezAlamo-2018-750-3	3	ACORDEÓN	accordion	ACCORDION	2603	5.125	5.48	4.5	3.07692307692308	5.83870967741935	2.3125	2.12	6.08474576271186	6.55	5.109	Instrumentos musicales (A musical instrument)
DiezAlamo-2018-750-4	4	AGUIJÓN	sting	STINGER	3798	3.84848484848485	3.44	4.65217391304348	6.23076923076923	1.90322580645161	1.90322580645161	1.2	3.87931034482759	6.233	5.38	
DiezAlamo-2018-750-5	5	ÁGUILA	eagle	EAGLE	1905	5.21212121212121	7.36	3.20833333333333	3.92	4.48387096774194	4.03125	4.2	4.36206896551724	6.406	5.591	Aves (A bird)
DiezAlamo-2018-750-6	6	AGUJA	needle	NEEDLE (FOR SEWING)	1382	3.36363636363636	3.4	7.70833333333333	5.42307692307692	1.45161290322581	1.96875	1.28	6.13793103448276	5.875	5.93	Armas (A weapon)
DiezAlamo-2018-750-7	7	AJEDREZ	chess			4.75	3.36	5.54166666666667	2.07692307692308	2.16129032258065	2.46875	1.64	5.58620689655172	5.804	5.318	Deportes (A sport)
DiezAlamo-2018-750-8	8	AJO	garlic	GARLIC	2368	1.875	1.76	7.66666666666667	1.61538461538462	1.25806451612903	4.96875	6.68	6.13559322033898	5.77	6.33	Condimentos (A substance for flavoring food)
DiezAlamo-2018-750-9	9	ANCLA	anchor	ANCHOR	1870	3.27272727272727	2.5	2.95833333333333	5.19230769230769	4.09677419354839	1.8125	2.24	4.44827586206897	6.027	5.706	
DiezAlamo-2018-750-10	10	ANILLO	ring	RING	1374	5.625	2.48	7.875	2.5	1.64516129032258	2.71875	1.56	6.06779661016949	5.952	6.611	Serpientes (A snake)
DiezAlamo-2018-750-11	11	ANTENA	antenna			3.06060606060606	2	5.20833333333333	3.5	2.54838709677419	1.875	1.4	5.01694915254237	5.767	6.578	Partes de un edificio (A part of a building)
DiezAlamo-2018-750-12	12	ANTORCHA	torch	TORCH	1919	6.63636363636364	3.68	6.95833333333333	5.38461538461539	2.80645161290323	1.6875	4.52	4.91525423728814	6.51	6.2	
DiezAlamo-2018-750-13	13	ARAÑA	spider	SPIDER	843	4.6969696969697	6.68	5.58333333333333	4.76923076923077	1.41935483870968	1.84375	1.36	4.93103448275862	5.989	6.143	Insectos (An insect)
DiezAlamo-2018-750-14	14	ÁRBOL	tree	TREE	906	6.125	2.52	2.20833333333333	3.84615384615385	2.41935483870968	3.59375	4.44	5.71186440677966	5.921	6.292	
DiezAlamo-2018-750-15	15	ARCO	bow	BOW	994	3.1875	3.16	6.20833333333333	5.15384615384615	3.29032258064516	2.125	1.48	4.47368421052632	5.404	6.163	Armas (A weapon)
DiezAlamo-2018-750-16	16	ARMA	weapon	WEAPONS	951	4.06060606060606	3.52	5.66666666666667	7.88461538461539	6.61290322580645	1.59375	2.28	5.01694915254237	5.197	6.152	Muebles (An article of furniture)
DiezAlamo-2018-750-17	17	ARROZ	rice	RICE	926	2.27272727272727	2.12	7.16666666666667	1.57692307692308	1.67741935483871	7.1875	3.88	6.16666666666667	6.361	5.443	
DiezAlamo-2018-750-18	18	ASCENSOR	elevator			2.96969696969697	5.84	1.54166666666667	3.88461538461538	4.2258064516129	1.8125	3.16	5.13333333333333	6.46	6.106	Partes de un edificio (A part of a building)
DiezAlamo-2018-750-19	19	ATÚN	tuna			3.36363636363636	6.12	4.29166666666667	2.03846153846154	1.90322580645161	7.09375	5.76	5.66666666666667	6.154	5.697	Peces (A fish)
DiezAlamo-2018-750-20	20	AVESTRUZ	ostrich	OSTRICH	3797	4.03030303030303	7.12	2.04166666666667	4.53846153846154	4.61290322580645	4.34375	5.32	4.13559322033898	5.343	6.399	Aves (A bird)
DiezAlamo-2018-750-21	21	BALA	bullet	BULLET	1114	4.09090909090909	5.04	6.125	7.80769230769231	5.39285714285714	1.78125	2.36	4.79661016949153	5.705	5.575	Armas (A weapon)
DiezAlamo-2018-750-22	22	BALANZA	scale	SCALES (MEASURE INSTRUMENT)	2783	3.27272727272727	3.68	5.375	2.92307692307692	2.2258064516129	2.3125	1.64	5.01724137931035	5.888	6.008	
DiezAlamo-2018-750-23	23	BALCÓN	balcony			2.84375	1.12	1.58333333333333	4.07692307692308	2.19354838709677	2.03125	1.68	4.46666666666667	6.032	6.176	Partes de un edificio (A part of a building)
DiezAlamo-2018-750-24	24	BALLENA	whale	WHALE	957	4.42424242424242	7.12	1.20833333333333	4.30769230769231	5.64516129032258	4.32258064516129	4.56	3.54237288135593	6.464	6.44	Peces (A fish)
DiezAlamo-2018-750-25	25	BAÑO	bathroom			3.57575757575758	1.12	1.75	2.73076923076923	3.41935483870968	1.84375	3.96	4.96610169491525	5.435	6.325	Partes de un edificio (A part of a building)
DiezAlamo-2018-750-26	26	BARAJA	deck			3.9375	3.96	7.04166666666667	2.07692307692308	1.87096774193548	2.5	2.08	5.94827586206897	5.521	6.181	
