ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	SEMANTIC_CLASS	TYPICAL_ATTRIBUTE	COHYPONYMY	TYPICAL_EVENT	HYPERONYM	MERONYM	RANDOM_ADJECTIVE	RANDOM_NOUN	RANDOM_VERB
Baroni-2011-200-1	1	alligator	1581	ALLIGATOR	amphibian_reptile	aggressive, aquatic, big, carnivorous, dangerous, ferocious, frightening, green, heavy, hungry, large, long, old, scary, wild, young	crocodile, frog, lizard, snake, toad, turtle	attack, bask, breathe, chase, die, drink, eat, frighten, hide, hunt, kill, live, poach, run, shoot, sleep, swim, walk	animal, beast, carnivore, chordate, creature, predator, reptile, vertebrate	eye, foot, jaw, leg, mouth, scale, skin, tail, tooth	cardiac, constructive, electronic, experienced, impulsive, likely, minimum, possible, previous, social, syntactic, twin, unbelievable	addition, alternative, answer, arrears, clone, contestant, continent, courthouse, dock, handgun, message, methyl, recombination, rectifier, st, teenager, trombone, vitro	administer, admire, conclude, enable, experience, fetch, find, implement, label, propel, redesignated, remember, root, unfurl, view, warn
Baroni-2011-200-2	2	frog	503	FROG	amphibian_reptile	amphibious, aquatic, brown, colorful, edible, green, little, loud, noisy, old, poisonous, small, ugly, wild	alligator, bullfrog, lizard, snake, toad, turtle	breathe, catch, chase, croak, die, drink, eat, hop, kill, lay, leap, live, sit, swim	amphibian, animal, beast, chordate, creature, vertebrate	blood, bone, eye, foot, gill, head, leg, lung, poison, skin, tongue, wart	communal, crude, derivative, familiar, former, gay, igneous, migrant, most, quaint, sacred, state-of-the-art, varied	X-ray, adventurer, argument, bandanna, block, breast, calendar, candidacy, choice, dividend, doyen, ethnology, eurostar, force, headwaters, inspector, joint, opponent, pgce, potassium, president, review, secure, terminal	assign, crave, creep, damage, educate, enfranchise, finish, gonna, pack, save, serve, steal, want
Baroni-2011-200-3	3	lizard	632	LIZARD	amphibian_reptile	brown, carnivorous, domestic, fast, green, old, slimy, striped, wild, young	alligator, chameleon, frog, gecko, iguana, salamander, snake, turtle	bask, breathe, catch, chase, cut, die, eat, kill, live, run, scuttle, walk	animal, beast, carnivore, chordate, creature, reptile, vertebrate	blood, eye, head, leg, mouth, scale, skin, stripe, tail, tongue	alternative, conventional, financial, frigid, great, mechanical, past, resourceful, unspoiled, various	Ptolemy, blacksmith, communion, consolidation, crucible, dash, draftee, education, finding, injury, lens, majesty, mater, n, picking, premises, representation, someone, speaker, supplement, th, thay, treatment	appear, create, differentiate, expand, glean, manage, milk, play, qualify, recruit, refer, send
Baroni-2011-200-4	4	snake	730	SNAKE	amphibian_reptile	aggressive, black, brown, carnivorous, colorful, colourful, dangerous, deadly, fast, frightening, green, long, old, poisonous, quiet, scary, silent, slender, smooth, solitary, ugly, venomous, wild, young	alligator, crocodile, frog, lizard, toad, turtle	attack, bask, bite, breathe, catch, chase, coil, constrict, crawl, die, eat, frighten, hiss, hunt, hurt, kill, lay, live, molt, moult, nest, shed, sidewind, slither, undulate	animal, beast, chordate, creature, reptile, vertebrate	bone, eye, fang, head, mouth, poison, scale, skin, tail, tongue, tooth, venom	advisory, affordable, architectural, extra, hateful, least, manual, minimum, mod, much, particular, passive, priceless, shallow, unidentified	attestation, believer, bumper, cabinet, cake, cloister, deprivation, equivalence, establishment, grammar-school, loan, mixture, modifier, panto, permission, plastic, protagonist, shortlist, slaughter, treatment	border, budget, centrifuge, confine, dismember, earn, electrify, encypting, host, incur, inherit, insist, ok, quote, reflect, remember, remixed, scupper, speak, stall, taint, trigger
Baroni-2011-200-5	5	turtle	112	TURTLE	amphibian_reptile	amphibious, aquatic, brown, green, hard, old, slow, strong, young	alligator, frog, lizard, snake, terrapin, tortoise	breathe, chase, cook, die, drink, eat, feed, hide, lay, live, protect, save, swim, walk	amphibian, animal, beast, chordate, creature, food, pet, reptile, vertebrate	eye, foot, head, leg, neck, scale, shell, skin, tail	Italian, complete, different, listed, next, strict, tempting, various	aim, apoptosis, bed, cashier, charge, couple, dock, dungaree, game, paradigm, partials, philosophy, projector, renewal, salary, salt, sugar, sycamore, th, toilet	block, break, cry, depart, hate, identify, offer, practice, regard, secure, travel
Baroni-2011-200-6	6	dishwasher			appliance	clean, dirty, electric, electrical, empty, full, good, loud, new, noisy, old, rectangular, warm, white	freezer, fridge, oven, phone, radio, refrigerator, stereo, stove, telephone, television, toaster, washer	break, build, clean, close, fix, load, open, produce, put, repair, switch, throw, turn, use, wash, wipe	appliance, artefact, artifact, commodity, device, good, object	button, control, cup, cutlery, detergent, dial, dish, door, engine, front, glass, inside, metal, motor, mug, pan, plate, plug, rack, silverware, soap, steel, supply, tableware, top, water	analogous, blue, bottom, destructive, fascist, female, low, other, planned	Cavalier, Negro, advice, afterlife, appropriateness, availability, celebration, centre, cluster, concern, continuation, dentist, discrimination, donation, enthusiasm, examination, famine, fraternity, graduating, graveyard, horse, identity, intimacy, island, lantern, masonry, motorway, opportunity, oscillator, pharmacy, pill, resident, resource, sec, shop, speech, summary, switchover, valour	collaborate, confront, contemplate, cover, do, form, interest, keep, look, negotiate, oppose, prevent, qualify, top, visit
Baroni-2011-200-7	7	freezer			appliance	big, clean, cold, dirty, electric, electrical, empty, frozen, full, good, heavy, large, new, old, rectangular, small, white	dishwasher, fridge, oven, phone, radio, refrigerator, stereo, stove, telephone, television, toaster, washer	break, build, close, cool, fix, freeze, keep, open, preserve, produce, put, repair, store, switch, throw, turn, use, wipe	appliance, artefact, artifact, commodity, device, good, object	door, drawer, engine, food, front, inside, metal, motor, plug, shelf, steel, supply	Dutch, dramatic, early, first, intelligent, little, maximum, multiple, negative, previous, ranking, recent, several	ASM, admission, agenda, bump, chalk, component, couple, culture, directory, employment, flap, fund, idea, ideal, investigation, issuer, linguist, microphone, moniker, present, refurbishment, remedy, rule, stroke, warning	add, compare, convince, develop, enjoy, illustrate, invade, make, participate, pick, pretend, receive, refrain, smash, specify, speed
Baroni-2011-200-8	8	fridge			appliance	big, clean, cold, dirty, electric, electrical, empty, frozen, full, good, heavy, large, new, old, rectangular, small, white	dishwasher, freezer, oven, phone, radio, stereo, stove, telephone, television, toaster, washer	break, build, clean, close, cool, defrost, fix, keep, open, produce, put, refrigerate, repair, store, switch, throw, turn, use, wipe	appliance, artefact, artifact, commodity, device, good, object	door, drawer, drink, engine, food, inside, metal, motor, plug, shelf, steel, supply, top	French, bright, domestic, effective, few, first, free, initial, international, mythical, romantic, special, underground	adventure, bronze, cycle, downturn, elector, engineer, entertainment, footage, garden, habitat, infection, innovation, learner, nerve, off-campus, omission, pedal, plan, plea, prophecy, racism, release, remake, route, species, test	add, begin, bother, carry, centre, do, fixate, obey, read, recommend, reflect, request, respond, scamper, seem, sort, vary
Baroni-2011-200-9	9	oven	1143	OVEN	appliance	clean, dangerous, dirty, electric, electrical, empty, good, hot, large, new, old, rectangular	dishwasher, freezer, fridge, phone, radio, refrigerator, stereo, stove, telephone, television, toaster, washer	bake, break, broil, build, burn, clean, close, cook, fix, grill, heat, open, produce, put, reheat, repair, roast, switch, turn, use, warm, wipe	appliance, artefact, artifact, commodity, device, good, object	broiler, control, door, food, gas, grill, inside, metal, microwave, plug, rack, steel, supply, timer	civil, democratic, ex, fundamental, liquid, more, other, private, select, website, wonderful	Chippendale, O, behavior, cannot, constituent, conversation, debut, difficulty, emulator, experience, fraction, general, generation, ie, import, kilometre, palette, pitfall, pump, race, re, removal, researcher, saddle, sore, surroundings, tee, trust, water	adhere, adopt, air, allow, caravan, carry, chart, copy, emend, fund, graduate, mediate, note, omit, take, travel, undercut, update, verify
Baroni-2011-200-10	10	phone	1379	TELEPHONE	appliance	big, cellular, cheap, cordless, digital, electric, electrical, electronic, expensive, good, loud, mobile, new, noisy, obsolete, old, popular, portable, small	computer, dishwasher, freezer, fridge, oven, radio, refrigerator, stereo, stove, television, toaster, washer	answer, break, build, call, communicate, connect, dial, disconnect, fix, hang, hear, install, listen, make, operate, produce, receive, repair, ring, sound, speak, steal, talk, throw, use	appliance, artefact, artifact, commodity, device, equipment, gadget, good, object, system	antenna, button, cable, cord, dial, keyboard, number, plastic, receiver, wire	Austrian, Latin, acceptable, due, hydrological, large-scale, last, likely, more, olive, tough	artillery, bark, choice, clearance, closing, entrepreneur, goody, hectare, holiday, man, observer, optic, party, philosophy, polymer, propeller, salvation, sanctity, server, shoe, temp, tenet, theft, tray, turmoil	attack, come, conclude, convert, excite, inflame, isolate, last, need, qualify, read, refer, reserve, support, suspect, trigger
Baroni-2011-200-11	11	radio	1315	RADIO	appliance	big, cheap, electric, electrical, electronic, expensive, good, large, loud, new, noisy, old, popular, portable, small, square	computer, dishwasher, freezer, fridge, oven, phone, refrigerator, stereo, stove, telephone, television, toaster, washer	announce, break, broadcast, build, communicate, enjoy, fix, hear, listen, play, produce, receive, repair, sing, steal, switch, throw, transmit, tune, turn, use, wipe	appliance, artefact, artifact, commodity, device, equipment, good, object, system	amplifier, antenna, battery, channel, circuit, control, dial, headphone, loudspeaker, metal, music, plastic, plug, resistance, speaker, supply, wire	central, collective, first, institutional, keen, ongoing, other, previous, professional, radical, same, strange, such	addiction, affinity, author, canvas, female, gasket, governor, icing, journal, launch, learndirect, methodology, night, objection, opportunity, pilgrim, ping, productivity, protection, pupil, regulator, sex, smoke, spray, strike, tantrum, tube, workplace, ye	arrange, change, chase, complain, count, curve, date, forget, go, keep, reach, remove, research, see, seem, select, stop, think, undergo, wear
Baroni-2011-200-12	12	stereo			appliance	big, cheap, digital, electric, electrical, electronic, expensive, good, heavy, large, loud, new, noisy, old, popular, small, square	computer, dishwasher, freezer, fridge, oven, phone, radio, refrigerator, stove, telephone, television, toaster, washer	break, build, enjoy, fix, hear, install, listen, produce, receive, repair, steal, switch, throw, tune, turn, use, wipe	appliance, artefact, artifact, commodity, device, equipment, good, object, system	amplifier, antenna, cable, cd, circuit, control, deck, headphone, loudspeaker, metal, microphone, music, plastic, player, plug, record, recorder, resistance, speaker, supply, tape, turntable, wire, woofer	English, Key, first, generic, ideal, other, potential, required, separate, suitable	achievement, avatar, bacterium, burgh, candy, conscript, criterion, datum, era, history, holiday, idea, illness, inch, killer, kit, lawn, merger, news, orient, part, piece, reservation, sauce, scenario, ski, solo, stays, surfing, thank, therapist, ticket, toy, view, wale	burn, check, draw, expect, follow, ignore, precede, search, sleep
