ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	COMBINED_STABILITY_SCORE	ATHAPASKAN_STABILITY_SCORE	POMO_STABILITY_SCORE	EASTERN_AUSTRONESIAN_STABILITY_SCORE	JAPANESE_STABILITY_SCORE	COAST_SALISH_STABILITY_SCORE
Oswalt-1971-100-1	1	667	ROAD	road	97.2	92.9	100	100	100	100
Oswalt-1971-100-2	2	1498	TWO	two	95	100	100	100	100	49.9
Oswalt-1971-100-3	3	1247	EAR	ear	92.8	100	100	64.2	100	100
Oswalt-1971-100-4	4	1248	EYE	eye	92.6	100	100	100	100	25.5
Oswalt-1971-100-5	5	1392	LOUSE	louse	92.2	100	100	61.2	100	100
Oswalt-1971-100-6	6	1393	HORN (ANATOMY)	horn	90.7	100	100	NA	100	25.5
Oswalt-1971-100-7	7	1215	THOU	thou	90.7	100	100	100	7.5	100
Oswalt-1971-100-8	8	1380	TOOTH	tooth	87.9	100	100	39.3	100	100
Oswalt-1971-100-9	9	227	FISH	fish	85.7	100	100	100	7.5	49.9
Oswalt-1971-100-10	10	1209	I	I	83.8	100	100	65.5	7.5	100
Oswalt-1971-100-11	11	948	WATER	water	82.1	86.6	100	37.6	100	100
Oswalt-1971-100-12	12	1394	BONE	bone	81.1	86.6	100	69.7	100	25.5
Oswalt-1971-100-13	13	1405	NAME	name	80.6	100	100	47.7	100	11
Oswalt-1971-100-14	14	778	SMOKE (EXHAUST)	smoke	79.2	86.6	100	67.4	100	11
Oswalt-1971-100-15	15	1408	HEAR	hear	75.2	100	65.3	35.6	100	49.9
Oswalt-1971-100-16	16	1221	NOSE	nose	73.6	73.2	100	21.9	100	100
Oswalt-1971-100-17	17	1416	SIT	sit	73.4	100	100	13.5	7.5	100
Oswalt-1971-100-18	18	1212	WE	we	73.3	74.4	100	64.2	7.5	100
Oswalt-1971-100-19	19	1224	LIVER	liver	73.2	63.5	100	64.2	100	49.9
Oswalt-1971-100-20	20	857	STONE	stone	70.6	59.3	100	72	100	25.5
Oswalt-1971-100-21	21	906	TREE	tree	70.6	33.8	100	100	100	NA
Oswalt-1971-100-22	22	1411	LIE (REST)	lie	70.3	100	100	22.8	7.5	49.9
Oswalt-1971-100-23	23	221	FIRE	fire	69.4	89.1	100	17	100	3.5
Oswalt-1971-100-24	24	1040	HAIR	hair	68.1	100	68.2	17	100	11
Oswalt-1971-100-25	25	674	MOUTH	mouth	67	67.4	100	0	100	100
Oswalt-1971-100-26	26	1493	ONE	one	66.4	100	30.9	38.4	100	25.5
Oswalt-1971-100-27	27	1442	STAND	stand	64.8	48.9	74.3	100	100	3.5
Oswalt-1971-100-28	28	744	EGG	egg	62.8	90.6	100	0	2.9	NA
Oswalt-1971-100-29	29	628	LEAF	leaf	62.5	84.4	20	61.2	100	25.5
Oswalt-1971-100-30	30	1235	WHO	who	62.4	NA	42.4	69.7	100	49.9
Oswalt-1971-100-31	31	1277	HAND	hand	61	80	31.4	13.5	100	100
Oswalt-1971-100-32	32	937	BIRD	bird	60.5	11.1	100	100	100	NA
Oswalt-1971-100-33	33	1401	DRINK	drink	60.5	68.7	66.6	18.1	100	NA
Oswalt-1971-100-34	34	1333	NECK	neck	58.8	84.5	11.9	13.3	100	100
Oswalt-1971-100-35	35	1301	FOOT	foot	58.5	86.6	100	3	7.5	25.5
Oswalt-1971-100-36	36	323	FAT (ORGANIC SUBSTANCE)	fat	58.3	64.4	100	0	100	25.5
Oswalt-1971-100-37	37	1203	LONG	long	56.8	81.2	44.5	14.4	100	25.5
Oswalt-1971-100-38	38	1409	SEE	see	55.2	100	26.1	0	100	0
Oswalt-1971-100-39	39	1220	TAIL	tail	54.9	91.3	72.2	3	7.5	25.5
Oswalt-1971-100-40	40	1233	NIGHT	night	54.2	23.5	100	61.2	100	25.5
Oswalt-1971-100-41	41	683	PERSON	person	53.5	48.1	66.6	28.1	100	NA
Oswalt-1971-100-42	42	1458	SAY	say	52.6	100	0	0	100	25.5
Oswalt-1971-100-43	43	1228	EARTH (SOIL)	earth	51.3	78.8	39.6	5.6	7.5	100
Oswalt-1971-100-44	44	1202	BIG	big	50.9	100	42.2	6.7	7.5	3.5
Oswalt-1971-100-45	45	1205	TONGUE	tongue	50.9	32.3	100	35.9	7.5	100
Oswalt-1971-100-46	46	1256	HEAD	head	50.7	90.8	29.9	12.9	7.5	49.9
Oswalt-1971-100-47	47	1035	GOOD	good	50.2	62.5	66.6	5.4	7.5	100
Oswalt-1971-100-48	48	1494	DIE	die	49.7	34.3	17	100	100	25.5
Oswalt-1971-100-49	49	1214	THIS	this	49.5	53.3	65.0	10.3	100	31.6
Oswalt-1971-100-50	50	1430	STAR	star	49.5	69.1	7.1	39.3	100	25.5
Oswalt-1971-100-51	51	1198	MANY	many	49.1	86.6	68.2	0	4.5	3.5
Oswalt-1971-100-52	52	1402	BREAST	breast	48.7	NA	47.4	NA	100	0
Oswalt-1971-100-53	53	1489	CLOUD	cloud	48.5	37.4	72.2	32.6	100	25.5
Oswalt-1971-100-54	54	646	ASH	ashes	47.3	18.2	65.3	61.2	100	NA
Oswalt-1971-100-55	55	72	CLAW	claw	45.7	NA	39.6	NA	100	3.5
Oswalt-1971-100-56	56	1335	WHITE	white	44.6	52.5	17.9	0	100	100
Oswalt-1971-100-57	57	671	SAND	sand	45.5	46.4	39.7	39.3	100	11
Oswalt-1971-100-58	58	1204	BARK	bark	45.3	6.4	100	32.6	100	61.7
Oswalt-1971-100-59	59	1336	EAT	eat	43.8	48.1	29.1	61.2	3.3	61.7
Oswalt-1971-100-60	60	946	BLOOD	blood	43.3	47.1	65.3	14.4	100	25.5
Oswalt-1971-100-61	61	1371	KNEE	knee	43	80.2	2.4	NA	7.5	11
Oswalt-1971-100-62	62	1253	RAIN (RAINING)	rain	42	36	42.4	32.6	100	25.5
Oswalt-1971-100-63	63	163	BLACK	black	40.9	58.2	25.4	0	100	25.5
Oswalt-1971-100-64	64	1201	FEATHER	feather	40.9	40.7	47.4	13.1	100	25.5
Oswalt-1971-100-65	65	763	SKIN	skin	40	41.2	22.1	32.6	100	25.5
Oswalt-1971-100-66	66	2009	DOG	dog	39.9	54.9	0	14.9	100	49.9
Oswalt-1971-100-67	67	1231	NEW	new	39.7	NA	66.6	37.6	4.5	25.5
Oswalt-1971-100-68	68	1443	WALK	walk	39	NA	65.3	0	100	3.5
Oswalt-1971-100-69	69	1287	COLD	cold	38.3	82.3	8.4	12.9	7.5	3.5
Oswalt-1971-100-70	70	78	THAT	that	37.6	26.3	25.1	10.3	100	100
Oswalt-1971-100-71	71	962	WOMAN	woman	36.2	14.5	15.7	36.2	100	100
Oswalt-1971-100-72	72	1417	KILL	kill	36.1	34.4	2.4	41.1	100	NA
Oswalt-1971-100-73	73	1585	SLEEP	sleep	35.8	21.1	66.6	32.6	49.9	25.5
Oswalt-1971-100-74	74	1223	HEART	heart	34.3	62.1	26.5	5.9	4.5	25.5
Oswalt-1971-100-75	75	1395	ROUND	round	34.3	NA	5.8	NA	100	25.5
Oswalt-1971-100-76	76	1236	WHAT	what	33.7	NA	22.7	24.5	7.5	100
Oswalt-1971-100-77	77	634	MEAT	meat	33.1	50.4	39.7	6.7	4.5	31.6
Oswalt-1971-100-78	78	1313	MOON	moon	32.6	11.1	41.9	NA	100	NA
Oswalt-1971-100-79	79	1403	BITE	bite	31.7	26.5	100	0	7.5	3.5
Oswalt-1971-100-80	80	670	ROOT	root	30.7	NA	7.7	9.4	100	49.9
Oswalt-1971-100-81	81	1240	NOT	not	30.4	NA	25.9	0	100	NA
Oswalt-1971-100-82	82	2102	BURN	burn	29.6	33.6	17.9	0	100	25.5
Oswalt-1971-100-83	83	1439	SWIM	swim	29.5	35.7	7.4	17.0	100	3.5
Oswalt-1971-100-84	84	1286	HOT	hot	29.4	15.3	45.4	21.1	100	0
Oswalt-1971-100-85	85	1446	COME	come	28.5	NA	35.6	0	100	0
Oswalt-1971-100-86	86	639	MOUNTAIN	mountain	27.8	12.2	65.3	17.7	35	NA
Oswalt-1971-100-87	87	156	RED	red	27.1	25.2	25.4	7.9	100	3.5
Oswalt-1971-100-88	88	1425	GREEN	green	26.9	NA	17.9	0	100	25.5
Oswalt-1971-100-89	89	1343	SUN	sun	26.7	27.3	72.2	3	7.5	0
Oswalt-1971-100-90	90	1398	DRY	dry	26.3	46	4.6	6.4	7.5	49.9
Oswalt-1971-100-91	91	1441	FLY (MOVE THROUGH AIR)	fly	26.1	NA	26.5	0	100	3.5
Oswalt-1971-100-92	92	1447	GIVE	give	24.6	NA	65.3	3	7.5	3.5
Oswalt-1971-100-93	93	1251	BELLY	belly	22.5	NA	24.6	24.6	4.5	31.6
Oswalt-1971-100-94	94	3626	KNOW	know	22.5	26	3.6	6.7	100	0
Oswalt-1971-100-95	95	714	SEED	seed	17.3	NA	0	0	100	3.5
Oswalt-1971-100-96	96	98	ALL	all	16	NA	0	3	64.2	25.5
Oswalt-1971-100-97	97	1246	SMALL	small	15.7	17.8	37.2	0	7.5	3.5
Oswalt-1971-100-98	98	1429	FULL	full	15.4	32.3	0	NA	4.5	25.5
Oswalt-1971-100-99	99	1424	YELLOW	yellow	15.2	NA	5.8	0	64.2	NA
Oswalt-1971-100-100	100	1554	MAN	man	13.6	NA	24.2	0	7.5	25.5
