ID	NUMBER	ENGLISH	BISLAMA	CONCEPTICON_ID	CONCEPTICON_GLOSS
Walworth-2018-215-1	1	hand	han	1277	HAND
Walworth-2018-215-2	2	left	lef	244	LEFT
Walworth-2018-215-3	3	right	raet	1019	RIGHT
Walworth-2018-215-4	4	leg	leg	1297	LEG
Walworth-2018-215-5	5	walk	wokabaot	1443	WALK
Walworth-2018-215-6	6	road	rod	667	ROAD
Walworth-2018-215-7	7	come	kam	1446	COME
Walworth-2018-215-8	8	turn	tanem	1588	TURN
Walworth-2018-215-9	9	swim	swim (olsem long solwota; no long swimhaos)	1439	SWIM
Walworth-2018-215-10	10	dirty	toti	1230	DIRTY
Walworth-2018-215-11	11	dust	tas	2	DUST
Walworth-2018-215-12	12	skin	sikin	763	SKIN
Walworth-2018-215-13	13	back	baksaed	1291	BACK
Walworth-2018-215-14	14	belly	bel	1251	BELLY
Walworth-2018-215-15	15	bone	bun	1394	BONE
Walworth-2018-215-16	16	intestines	ol kat	1991	INTESTINES
Walworth-2018-215-17	17	liver	leva	1224	LIVER
Walworth-2018-215-18	18	breast	titi	1402	BREAST
Walworth-2018-215-19	19	shoulder	solda	1482	SHOULDER
Walworth-2018-215-20	20	know v.	save (taem we yu save, olsem 'mi save')	1410	KNOW (SOMETHING)
Walworth-2018-215-21	21	think v.	tingting (taem we yu tingting, olsem 'mi tingbaot')	1415	THINK (REFLECT)
Walworth-2018-215-22	22	fear 	fraet	1419	FEAR (BE AFRAID)
Walworth-2018-215-23	23	blood	blad	946	BLOOD
Walworth-2018-215-24	24	head	hed	1256	HEAD
Walworth-2018-215-25	25	neck	nek	1333	NECK
Walworth-2018-215-26	26	hair	hea	1040	HAIR
Walworth-2018-215-27	27	nose	nus	1221	NOSE
Walworth-2018-215-28	28	breathe	pulum win	1407	BREATHE
Walworth-2018-215-29	29	sniff	smelem	375	SNIFF
Walworth-2018-215-30	30	mouth	maot	674	MOUTH
Walworth-2018-215-31	31	tooth	tut	1380	TOOTH
Walworth-2018-215-32	32	tongue	tang	1205	TONGUE
Walworth-2018-215-33	33	laugh v.	laf	1355	LAUGH
Walworth-2018-215-34	34	cry v.	krae	1839	CRY
Walworth-2018-215-35	35	vomit	traot	1278	VOMIT
Walworth-2018-215-36	36	spit	spet	1440	SPIT
Walworth-2018-215-37	37	eat	kakae	1336	EAT
Walworth-2018-215-38	38	chew	chuwim	321	CHEW
Walworth-2018-215-39	39	cook	kuk	1100	COOK (SOMETHING)
Walworth-2018-215-40	40	drink	dring	1401	DRINK
Walworth-2018-215-41	41	bite	kakae witim tut	1403	BITE
Walworth-2018-215-42	42	suck	(olsem taem we babi i titi)	1421	SUCK
Walworth-2018-215-43	43	ear	sorae	1247	EAR
Walworth-2018-215-44	44	hear	harem	1408	HEAR
Walworth-2018-215-45	45	eye	ae	1248	EYE
Walworth-2018-215-46	46	see	lukluk	1409	SEE
Walworth-2018-215-47	47	yawn	wantem silip	1028	YAWN
Walworth-2018-215-48	48	sleep	silip	1585	SLEEP
Walworth-2018-215-49	49	lie_down	ledaon	215	LIE DOWN
Walworth-2018-215-50	50	dream v.	drim (taem we yu drim)	1920	DREAM (SOMETHING)
Walworth-2018-215-51	51	sit	sidaon	1416	SIT
Walworth-2018-215-52	52	stand	stanap	1442	STAND
Walworth-2018-215-53	53	person	person (man o woman)	683	PERSON
Walworth-2018-215-54	54	man	man	1554	MAN
Walworth-2018-215-55	55	woman	woman	962	WOMAN
Walworth-2018-215-56	56	child	pikinini	2099	CHILD
Walworth-2018-215-57	57	husband	husban (man blong wan woman)	1200	HUSBAND
Walworth-2018-215-58	58	wife	waef (woman blong wan man)	1199	WIFE
Walworth-2018-215-59	59	mother	mama	1216	MOTHER
Walworth-2018-215-60	60	father	papa	1217	FATHER
Walworth-2018-215-61	61	house	haos	1252	HOUSE
Walworth-2018-215-62	62	thatch	tatj	279	THATCH
Walworth-2018-215-63	63	name	nem	1405	NAME
Walworth-2018-215-64	64	say	talem	1458	SAY
Walworth-2018-215-65	65	rope	rop	1218	ROPE
Walworth-2018-215-66	66	tie	fasem taet	1917	TIE
Walworth-2018-215-67	67	sew	somap	1457	SEW
Walworth-2018-215-68	68	needle	nedel	1382	NEEDLE (FOR SEWING)
Walworth-2018-215-69	69	hunt	kasem (wael animal)	1435	HUNT
Walworth-2018-215-70	70	shoot	shutum	1172	SHOOT
Walworth-2018-215-71	71	stab	stikim	1434	STAB
Walworth-2018-215-72	72	hit	kilim	1433	HIT
Walworth-2018-215-73	73	steal	stilim	713	STEAL
Walworth-2018-215-74	74	kill	kilimded	1417	KILL
Walworth-2018-215-75	75	die v.	taem we yu ded	1494	DIE
Walworth-2018-215-76	76	live v.	taem we yu laev	1422	BE ALIVE
Walworth-2018-215-77	77	scratch	sikrasem	1436	SCRATCH
Walworth-2018-215-78	78	cut	katem	1432	CUT
Walworth-2018-215-79	79	wood	wud	1803	WOOD
Walworth-2018-215-80	80	split	spletem	1437	SPLIT
Walworth-2018-215-81	81	sharp	shap	1396	SHARP
Walworth-2018-215-82	82	blunt	no shap	379	BLUNT
Walworth-2018-215-83	83	work	wok	1086	WORK (ACTIVITY)
Walworth-2018-215-84	84	plant	planem	653	PLANT (VEGETATION)
Walworth-2018-215-85	85	choose	jusum	1750	CHOOSE
Walworth-2018-215-86	86	grow	groem up (no minim groem wan sumting)	479	GROW
Walworth-2018-215-87	87	swell	solap	1573	SWELL
Walworth-2018-215-88	88	squeeze	skwisim (olsem jus blong wan frut)	1414	SQUEEZE
Walworth-2018-215-89	89	hold	holem	1448	HOLD
Walworth-2018-215-90	90	dig	digim	1418	DIG
Walworth-2018-215-91	91	buy	pem	1869	BUY
Walworth-2018-215-92	92	open	openem (olsem wan sospan)	1156	OPEN
Walworth-2018-215-93	93	pound	kilkilim	354	POUND
Walworth-2018-215-94	94	throw	sakemaot	1456	THROW
Walworth-2018-215-95	95	fall	foldaon (olsem wan frut)	1280	FALL
Walworth-2018-215-96	96	dog	dog	2009	DOG
Walworth-2018-215-97	97	bird	pijin	937	BIRD
Walworth-2018-215-98	98	egg	ek	744	EGG
Walworth-2018-215-99	99	feather	feta	1201	FEATHER
Walworth-2018-215-100	100	wing	win	1257	WING
Walworth-2018-215-101	101	fly v.	flae	1441	FLY (MOVE THROUGH AIR)
Walworth-2018-215-102	102	rat	rat	1490	RAT
Walworth-2018-215-103	103	meat	mit	634	MEAT
Walworth-2018-215-104	104	fat	kris/glis	323	FAT (ORGANIC SUBSTANCE)
Walworth-2018-215-105	105	tail	tel	1220	TAIL
Walworth-2018-215-106	106	snake	snek	730	SNAKE
Walworth-2018-215-107	107	worm	wom	1219	WORM
Walworth-2018-215-108	108	louse	laus	1392	LOUSE
Walworth-2018-215-109	109	mosquito	moskito	1509	MOSQUITO
Walworth-2018-215-110	110	spider	spida	843	SPIDER
Walworth-2018-215-111	111	fish	fis	227	FISH
Walworth-2018-215-112	112	rotten	sting/roten	1728	ROTTEN
Walworth-2018-215-113	113	branch	branj	1531	BRANCH
Walworth-2018-215-114	114	leaf	lif	628	LEAF
Walworth-2018-215-115	115	root	rus	670	ROOT
Walworth-2018-215-116	116	flower	flowa	239	FLOWER
Walworth-2018-215-117	117	fruit	frut	1507	FRUIT
Walworth-2018-215-118	118	grass	kras	606	GRASS
