ID	NUMBER	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALENCE_MEAN	AROUSAL_MEAN	FAMILIARITY_MEAN	CONCRETENESS_MEAN	FREQUENCY_LEXESP	SEMANTIC_CATEGORY
Ferre-2012-380-285	285	Cubo	4179	CUBE	4.71	3.47	6.20	6.00	6.07	object
Ferre-2012-380-286	286	Cuchara	1378	SPOON	4.76	4.16	7.60	8.40	3.75	object
Ferre-2012-380-287	287	Cuerda	1218	ROPE	4.42	4.11	5.16	6.80	18.21	object
Ferre-2012-380-288	288	Dardo			4.39	4.97	3.92	7.32	7.50	object
Ferre-2012-380-289	289	Desagüe			2.95	4.08	3.88	7.36	1.07	object
Ferre-2012-380-290	290	Desatascador			3.42	3.63	3.72	6.68	0.00	object
Ferre-2012-380-291	291	Destornillador	836	SCREWDRIVER	4.11	4.00	4.84	8.39	0.00	object
Ferre-2012-380-292	292	Diadema	330	HEADBAND	5.05	3.32	5.24	7.48	1.79	object
Ferre-2012-380-293	293	Diario	1298	NEWSPAPER	5.79	4.76	8.48	5.24	72.14	object
Ferre-2012-380-294	294	Enchufe			3.97	4.24	7.16	7.48	1.61	object
Ferre-2012-380-295	295	Escoba	245	BROOM	3.82	3.00	7.44	8.04	2.86	object
Ferre-2012-380-296	296	Escudo	1064	SHIELD	4.74	4.95	3.80	6.29	8.93	object
Ferre-2012-380-297	297	Espada	1535	SWORD	3.63	5.74	2.96	7.32	18.04	object
Ferre-2012-380-298	298	Esparadrapo			3.92	3.84	5.04	7.64	0.54	object
Ferre-2012-380-299	299	Esterilla			5.24	3.39	3.88	6.56	0.36	object
Ferre-2012-380-300	300	Fábrica	4180	FACTORY	3.61	4.03	5.64	5.08	27.68	object
Ferre-2012-380-301	301	Faja	772	BELT	3.68	3.84	3.96	7.04	2.32	object
Ferre-2012-380-302	302	Felpudo			4.45	3.08	2.96	6.64	0.36	object
Ferre-2012-380-303	303	Flecha	977	ARROW	3.76	5.50	4.64	6.08	4.46	object
Ferre-2012-380-304	304	Fregona			3.24	3.82	7.20	7.84	1.07	object
Ferre-2012-380-305	305	Gafas	2292	GLASSES	4.74	3.53	8.08	7.24	33.04	object
Ferre-2012-380-306	306	Globo	3083	BALLOON	5.92	4.47	5.28	6.64	10.18	object
Ferre-2012-380-307	307	Goma	4064	RUBBER	4.61	3.47	7.28	4.92	12.86	object
Ferre-2012-380-308	308	Góndola			7.16	4.71	1.96	7.24	1.07	object
Ferre-2012-380-309	309	Gorra	1288	CAP	4.82	3.24	5.28	7.09	7.68	object
Ferre-2012-380-310	310	Gorro	771	HAT	5.05	3.68	6.20	6.76	5.54	object
Ferre-2012-380-311	311	Grapadora			4.76	3.76	7.04	8.20	0.00	object
Ferre-2012-380-312	312	Guadaña	20	SCYTHE	2.69	6.14	1.63	7.21	0.89	object
Ferre-2012-380-313	313	Guantes	867	GLOVE	5.05	3.13	5.56	7.12	0.00	object
Ferre-2012-380-314	314	Hacha	677	AXE	2.76	6.03	2.80	7.24	6.25	object
Ferre-2012-380-315	315	Hamaca	2019	HAMMOCK	7.00	3.32	4.28	7.88	2.50	object
Ferre-2012-380-316	316	Impresora			4.55	4.05	8.16	7.72	0.89	object
Ferre-2012-380-317	317	Inyección	1805	INJECTION	2.05	7.00	5.00	6.64	6.96	object
Ferre-2012-380-318	318	Jeringa	4090	SYRINGE	2.00	6.95	3.56	6.40	1.07	object
Ferre-2012-380-319	319	Ladrillo	1006	BRICK	4.24	3.32	4.96	6.60	8.04	object
Ferre-2012-380-320	320	Lancha	1844	BOAT	6.16	5.89	3.20	7.12	1.96	object
Ferre-2012-380-321	321	Lanza	945	SPEAR	3.89	5.61	2.92	6.24	16.79	object
Ferre-2012-380-322	322	Látigo	2630	WHIP	3.05	5.82	3.32	7.72	4.46	object
Ferre-2012-380-323	323	Libreta			5.16	4.45	7.24	6.96	3.57	object
Ferre-2012-380-324	324	Lija			3.42	4.05	2.44	6.12	0.71	object
Ferre-2012-380-325	325	Machete	2680	MACHETE	2.47	6.03	3.12	7.56	1.79	object
Ferre-2012-380-326	326	Mecedora	3999	ROCKING CHAIR	6.34	2.66	4.04	6.52	4.11	object
Ferre-2012-380-327	327	Mechero	3092	LIGHTER	3.92	5.08	7.08	8.20	3.93	object
Ferre-2012-380-328	328	Misil			1.55	6.79	3.60	7.80	5.00	object
Ferre-2012-380-329	329	Mochila			4.79	3.63	7.44	6.84	3.39	object
Ferre-2012-380-330	330	Monedero			5.53	4.42	7.32	7.32	1.25	object
Ferre-2012-380-331	331	Monitor			5.26	4.34	6.28	5.56	2.50	object
Ferre-2012-380-332	332	Motosierra			3.11	6.74	3.28	7.96	0.00	object
Ferre-2012-380-333	333	Navaja	3742	POCKETKNIFE	2.08	6.42	3.64	7.24	13.39	object
Ferre-2012-380-334	334	Novela			7.00	5.11	6.76	6.36	90.18	object
Ferre-2012-380-335	335	Nuclear			2.95	5.63	6.60	5.54	36.07	object
Ferre-2012-380-336	336	Palo	1295	STICK	4.21	3.95	5.12	5.60	18.39	object
Ferre-2012-380-337	337	Parchís			6.13	4.71	5.24	8.08	2.32	object
Ferre-2012-380-338	338	Patera			2.63	6.00	5.60	7.64	0.89	object
Ferre-2012-380-339	339	Patinete			5.71	5.11	3.52	6.84	0.18	object
Ferre-2012-380-340	340	Pegamento	1069	GLUE	4.39	3.66	4.76	7.40	1.61	object
Ferre-2012-380-341	341	Peine	1475	COMB	5.00	3.32	7.12	6.92	5.00	object
Ferre-2012-380-342	342	Pelota	1845	BALL	6.05	5.92	7.96	7.08	18.39	object
Ferre-2012-380-343	343	Peluche			7.47	4.16	4.80	6.56	2.14	object
Ferre-2012-380-344	344	Peonza	3996	TOP (TOY)	5.79	4.61	2.67	8.20	0.71	object
Ferre-2012-380-345	345	Piano	3994	PIANO (INSTRUMENT)	7.42	5.03	5.08	7.88	33.57	object
Ferre-2012-380-346	346	Piedra	857	STONE	4.61	3.79	5.76	7.56	64.46	object
Ferre-2012-380-347	347	Pijama			6.37	3.08	7.40	7.12	5.36	object
Ferre-2012-380-348	348	Pincho			3.11	5.63	3.84	5.04	1.61	object
Ferre-2012-380-349	349	Pinza	272	TONGS	4.71	3.68	6.92	6.16	1.96	object
Ferre-2012-380-350	350	Pizarra	3084	BLACKBOARD	4.63	3.71	7.32	7.28	5.00	object
Ferre-2012-380-351	351	Plancha	4031	IRON (PRESSING)	3.82	4.11	7.16	6.68	5.18	object
Ferre-2012-380-352	352	Plumero			4.42	3.47	5.28	6.42	0.71	object
Ferre-2012-380-353	353	Prótesis			2.42	4.34	3.68	5.68	7.14	object
Ferre-2012-380-354	354	Pulsera	1754	BRACELET	6.29	3.74	6.04	8.00	3.39	object
Ferre-2012-380-355	355	Puñal	4133	DAGGER	1.92	6.89	3.32	7.52	5.89	object
Ferre-2012-380-356	356	Puzle	4178	PUZZLE	6.08	5.32	4.28	7.68	0.00	object
Ferre-2012-380-357	357	Refinería			3.62	4.35	3.60	6.96	0.89	object
Ferre-2012-380-358	358	Retrete	219	TOILET	3.16	3.74	4.88	7.80	8.04	object
Ferre-2012-380-359	359	Rotulador			5.32	4.05	6.60	7.08	0.54	object
Ferre-2012-380-360	360	Sacapuntas			4.71	3.68	4.88	7.42	0.18	object
Ferre-2012-380-361	361	Saco	2468	BAG	4.39	3.29	5.08	6.28	21.79	object
Ferre-2012-380-362	362	Sierra	1948	SAW	3.71	5.05	3.12	6.76	14.82	object
Ferre-2012-380-363	363	Sofá	3099	SOFA	6.84	2.55	7.88	7.76	17.68	object
Ferre-2012-380-364	364	Sombrilla	3105	UMBRELLA	5.84	3.76	4.76	7.88	4.29	object
Ferre-2012-380-365	365	Soplete	1919	TORCH	3.76	4.84	3.92	7.40	2.50	object
Ferre-2012-380-366	366	Tabla	1227	BOARD	4.45	3.42	6.40	3.80	15.00	object
Ferre-2012-380-367	367	Tablón	1227	BOARD	4.76	3.66	3.64	4.72	2.68	object
Ferre-2012-380-368	368	Taladro	3423	DRILL	3.03	5.47	5.08	7.44	1.43	object
Ferre-2012-380-369	369	Teléfono	1379	TELEPHONE	6.47	6.03	8.58	7.04	80.18	object
Ferre-2012-380-370	370	Televisión	1788	TELEVISION	6.18	4.92	8.64	7.12	146.79	object
Ferre-2012-380-371	371	Tienda	752	STORE	6.24	5.11	7.92	4.92	29.64	object
Ferre-2012-380-372	372	Tirita			3.57	4.54	6.08	7.96	0.00	object
Ferre-2012-380-373	373	Toalla	1021	TOWEL	5.05	3.29	7.80	7.28	9.29	object
Ferre-2012-380-374	374	Tornillo	1802	SCREW	4.37	3.53	5.28	6.92	1.43	object
Ferre-2012-380-375	375	Traje			5.63	4.87	6.48	5.60	42.14	object
Ferre-2012-380-376	376	Trípode	2607	TRIPOD	4.58	3.82	3.64	6.56	1.79	object
Ferre-2012-380-377	377	Tuerca			4.34	3.47	4.08	6.40	0.71	object
Ferre-2012-380-378	378	Váter	219	TOILET	3.89	4.08	7.68	7.20	0.36	object
Ferre-2012-380-379	379	Vídeo			5.95	5.13	7.80	6.32	17.68	object
Ferre-2012-380-380	380	Zapato	1381	SHOE	6.16	4.79	8.32	6.72	13.04	object
