ID	NUMBER	SOURCE_ID	ENGLISH	POS	CONCEPTICON_ID	CONCEPTICON_GLOSS	HUNGARIAN	LATIN	POLISH	DEFINITION
Kornai-2018-1400-256	256	2497	ceremony	N			ünnepély	sollemne	uroczystość	formal, act, <PART_OF religion>, tradition
Kornai-2018-1400-257	257	567	certain	A	509	CERTAIN	egyes	quidam	pewien	" KNOW"
Kornai-2018-1400-258	258	691	chance	N			esély	potestas	szansa	probability
Kornai-2018-1400-259	259	2770	chance	N			véletlen			force, lack(knowledge) ABOUT, cause, lack(person LEAD/2617)
Kornai-2018-1400-260	260	404	change	N			csere	mutatio	zmiana	
Kornai-2018-1400-261	261	2554	change	V	1264	CHANGE	változtat	muto	zmieniać	=PAT[different[after]]
Kornai-2018-1400-262	262	1187	character	N	1024	CHARACTER	jellem	habitus	charakter	property[<moral>, <good>], <person HAS>, recognize INSTRUMENT
Kornai-2018-1400-263	263	457	charge	N			díj	merces	opłata	price
Kornai-2018-1400-264	264	2035	charge	V			rohamoz	oppugno	atakować	
Kornai-2018-1400-265	265	2541	charge	N			vád	accusatio	oskarźenie	=PAT[responsible] HAS control
Kornai-2018-1400-266	266	2602	chemical	A			vegyi	chemicus	chemiczny	chemistry
Kornai-2018-1400-267	267	397	cheque	N			csekk	gyrus	czek	paper, write ON, amount ON, signature ON, pay/812 INSTRUMENT
Kornai-2018-1400-268	268		chess	N			sakk			game, two(person) PART_OF, board PART_OF, king PART_OF
Kornai-2018-1400-269	269	412	chicken	N	1318	CHICKEN	csirke	pullus	kurczé	poultry
Kornai-2018-1400-270	270	931	child	N	2099	CHILD	gyerek	puer/puella	dziecko	person, young, lack(responsible), parent MAKE
Kornai-2018-1400-271	271	2546	choose	V	1750	CHOOSE	választ	eligo	wybierać	=AGT CAUSE[=PAT FOR =AGT]
Kornai-2018-1400-272	272	578	church	N	1349	CHURCH	egyház	ecclesia	kościół	institution, FOR/2782 worship, religion HAS
Kornai-2018-1400-273	273	372	cigarette	N	969	CIGARETTE	cigaretta	cigarulus	papieros	artefact, full(tobacco[fine] IN/2758 tube[thin/2598,paper]), HAS consume[burn]
Kornai-2018-1400-274	274	1386	circle	N	1467	CIRCLE	kör	circulus	koło	shape, round, close/3381, curve
Kornai-2018-1400-275	275	2559	city	N	2547	CITY	város	urbs	miasto	town, buy IN/2758, society/2285 IN/2758
Kornai-2018-1400-276	276	1920	class	N			osztály	ordo	klasa	group, study
Kornai-2018-1400-277	277	123	clay	N	1399	CLAY	agyag	argilla	glina	soil, after(hard)
Kornai-2018-1400-278	278	2389	clean	A	704	CLEAN	tiszta	mundus	czysty	HAS lack(dirt)
Kornai-2018-1400-279	279	2390	clear	A	989	CLEAR	tiszta	purus	czysty	can/1246(see THROUGH)
Kornai-2018-1400-280	280	1894	clever	A	1310	CLEVER	okos	acutus	mádry	HAS mind[good]
Kornai-2018-1400-281	281	1573	climb	U	1102	CLIMB	mászik	enitor	wspinać sié	move, after(up), hand AT/2744 surface, foot AT/2744 surface
Kornai-2018-1400-282	282	3381	close	V	1046	SHUT	csuk	claudo	zamknáć	move, after(part AT/2744 other(part)), enter[lack, after], operate[lack, after], change[lack, after]
Kornai-2018-1400-283	283	1413	close	A	3735	NEAR (IN SPACE)	közeli	intimus	bliski	
Kornai-2018-1400-284	284	1973	cloth	N	1616	CLOTH	posztó	pannus	materiał	material, HAS fibre, wool IS_A
Kornai-2018-1400-285	285	2232	cloth	N			szövet	textum	materiał	
Kornai-2018-1400-286	286	2051	clothes	N	1895	CLOTHES	ruha	vestis	ubrania	cloth, ON body, human HAS body, CAUSE body[warm]
Kornai-2018-1400-287	287	770	cloud	N	1489	CLOUD	felhő	nubes	chmura	object, visible, water, drop, IN/2758 sky, <white>, <grey>
Kornai-2018-1400-288	288	355	club	N	1763	CLUB	bunkó	clava	pałka	stick, strong, heavy, weapon
Kornai-2018-1400-289	289	1368	club	N			klub	coetus	klub	group, people MEMBER, HAS purpose, meet AT/2744, every(period)
Kornai-2018-1400-290	290	2169	coal	N	2658	COAL	szén	carbo	wégiel	mineral, hard, black, burn, MAKE heat
Kornai-2018-1400-291	291	1213	coat	N	603	COAT	kabát	tunica manicata	płaszcz	garment, HAS sleeve, outer, garment, COVER both(shoulder), COVER waist
Kornai-2018-1400-292	292	524	coin	N	1867	COIN	érme	nummus	moneta	metal, flat, circular/1294, money
Kornai-2018-1400-293	293	1053	cold	N	1287	COLD	hideg	frigidus	zimno	temperature, low
Kornai-2018-1400-294	294	946	collect	V			gyűjt	colligo	kolekcjonować	=PAT[together[after]]
Kornai-2018-1400-295	295	572	college	N			egyetem	universitas	uniwersytet	university
Kornai-2018-1400-296	296	2207	colour	N	1613	COLOR	szín	colour	kolor	sensation, light/739, red IS_A, green IS_A, blue IS_A
Kornai-2018-1400-297	297	2219	colour	V			szinez	colouro	kolorować	
Kornai-2018-1400-298	298	746	comb	N	1475	COMB	fésű	pecten	grzebień	artefact, CAUSE[hair/3359[tidy]], HAS tooth
Kornai-2018-1400-299	299	1504	comb	N	2070	COMB (VERB)	lép	favus	plaster	
Kornai-2018-1400-300	300	2603	combine	V			vegyít	misceo	mieszać	=PAT[more], after(together)
Kornai-2018-1400-301	301	1195	come	U	1446	COME	jön	venio	przychodzić	move, =AGT[near[after]]
Kornai-2018-1400-302	302	1240	comfort	N			kényelem	commoditas	wygoda	pleasure, rest
Kornai-2018-1400-303	303	2626	comfort	N			vigasz	solacium	pocieszenie	good FOR soul
Kornai-2018-1400-304	304	1415	common	A			közös	communis	wspólny	AT/2744 many, more HAS, public
Kornai-2018-1400-305	305	385	company	N			csapat	manus	towarzystwo	group, human
Kornai-2018-1400-306	306	2549	company	N			vállalat	negotiatio	firma	organization, FOR/2782 business
Kornai-2018-1400-307	307	3430	competition	N			verseny	certamen	konkurs	
Kornai-2018-1400-308	308	2345	complete	A			teljes	totus	kompletny	HAS part[all]
Kornai-2018-1400-309	309	2968	computer	N	3086	COMPUTER	számítógép	ordinatrum	komputer	device, calculate, HAS programme, electric, information IN/2758
Kornai-2018-1400-310	310	904	concern	N			gond	sollicitudo	zmartwienie	important, FOR/2782 =PAT, CAUSE =PAT[anxious]
Kornai-2018-1400-311	311	782	condition	N			feltétel	condicio	warunek	CAUSE[=REL[possible]]
Kornai-2018-1400-312	312	2699	condition	N			körülmény	status	warunek	situation
Kornai-2018-1400-313	313		confidence	N			bizalom			trust
Kornai-2018-1400-314	314	1227	connect	V	2862	CONNECT	kapcsol	coniungo	łáczyć	join
Kornai-2018-1400-315	315	2339	consider	V			tekint	considero	rozwaźać	think
Kornai-2018-1400-316	316	2586	consist	V			van	consisto	składać sié	=PAT PART_OF =AGT
Kornai-2018-1400-317	317	2313	contain	V			tartalmaz	contineo	zawierać	=PAT IN/2758 =AGT
Kornai-2018-1400-318	318	2801	container	N			tartály	vasculum	pojemnik	artefact, contain
Kornai-2018-1400-319	319	850	continue	V			folytat	pergo	kontinuować	after(action), before(action)
Kornai-2018-1400-320	320	2172	continuous	A			folytonos	continuus	ciágły	lack(separate), lack (sudden)
Kornai-2018-1400-321	321	253	control	N			befolyás	vis	kontrola	
Kornai-2018-1400-322	322	2148	control	V			szabályoz	ordino	kontrolować	CAUSE[progress[<good>]], CAUSE happen, =PAT AT/2744 happen
Kornai-2018-1400-323	323	2619	control	N			vezetés	ductus	kontrola	
Kornai-2018-1400-324	324	822	cook	U			fől	coquitur	gotować sié	
Kornai-2018-1400-325	325	825	cook	V	1100	COOK (SOMETHING)	főz	coquo	gotować	=AGT MAKE <food>, INSTRUMENT heat
Kornai-2018-1400-326	326	2152	cook	N	2315	COOK (PERSON)	szakács	coquus	kucharz	person, <profession>, MAKE food
Kornai-2018-1400-327	327	1101	cool	V	3068	COOL DOWN	hűl	frigesco	chłodzić sié	
Kornai-2018-1400-328	328	1103	cool	A	2483	COLD (OF WEATHER)	hűvös	frigidus	chłodny	temperature, normal ER, ER cold
Kornai-2018-1400-329	329	2000	copper	N	1825	COPPER	réz	cyprium	miedź	red, brown, metal, conduct
Kornai-2018-1400-330	330	1571	copy	V			másol	transcribo	kopiować	make, =PAT RESEMBLE original
Kornai-2018-1400-331	331	1460	corn	N	506	MAIZE	kukorica	zea	kukurydza	cereal, AT/2744 agriculture, cereal, grain[yellow], food
Kornai-2018-1400-332	332	1029	correct	A	1725	CORRECT (RIGHT)	helyes	rectus	poprawny	CONFORM norm
Kornai-2018-1400-333	333	84	cost	N			ár	pretium	koszt	price
Kornai-2018-1400-334	334	1247	could	V	972	BE ABLE	képes	potest	móc	
Kornai-2018-1400-335	335	1913	country	N	1300	COUNTRY	ország	terra	państwo	state/76
Kornai-2018-1400-336	336	214	courage	N	3049	COURAGE	bátorság	animus	odwaga	brave
Kornai-2018-1400-337	337	2775	course	N			kurzus	cursus	kurs	series, lesson PART_OF
Kornai-2018-1400-338	338	1927	course	N			pálya	cursus	bieg	way
Kornai-2018-1400-339	339	3124	court	N	1068	COURT	bíröság	curia	sád	place/1026, INSTRUMENT law, judge AT/2744
Kornai-2018-1400-340	340	2515	court	N	4	COURTYARD	udvar	curia	sád	outdoor(place/1026), ' AROUND
Kornai-2018-1400-341	341	750	cover	V	761	COVER	fed	tego	okryć	=AGT ON =PAT, protect, CAUSE[lack(=AGT SEE =PAT)]
Kornai-2018-1400-342	342	1441	cream	N			krém	cremor	krem	substance, thick/2134, smooth, yellowish, <fat/3337>, <IN/2758 milk>, AT/2744 surface, <milk HAS surface>, <ON skin>
Kornai-2018-1400-343	343	2218	cream	N			szinejava	flos	śmietanka	
Kornai-2018-1400-344	344	2440	cricket	N	2354	CRICKET	tücsök	gryllus	świerszcz	insect, brown, jump, MAKE sound/993
Kornai-2018-1400-345	345	346	crime	N	1066	CRIME	bűn	delictum	zbrodnia	action, illegal
Kornai-2018-1400-346	346	3040	criticize	V			kritizál	mordeo	krytykować	talk, talk ABOUT[problem IN/2758 =PAT]
Kornai-2018-1400-347	347	2030	crop	V			rövidre vág	reseco	wycinać	
Kornai-2018-1400-348	348	2361	crop	N			termés	messis	zbiór	plant, AT/2744 agriculture, product
Kornai-2018-1400-349	349	1866	crush	N	1520	CRUSH	összeroppant	infringo	miaźdźyć	press, break, INSTRUMENT[two(surface)]
Kornai-2018-1400-350	350	395	cup	N	476	CUP	csésze	phiala	filiźanka	container, small, open/1814, drink IN, HAS flat(bottom), HAS handle
Kornai-2018-1400-351	351	1463	cup	N			kupa	poculum	kubek	
Kornai-2018-1400-352	352	898	curve	N			görbe	curvamen	krzywa	line, lack(straight/563), lack(plane/2090), bend/1112, HAS direction[lack(constant)]
Kornai-2018-1400-353	353	2711	customer	N			vevő	emptor	klient	buy
Kornai-2018-1400-354	354	2542	cut	V	1432	CUT	vág	seco	ciáć	separate, INSTRUMENT edge
Kornai-2018-1400-355	355	1209	damage	N	1116	DAMAGE	kár	damnum	zniszczenie	bad(situation)
Kornai-2018-1400-356	356	2066	damage	N	2947	DAMAGE (INJURY)	sérülés	vulnus	zniszczenie	
Kornai-2018-1400-357	357	2278	dance	N	3472	DANCE (MOVEMENT)	tánc	saltatio	taniec	move, HAS rhythm, <INSTRUMENT music>
Kornai-2018-1400-358	358	2610	danger	N	1810	DANGER	veszély	periculum	niebezpieczeństwo	can/1246(harm)
Kornai-2018-1400-359	359	2110	dark	A	706	DARK	sötét	obscurus	ciemny	lack(light/739)
Kornai-2018-1400-360	360	1754	day	N	1225	DAY (NOT NIGHT)	nap	dies	dzień	period, week HAS, month HAS, HAS more(hour), sun ON sky, work AT/2744
Kornai-2018-1400-361	361	1076	dead	A	1625	DEAD	holt	mortuus	nieźywy	lack(live), before(live)
Kornai-2018-1400-362	362	160	deal	N			alku	pactio	interes	agree, <secret>, <business>
Kornai-2018-1400-363	363	2776	deal	V			foglalkozik	contraho	zajmować sié	activity
Kornai-2018-1400-364	364	1918	deal	V			oszt	distribuo	rozdawać	
Kornai-2018-1400-365	365	471	decide	U	685	DECIDE	dönt	decerno	decydować	want, before(=AGT HAS more(possibility)), after(=PAT)
Kornai-2018-1400-366	366	2957	decision	N			döntés	consilium	decyzja	decide
Kornai-2018-1400-367	367	2736	decorate	V	1739	DECORATE	díszít			=AGT CAUSE[=PAT[beautiful]]
Kornai-2018-1400-368	368	3441	decoration	N			dísz	ornamentum	dekoracja	
Kornai-2018-1400-369	369	1602	deep	N	1593	DEEP	mély	altus	głéboki	HAS[bottom[far]]
Kornai-2018-1400-370	370	836	degree	N			fok	gradus	stopień	step, process HAS
Kornai-2018-1400-371	371	2814	deliberate	A			szándékos			conscious DO, man/659 WANT effect/1014
Kornai-2018-1400-372	372	2368	design	N			terv	propositum	plan	plan ABOUT produce
Kornai-2018-1400-373	373	1536	destroy	V	681	DESTROY	lerombol	demolior	niszczyć	damage, =AGT CAUSE[=PAT[lack(exist), lack(operate), lack(live)]]
Kornai-2018-1400-374	374	1995	detail	N			rész	pars	szczegół	
Kornai-2018-1400-375	375	1999	detail	N			részlet	pars	szczegół	PART_OF information, exact
Kornai-2018-1400-376	376	1627	determine	V			meghatároz	determino	ustalać	decide
Kornai-2018-1400-377	377	758	develop	V			fejleszt	excolo	budować	
Kornai-2018-1400-378	378	759	develop	U			fejlődik	confirmor	rozwijać sié	=PAT[er[after, good]]
Kornai-2018-1400-379	379	1333	develop	V			kifejleszt	excolo	rozwijać	
Kornai-2018-1400-380	380	3442	development	N			fejlődés	progressio	rozwój	
Kornai-2018-1400-381	381	1626	die	U	1494	DIE	meghal	morior	umierać	=PAT[dead[after]]
Kornai-2018-1400-382	382	1566	different	A	2504	DIFFERENT	más	diversus	inny	lack(similar), lack(like/1701)
Kornai-2018-1400-383	383	1771	difficult	A	584	DIFFICULT	nehéz	difficilis	trudny	=DAT NEED large(effort), effort FOR/2782 difficult
Kornai-2018-1400-384	384	94	dig	V	1418	DIG	ás	fodio	kopać	move, =AGT MAKE hole, hole IN/2758 earth, INSTRUMENT spade
Kornai-2018-1400-385	385	1149	direct	V			irányít	rego	skierować	=AGT CAUSE[=PAT HAS direction]
Kornai-2018-1400-386	386	1148	direction	N	3427	DIRECTION	irány	regio	kierunek	relation, HAS target, IN/2758 space/2327, position
Kornai-2018-1400-387	387	1438	dirt	N	25	DIRT	kosz	sordes	brud	earth IS_A, mud IS_A, dust IS_A
Kornai-2018-1400-388	388	541	dish	N			étel	cibus	potrawa	food, PART_OF meal
Kornai-2018-1400-389	389	2275	dish	N	481	DISH	tál	lanx	naczynie	open/1814, food IN/2758
Kornai-2018-1400-390	390		disk	N			lemez			device, CONTAIN information
Kornai-2018-1400-391	391	2290	distance	N	2978	DISTANCE	táv	distantia	odległość	space/2327 HAS size, space/2327 BETWEEN
Kornai-2018-1400-392	392	1919	divide	V	1119	DIVIDE	oszt	divido	dzielić	split
Kornai-2018-1400-393	393	2372	do	N	813	DO	tesz	facio	robić	cause, =AGT[animal], =PAT[happen]
Kornai-2018-1400-394	394	1150	document	N			irat	litterae	dokument	written, <paper>, official
Kornai-2018-1400-395	395	1465	dog	N	2009	DOG	kutya	canis	pies	animal, carnivorous, faithful
Kornai-2018-1400-396	396	480	dollar	N			dollár	Americanus nummus	dolar	money, country HAS
Kornai-2018-1400-397	397	128	door	N	1567	DOOR	ajtó	foris	drzwi	artefact, AT/2744 entrance, open/1814, close/3381
Kornai-2018-1400-398	398	1498	down	D	1326	DOWN	le	deorsum	w dół	vertical('ER)
Kornai-2018-1400-399	399	1095	draw	V			húz	traho	ciágnáć	write
Kornai-2018-1400-400	400	2707	draw	V			rajzol	pingo	rysować	=AGT MAKE line, represent INSTRUMENT picture, INSTRUMENT <pencil>
Kornai-2018-1400-401	401	2660	draw	V			von	delineo	rysować	
Kornai-2018-1400-402	402	1849	dress	V	814	DRESS UP	öltözik	induo	ubierać sié	clothe
Kornai-2018-1400-403	403	2052	dress	N	474	DRESS	ruha	vestis	suknia	garment
Kornai-2018-1400-404	404	1161	drink	V	1401	DRINK	iszik	bibo	pić	=PAT[liquid,<alcoholic>] IN/2758 mouth, =AGT HAS mouth, swallow
Kornai-2018-1400-405	405	1164	drink	N	731	BEVERAGE	ital	potio	napój	
Kornai-2018-1400-406	406	2614	drive	V	741	DRIVE	vezet	rego	prowadzić	=AGT CAUSE[=PAT[<car>,move]], control
Kornai-2018-1400-407	407	3448	driver	N			vezető	auriga	kierowca	
Kornai-2018-1400-408	408	588	drop	V	750	DROP	ejt	demitto	upuścić	=PAT[fall/2694]
Kornai-2018-1400-409	409	486	drug	N	1372	MEDICINE	drog	medicamentum stupefactivum	narkotyk	substance, medical
Kornai-2018-1400-410	410	2954	drug	N			ḱbítószer	venenum	narkotyk	substance, illegal, CAUSE[happy]
Kornai-2018-1400-411	411	2145	dry	A	1398	DRY	száraz	siccus	suchy	lack(wet)
Kornai-2018-1400-412	412	115	duty	N			adó	tributum	cło	
Kornai-2018-1400-413	413	1398	duty	N	3471	OBLIGATION (DUTY)	kötelesség	officium	obowiázek	must[ ' DO], <society/2285> WANT[=POSS DO]
Kornai-2018-1400-414	414	2555	duty	N			vám	portorium	cło	
Kornai-2018-1400-415	415	1693	each	G	3416	EVERY (EACH)	mind	quisque	kaźdy	all
Kornai-2018-1400-416	416	1716	eager	A			mohó	avidus	chétny	HAS desire, lack(wait)
Kornai-2018-1400-417	417	1296	earn	V	733	EARN	keres	mereo	zarabiać	after(=AGT HAS =PAT[money]), before(=AGT[work])
Kornai-2018-1400-418	418	815	earth	N			föld	terra	ziemia	planet, IN/2758 space/2509, life ON, ocean ON, island ON, HAS atmosphere
Kornai-2018-1400-419	419	1380	easy	A	686	EASY	könnyű	facilis	łatwy	lack(difficult)
Kornai-2018-1400-420	420	700	eat	V	1336	EAT	eszik	edo	jeść	=AGT CAUSE[=PAT IN/2758 mouth], swallow, =PAT[<food>], <bite/1001>, <chew>, =AGT HAS mouth
Kornai-2018-1400-421	421	503	edge	N	863	EDGE	él	acies	kant	part, thin/2598, sharp, blade HAS, cut, instrument HAS
Kornai-2018-1400-422	422	1014	effect	N	3968	EFFECT	hatás	effectus	rezultat	<event> CAUSE
Kornai-2018-1400-423	423	1896	effect	V			okoz	efficio	powodować	cause
Kornai-2018-1400-424	424	687	effort	N			erőfeszítés	labor	wysiłek	USE energy, attempt
Kornai-2018-1400-425	425	2422	egg	N	744	EGG	tojás	ovum	jajo	food, round, animal[<hen>] MAKE, HAS thin/2598(shell)
Kornai-2018-1400-426	426	2633	electrical	A			villamos	electricus	elektryczny	electric
Kornai-2018-1400-427	427	88	electricity	N	59	ELECTRICITY	áram	fluidum electricum	elektryczność	power, move, <FOR device>, <IN/2758 wire>
Kornai-2018-1400-428	428	2634	electricity	N	59	ELECTRICITY	villamosság	vis electrica	elektryczność	
Kornai-2018-1400-429	429	3451	electronic	N			elektromos	electronicus	elektronyczny	
Kornai-2018-1400-430	430	3452	element	N			elem	elementum	pierwiastek	
Kornai-2018-1400-431	431	605	elephant	N	1290	ELEPHANT	elefánt	elephantus	słoń	mammal[large,herbivore], lack(hair/3359), HAS trunk/1910, HAS large(ear)
Kornai-2018-1400-432	432	2567	else	G			vagy	aut	albo	other
Kornai-2018-1400-433	433	2973	embarrass	V			zavarba hoz			=AGT CAUSE[=PAT FEEL shame], =PAT AT/2744 other(people)
Kornai-2018-1400-434	434	3010	emotion	N	2573	FEELING (EMOTION)	érzelem	affectus	emocja	state/77, IN/2758 mind, feeling
Kornai-2018-1400-435	435	2596	end	N	742	END (OF SPACE)	vég	finis	koniec	part, lack(continue)
Kornai-2018-1400-436	436	2804	energy	N			energia	energia	energia	work[physical]
Kornai-2018-1400-437	437	893	engine	N	2622	ENGINE	gép	machina	silnik	machine, CAUSE[move]
Kornai-2018-1400-438	438	599	enough	A	1881	ENOUGH	elég	satis	wystarczy	HAS quantity, satisfy
Kornai-2018-1400-439	439	258	enter	V	749	ENTER	belép	intro	wejść	go, after(=AGT IN/2758 =PAT)
Kornai-2018-1400-440	440	191	equal	A	1570	EQUAL	azonos	idem	identyczny	
Kornai-2018-1400-441	441	565	equal	A	1570	EQUAL	egyenlő	aequalis	równy	HAS quantity, =OBL HAS quantity
Kornai-2018-1400-442	442	2788	equipment	N			berendezés			tool, ' HAS
Kornai-2018-1400-443	443	2231	escape	U	1615	ESCAPE	szökik	fugio	uciekać	move, =AGT[out[after]], <before(=AGT AT/2744 danger)>
Kornai-2018-1400-444	444	823	especially	D			főleg	imprimis	szczególnie	specific, important, ER'
Kornai-2018-1400-445	445	2816	especially	A			főleg	praesertim	głównie	example
Kornai-2018-1400-446	446	564	even	A			egyenletes	aequus	równomierny	flat
Kornai-2018-1400-447	447	2087	even	A			sík	planus	równy	flat
Kornai-2018-1400-448	448	692	event	N			esemény	eventum	wydarzenie	activity, AT/2744 place/1026, <important>
Kornai-2018-1400-449	449	705	exact	A	1466	EXACT	exakt	exactus	dokładny	correct
Kornai-2018-1400-450	450	1950	example	N			példa	exemplum	przykład	pattern HAS, representative, typical
Kornai-2018-1400-451	451	405	exchange	N	2509	EXCHANGE	csere	mutatio	wymiana	before(=PAT[<good>] AT/2744 person), after(=PAT AT/2744 other(person))
Kornai-2018-1400-452	452	1167	excite	V			izgat	excito	podniecać	=PAT[person], =AGT CAUSE[=PAT HAS strong (feeling)]
Kornai-2018-1400-453	453	550	exercise	V			edz	exerceo	ćwiczyć	
Kornai-2018-1400-454	454	920	exercise	V			gyakorol	exerceo	ćwiczyć	repeat, develop/758, =AGT CAUSE[skill[better]], <sport>
Kornai-2018-1400-455	455	2587	exist	V			van	exsto	być	real
Kornai-2018-1400-456	456	2557	expect	V			vár	exspecto	spodziewać sié	=AGT THINK[=PAT[real] AT/2744 future]
Kornai-2018-1400-457	457	101	experience	V			átél	cognosco/video	doświadczać	
Kornai-2018-1400-458	458	2308	experience	V			tapasztal	experior	doświadczać	after(=AGT REMEMBER =PAT), =PAT
Kornai-2018-1400-459	459	1636	explain	V	1626	EXPLAIN	megmagyaráz	interpreto	tłumaczyć	=AGT CAUSE[=DAT UNDERSTAND =PAT]
Kornai-2018-1400-460	460	2031	explode	V			robban	displodor	wybuchać	sudden, move, violent, pressure CAUSE, pressure IN/2758 =AGT
Kornai-2018-1400-461	461	2757	express	V			kifejez	effor	wyrazić	=AGT CAUSE[=DAT KNOW =PAT]
Kornai-2018-1400-462	462	1344	express	A			kimondott	enuntiatus	wyraźony	
Kornai-2018-1400-463	463	64	expression	N			ábrázat	facies	mina	
Kornai-2018-1400-464	464	1332	expression	N			kifejezés	significatio	wyraźenie	word[<more>]
Kornai-2018-1400-465	465	2786	extreme	A			rendkïvüli			ER'
Kornai-2018-1400-466	466	2182	eye	N	1248	EYE	szem	oculus	oko	organ, see INSTRUMENT, animal HAS, ON face, <two>
Kornai-2018-1400-467	467	177	face	N	1560	FACE	arc	vultus	twarz	organ, surface, front, PART_OF head, forehead PART_OF, chin PART_OF, ear PART_OF, jaw PART_OF
Kornai-2018-1400-468	468	2323	fact	N			tény	factum	fakt	HAS proof[exist]
Kornai-2018-1400-469	469	1459	fail	U			kudarcotvall	fallo	zawodzić	lack(succeed/2718)
Kornai-2018-1400-470	470	1435	fair	A			korrekt	rectus/honestus	prawidłowy	good(treat)
Kornai-2018-1400-471	471	2234	fair	A			szőke	flavus	jasny	
Kornai-2018-1400-472	472	2561	fair	N			vásár	mercatus	jarmark	
Kornai-2018-1400-473	473	1883	fall	N	1276	AUTUMN	ősz	autumnus	jesień	autumn
Kornai-2018-1400-474	474	2694	fall	U	1280	FALL	zuhan	cado	spadać	=PAT[move], =PAT[down[after]]
Kornai-2018-1400-475	475	383	family	N	194	FAMILY	család	familia	rodzina	group, [<two>(parent)] PART_OF, child[<more>] PART_OF
Kornai-2018-1400-476	476	727	farm	N	201	FARM	farm	ager	gospodarstwo	land, work AT/2744, produce, building ON
Kornai-2018-1400-477	477	309	fast	N	3331	FASTING	böjt	ieiunium	post	period, FOR religion, person EAT little
Kornai-2018-1400-478	478	940	fast	A	1631	FAST	gyors	celer	szybki	quick
Kornai-2018-1400-479	479	2025	fasten	V	1094	FASTEN	rögzít	stabilio	przymocowywać	=AGT CAUSE[=PAT[firm/2215]]
Kornai-2018-1400-480	480	1399	fat	A	1279	FAT (OBESE)	kövér	pinguis	gruby	HAS body[wide, heavy], much(fat/3337) IN/2758 body
Kornai-2018-1400-481	481	3337	fat	N	323	FAT (ORGANIC SUBSTANCE)	zsír	adeps	tłuszcz	substance, RESEMBLE oil, <IN/2758 food>, <UNDER skin>
Kornai-2018-1400-482	482	1050	fault	N	134	FAULT	hiba	delictum	wina	=POSS CAUSE problem
Kornai-2018-1400-483	483	3017	feature	N			vonás	differentia	cecha	sign, important, typical, CAUSE[recognize]
Kornai-2018-1400-484	484	521	feel	V	1079	FEEL	érez	sentio	czuć	=PAT IN/2758 mind, =PAT AT/2744 body, =AGT HAS body, =AGT HAS mind
Kornai-2018-1400-485	485	533	feeling	N	2521	FEELING (HAPTIC SENSE)	érzés	sensus	uczcia	mental, other CAUSE, joy IS_A, sorrow IS_A, fear IS_A, anger IS_A
Kornai-2018-1400-486	486	1794	female	N	2105	FEMALE PERSON	nő	femina	samica	sex
Kornai-2018-1400-487	487	1681	field	N	212	FIELD	mező	campus	pole	place/1026, land, level
Kornai-2018-1400-488	488	1002	fight	N	3880	FIGHT (COMBAT)	harc	pugna	bójka	person WANT[harm AT/2744 other(person)], INSTRUMENT weapon
Kornai-2018-1400-489	489	2407	fill	V	2006	FILL	tölt	compleo	wypełniać	=PAT[full[after]]
Kornai-2018-1400-490	490	806	film	N			film	pellicula	film	photograph[move] ON screen
Kornai-2018-1400-491	491	3042	final	A			utolś			last
Kornai-2018-1400-492	492	1530	find	V	719	FIND	lel	invenio	znajdować	after(KNOW place/1026), =PAT AT/2744 place/1026
Kornai-2018-1400-493	493	809	fine	A	2157	FINE OR THIN	finom	elegans	dobry	small, light/1381
Kornai-2018-1400-494	494	2522	finger	N	1303	FINGER	ujj	digitus	palec	PART_OF hand, long, thin/2598
Kornai-2018-1400-495	495	2597	finish	N	743	END (OF TIME)	vég	finis	koniec	part, =POSS[lack, after]
Kornai-2018-1400-496	496	2454	fire	N	221	FIRE	tűz	ignis	ogień	substance, CAUSE heat, CAUSE light/739, HAS flame, burn, <CAUSE smoke>
Kornai-2018-1400-497	497	362	firm	N			cég	domus	firma	company/2549[<small>]
Kornai-2018-1400-498	498	2215	firm	A			szilárd	firmus	firma	rigid, lack(soft)
Kornai-2018-1400-499	499	649	first	A	728	FIRST	első	primus	pierwszy	-th/5[one], lack(FOLLOW '), second/1569 FOLLOW
Kornai-2018-1400-500	500	980	fish	N	227	FISH	hal	piscis	ryba	vertebrate, live IN/2758 water, HAS cold(blood)
Kornai-2018-1400-501	501	1135	fit	A			illő	decens	odpowiedni	good, AT/2744 ' , together
Kornai-2018-1400-502	502	2989	five	A	493	FIVE	öt			number, FOLLOW four
Kornai-2018-1400-503	503	2026	fix	V			rögzít	firmo	przymocowywać	=AGT CAUSE[=PAT[stable]]
Kornai-2018-1400-504	504	1493	flat	A	1633	FLAT	lapos	planus	płaski	HAS surface, horizontal, lack(slope) IN, lack(curve) IN
Kornai-2018-1400-505	505	1093	flesh	N	2259	FLESH	hús	caro	miéso	material, soft, tissue
Kornai-2018-1400-506	506	1932	floor	N	1632	FLOOR	padló	coaxatio	podłoga	surface, room/2235 HAS, stand ON
Kornai-2018-1400-507	507	847	flow	V	2003	FLOW	folyik	fluo	płynáć	move[smooth], <fluid>
Kornai-2018-1400-508	508	2637	flower	N	239	FLOWER	virág	flos	kwiat	plant HAS, <HAS colour>
Kornai-2018-1400-509	509	2018	fly	U	1441	FLY (MOVE THROUGH AIR)	repül	volo	latać	move, =AGT IN/2758 air, control
