ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	KANNADA	KANNADA_ROMANIZED	IMAGE_AGREEMENT_MEAN	IMAGE_AGREEMENT_SD	PICTURE_NAME_AGREEMENT_MEAN	PICTURE_NAME_AGREEMENT_SD	FAMILIARITY_MEAN	FAMILIARITY_SD	VISUAL_COMPLEXITY_MEAN	VISUAL_COMPLEXITY_SD	AoA_MEAN	AoA_SD	NAME_AGREEMENT_PERCENT	NAME_AGREEMENT_PERCENT_SD
Bangalore-2022-180-1	1	Airplane	1597	AIRPLANE	ವಿಮಾನ	Vimāna	4.71	0.52	5.00	0.00	4.94	0.24	4.35	0.73	2.74	1.02	84.42	10.32
Bangalore-2022-180-2	2	Alligator	1581	ALLIGATOR	ಮುದುಕುರಿ	Mudukuru	4.82	0.46	5.00	0.00	5.00	0.00	4.65	0.54	2.71	1.24	58.42	8.39
Bangalore-2022-180-3	3	Ant	587	ANT	ಕೊಳೆಕೆ	Kolaḷeke	4.74	0.51	4.97	0.17	4.91	0.29	4.59	0.66	1.44	0.50	65.89	18.26
Bangalore-2022-180-4	4	Apple	1320	APPLE	ಸೇಬು	Sēbu	4.59	0.61	5.00	0.00	4.88	0.33	4.18	1.03	2.15	1.37	89.95	7.40
Bangalore-2022-180-5	5	Arm 	1673	ARM	ಕೈ	Kai	4.45	0.94	4.48	1.00	4.94	0.24	4.52	0.76	1.36	0.55	6.80	5.13
Bangalore-2022-180-6	6	Arrow	977	ARROW	ಬಾಣ	Bāṇa	2.82	1.62	3.19	1.72	4.82	0.39	4.18	1.09	3.18	1.09	14.72	3.85
Bangalore-2022-180-7	7	Axe	677	AXE	ಕೊಳ್ಲುಹಕ್ಕಿ	Kolluhakki	4.74	0.79	4.87	0.77	4.94	0.24	4.85	0.36	2.97	1.14	65.99	21.88
Bangalore-2022-180-8	8	Ball	1845	BALL	ಚೆಂಡು	Ceṇḍu	4.62	0.55	4.94	0.24	5.00	0.00	4.53	0.83	1.44	0.61	71.24	9.17
Bangalore-2022-180-9	9	Banana	868	BANANA	ಬಾಳೆಹಣ್ಣು	Bāḷehaṇṇu	4.94	0.24	5.00	0.00	4.94	0.24	4.82	0.46	1.53	0.86	97.22	2.82
Bangalore-2022-180-10	10	Barn	3025	BARN OR SHED	ಕೊಟ್ಟಿಗೆ	Koṭṭige	2.24	1.60	2.54	1.81	4.62	0.70	4.15	1.02	2.91	1.33	2.94	17.15
