ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH_FAMILIARITY_MEAN	ENGLISH_PAIN_MEAN	ENGLISH_OLFACTORY_MEAN	ENGLISH_COLOR_MEAN	ENGLISH_GUSTATORY_MEAN	ENGLISH_AUDITORY_MEAN	ENGLISH_GRASP_MEAN	ENGLISH_MOTION_MEAN
Amsel-2012-559-1	1	accordion	2603	ACCORDION	6.9	2	1.62	4.42	1.74	5.57	4.5	3.96
Amsel-2012-559-2	2	airplane	1597	AIRPLANE	7.48	3.84	2.75	3.45	1.48	7.19	1.5	7.19
Amsel-2012-559-3	3	alligator	1581	ALLIGATOR	6.97	6.85	3.23	4.74	3.46	3.95	1.59	5.5
Amsel-2012-559-4	4	ambulance	4013	AMBULANCE	7.43	2.42	1.9	5.92	1.14	7.41	1.41	7.3
Amsel-2012-559-5	5	anchor	1870	ANCHOR	6.92	4.36	2.46	2.58	1.54	2.91	2	2.19
Amsel-2012-559-6	6	ant	587	ANT	7.61	2.29	1.3	2	02.04	1.38	6.52	7.4
Amsel-2012-559-7	7	apartment			7.64	2.32	3.52	3.67	2.16	2.95	1.38	1.32
Amsel-2012-559-8	8	apple	1320	APPLE	7.57	02.04	4.43	7.1	6.5	1.65	6.87	1.75
Amsel-2012-559-9	9	apron	2046	APRON	7.33	1.46	1.9	5	1.5	1.16	6.52	1.52
Amsel-2012-559-10	10	armor	1061	ARMOUR	6.69	2.74	2.33	2.81	1.77	3.81	3.18	02.09
Amsel-2012-559-11	11	ashtray	4028	ASHTRAY	7.15	2.92	6.24	2.65	1.38	1.27	6.39	01.09
Amsel-2012-559-12	12	asparagus	2605	ASPARAGUS	7.33	1.36	4.82	05.08	6.25	1.14	6.57	1.59
Amsel-2012-559-13	13	avocado	3725	AVOCADO	7.71	1.48	3.87	5.52	7.19	1.17	7.5	1.59
Amsel-2012-559-14	14	axe	677	AXE	6.9	7.39	2.1	2.91	1.55	3.68	6.62	3.63
Amsel-2012-559-15	15	bag	2468	BAG	7.45	2.75	1.86	3.87	1.63	2.48	07.04	2.38
Amsel-2012-559-16	16	bagpipe			6.39	2.16	1.77	05.04	1.57	6.5	3.48	2.16
Amsel-2012-559-17	17	ball	1845	BALL	7.68	4.48	1.96	4.96	1.68	3.5	6.3	6.21
Amsel-2012-559-18	18	balloon	3083	BALLOON	7.57	2.14	2.27	6.35	1.88	3.77	7.1	5.36
Amsel-2012-559-19	19	banana	868	BANANA	7.68	1.63	5.72	6.38	07.09	1.3	7.19	1.7
Amsel-2012-559-20	20	banjo			6.68	2	1.5	3	1.3	5.78	4.58	3.36
Amsel-2012-559-21	21	banner			7.28	1.52	1.5	6.48	1.91	1.91	4.2	04.05
Amsel-2012-559-22	22	barn	3025	BARN OR SHED	07.02	2.33	6.16	05.04	1.83	2.72	1.19	1.41
Amsel-2012-559-23	23	barrel	2548	BARREL	6.94	3.25	2.83	3	2.26	02.04	2.26	3.43
Amsel-2012-559-24	24	basement			6.92	2.2	2.67	2.23	1.57	1.82	1.64	1.32
Amsel-2012-559-25	25	basket	1539	BASKET	7.56	1.57	2.32	2.96	1.92	1.77	6.27	2.59
Amsel-2012-559-26	26	basketball			7.48	4.15	2.75	5.9	1.8	3.79	5.52	5.96
Amsel-2012-559-27	27	bathtub	4027	BATHTUB	7.55	02.04	2.78	1.77	1.65	2.32	1.67	1.14
Amsel-2012-559-28	28	baton			6.54	4.67	1.12	3.4	2.14	2.18	7	5.36
Amsel-2012-559-29	29	bayonet			5.71	6.12	1.91	3	1.67	3.73	4.58	3.17
Amsel-2012-559-30	30	bazooka			5.76	5.33	2.3	3.39	1.63	07.05	3.76	3.59
Amsel-2012-559-31	31	beachball			7.42	2	2.3	7	1.82	2.57	5.26	5.65
