ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	TURKISH	MODAL_NAME	NAME_AGREEMENT_PERCENT	IMAGE_AGREEMENT_MEAN	IMAGE_AGREEMENT_SD	CONCEPTUAL_FAMILIARITY_MEAN	CONCEPTUAL_FAMILIARITY_SD	TURKISH_AOA_MEAN	TURKISH_AOA_SD	VISUAL_COMPLEXITY_MEAN	VISUAL_COMPLEXITY_SD	SYLLABLES_NUMBER	LETTERS_NUMBER	WORD_FREQUENCY
Raman-2013-260-1	1	accordion	2603	ACCORDION	Akordeon	Akordeon	45	4.23	1.51	4.53	1.47	3.23	1.29	1.81	0.79	4	8	0.82
Raman-2013-260-2	2	airplane	1597	AIRPLANE	Uçak	Uçak	96	3.84	1.56	4.83	0.92	2.18	0.87	1.63	0.55	2	4	42.50
Raman-2013-260-3	3	alligator	1581	ALLIGATOR	Timsah	Timsah	95	4.56	1.36	4.53	0.53	2.51	0.62	1.41	0.64	2	6	3.06
Raman-2013-260-4	4	anchor	1870	ANCHOR	Çapa	Çapa	47	1.65	0.84	4.46	0.55	3.21	0.76	1.25	0.45	2	4	4.97
Raman-2013-260-5	5	ant	587	ANT	Karınca	Karınca	93	4.47	0.99	4.68	0.71	1.85	0.79	1.38	0.63	3	7	11.10
Raman-2013-260-6	6	apple	1320	APPLE	Elma	Elma	100	3.75	1.25	4.78	0.83	1.74	0.75	1.09	0.64	2	4	23.50
Raman-2013-260-7	7	arm	1673	ARM	Kol	Kol	100	4.50	1.41	4.83	0.66	1.57	0.69	1.22	0.57	1	3	37.10
Raman-2013-260-8	8	arrow	977	ARROW	Ok	Ok	71	3.97	1.33	4.68	1.02	2.49	0.78	1.00	0.98	1	2	15.51
Raman-2013-260-9	9	artichoke	3997	ARTICHOKE	Enginar	Enginar	81	4.13	1.67	4.56	1.16	2.61	0.94	1.66	1.24	3	7	1.89
Raman-2013-260-10	10	ashtray	4028	ASHTRAY	Kül tablası	Kül tablası	61	3.88	1.01	4.58	0.74	2.90	1.22	1.22	1.17	4	11	0.71
Raman-2013-260-11	11	aspargus			Kuşkonmaz	Ayrelli	22	3.44	1.96	3.47	0.43	2.69	0.90	1.66	0.47	3	7	NA
Raman-2013-260-12	12	axe	677	AXE	Balta	Balta	89	4.78	1.01	4.76	0.40	2.57	0.91	1.06	0.91	2	5	4.76
Raman-2013-260-13	13	baby carriage	4029	BABY CARRIAGE	Çocuk arabası	Bebek Arabası	86	4.03	1.45	4.80	0.67	2.02	1.08	1.50	0.71	6	13	0.02
Raman-2013-260-14	14	ball	1845	BALL	Top	Top	100	3.91	1.95	4.49	0.50	1.75	0.98	1.63	0.79	1	3	49.59
Raman-2013-260-15	15	balloon	3083	BALLOON	Balon	Balon	100	4.53	1.22	4.88	0.70	1.38	1.06	1.03	1.21	2	5	8.14
Raman-2013-260-16	16	banana	868	BANANA	Muz	Muz	89	4.94	1.55	4.93	0.71	1.62	1.09	1.03	0.59	1	3	6.93
Raman-2013-260-17	17	barn	3025	BARN OR SHED	Ahır	Ahır	30	2.48	1.45	4.36	1.09	1.87	1.09	1.22	1.28	2	4	7.20
Raman-2013-260-18	18	barrel	2548	BARREL	Fıçı	Fıçı	70	3.72	2.01	4.61	1.16	2.87	1.16	1.34	0.64	2	4	1.22
Raman-2013-260-19	19	baseball bat			Beysbol sopası	Beysbol sopası	75	3.90	1.43	4.56	1.13	3.03	1.03	1.22	1.20	5	14	0.13
Raman-2013-260-20	20	basket	1539	BASKET	Sepet	Sepet	93	3.93	1.19	4.75	1.22	2.33	1.11	1.56	1.20	2	5	5.96
Raman-2013-260-21	21	bear	1820	BEAR	Ayı	Ayı	100	4.25	2.00	4.42	1.13	2.25	1.01	1.28	1.29	2	3	64.89
Raman-2013-260-22	22	bed	1663	BED	Yatak	Yatak	100	3.66	1.43	4.85	0.73	1.75	0.99	1.44	0.54	2	5	43.17
Raman-2013-260-23	23	bee	665	BEE	Arı	Sinek	46	3.55	1.59	4.78	0.79	1.59	1.13	1.31	1.18	2	5	10.77
Raman-2013-260-24	24	beetle	2242	BEETLE	Böcek	Böcek	68	3.54	1.07	4.10	0.67	2.05	1.19	1.38	0.45	2	5	18.40
Raman-2013-260-25	25	bell	2246	BELL	Zil	Zil	91	3.63	1.20	4.64	0.95	2.41	1.11	1.28	0.45	1	3	12.51
Raman-2013-260-26	26	belt	772	BELT	Kemer	Kemer	91	4.61	0.75	4.80	0.77	2.28	0.92	1.16	0.37	2	5	9.61
Raman-2013-260-27	27	bicycle	747	BICYCLE	Bisiklet	Bisiklet	98	4.48	0.75	4.83	0.48	1.97	0.90	1.34	0.25	3	8	9.93
Raman-2013-260-28	28	bird	937	BIRD	Kuş	Kuş	98	4.28	2.14	4.66	0.80	1.90	1.15	1.34	0.77	1	3	80.92
Raman-2013-260-29	29	blouse	4018	BLOUSE	Bluz	Gömlek	36	2.57	1.10	4.76	0.95	2.07	0.72	1.38	1.15	2	6	14.69
Raman-2013-260-30	30	book	963	BOOK	Kitap	Kitap	100	4.38	1.39	4.81	1.07	1.92	1.13	1.16	1.34	2	5	183.33
Raman-2013-260-31	31	boot	585	BOOT	Çizme	Çizme	61	3.28	1.58	4.66	0.63	2.13	0.99	1.28	0.45	2	5	3.27
Raman-2013-260-32	32	bottle	1321	BOTTLE	Şişe	Şişe	98	2.50	0.89	4.70	0.91	2.28	0.75	1.03	0.75	2	4	19.35
Raman-2013-260-33	33	bow	994	BOW	Fiyonk	Kurdela	77	4.47	1.95	4.66	1.20	2.20	1.23	1.28	1.16	3	7	0.42
Raman-2013-260-34	34	bowl	1530	BOWL	Kase	Kase	48	4.23	1.94	4.59	1.17	1.66	1.01	1.19	1.29	2	4	4.28
Raman-2013-260-35	35	box	1465	BOX	Kutu	Kutu	93	4.45	1.01	4.73	1.20	2.05	1.11	1.13	0.74	2	4	20.27
Raman-2013-260-36	36	bread	1368	BREAD	Ekmek	Ekmek	100	3.63	1.32	4.83	0.88	1.62	1.09	1.09	0.81	2	5	66.90
Raman-2013-260-37	37	broom	245	BROOM	Süpürge	Süpürge	96	4.03	1.53	4.69	1.01	2.38	1.02	1.31	1.07	3	7	4.78
Raman-2013-260-38	38	brush	1821	BRUSH	Fırça	Fırça	98	3.28	1.84	4.69	0.74	2.20	0.88	1.19	0.30	2	5	8.79
Raman-2013-260-39	39	bus	1070	BUS	Otobüs	Otobüs	100	4.22	1.21	4.88	1.19	2.13	0.97	1.56	1.05	3	6	34.52
Raman-2013-260-40	40	butterfly	1791	BUTTERFLY	Kelebek	Kelebek	100	4.53	1.26	4.92	1.23	1.85	1.03	1.50	1.33	3	7	15.36
Raman-2013-260-41	41	button	757	BUTTON	Düğme	Düğme	100	4.50	0.88	4.68	0.91	2.23	1.01	1.16	1.05	2	5	4.26
Raman-2013-260-42	42	cake	2408	CAKE	Kek	Pasta	65	4.69	1.31	4.86	1.38	1.85	0.96	1.38	1.35	2	5	9.38
Raman-2013-260-43	43	camel	1871	CAMEL	Deve	Deve	100	4.58	1.55	4.53	0.77	2.84	1.03	1.28	0.83	2	4	12.34
Raman-2013-260-44	44	candle	1273	CANDLE	Mum	Mum	100	4.28	0.92	4.76	0.67	2.11	0.87	1.16	0.45	1	3	14.17
Raman-2013-260-45	45	cannon	3202	CANNON	Büyük top	Top	75	3.91	2.30	4.24	1.33	3.05	1.23	1.75	1.23	1	3	49.59
Raman-2013-260-46	46	cap	1288	CAP	Kasket	Şapka	77	2.37	0.68	4.74	0.77	1.72	0.81	1.25	0.47	2	5	12.40
Raman-2013-260-47	47	car	1111	CAR	Araba	Araba	91	4.13	1.68	4.92	1.13	1.59	1.07	1.31	1.27	3	5	60.52
Raman-2013-260-48	48	carrott			Havuç	Havuç	100	4.72	2.22	4.83	1.00	1.87	1.13	1.31	1.05	2	5	9.28
Raman-2013-260-49	49	cat	1208	CAT	Kedi	Kedi	100	4.72	1.82	4.90	1.17	1.69	1.11	1.38	1.11	2	4	43.21
Raman-2013-260-50	50	caterpillar	2247	CATERPILLAR	Tırtıl	Tırtıl	80	4.10	1.48	4.34	0.68	2.23	1.09	1.50	0.63	2	6	1.45
Raman-2013-260-51	51	celery	3727	CELERY	Kereviz	Kereviz	44	3.33	1.22	4.15	0.88	2.67	0.97	1.88	1.38	3	7	4.13
Raman-2013-260-52	52	chain	1627	CHAIN	Zincir	Zincir	100	3.65	1.33	4.56	0.95	2.74	0.95	1.53	0.57	2	6	11.21
Raman-2013-260-53	53	chair	1476	CHAIR	Sandalye	Sandalye	100	4.09	1.06	4.92	0.78	1.64	0.87	1.13	0.91	3	8	16.39
Raman-2013-260-54	54	cherry	2765	CHERRY	Kiraz	Kiraz	100	4.53	0.89	4.58	1.10	2.11	0.85	1.13	0.84	2	5	35.51
Raman-2013-260-55	55	chicken	1318	CHICKEN	Tavuk	Tavuk	100	3.97	0.73	4.78	0.60	1.95	0.91	1.59	0.94	2	5	27.03
Raman-2013-260-56	56	chisel	1979	CHISEL	Keski	Keski	21	4.61	1.15	4.28	0.31	3.31	0.80	1.53	0.80	2	5	0.69
Raman-2013-260-57	57	church	1349	CHURCH	Kilise	Kilise	88	4.53	0.82	4.36	0.52	3.26	1.00	1.59	1.30	3	6	31.02
Raman-2013-260-58	58	cigar	4019	CIGAR	Puro	Puro	93	4.42	0.96	4.68	0.34	3.25	0.80	1.72	0.74	2	4	3.25
Raman-2013-260-59	59	cigarette	969	CIGARETTE	Sigara	Sigara	100	4.06	0.62	4.59	0.47	2.89	0.80	1.09	0.47	3	6	107.22
Raman-2013-260-60	60	clock	1323	CLOCK	Saat	Saat	100	3.72	0.89	4.83	0.60	2.31	0.99	1.38	0.25	2	4	317.43
Raman-2013-260-61	61	clothespin			Mandal	Mandal	72	3.00	0.55	4.86	1.02	2.44	0.89	1.19	0.98	2	6	0.80
Raman-2013-260-62	62	cloud	1489	CLOUD	Bulut	Bulut	91	4.16	0.54	4.42	0.88	1.85	0.87	1.47	0.84	2	5	19.56
Raman-2013-260-63	63	clown	4020	CLOWN	Palyaço	Palyaço	98	4.22	1.02	4.71	0.52	2.02	0.78	1.84	0.30	3	7	2.35
Raman-2013-260-64	64	coat	603	COAT	Ceket	Ceket	43	3.84	0.67	4.80	0.43	2.31	0.64	1.44	0.47	2	5	6.82
Raman-2013-260-65	65	comb	1475	COMB	Tarak	Tarak	100	4.00	1.29	4.73	0.43	1.98	0.67	1.59	0.54	2	5	2.52
Raman-2013-260-66	66	corn	506	MAIZE	Mısır	Mısır	100	4.28	1.07	4.81	1.09	2.13	0.87	1.63	0.63	2	5	54.21
Raman-2013-260-67	67	couch	3099	SOFA	Kanepe	Koltuk	63	3.97	0.72	4.90	0.18	1.97	0.67	1.34	1.14	2	6	19.33
Raman-2013-260-68	68	cow	1007	COW	İnek	İnek	93	3.43	1.10	4.66	0.52	2.15	0.70	1.28	0.42	2	4	9.04
Raman-2013-260-69	69	crown	1943	CROWN (OF HEAD)	Taç	Taç	98	3.97	1.06	4.46	0.38	2.64	0.55	1.63	0.18	1	3	8.29
Raman-2013-260-70	70	cup	476	CUP	Fincan	Fincan	93	3.77	0.34	4.88	0.73	1.89	0.99	1.06	0.25	2	6	7.62
Raman-2013-260-71	71	deer	1936	DEER	Geyik	Geyik	89	4.53	0.79	4.55	0.50	2.72	0.65	1.19	0.81	2	5	9.00
Raman-2013-260-72	72	desk	1775	TABLE	Masa	Masa	100	4.13	0.36	4.90	0.25	2.03	0.69	1.41	0.18	2	4	34.02
Raman-2013-260-73	73	dog	2009	DOG	Köpek	Köpek	100	4.41	0.51	4.83	0.25	1.70	0.65	1.22	0.18	2	5	43.40
Raman-2013-260-74	74	doll	1659	DOLL	Bebek	Bebek	79	2.71	1.00	4.64	0.43	1.38	0.95	1.34	0.95	2	5	50.85
Raman-2013-260-75	75	donkey	1862	DONKEY	Eşek	Eşek	98	4.41	0.53	4.63	0.95	1.80	0.85	1.13	0.87	2	4	17.25
Raman-2013-260-76	76	door	1567	DOOR	Kapı	Kapı	100	4.63	1.32	4.71	0.97	1.85	0.95	1.22	0.25	2	4	104.95
Raman-2013-260-77	77	doorknob	4030	DOORKNOB	Kapı tokmağı	Kulp	53	3.43	0.77	4.78	0.69	2.33	0.79	1.38	0.42	1	4	1.36
Raman-2013-260-78	78	dress	474	DRESS	Elbise	Elbise	98	3.84	0.98	4.85	0.58	2.07	1.02	1.09	1.16	3	6	21.20
Raman-2013-260-79	79	dresser			Şifoniyer	Komidin	39	1.37	1.62	4.83	0.96	2.03	0.58	1.38	0.97	3	7	0.02
Raman-2013-260-80	80	drum	908	DRUM	Davul	Davul	65	3.38	1.55	4.34	1.07	2.64	1.05	1.84	0.87	2	5	9.15
Raman-2013-260-81	81	duck	1360	DUCK	Ördek	Ördek	89	3.44	0.67	4.69	0.50	2.23	0.82	1.44	0.94	2	5	5.96
Raman-2013-260-82	82	eagle	1905	EAGLE	Kartal	Kartal	56	3.94	1.48	4.69	0.68	2.33	0.89	1.59	1.04	2	6	16.20
Raman-2013-260-83	83	ear	1247	EAR	Kulak	Kulak	100	4.47	0.91	4.80	1.10	1.49	0.85	1.38	0.84	2	5	48.06
