ID	NUMBER	ENGLISH	ITALIAN	FRENCH	MALAGASY	CONCEPTICON_ID	CONCEPTICON_GLOSS
Serva-2020-207-1	1	I	io	je	izaho	1209	I
Serva-2020-207-2	2	you (singular)	tu	tu	ianao	1215	THOU
Serva-2020-207-3	3	he	egli	il	izy	1211	HE
Serva-2020-207-4	4	we	noi	nous	isika	1212	WE
Serva-2020-207-5	5	you (plural)	voi	vous	ianareo	1213	YOU
Serva-2020-207-6	6	they	essi	ils	izy ireo	817	THEY
Serva-2020-207-7	7	this	questo	ceci	ity	1214	THIS
Serva-2020-207-8	8	that	quello	cela	izany	78	THAT
Serva-2020-207-9	9	here	qui	ici	eto	136	HERE
Serva-2020-207-10	10	there	li	là	ao	1937	THERE
Serva-2020-207-11	11	who	chi	qui	iza	1235	WHO
Serva-2020-207-12	12	what	che	que (qu'est-ce que; quoi)	inona	1236	WHAT
Serva-2020-207-13	13	where	dove	où	aiza	1237	WHERE
Serva-2020-207-14	14	when	quando	quand	oviana	1238	WHEN
Serva-2020-207-15	15	how	come	comment	ahoana	1239	HOW
Serva-2020-207-16	16	not	non	ne pas	tsy	1240	NOT
Serva-2020-207-17	17	all	tutto	tout	rehetra	98	ALL
Serva-2020-207-18	18	many	molti	beaucoup	betsaka	1198	MANY
Serva-2020-207-19	19	some	alcuni	quelques	vitsivitsy	1241	SOME
Serva-2020-207-20	20	few	poco	peu	kely	1242	FEW
Serva-2020-207-21	21	other	altro	autre	hafa	197	OTHER
Serva-2020-207-22	22	one	uno	un	iray	1493	ONE
Serva-2020-207-23	23	two	due	deux	roa	1498	TWO
Serva-2020-207-24	24	three	tre	trois	telo	492	THREE
Serva-2020-207-25	25	four	quattro	quatre	efatra	1500	FOUR
Serva-2020-207-26	26	five	cinque	cinq	dimy	493	FIVE
Serva-2020-207-27	27	big	grande	grand	lehibe	1202	BIG
Serva-2020-207-28	28	long	lungo	long	lava	1203	LONG
Serva-2020-207-29	29	wide	largo	large	malalaka	1243	WIDE
Serva-2020-207-30	30	thick	spesso	épais	matevina	1244	THICK
Serva-2020-207-31	31	heavy	pesante	lourd	mavesatra	1210	HEAVY
Serva-2020-207-32	32	small	piccolo	petit	kely	1246	SMALL
Serva-2020-207-33	33	short	corto	court	fohy	1645	SHORT
Serva-2020-207-34	34	narrow	stretto	étroit	tery	1267	NARROW
Serva-2020-207-35	35	thin	sottile	fin	manify	743	END (OF TIME)
Serva-2020-207-36	36	woman	donna	femme	vehivavy	962	WOMAN
Serva-2020-207-37	37	man (adult male)	uomo	homme (mâle adulte)	lehilahy	1554	MAN
Serva-2020-207-38	38	man (human being)	uomo	homme (être humain)	olona	683	PERSON
Serva-2020-207-39	39	child	bambino	enfant	zaza	2099	CHILD
Serva-2020-207-40	40	wife	moglie	femme (épouse)	vady	1199	WIFE
Serva-2020-207-41	41	husband	marito	mari	vady	1200	HUSBAND
Serva-2020-207-42	42	mother	madre	mère	reny	1216	MOTHER
Serva-2020-207-43	43	father	padre	père	ray	1217	FATHER
Serva-2020-207-44	44	animal	animale	animal	biby	619	ANIMAL
Serva-2020-207-45	45	fish	pesce	poisson	trondro	227	FISH
Serva-2020-207-46	46	bird	uccello	oiseau	vorona	937	BIRD
