ID	NUMBER	ORIGINAL	GERMAN	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS
Steinthal-1875-1565-1	1	Himmel	Himmel	sky	1732	SKY
Steinthal-1875-1565-2	2	Wolken	Wolken	clouds	1489	CLOUD
Steinthal-1875-1565-3	3	Der Himmel ist klar, ist bedeckt.	Der Himmel ist klar.	The sky is bright.		
Steinthal-1875-1565-4	4	Der Himmel ist klar, ist bedeckt.	Der Himmel ist bedeckt.	The sky is overcast.		
Steinthal-1875-1565-5	5	Luft	Luft	air	27	AIR
Steinthal-1875-1565-6	6	Der Wind weht.	Der Wind weht.	The wind blows.	175	BLOW (OF WIND)
Steinthal-1875-1565-7	7	Sturm	Sturm	storm	858	STORM
Steinthal-1875-1565-8	8	Wirbelwind	Wirbelwind	tornado	2532	TORNADO
Steinthal-1875-1565-9	9	Die Sonne ist aufgegangen, untergegangen, brennt heiss.	Die Sonne ist aufgegangen.	The sun has risen.		
Steinthal-1875-1565-10	10	Die Sonne ist aufgegangen, untergegangen, brennt heiss.	Die Sonne ist untergegangen.	The sun has set.		
Steinthal-1875-1565-11	11	Die Sonne ist aufgegangen, untergegangen, brennt heiss.	Die Sonne brennt heiss.	The sun burns hot.		
Steinthal-1875-1565-12	12	Mond	Mond	moon	1313	MOON
Steinthal-1875-1565-13	13	Neumond	Neumond	new moon	3691	NEW MOON
Steinthal-1875-1565-14	14	Es ist Mondfinsterniss.	Es ist Mondfinsterniss.	A lunar eclipse occurs.	2285	ECLIPSE
Steinthal-1875-1565-15	15	Sterne	Sterne	stars	1430	STAR
Steinthal-1875-1565-16	16	Komet	Komet	comet		
Steinthal-1875-1565-17	17	Sternschnuppe	Sternschnuppe	shooting star	2835	SHOOTING STAR
Steinthal-1875-1565-18	18	Nebel, er steigt, fällt.	Nebel	fog	249	FOG
Steinthal-1875-1565-19	19	Nebel, er steigt, fällt.	Nebel steigt.	Fog rises.		
Steinthal-1875-1565-20	20	Nebel, er steigt, fällt.	Nebel fällt.	Fog falls.		
Steinthal-1875-1565-21	21	Regen (vielleicht verschieden benannt nach der Jahreszeit, oder der Heftigkeit)	Regen	rain	658	RAIN (PRECIPITATION)
Steinthal-1875-1565-22	22	Es regnet.	Es regnet.	It rains.	1253	RAIN (RAINING)
Steinthal-1875-1565-23	23	Gewitter	Gewitter	thunderstorm		
Steinthal-1875-1565-24	24	Donner	Donner	thunder	1150	THUNDER
Steinthal-1875-1565-25	25	Es donnert.	Es donnert.	to thunder	2378	THUNDER (VERB)
Steinthal-1875-1565-26	26	Blitz	Blitz	lightning	1654	LIGHTNING
Steinthal-1875-1565-27	27	Es blitzt.	Es blitzt.	Lightning strikes.		
Steinthal-1875-1565-28	28	Es kommt ein Gewitter.	Es kommt ein Gewitter.	A thunderstorm is coming.		
Steinthal-1875-1565-29	29	Der Regen hört auf.	Der Regen hört auf.	The rain stops.		
Steinthal-1875-1565-30	30	Regenbogen	Regenbogen	rainbow	1733	RAINBOW
Steinthal-1875-1565-31	31	Thau	Thau	dew	1977	DEW
Steinthal-1875-1565-32	32	Schnee	Schnee	snow	784	SNOW
Steinthal-1875-1565-33	33	Hagel	Hagel	hail	609	HAIL
Steinthal-1875-1565-34	34	Reif	Reif	hoar frost	2942	HOARFROST
Steinthal-1875-1565-35	35	Eis schmilzt, thaut.	Eis schmilzt.	Ice melts.		
Steinthal-1875-1565-36	36	Eis schmilzt, thaut.	Eis thaut.	Ice thaws.		
Steinthal-1875-1565-37	37	Tag, bricht an, geht zu Ende	Tag	day	1225	DAY (NOT NIGHT)
Steinthal-1875-1565-38	38	Tag, bricht an, geht zu Ende	Tag bricht an.	daybreak		
Steinthal-1875-1565-39	39	Tag, bricht an, geht zu Ende	Tag geht zu Ende.	Day comes to an end.		
Steinthal-1875-1565-40	40	Nacht, sie kommt herein	Nacht	night	1233	NIGHT
Steinthal-1875-1565-41	41	Nacht, sie kommt herein	Nacht kommt herein.	Night falls.		
Steinthal-1875-1565-42	42	Morgen	Morgen	morning	1339	MORNING
Steinthal-1875-1565-43	43	Mittag	Mittag	noon	12	MIDDAY
Steinthal-1875-1565-44	44	Abend	Abend	evening	1629	EVENING
Steinthal-1875-1565-45	45	Morgenroth	Morgenroth	dawn	729	DAWN
Steinthal-1875-1565-46	46	Abendröthe	Abendröthe	dusk	2297	DUSK
Steinthal-1875-1565-47	47	Es ist finster.	Es ist finster.	It is gloomy.	1552	GLOOMY
Steinthal-1875-1565-48	48	Finsterniss	Finsternis	gloom		
Steinthal-1875-1565-49	49	dunkel, -heit	dunkel	dark	706	DARK
Steinthal-1875-1565-50	50	dunkel, -heit	Dunkelheit	darkness	11	DARKNESS
Steinthal-1875-1565-51	51	hell	hell	bright	679	BRIGHT
Steinthal-1875-1565-52	52	Licht	Licht	light	630	LIGHT (RADIATION)
Steinthal-1875-1565-53	53	Schatten	Schatten	shadow	1388	SHADE
Steinthal-1875-1565-54	54	Jahr	Jahr	year	1226	YEAR
Steinthal-1875-1565-55	55	Jahreszeit	Jahreszeit	season	691	SEASON
Steinthal-1875-1565-56	56	Sommer (trockne Zeit)	Sommer	summer	1342	SUMMER
Steinthal-1875-1565-57	57	Sommer (trockne Zeit)	trockne Zeit	dry season	452	DRY SEASON
Steinthal-1875-1565-58	58	Winter (Regenzeit)	Winter	winter	1471	WINTER
Steinthal-1875-1565-59	59	Winter (Regenzeit)	Regenzeit	wet season	453	RAINY SEASON
Steinthal-1875-1565-60	60	- ist nun vorüber.	Sommer, Winter ist nun vorüber.	Summer, winter is over now.		
Steinthal-1875-1565-61	61	Herbst (Erntezeit)	Herbst	autumn	1276	AUTUMN
Steinthal-1875-1565-62	62	Herbst (Erntezeit)	Erntezeit	harvest season	3327	AUTUMN OR HARVEST SEASON
Steinthal-1875-1565-63	63	Frühling (Saatzeit)	Frühling	spring	1537	SPRINGTIME
Steinthal-1875-1565-64	64	Frühling (Saatzeit)	Saatzeit	sowing time		
Steinthal-1875-1565-65	65	heute	heute	today	1283	TODAY
Steinthal-1875-1565-66	66	gestern	gestern	yesterday	1174	YESTERDAY
Steinthal-1875-1565-67	67	vorgestern	vorgestern	day before yesterday	1180	DAY BEFORE YESTERDAY
Steinthal-1875-1565-68	68	morgen	morgen	tomorrow	1329	TOMORROW
Steinthal-1875-1565-69	69	übermorgen	übermorgen	day after tomorrow	1179	DAY AFTER TOMORROW
Steinthal-1875-1565-70	70	Woche	Woche	week	1469	WEEK
Steinthal-1875-1565-71	71	Monat	Monat	month	1370	MONTH
Steinthal-1875-1565-72	72	Namen der Wochentage und der Monate	Namen der Wochentage und der Monate	names of weekdays and months		
Steinthal-1875-1565-73	73	die Weltgegenden	Norden	north	1598	NORTH
Steinthal-1875-1565-74	74	die Weltgegenden	Osten	east	1877	EAST
Steinthal-1875-1565-75	75	die Weltgegenden	Süden	south	1595	SOUTH
Steinthal-1875-1565-76	76	die Weltgegenden	Westen	west	1817	WEST
Steinthal-1875-1565-77	77	die Weltgegenden	Nordosten	northeast		
Steinthal-1875-1565-78	78	die Weltgegenden	Südosten	southeast		
Steinthal-1875-1565-79	79	die Weltgegenden	Nordwesten	northwest		
Steinthal-1875-1565-80	80	die Weltgegenden	Südwesten	southwest		
Steinthal-1875-1565-81	81	Es ist kalt.	Es ist kalt.	It is cold.	2483	COLD (OF WEATHER)
Steinthal-1875-1565-82	82	Kälte	Kälte	cold	2932	COLD (CHILL)
Steinthal-1875-1565-83	83	Hitze	Hitze	heat	612	HEAT
Steinthal-1875-1565-84	84	Erde (Welt)	Erde (Welt)	earth	965	WORLD
Steinthal-1875-1565-85	85	ein Land (grosses Gebiet)	ein Land (grosses Gebiet)	land	626	LAND
Steinthal-1875-1565-86	86	Boden	Boden	soil	1228	EARTH (SOIL)
Steinthal-1875-1565-87	87	Feld (Acker)	Feld (Acker)	field	212	FIELD
Steinthal-1875-1565-88	88	Wiese	Wiese	meadow	2819	GRASSLAND
Steinthal-1875-1565-89	89	Wüste	Wüste	desert	3687	DESERT
Steinthal-1875-1565-90	90	Oase	Oase	oasis		
Steinthal-1875-1565-91	91	Quelle	Quelle	spring of water	849	SPRING (OF WATER)
