ID	NUMBER	GLOSS	FRENCH	LATIN	PAGE	CONCEPTICON_ID	CONCEPTICON_GLOSS
Gauchat-1925-480-1	1	It is	Il fait	facit	2		
Gauchat-1925-480-2	2	hot	chaud	caldu	2	1286	HOT
Gauchat-1925-480-3	3	today	aujourd‘hui	hŏdie	2	1283	TODAY
Gauchat-1925-480-4	4	This is	C’est	est	2		
Gauchat-1925-480-5	5	a good	un bon	bŏnu	2		
Gauchat-1925-480-6	6	weather	temps	tĕmpus	2	952	WEATHER
Gauchat-1925-480-7	7	A (feminine)	Une	ūna	4		
Gauchat-1925-480-8	8	good (feminine)	bonne	bŏna	4		
Gauchat-1925-480-9	9	season	saison	satiōne	4	691	SEASON
Gauchat-1925-480-10	10	It rains	Il pleut	plŏvet	4		
Gauchat-1925-480-11	11	each	chaque	cata + quisque	4	3416	EVERY (EACH)
Gauchat-1925-480-12	12	day	jour	diŭrnu	4	1225	DAY (NOT NIGHT)
Gauchat-1925-480-13	13	yesterday	hier	hĕri	6	1174	YESTERDAY
Gauchat-1925-480-14	14	there was	il y avait	habēbat	6		
Gauchat-1925-480-15	15	little	peu de	paucu	6	1242	FEW
Gauchat-1925-480-16	16	dew	rosée	rosata	6	1977	DEW
Gauchat-1925-480-17	17	It was	Il faisait	faciēbat	6		
Gauchat-1925-480-18	18	cold	froid	frĭgidu	6	1287	COLD
Gauchat-1925-480-19	19	The morning	La matinée	matutinata	8	1339	MORNING
Gauchat-1925-480-20	20	was	était	ĕrat (ĕst + ēbat)	8		
Gauchat-1925-480-21	21	cold (feminine)	froide	frĭgida	8		
Gauchat-1925-480-22	22	The mornings	Les matinées	matutinatas	8		
Gauchat-1925-480-23	23	are	sont	sŭnt	8		
Gauchat-1925-480-24	24	cold (feminine plural)	froides	frĭgidas	8		
Gauchat-1925-480-25	25	The frost	La gelée	gelata	10	2034	FROST
Gauchat-1925-480-26	26	is dangerous (feminine)	est dangereuse	dominiariu + ōsas	10		
Gauchat-1925-480-27	27	The frosts	Les gelées	gelatas	10		
Gauchat-1925-480-28	28	are dangerous	sont dangereuses	dominiariu + ōsas	10		
Gauchat-1925-480-29	29	The night	La nuit	nŏcte	10	1233	NIGHT
Gauchat-1925-480-30	30	one sees	on voit	hŏmo vĭdet	10		
Gauchat-1925-480-31	31	the moon	la lune	lūna	12	1313	MOON
Gauchat-1925-480-32	32	the stars	les étoiles	stēllas	12	1430	STAR
Gauchat-1925-480-33	33	One does not have	Il ne faut pas	fallit	12		
Gauchat-1925-480-34	34	to have	avoir	habēre	12	773	HAVE
Gauchat-1925-480-35	35	fear	peur	pavōre	12	781	FEAR (FRIGHT)
Gauchat-1925-480-36	36	from the thunder	du tonnerre	tonĭtru	12		
Gauchat-1925-480-37	37	In the month	Au mois	mēse	14		
Gauchat-1925-480-38	38	of February	de février	febrariu	14		
Gauchat-1925-480-39	39	there is	il y a	habet	14	2152	THERE IS OR THERE ARE
Gauchat-1925-480-40	40	snow	de la neige	nĭve	14	784	SNOW
Gauchat-1925-480-41	41	ice	de la glace	glacia	14	617	ICE
Gauchat-1925-480-42	42	It is (2)	Il fait	facit	14		
Gauchat-1925-480-43	43	some wind	du vent	vĕntu (aura)	16		
Gauchat-1925-480-44	44	Winter	L’hiver	hibĕrnu	16	1471	WINTER
Gauchat-1925-480-45	45	arrives	arrive	adrīpat	16		
Gauchat-1925-480-46	46	It is there	Il est là	illac	16		
Gauchat-1925-480-47	47	I must	Je dois	debēo	16		
Gauchat-1925-480-48	48	go down	descendre	descĕndere	16	2014	GO DOWN (DESCEND)
Gauchat-1925-480-49	49	in the city	en ville	vīlla	18		
Gauchat-1925-480-50	50	It is necessary	Il faut	fallit	18		
Gauchat-1925-480-51	51	to follow	suivre	sĕquere	18	1085	FOLLOW
Gauchat-1925-480-52	52	the path	le sentier	semitariu	18	2252	PATH
Gauchat-1925-480-53	53	until	jusqu’à	tantu + que	18	2753	UNTIL
Gauchat-1925-480-54	54	the crossing	la croisée	cruciata	18		
Gauchat-1925-480-55	55	to cross	traverser	transversare	20	1742	TRAVERSE
Gauchat-1925-480-56	56	the field	le champ	campu	20	212	FIELD
Gauchat-1925-480-57	57	the meadow	le pré	pratu	20	2819	GRASSLAND
Gauchat-1925-480-58	58	to pass	passer	passare	20	558	PASS BY
Gauchat-1925-480-59	59	to the cross	vers la croix	crŭce	20		
Gauchat-1925-480-60	60	the well	le puits	pŭteu	20	954	WELL
Gauchat-1925-480-61	61	the «chable»	le „chable“	catabolu	22		
Gauchat-1925-480-62	62	This is (2)	C‘est	est	22		
Gauchat-1925-480-63	63	a place	un lieu	ūnu lŏcu	22	723	PLACE (POSITION)
Gauchat-1925-480-64	64	dangerous	dangereux	dominiariu + ōsu	22	3466	DANGEROUS
Gauchat-1925-480-65	65	The river	La rive	rīpa	22	666	RIVER
Gauchat-1925-480-66	66	is narrow	est étroite	strĭcta	22	1267	NARROW
Gauchat-1925-480-67	67	The attic	Le grenier	granariu	24		
Gauchat-1925-480-68	68	and the «beater»	et le „battoir“	batt + atōriu	24		
Gauchat-1925-480-69	69	are very close	sont tout près	prĕssu	24		
Gauchat-1925-480-70	70	of the village	du village	villaticu	24		
Gauchat-1925-480-71	71	Let's go	Allons-y	ambulemus	24		
Gauchat-1925-480-72	72	together	ensemble	insĭmul	24	2482	TOGETHER
Gauchat-1925-480-73	73	Be careful	Prends garde	cavica	26		
Gauchat-1925-480-74	74	to stumble	de t‘“encoubler“	incopulare	26		
Gauchat-1925-480-75	75	The bridge	Le pont	pŏnte	26	1011	BRIDGE
Gauchat-1925-480-76	76	is	est en	est ĭn	26		
Gauchat-1925-480-77	77	stone	pierre	pĕtra	26	857	STONE
Gauchat-1925-480-78	78	of iron	en fer	fĕrru	26		
Gauchat-1925-480-79	79	It is new	Il est neuf	nŏvu	28		
Gauchat-1925-480-80	80	broad	large	largu	28	2531	BROAD
Gauchat-1925-480-81	81	The wall	Le mur	mūru	28	933	WALL (OF HOUSE)
Gauchat-1925-480-82	82	has started	est commencé	cuminitiatu	28		
Gauchat-1925-480-83	83	The journey	La tour	tŭrre	28	2393	JOURNEY
Gauchat-1925-480-84	84	(has) started	(est) commencée	cuminitiata	28		
Gauchat-1925-480-85	85	The journeys	Les tours	tŭrres	30		
Gauchat-1925-480-86	86	have started	(sont) commencées	cuminitiatas	30		
Gauchat-1925-480-87	87	The bull	Le bœuf	bŏve	30	1008	BULL
Gauchat-1925-480-88	88	has horns	a des cornes	habet cŏrn(u)as	30		
Gauchat-1925-480-89	89	The ladder	L‘échelle	scala	30	1464	LADDER
Gauchat-1925-480-90	90	is leaned	est dressé	directiata	30		
Gauchat-1925-480-91	91	against	contre	contra	32	2469	AGAINST
Gauchat-1925-480-92	92	the top	le faîte	fresta	32	1753	TOP
Gauchat-1925-480-93	93	of the roof	du toit	tēctu	32		
Gauchat-1925-480-94	94	He closes	Il ferme	claudit	32		
Gauchat-1925-480-95	95	the window	la fenêtre	fenĕstra	32	1375	WINDOW
Gauchat-1925-480-96	96	of the room	de la chambre	pē(n)sile	32		
Gauchat-1925-480-97	97	He sweeps	Il balaie	scōpat	34		
Gauchat-1925-480-98	98	in front of	devant	de + abante	34	1883	IN FRONT OF
Gauchat-1925-480-99	99	the door	la porte	pŏrta	34	1567	DOOR
Gauchat-1925-480-100	100	of the barn	de la grange	granica	34		
Gauchat-1925-480-101	101	We have	On a	hŏmo habet	34		
Gauchat-1925-480-102	102	lost	perdu	perdūtu	34		
Gauchat-1925-480-103	103	the key	la clef	clave	36	1472	KEY
