ID	NUMBER	RANK	STABILITY_SCORE	GERMAN	NELEX_ID	ENGLISH	RUSSIAN	GERMAN_ANNOTATION	ENGLISH_ANNOTATION	RUSSIAN_ANNOTATION	CONCEPTICON_GLOSS	CONCEPTICON_ID	NOTE
Dellert-2017-1016-1	1	44	-2.239237	Auge	Auge::N	eye	глаз	Anatomie	anatomy	анатомия	EYE	1248	
Dellert-2017-1016-2	2	34	-2.249194	Ohr	Ohr::N	ear	ухо	Anatomie	anatomy	анатомия	EAR	1247	
Dellert-2017-1016-3	3	149	-1.195463	Nase	Nase::N	nose	нос	Anatomie	anatomy	анатомия	NOSE	1221	
Dellert-2017-1016-4	4	25	-2.262589	Mund	Mund::N	mouth	рот	Anatomie	anatomy	анатомия	MOUTH	674	
Dellert-2017-1016-5	5	31	-2.270705	Zahn	Zahn::N	tooth	зуб	BSP:menschlicher Schneidezahn	EX:human incisor	НАПР:человека	TOOTH	1380	
Dellert-2017-1016-6	6	66	-2.287728	Zunge	Zunge::N	tongue	язык	Anatomie	anatomy	орган в полости рта	TONGUE	1205	
Dellert-2017-1016-7	7	430	-1.143607	Lippe	Lippe::N	lip	губа	Anatomie	anatomy	анатомия	LIP	478	
Dellert-2017-1016-8	8	897	0.00952	Wange	Wange::N	cheek	щека	Anatomie	anatomy	анатомия	CHEEK	1730	
Dellert-2017-1016-9	9	644	-0.05467	Gesicht	Gesicht::N	face	лицо	des Menschen	of a human	человека	FACE	1560	
Dellert-2017-1016-10	10	452	-1.186739	Stirn	Stirn::N	forehead	лоб	des Menschen	of a human	человека	FOREHEAD	123	
Dellert-2017-1016-11	11	121	-2.228777	Haar	Haar::N	hair	волос	Kopfhaar des Menschen	of human head	на голове человека	HAIR	1040	
Dellert-2017-1016-12	12	988	1.103531	Schnurrbart	Schnurrbart::N	moustache	усы	eines Mannes	of a man	мужчины	MOUSTACHE	1165	
Dellert-2017-1016-13	13	358	-1.116858	Bart	Bart::N	beard	борода	allgemein	generic	волосяной покров нижней части лица	BEARD	678	
Dellert-2017-1016-14	14	405	-1.11055	Kinn	Kinn::N	chin	подбородок	Anatomie	anatomy	анатомия	CHIN	1510	
Dellert-2017-1016-15	15	690	-0.047343	Kiefer[Anatomie]	Kiefer[Anatomie]::N	jaw	челюсть	Anatomie	anatomy	анатомия	JAW	798	
Dellert-2017-1016-16	16	361	-1.112143	Kehle	Kehle::N	throat	горло	Hals von innen	from inside	НАПР:полоскать горло	THROAT	1346	
Dellert-2017-1016-17	17	267	-1.138234	Hals	Hals::N	neck	шея	Hals von außen, rundum	from outside	НАПР:бусы на шее	NECK	1333	
Dellert-2017-1016-18	18	804	-0.044891	Genick	Genick::N	nape	затылок	hinter Teil des Halses	back side of neck	задняя часть головы	NAPE (OF NECK)	1347	
Dellert-2017-1016-19	19	23	-2.21461	Kopf	Kopf::N	head	голова	BSP:des Menschen	EX:of a human	НАПР:человека	HEAD	1256	
Dellert-2017-1016-20	20	431	-1.143134	Rücken	Rücken::N	back	спина	des Menschen	of a human	человека	BACK	1291	
Dellert-2017-1016-21	21	378	-1.17446	Bauch	Bauch::N	belly	живот	des Menschen	of a human	человека	BELLY	1251	
Dellert-2017-1016-22	22	346	-1.139977	Nabel	Nabel::N	navel	пупок	Anatomie	anatomy	анатомия	NAVEL	1838	
Dellert-2017-1016-23	23	740	-0.016307	Busen	Busen::N	bosom	грудь	weibliche Brust	female breast	женская грудь	BREAST	1402	
Dellert-2017-1016-24	24	296	-1.156723	Brust	Brust::N	breast	грудь	BSP:eines Mannes	EX:of a man	НАПР:мужчины	CHEST	1592	
Dellert-2017-1016-25	25	533	-0.087579	Schulter	Schulter::N	shoulder	плечо	Anatomie	anatomy	анатомия	SHOULDER	1482	
Dellert-2017-1016-26	26	46	-2.214312	Arm	Arm::N	arm	рука	des Menschen	of a human	от пальцев до плеча	ARM	1673	
Dellert-2017-1016-27	27	770	-0.043831	Ellenbogen	Ellenbogen::N	elbow	локоть	des Menschen	of a human	человека	ELBOW	981	
Dellert-2017-1016-28	28	41	-2.255057	Hand	Hand::N	hand	кисть	des Menschen	of a human	руки	HAND	1277	
Dellert-2017-1016-29	29	678	-0.072581	Handfläche	Handfläche::N	palm	ладонь	Anatomie	anatomy	анатомия	PALM OF HAND	1183	
Dellert-2017-1016-30	30	191	-1.139551	Finger	Finger::N	finger	палец	des Menschen	of a human	на руке человека	FINGER	1303	
Dellert-2017-1016-31	31	317	-1.100767	Fingernagel	Fingernagel::N	fingernail	ноготь на руке	Anatomie	anatomy	человека	FINGERNAIL	1258	
Dellert-2017-1016-32	32	98	-2.240028	Nagel[Anatomie]	Nagel[Anatomie]::N	nail	ноготь	Anatomie	anatomy	на руке или на ноге	FINGERNAIL OR TOENAIL	1896	
Dellert-2017-1016-33	33	894	0.074736	Zeh	Zeh::N	toe	палец ноги	des Menschen	of a human	человека	TOE	1389	
Dellert-2017-1016-34	34	73	-2.241286	Fuß	Fuß::N	foot	ступня	des Menschen	of a human	человека	FOOT	1301	
Dellert-2017-1016-35	35	443	-1.112251	Ferse	Ferse::N	heel	пятка	Anatomie	anatomy	анатомия	HEEL	980	
Dellert-2017-1016-36	36	271	-1.12634	Knie	Knie::N	knee	колено	Anatomie	anatomy	анатомия	KNEE	1371	
Dellert-2017-1016-37	37	616	-0.029976	Oberschenkel	Oberschenkel::N	thigh	бедро	Anatomie	anatomy	верхняя часть ноги до колена	THIGH	800	
Dellert-2017-1016-38	38	57	-2.257644	Bein	Bein::N	leg	нога	des Menschen	of a human	нога не включая ступню	LEG	1297	
Dellert-2017-1016-39	39	252	-1.17423	Körper	Körper::N	body	тело	eines Lebewesens	of a living organism	живого существа	BODY	1480	
Dellert-2017-1016-40	40	417	-1.171135	Haut	Haut::N	skin	кожа	des Menschen	of a human	человека	SKIN	763	
Dellert-2017-1016-41	41	35	-2.23808	Blut	Blut::N	blood	кровь	Flüssigkeit	fluid	жидкая	BLOOD	946	
Dellert-2017-1016-42	42	297	-1.15507	Ader	Ader::N	vein	вена	Anatomie	anatomy	анатомия	VEIN	1924	
Dellert-2017-1016-43	43	639	-0.064254	Sehne	Sehne::N	sinew	сухожилие	Anatomie	anatomy	анатомия	TENDON	1137	
Dellert-2017-1016-44	44	59	-2.245369	Knochen	Knochen::N	bone	кость	Anatomie	anatomy	анатомия	BONE	1394	
Dellert-2017-1016-45	45	265	-1.139365	Gehirn	Gehirn::N	brain	мозг	Anatomie	anatomy	анатомия	BRAIN	1583	
Dellert-2017-1016-46	46	306	-1.144068	Herz	Herz::N	heart	сердце	Anatomie	anatomy	анатомия	HEART	1223	
Dellert-2017-1016-47	47	554	-0.049448	Magen	Magen::N	stomach	желудок	Anatomie	anatomy	анатомия	STOMACH	819	
Dellert-2017-1016-48	48	368	-1.194606	Leber	Leber::N	liver	печень	Anatomie	anatomy	анатомия	LIVER	1224	
Dellert-2017-1016-49	49	744	-0.006891	Atem	Atem::N	breath	дыхание	Atmung	breathing	процесс	BREATH	870	
Dellert-2017-1016-50	50	327	-1.186053	Hunger	Hunger::N	hunger	голод	Zustand	condition	состояние	HUNGER	1864	
Dellert-2017-1016-51	51	409	-1.191737	Träne	Träne::N	tear	слеза	Tropfen der Flüssigkeit	drop of fluid	капля	TEAR (OF EYE)	1651	
Dellert-2017-1016-52	52	197	-1.122334	Geschmack	Geschmack::N	flavour	вкус	von etwas	of something	чего-либо	TASTE	2190	
Dellert-2017-1016-53	53	239	-1.102637	Geruch	Geruch::N	odour	запах	von etwas	of something	чего-либо	FLAVOR	2938	
Dellert-2017-1016-54	54	78	-2.22481	Schlaf	Schlaf::N	sleep	сон	Zustand	condition	состояние	SLEEP (STATE)	2972	POS
Dellert-2017-1016-55	55	123	-2.216322	Traum	Traum::N	dream	сновидение	im Schlaf	while sleeping	то, что снится	DREAM	2374	
Dellert-2017-1016-56	56	92	-2.260565	Himmel	Himmel::N	sky	небо	sichtbar	visible	НАПР:звёзды на небе/солнце на небе	SKY	1732	
Dellert-2017-1016-57	57	153	-1.184994	Sonne	Sonne::N	sun	солнце	Himmelskörper	celestial body	НАПР:солнце на небе	SUN	1343	
Dellert-2017-1016-58	58	104	-2.213239	Mond	Mond::N	moon	луна	Himmelskörper	celestial body	НАПР:луна на небе	MOON	1313	
Dellert-2017-1016-59	59	316	-1.103503	Stern	Stern::N	star	звезда	am Nachthimmel	in the night sky	на ночном небе	STAR	1430	
Dellert-2017-1016-60	60	234	-1.123365	Luft	Luft::N	air	воздух	wo Vögel fliegen	where birds fly	НАПР:птицы летают по воздуху	AIR	27	
Dellert-2017-1016-61	61	69	-2.27676	Wind	Wind::N	wind	ветер	draußen	outside	на улице	WIND	960	
Dellert-2017-1016-62	62	213	-1.172595	Welle	Welle::N	wave	волна	auf Wasser	on water	на воде	WAVE	978	
Dellert-2017-1016-63	63	19	-2.22383	Wasser	Wasser::N	water	вода	kaltes Wasser	cold water	холодная вода	WATER	948	
Dellert-2017-1016-64	64	55	-2.26243	Stein	Stein::N	stone	камень	Substanz	substance	вещество	ROCK	668	
Dellert-2017-1016-65	65	470	-1.143149	Boden	Boden::N	ground	земля	Erdboden	soil, earth	земля, пол; НАПР:падать на землю	GROUND	2159	
