ID	NUMBER	ENGLISH	WORDPAIR	POS	SIM_LEX_999	CONCRETENESS_WORD1	CONCRETENESS_WORD2	CONCRETENESS	ASSOCIATION_STRENGTH	SIM_ASSOCIATION_333	CONCEPTICON_ID	CONCEPTICON_GLOSS
Hill-2015-999-1	1	old	word1-1	A	1.58	2.72	2.81	2	7.25	1	1229	OLD
Hill-2015-999-2	2	new	word2-1	A	1.58	2.72	2.81	2	7.25	1	1231	NEW
Hill-2015-999-3	3	smart	word1-2	A	9.2	1.75	2.46	1	7.11	1	2530	SMART
Hill-2015-999-4	4	intelligent	word2-2	A	9.2	1.75	2.46	1	7.11	1		
Hill-2015-999-5	5	hard	word1-3	A	8.77	3.76	2.21	2	5.94	1	1884	HARD
Hill-2015-999-6	6	difficult	word2-3	A	8.77	3.76	2.21	2	5.94	1	584	DIFFICULT
Hill-2015-999-7	7	happy	word1-4	A	9.55	2.56	2.34	1	5.85	1	1495	HAPPY
Hill-2015-999-8	8	cheerful	word2-4	A	9.55	2.56	2.34	1	5.85	1	4037	CHEERFUL
Hill-2015-999-9	9	hard	word1-5	A	0.95	3.76	2.07	2	5.82	1	1884	HARD
Hill-2015-999-10	10	easy	word2-5	A	0.95	3.76	2.07	2	5.82	1	686	EASY
Hill-2015-999-11	11	fast	word1-6	A	8.75	3.32	3.07	2	5.66	1	1631	FAST
Hill-2015-999-12	12	rapid	word2-6	A	8.75	3.32	3.07	2	5.66	1		
Hill-2015-999-13	13	happy	word1-7	A	9.17	2.56	2.36	1	5.49	1	1495	HAPPY
Hill-2015-999-14	14	glad	word2-7	A	9.17	2.56	2.36	1	5.49	1		
Hill-2015-999-15	15	short	word1-8	A	1.23	3.61	3.18	2	5.36	1	1645	SHORT
Hill-2015-999-16	16	long	word2-8	A	1.23	3.61	3.18	2	5.36	1	1203	LONG
Hill-2015-999-17	17	stupid	word1-9	A	9.58	1.75	2.36	1	5.26	1	1518	STUPID
Hill-2015-999-18	18	dumb	word2-9	A	9.58	1.75	2.36	1	5.26	1	1492	DUMB
Hill-2015-999-19	19	weird	word1-10	A	8.93	1.59	1.86	1	4.26	1		
Hill-2015-999-20	20	strange	word2-10	A	8.93	1.59	1.86	1	4.26	1	600	STRANGE
Hill-2015-999-21	21	wide	word1-11	A	1.03	3.06	3.04	2	4.06	1	1243	WIDE
