ID	NUMBER	TURKISH	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	AOA_MEAN	AOA_MEAN_CHILDREN	AOA_MEAN_YOUNG	AOA_MEAN_MIDDLE	AOA_MEAN_OLD	MEAN_IMAGEABILITY	MEAN_CONCRETENESS	FREQUENCY	NUMBER_SYLLABLES	NUMBER_LETTERS
Goz-2017-600-1	1	açlık	hunger	1864	HUNGER	1.79	1.77	1.79	1.83	1.75	4.24	3.68	54	2	5
Goz-2017-600-2	2	adalet	justice	4049	JUSTICE	3.61	2.6	4.1	4.2	3.61	3.08	1.82	122	3	6
Goz-2017-600-3	3	ahşap	wooden			3.03	2.33	3.49	3.51	2.86	5.48	6.42	111	2	5
Goz-2017-600-4	4	aile	family	194	FAMILY	1.69	1.53	1.6	1.83	1.76	5.91	4.78	753	3	4
Goz-2017-600-5	5	ajan	spy			4.25	2.89	4.04	5.04	4.93	4.48	5.6	11	2	4
Goz-2017-600-6	6	akıl	wisdom	4040	WISDOM	2.2	1.77	2.32	2.59	2.16	3.3	2.05	679	2	4
Goz-2017-600-7	7	akıllı	wise	698	WISE	2.07	1.7	2.17	2.33	2.08	3.19	2.41	73	3	6
Goz-2017-600-8	8	alet	tool	1361	TOOL	2.33	1.78	2.57	2.67	2.34	4.61	6.63	137	2	4
Goz-2017-600-9	9	alıntı	citation			4.45	2.68	4.81	5.17	5.08	3.7	4.45	12	3	6
Goz-2017-600-10	10	alışkın	accustomed			2.69	2.09	2.69	3.37	2.61	2.33	2.34	10	3	7
Goz-2017-600-11	11	alkol	alcohol	404	ALCOHOL (FERMENTED DRINK)	3.56	2.54	3.78	4.01	3.89	5.87	6.46	133	2	5
Goz-2017-600-12	12	alt	bottom	690	BOTTOM	2.18	1.75	2.26	2.6	2.12	3.71	4.28	1237	1	3
Goz-2017-600-13	13	altın	gold	1369	GOLD	2.3	1.91	2.48	2.66	2.18	6.3	6.72	168	2	5
Goz-2017-600-14	14	anarşist	anarchist			5.42	4.06	6.37	5.09	5.89	4.41	5.66	3	3	8
Goz-2017-600-15	15	anne	mother	1216	MOTHER	1.18	1.06	1.1	1.22	1.31	6.69	5.84	1037	2	4
Goz-2017-600-16	16	anten	antenna			3.16	2.1	2.75	3.21	4.39	6.36	6.87	12	2	5
Goz-2017-600-17	17	araba	car	1111	CAR	1.62	1.4	1.33	1.84	1.86	6.63	6.87	422	3	5
Goz-2017-600-18	18	arkadaş	friend	1325	FRIEND	1.7	1.67	1.58	1.87	1.67	5.85	5.25	764	3	7
Goz-2017-600-19	19	arsa	plot (land)			2.76	2.22	3.02	3.17	2.68	5.74	6.69	57	2	4
Goz-2017-600-20	20	asker	soldier	1941	SOLDIER	1.95	1.83	1.94	2.23	1.82	6.5	6.7	181	2	5
Goz-2017-600-21	21	atık	waste			3.82	2.5	3.77	4.55	4.41	3.81	6.04	49	2	4
Goz-2017-600-22	22	atletik	athletic			3.86	2.58	4.29	4.6	3.99	5.3	4.56	7	3	7
Goz-2017-600-23	23	atmosfer	atmosphere			3.97	3.16	4.4	4.44	3.95	4.19	5.67	70	3	8
Goz-2017-600-24	24	atom	atom			4.6	3.47	4.34	4.97	5.47	3.16	4.73	52	2	4
