ID	NUMBER	ENGLISH	CONCEPTICON_GLOSS	CONCEPTICON_ID	MEANING_1	FREQ_MEANING_1	MEANING_2	FREQ_MEANING_2	DOMINANCE_SCORE	FREQ_MEANING_1_AMERICAN_EN	FREQ_RAW_BNC	FREQ_LOG	BIGRAM_LOG_BNC	NUMBER_WORD_SENSE_WORDSMYTH	NUMBER_WORDSENSE_WORDNET	SEMANTIC_DIVERSITY	IMAGEABILITY	CONCRETENESS	FAMILIARITY
Maciejewski-2016-100-1	1	angle			the geometric figure made by two lines extending out from a single point	79.71	to fish with hook and line	19.25	0.72	79	24.37	1.39	2.3	12	8	1.63	5.03	4.67	5.18
Maciejewski-2016-100-2	2	angle			the geometric figure made by two lines extending out from a single point	79.71	to fish with hook and line	19.25	0.72	79	24.37	1.39	2.3	12	8	1.63	5.03	4.67	5.18
Maciejewski-2016-100-3	3	arch			a structural element, usually of masonry, that is curved and used to span an open space such as a door	90.58	mischievous or sly	9.12	0.89	91	10.09	1	2.45	6	7	1.71	6.04	5.12	4.63
Maciejewski-2016-100-4	4	arch			a structural element, usually of masonry, that is curved and used to span an open space such as a door	90.58	mischievous or sly	9.12	0.89	91	10.09	1	2.45	6	7	1.71	6.04	5.12	4.63
Maciejewski-2016-100-5	5	bay	BAY	663	a body of water partly surrounded by land, especially a recessed area along a shoreline; large cove	63.18	an interior recess in a wall, often containing a window	33.32	0.5	82	37.21	1.57	3.12	3	10	1.71	5.7	5.8	4.74
Maciejewski-2016-100-6	6	bay			a body of water partly surrounded by land, especially a recessed area along a shoreline; large cove	63.18	an interior recess in a wall, often containing a window	33.32	0.5	82	37.21	1.57	3.12	3	10	1.71	5.7	5.8	4.74
Maciejewski-2016-100-7	7	bear	BEAR	1820	a large, usually omnivorous, furry mammal with a short tail	30.72	a large, usually omnivorous, furry mammal with a short tail	68.13	0.55	32	58.65	1.77	3.44	13	15	2.11	5.72	5.85	5.26
Maciejewski-2016-100-8	8	bear			a large, usually omnivorous, furry mammal with a short tail	30.72	a large, usually omnivorous, furry mammal with a short tail	68.13	0.55	32	58.65	1.77	3.44	13	15	2.11	5.72	5.85	5.26
Maciejewski-2016-100-9	9	blow	BLOW (OF WIND)	175	a quick, forcible hit by the fist or by a hard object	45.75	to be in swift motion, as the air or wind	52.82	0.38	45	32.78	1.52	2.66	17	29	1.95	3.99	3.97	5.36
Maciejewski-2016-100-10	10	blow			a quick, forcible hit by the fist or by a hard object	45.75	to be in swift motion, as the air or wind	52.82	0.38	45	32.78	1.52	2.66	17	29	1.95	3.99	3.97	5.36
Maciejewski-2016-100-11	11	buffer			a device, such as a bumper, that absorbs the force of a collision	38.47	something used to polish or shine	53.55	0.45	53	7.64	0.88	2.55	7	8	1.34	4.59	5.09	4.02
Maciejewski-2016-100-12	12	buffer			a device, such as a bumper, that absorbs the force of a collision	38.47	something used to polish or shine	53.55	0.45	53	7.64	0.88	2.55	7	8	1.34	4.59	5.09	4.02
Maciejewski-2016-100-13	13	bush	BUSH	1683	a low plant having many woody branches; shrub	92.8	a lining, usually of metal, that is used in machines to reduce friction	7.15	0.91	87	40.7	1.61	2.88	6	9	1.47	5.49	5.85	5.32
Maciejewski-2016-100-14	14	bush			a low plant having many woody branches; shrub	92.8	a lining, usually of metal, that is used in machines to reduce friction	7.15	0.91	87	40.7	1.61	2.88	6	9	1.47	5.49	5.85	5.32
Maciejewski-2016-100-15	15	bust			a sculpture or other representation of the upper portion of the human body from the head to the shoulders or chest	55.08	to break or burst	44.93	0.51	34	7.26	0.86	3.22	12	10	1.7	4.3	NA	3.93
Maciejewski-2016-100-16	16	bust			a sculpture or other representation of the upper portion of the human body from the head to the shoulders or chest	55.08	to break or burst	44.93	0.51	34	7.26	0.86	3.22	12	10	1.7	4.3	NA	3.93
Maciejewski-2016-100-17	17	calf	CALF OF LEG	498	the young of cattle or of other bovine mammals, and of some other large mammals such as seals or whales	47.57	the muscular back part of a human's leg below the knee	52.43	0.32	38	6.85	0.84	3.07	3	4	1.49	5.59	5.92	4.54
Maciejewski-2016-100-18	18	calf	CALF	1989	the young of cattle or of other bovine mammals, and of some other large mammals such as seals or whales	47.57	the muscular back part of a human's leg below the knee	52.43	0.32	38	6.85	0.84	3.07	3	4	1.49	5.59	5.92	4.54
Maciejewski-2016-100-19	19	camp	CAMP	1105	an outdoor place where tents or temporary shelters are set up	66.32	the style of something such as clothing, decoration, art, or the like that is considered amusing because of its consciously pretentious showiness or outlandishness	32.93	0.49	86	36.69	1.56	2.98	10	12	1.71	5.88	5.71	5.41
Maciejewski-2016-100-20	20	camp			an outdoor place where tents or temporary shelters are set up	66.32	the style of something such as clothing, decoration, art, or the like that is considered amusing because of its consciously pretentious showiness or outlandishness	32.93	0.49	86	36.69	1.56	2.98	10	12	1.71	5.88	5.71	5.41
Maciejewski-2016-100-21	21	cape	CAPE	1662	a sleeveless, loose-fitting garment that fastens at the neck and hangs loosely from the shoulders	77.02	a point of land jutting into a large body of water	22.98	0.72	72	10.88	1.04	2.68	2	2	1.51	5.2	5.81	4.28
Maciejewski-2016-100-22	22	cape			a sleeveless, loose-fitting garment that fastens at the neck and hangs loosely from the shoulders	77.02	a point of land jutting into a large body of water	22.98	0.72	72	10.88	1.04	2.68	2	2	1.51	5.2	5.81	4.28
Maciejewski-2016-100-23	23	card	CARD	2619	a small piece of thick paper, cardboard, or plastic printed with personal data such as name and address and used as identification	93.84	a mechanical device used for combing cotton, wool, or the like in order to remove the shortest fibers prior to spinning	6.05	0.93	91	53.01	1.72	3.19	6	13	1.67	5.76	5.65	5.62
Maciejewski-2016-100-24	24	card			a small piece of thick paper, cardboard, or plastic printed with personal data such as name and address and used as identification	93.84	a mechanical device used for combing cotton, wool, or the like in order to remove the shortest fibers prior to spinning	6.05	0.93	91	53.01	1.72	3.19	6	13	1.67	5.76	5.65	5.62
Maciejewski-2016-100-25	25	chord			a line segment connecting two points on a curve	16.68	three or more musical tones played at the same time	82.62	0.79	28	6.21	0.79	3.03	5	4	1.11	NA	NA	NA
Maciejewski-2016-100-26	26	chord			a line segment connecting two points on a curve	16.68	three or more musical tones played at the same time	82.62	0.79	28	6.21	0.79	3.03	5	4	1.11	NA	NA	NA
Maciejewski-2016-100-27	27	clock	CLOCK	1323	a mechanical or electric device, other than a watch, for measuring or indicating time	92.81	a small emblem embroidered or woven on the side of a sock or stocking	2.21	0.97	96	29.51	1.47	2.9	4	2	1.75	6.4	5.91	6.36
Maciejewski-2016-100-28	28	clock			a mechanical or electric device, other than a watch, for measuring or indicating time	92.81	a small emblem embroidered or woven on the side of a sock or stocking	2.21	0.97	96	29.51	1.47	2.9	4	2	1.75	6.4	5.91	6.36
