ID	NUMBER	PICTURE_CODE	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Dunabeitia-2022-500-1	1	1	mouse	1491	MOUSE
Dunabeitia-2022-500-2	2	4	church	1349	CHURCH
Dunabeitia-2022-500-3	3	5	shoulder	1482	SHOULDER
Dunabeitia-2022-500-4	4	6	chin	1510	CHIN
Dunabeitia-2022-500-5	5	7	fairy	1138	FAIRY
Dunabeitia-2022-500-6	6	8	leg	1297	LEG
Dunabeitia-2022-500-7	7	9	shower	3128	SHOWER (ACTION)
Dunabeitia-2022-500-8	8	11	burger		
Dunabeitia-2022-500-9	9	12	mermaid		
Dunabeitia-2022-500-10	10	14	robe		
Dunabeitia-2022-500-11	11	15	lion	1386	LION
Dunabeitia-2022-500-12	12	16	hunter	1053	HUNTER
Dunabeitia-2022-500-13	13	17	devil	3917	DEVIL
Dunabeitia-2022-500-14	14	19	turkey	2386	TURKEY
Dunabeitia-2022-500-15	15	20	skeleton	2668	SKELETON
Dunabeitia-2022-500-16	16	21	boxer		
Dunabeitia-2022-500-17	17	23	bicycle	747	BICYCLE
Dunabeitia-2022-500-18	18	24	bone	1394	BONE
Dunabeitia-2022-500-19	19	26	onion	2366	ONION
Dunabeitia-2022-500-20	20	28	microscope	4016	MICROSCOPE
Dunabeitia-2022-500-21	21	29	cowboy		
Dunabeitia-2022-500-22	22	30	farm	201	FARM
Dunabeitia-2022-500-23	23	32	crown	1943	CROWN (OF HEAD)
Dunabeitia-2022-500-24	24	35	ear	1247	EAR
Dunabeitia-2022-500-25	25	38	spider	843	SPIDER
Dunabeitia-2022-500-26	26	39	pocket	1851	POCKET
Dunabeitia-2022-500-27	27	42	pear	922	PEAR
Dunabeitia-2022-500-28	28	43	hairbrush		
Dunabeitia-2022-500-29	29	46	screwdriver	836	SCREWDRIVER
Dunabeitia-2022-500-30	30	47	desert	3687	DESERT
Dunabeitia-2022-500-31	31	48	firefighter		
Dunabeitia-2022-500-32	32	52	saw	1948	SAW
Dunabeitia-2022-500-33	33	53	bag	2468	BAG
Dunabeitia-2022-500-34	34	55	shadow	1388	SHADE
Dunabeitia-2022-500-35	35	56	elbow	981	ELBOW
