ID	Japanese	Phonetic	English	Tamil (transfer characters)	Tamil (Tamil characters)	French	Arabic	Chinese	German	Hindi	Indonesian	Persian	Russian	Spanish	Swahili 
1	頭	あたま	head	talai	தலை	tête	ra's 	nǎodài	Kopf	sir	kepala	sar	голова	cabeza	kichwa
2	髪、髪の毛	かみ、かみのけ	hair	mayir/muti	மயிர்/முதி	cheveu(x)	šaʿr	tóufa	Haar	bāl	rambut	mū	волос	pelo, cabello	nywele
3	額	ひたい	forehead	ner̠r̠t	நேற்ற்த்	front	jabhah, jabīn	nǎoménz	Stirn	lalāṭ	dahi	pīshānī	лоб	frente	kipaji
4	眉、眉毛	まゆ、まゆげ	eyebrow	puruvam	புருவம்	sourcil	ḥājibu lʿayn	méi	Braue	bhaonh	kening	ābru	бровь	ceja	nyushi
5	目	め	eye	kaṇ	கண்	œil, yeux	ʿayn	yǎnjing	Auge	ānkh	mata	chashm	глаз	ojo	jicho
6	涙	なみだ	tear	kaṇṇīr	கண்ணீர்	larme	damʿ	yǎnlèi	Träne	ānsū	air mata	ashk	слеза	lágrima	machozi
7	耳	みみ	ear	kātu	காது	oreille	ud̠n	ěrduo	Ohr	kān	telinga	gūsh	ухо	oreja	sikio
8	鼻	はな	nose	mūkku	மூக்கு	nez	anf	bíz	Nase	nāk	hidung	bīnī	нос	nariz	pua
9	口	くち	mouth	vāy	வாய்	bouche	fam	zuǐ	Mund	munh	mulut	dahān	рот	boca	kinywa, mdomo
10	唇	くちびる	lip	utaṭu	உதடு	lèvre	šafah	zuǐchún	Lippe	hōnṭh	bibir	lab	губ	labio	modmo
11	舌	した	tongue	nākku	நாக்கு	langue	lisān	shétou	Zunge	jihvā	lidah	zabān	язык	lengua	ulimi
12	唾	つば	spit	eccil	ஏச்சில்	salive	buṣāq	tuòmo	Speichel, Spucke	lār	air liur	tof	слюна	saliva	mate
13	歯	は	tooth/teeth	pal/par̠kal	பல்/பற்கல்	dent(s)	sinn	yá	Zahn	dānt	gigi	dandān	зуб	diente	meno
14	顎	あご	chin	tāṭai	தாடை	menton	d̠aqan	xiàba	Kiefer, Kinn	cibuk	dagu	chāneh	подбородок, челюсть	barbilla	kidevu
15	頬	ほお	cheek	kan̠n̠am	கன்னம்	joue	ḫadd	liǎndànr	Wange	kapōl	pipi	rokh	щека	mejilla	shavu la uso
16	髭	ひげ	moustache	mīcai	மீசை	moustache	šārib	húxū	Bart	dāṛhī	kumis	sebīl	усы	bigote	ndevu
17	顔	かお	face	mukam	முகம்	visage	wajh	liǎn	Gesicht	munh	muka	rū, chehreh	лицо	cara, rostro	uso
18	首	くび	neck	kal̠uttu	கழுத்து	cou	ʿunuq	bóz	Hals, Nacken	gardan	léhér	gardan	шея	cuello	shingo
19	喉	のど	throat	toṇṭai	தோண்டை	gorge	ḥalq	hóulong	Kehle	galā	kerongkongan	gālū	горло	garganta	koo, roho
20	肩	かた	shoulder	tōḷ	தோள்	épaule	katif	jiānbǎngr	Schulter	kandhā	bahu	dūsh	плечо	hombro	bega
21	背中	せなか	back	mutuku	முதுகு	dos	ẓahr	jǐliang, bèi	Rücken	pīṭh	punggung	posht	спина	espalda	mgongo
22	腰	こし	waist	iṭuppu	இடுப்பு	hanche, reins	ḫaṣr	yāo	Lende	kamar	pinggang	kamar	поясница, талия	cintura	kiuno
23	尻	しり	buttock	kuṇṭi	குண்டி	derrière, cul, fesse, croupe	alyatān	pìgu	Gesäss	kulhā	pantat	kafal	зад, спина, ягодицы	culo	tako
24	胸	むね	chest	neñcu/mārpu	நேஞ்சு/மார்பு	sein, poitrine	ṣadr	xiōngpu	Brust	chātī	dada	sīneh	грудь	pecho	kifua
25	乳、乳房	ちち、ちぶさ	breast	mulai	முலை	sein, mamelle	nahd, t̠ady	rǔfáng	Brust	payōdhar	buah dada	pestān	грудь	pecho, seno	ziwa, titi
26	腹	おなか、はら	belly	tonti	தோந்தி	ventre, abdomen	baṭn	dùz	Bauch	pēṭ	perut	shekam	живот, брюхо	vientre, abdomen	tumbo
27	臍	へそ	navel	toppūḷ	தோப்பூள்	nombril	surrah	dùqí	Nabel	nābhi	pusat	nāf	пуп	ombligo	kitovu
28	腕	うで	arm	kai	கை	bras	d̠irāʿ	gēbei	Arm	bāhu	lengan	bāzū	рука	brazo	mkono
29	肘	ひじ	elbow	mul̠aṅkai	முழங்கை	coude	mirfaq	gēbeizhǒur	Ellbogen	kohunī	siku	āranj	локоть	codo	kivi
30	手	て	hand	kai	கை	main	yad	shǒu	Hand	hāth	tangan	dast	рука	mano	mkono
31	指	ゆび	finger	viral	விரல்	doigt	iṣbaʿ	zhítou	Finger	unglī	djari	angosht	палец	dedo	kidole
32	爪［人、動物の爪］	つめ	nail/fingernail/claw	nakam	நகம்	ongle(s): griffe	ẓufr	zhījia	Nagel	nakh	kuku	nākhn	ноготь	uña	ukucha
33	足	あし	leg/foot	kāl/pātam	கால்/பாதம்	pied: jambe	sāq	tuǐ, jiǎo	Fuss, Bein	pair	kaki	sāq, pā	нога	pie	mguu
34	膝	ひざ	knee	mul̠aṅkāl	முழங்கால்	genou(x)	rukbah	xīgài	Knie	phuṭnā	lutut	zānū	колено	rodilla	goti
35	肝臓	かんぞう	liver	īral	ஈரல்	foie	kabd	gān	Leber	yakrit	hati	jegar	печень	hígado	ini
36	心臓	しんぞう	heart	itayam	இதயம்	cœur	qalb	xīnzàng	Herz	hridaya	djantung	del	сердце	corazón	moyo
37	腸	はらわた	guts	kuṭal	குடல்	entrailles, intestins	muṣrān	cháng	Darm	antra	usus	rūdeh	кишка	intestino	utumbo
38	皮膚、皮、肌	ひふ、かわ、はだ	skin	tōl	தோல்	peau(x)	jild	pífū	Haut	camrā	kulit	pūst	кожа	piel	ngozi
39	汗	あせ	sweat/perspiration	viyarvai	வியர்வை	sueur, transpiration	ʿaraq	hàn	Schweiss	swēd	keringat	(araq	пот	sudor	jasho
40	垢	あか	filth/grime/dirt	al̠ukku	அழுக்கு	crasse	qād̠ūrah	nígòu	Schmutz	mail	daki	cherk	грязь	mugre	uchafu, nongo
41	膿	のう、うみ	pus	cīl̠	சீழ்	pus	ṣadīd	nóng	Eiter	pīp	nanah	rīm	гной	pus	usaha
