ID	NUMBER	GLOSS	HIERARCHY
Shin-1995-1052-1	1	afternoon	1. Entity > 1.1 Abstractum
Shin-1995-1052-2	2	day	1. Entity > 1.1 Abstractum
Shin-1995-1052-3	3	death	1. Entity > 1.1 Abstractum
Shin-1995-1052-4	4	dream	1. Entity > 1.1 Abstractum
Shin-1995-1052-5	5	evening	1. Entity > 1.1 Abstractum
Shin-1995-1052-6	6	fever	1. Entity > 1.1 Abstractum
Shin-1995-1052-7	7	hunting	1. Entity > 1.1 Abstractum
Shin-1995-1052-8	8	life	1. Entity > 1.1 Abstractum
Shin-1995-1052-9	9	month	1. Entity > 1.1 Abstractum
Shin-1995-1052-10	10	morning	1. Entity > 1.1 Abstractum
Shin-1995-1052-11	11	name	1. Entity > 1.1 Abstractum
Shin-1995-1052-12	12	prayer	1. Entity > 1.1 Abstractum
Shin-1995-1052-13	13	today	1. Entity > 1.1 Abstractum
Shin-1995-1052-14	14	tomorrow	1. Entity > 1.1 Abstractum
Shin-1995-1052-15	15	ground	1. Entity > 1.2 Concretum > 1.2.1 Location
Shin-1995-1052-16	16	market	1. Entity > 1.2 Concretum > 1.2.1 Location
Shin-1995-1052-17	17	village	1. Entity > 1.2 Concretum > 1.2.1 Location
Shin-1995-1052-18	18	iron	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.1  Substance > 1.2.2.1.1  Solid
Shin-1995-1052-19	19	gold	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.1  Substance > 1.2.2.1.1  Solid
Shin-1995-1052-20	20	silver	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.1  Substance > 1.2.2.1.1  Solid
Shin-1995-1052-21	21	honey	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.1  Substance > 1.2.2.1.2  Liquid
Shin-1995-1052-22	22	oil	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.1  Substance > 1.2.2.1.2  Liquid
Shin-1995-1052-23	23	smoke	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.1  Substance > 1.2.2.1.3  Gas
Shin-1995-1052-24	24	branch	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.1 Plant part
Shin-1995-1052-25	25	log	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.1 Plant part
Shin-1995-1052-26	26	Adams apple	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-27	27	anus	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-28	28	arm	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-29	29	armpit	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-30	30	back	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-31	31	beak	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-32	32	beard	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-33	33	belly	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-34	34	bladder	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-35	35	body	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-36	36	bone	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-37	37	brain	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-38	38	breast	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-39	39	cartilage	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-40	40	cheek	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-41	41	chin	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-42	42	claw	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-43	43	cock’s comb	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-44	44	corpse	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-45	45	ear	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
