NUMBER	ENGLISH	FRENCH	LWT_IDs_(partial)	LWT_names_(partial)	categoryID	subcategoryID	subsubcategoryID	categoryNAME	subcategoryNAME	subsubcategoryNAME
0001	body	corps	4.11	the body	1	1		MANÕS PHYSICAL BEING	BODY PARTS	
0002	skin (of man)	peau (d'homme)			1	1		MANÕS PHYSICAL BEING	BODY PARTS	
0003	head	tête	4.2	the head	1	1	1	MANÕS PHYSICAL BEING	BODY PARTS	Head
0004	forehead	front	4.205	the forehead	1	1	1	MANÕS PHYSICAL BEING	BODY PARTS	Head
0005	face	visage	4.204	the face	1	1	1	MANÕS PHYSICAL BEING	BODY PARTS	Head
0006	eye	oeil	4.21	the eye	1	1	1	MANÕS PHYSICAL BEING	BODY PARTS	Head
0007	eyebrow	sourcil	4.212	the eyebrow	1	1	1	MANÕS PHYSICAL BEING	BODY PARTS	Head
0008	eyelid	paupière	4.213	the eyelid	1	1	1	MANÕS PHYSICAL BEING	BODY PARTS	Head
0009	eyelash	cil	4.214	the eyelash	1	1	1	MANÕS PHYSICAL BEING	BODY PARTS	Head
0010	pupil (of eye)	pupille			1	1	1	MANÕS PHYSICAL BEING	BODY PARTS	Head
0011	nose	nez	4.23	the nose	1	1	1	MANÕS PHYSICAL BEING	BODY PARTS	Head
0012	bridge (of nose)	arête, dos du nez			1	1	1	MANÕS PHYSICAL BEING	BODY PARTS	Head
0013	ear	oreille	4.22	the ear	1	1	1	MANÕS PHYSICAL BEING	BODY PARTS	Head
0014	cheek	joue	4.208	the cheek	1	1	1	MANÕS PHYSICAL BEING	BODY PARTS	Head
0015	mouth	bouche	4.24	the mouth	1	1	1	MANÕS PHYSICAL BEING	BODY PARTS	Head
0016	lip	lèvre	4.25	the lip	1	1	1	MANÕS PHYSICAL BEING	BODY PARTS	Head
0017	tongue	langue	4.26	the tongue	1	1	1	MANÕS PHYSICAL BEING	BODY PARTS	Head
0018	tooth	dent	4.27	the tooth	1	1	1	MANÕS PHYSICAL BEING	BODY PARTS	Head
0019	molar tooth	molaire	4.272	the molar tooth	1	1	1	MANÕS PHYSICAL BEING	BODY PARTS	Head
0020	palate	palais (de la bouche)			1	1	1	MANÕS PHYSICAL BEING	BODY PARTS	Head
0021	jaw	mâchoire	4.207	the jaw	1	1	1	MANÕS PHYSICAL BEING	BODY PARTS	Head
0022	chin	menton	4.209	the chin	1	1	1	MANÕS PHYSICAL BEING	BODY PARTS	Head
0023	neck	cou	4.28	the neck	1	1	1	MANÕS PHYSICAL BEING	BODY PARTS	Head
0024	nape of neck	nuque			1	1	1	MANÕS PHYSICAL BEING	BODY PARTS	Head
0025	throat	gorge	4.29	the throat	1	1	1	MANÕS PHYSICAL BEING	BODY PARTS	Head
0026	voice box, larynx, Adam's apple	larynx, pomme d'Adam			1	1	1	MANÕS PHYSICAL BEING	BODY PARTS	Head
0027	hair (of head)	cheveux (de tête)			1	1	1	MANÕS PHYSICAL BEING	BODY PARTS	Head
0028	beard	barbe	4.142	the beard	1	1	1	MANÕS PHYSICAL BEING	BODY PARTS	Head
0029	hair (of body)	poil (du corps)			1	1	1	MANÕS PHYSICAL BEING	BODY PARTS	Head
0030	tuft, lock (of hair)	touffe, mèche (de cheveux)			1	1	1	MANÕS PHYSICAL BEING	BODY PARTS	Head
0031	shoulder	épaule	4.3	the shoulder	1	1	2	MANÕS PHYSICAL BEING	BODY PARTS	Trunk
0032	shoulder blade	omoplate			1	1	2	MANÕS PHYSICAL BEING	BODY PARTS	Trunk
0033	chest	poitrine	4.4	the chest	1	1	2	MANÕS PHYSICAL BEING	BODY PARTS	Trunk
0034	breast	sein, mamelle	4.41	the breast	1	1	2	MANÕS PHYSICAL BEING	BODY PARTS	Trunk
0035	side (of body)	côté (du corps), flanc			1	1	2	MANÕS PHYSICAL BEING	BODY PARTS	Trunk
0036	waist	taille	4.462	the waist	1	1	2	MANÕS PHYSICAL BEING	BODY PARTS	Trunk
0037	navel	nombril	4.43	the navel	1	1	2	MANÕS PHYSICAL BEING	BODY PARTS	Trunk
0038	umbilical cord	cordon umbilical			1	1	2	MANÕS PHYSICAL BEING	BODY PARTS	Trunk
0039	abdomen (external)	ventre, abdomen (externe)			1	1	2	MANÕS PHYSICAL BEING	BODY PARTS	Trunk
0040	stomach (internal)	estomac, ventre (interne)			1	1	2	MANÕS PHYSICAL BEING	BODY PARTS	Trunk
0041	womb	utérus	4.47	the womb	1	1	2	MANÕS PHYSICAL BEING	BODY PARTS	Trunk
0042	back	dos	4.19	the back	1	1	2	MANÕS PHYSICAL BEING	BODY PARTS	Trunk
0043	small of back	creux des reins			1	1	2	MANÕS PHYSICAL BEING	BODY PARTS	Trunk
0044	buttock	fesse			1	1	2	MANÕS PHYSICAL BEING	BODY PARTS	Trunk
0045	anus	anus			1	1	2	MANÕS PHYSICAL BEING	BODY PARTS	Trunk
0046	penis	pénis	4.492	the penis	1	1	2	MANÕS PHYSICAL BEING	BODY PARTS	Trunk
0047	testicle	testicule			1	1	2	MANÕS PHYSICAL BEING	BODY PARTS	Trunk
0048	vagina	vagin	4.493	the vagina	1	1	2	MANÕS PHYSICAL BEING	BODY PARTS	Trunk
0049	clitoris	clitoris			1	1	2	MANÕS PHYSICAL BEING	BODY PARTS	Trunk
0050	arm	bras	4.31	the arm	1	1	3	MANÕS PHYSICAL BEING	BODY PARTS	Limbs
0051	armpit	aisselle	4.312	the armpit	1	1	3	MANÕS PHYSICAL BEING	BODY PARTS	Limbs
0052	upper arm	bras supérieur			1	1	3	MANÕS PHYSICAL BEING	BODY PARTS	Limbs
0053	elbow	coude	4.32	the elbow	1	1	3	MANÕS PHYSICAL BEING	BODY PARTS	Limbs
0054	forearm	avant-bras			1	1	3	MANÕS PHYSICAL BEING	BODY PARTS	Limbs
0055	wrist	poignet	4.321	the wrist	1	1	3	MANÕS PHYSICAL BEING	BODY PARTS	Limbs
0056	hand	main	4.33	the hand	1	1	3	MANÕS PHYSICAL BEING	BODY PARTS	Limbs
0057	fist	poing		the fist	1	1	3	MANÕS PHYSICAL BEING	BODY PARTS	Limbs
0058	palm (of hand)	paume (de la main)			1	1	3	MANÕS PHYSICAL BEING	BODY PARTS	Limbs
0059	finger	doigt	4.34	the finger	1	1	3	MANÕS PHYSICAL BEING	BODY PARTS	Limbs
0060	thumb	pouce	4.342	the thumb	1	1	3	MANÕS PHYSICAL BEING	BODY PARTS	Limbs
0061	knuckle	articulation, jointure (des doigts)			1	1	3	MANÕS PHYSICAL BEING	BODY PARTS	Limbs
0062	fingernail	ongle	4.344	the fingernail	1	1	3	MANÕS PHYSICAL BEING	BODY PARTS	Limbs
0063	leg	jambe	4.35	the leg	1	1	3	MANÕS PHYSICAL BEING	BODY PARTS	Limbs
0064	hip	hanche	4.463	the hip	1	1	3	MANÕS PHYSICAL BEING	BODY PARTS	Limbs
0065	thigh	cuisse	4.351	the thigh	1	1	3	MANÕS PHYSICAL BEING	BODY PARTS	Limbs
0066	knee	genou	4.36	the knee	1	1	3	MANÕS PHYSICAL BEING	BODY PARTS	Limbs
0067	shin	tibia			1	1	3	MANÕS PHYSICAL BEING	BODY PARTS	Limbs
0068	calf of leg	mollet			1	1	3	MANÕS PHYSICAL BEING	BODY PARTS	Limbs
0069	ankle	cheville	4.371	the ankle	1	1	3	MANÕS PHYSICAL BEING	BODY PARTS	Limbs
0070	foot	pied	4.37	the foot	1	1	3	MANÕS PHYSICAL BEING	BODY PARTS	Limbs
0071	heel	talon	4.372	the heel	1	1	3	MANÕS PHYSICAL BEING	BODY PARTS	Limbs
0072	sole	plante du pied			1	1	3	MANÕS PHYSICAL BEING	BODY PARTS	Limbs
0073	toe	orteil, doigt de pied	4.38	the toe	1	1	3	MANÕS PHYSICAL BEING	BODY PARTS	Limbs
0074	bone	os	4.16	the bone	1	1	4	MANÕS PHYSICAL BEING	BODY PARTS	Internal parts and products
0075	bone marrow	mo‘lle			1	1	4	MANÕS PHYSICAL BEING	BODY PARTS	Internal parts and products
0076	skeleton	squelette			1	1	4	MANÕS PHYSICAL BEING	BODY PARTS	Internal parts and products
0077	skull	crane	4.202	the skull	1	1	4	MANÕS PHYSICAL BEING	BODY PARTS	Internal parts and products
0078	breastbone	sternum			1	1	4	MANÕS PHYSICAL BEING	BODY PARTS	Internal parts and products
0079	spine, backbone	colonne vertébrale, épine dorsale			1	1	4	MANÕS PHYSICAL BEING	BODY PARTS	Internal parts and products
0080	rib	côte	4.162	the rib	1	1	4	MANÕS PHYSICAL BEING	BODY PARTS	Internal parts and products
0081	brain	cerveau	4.203	the brain	1	1	4	MANÕS PHYSICAL BEING	BODY PARTS	Internal parts and products
0082	heart	coeur	4.44	the heart	1	1	4	MANÕS PHYSICAL BEING	BODY PARTS	Internal parts and products
0083	liver	foie	4.45	the liver	1	1	4	MANÕS PHYSICAL BEING	BODY PARTS	Internal parts and products
0084	kidney	rein	4.451	the kidney	1	1	4	MANÕS PHYSICAL BEING	BODY PARTS	Internal parts and products
