NUMBER	CATEGORY	GLOSS
1	Positions	above
2	Positions	on
3	Positions	under/below
4	Positions	beside
5	Positions	in/inside
6	Positions	outside
7	Positions	in front of
8	Positions	behind
9	Positions	between
10	Positions	near
11	Positions	far from
12	Directions	into
13	Directions	out of
14	Directions	up
15	Directions	down
16	Directions	over
17	Directions	across
18	Directions	along
19	Directions	upstream
20	Directions	downstream
21	Directions	oceanwards
22	Directions	landwards
23	Directions	towards
24	Directions	away from
25	Directions	north
26	Directions	east
27	Directions	south
28	Directions	west
29	Locations	top/upper
30	Locations	bottom/lower
31	Locations	side
32	Locations	edge
33	Locations	corner (inner, outer)
34	Locations	middle/center
35	Locations	front
36	Locations	back
37	Locations	here
38	Locations	there
39	Locations	this
40	Locations	that
41	Locations	left (hand side)
42	Locations	right (hand side)
43	Quantities	one
44	Quantities	two
45	Quantities	three
46	Quantities	four
47	Quantities	five
48	Quantities	six
49	Quantities	seven
50	Quantities	eight
51	Quantities	nine
52	Quantities	ten
53	Quantities	twenty
54	Quantities	hundred
55	Quantities	few
56	Quantities	many
57	Quantities	none
58	Quantities	some
59	Quantities	all
60	Quantities	part/piece
61	Quantities	half
62	Quantities	whole
63	Quantities	empty
64	Quantities	full
65	Size	big
66	Size	small
67	Size	wide (path)
68	Size	narrow (path)
69	Size	thick (cloth)
70	Size	thin (cloth)
71	Size	long
72	Size	short
73	Size	tall/high
74	Size	short/low
75	Size	deep
76	Size	shallow
77	Shapes	square (garden)
78	Shapes	round (garden)
79	Shapes	box-like
80	Shapes	ball-like
81	Shapes	straight
82	Shapes	crooked
83	Shapes	rough (stone)
84	Shapes	smooth (stone)
85	Shapes	sharp
86	Shapes	blunt
87	Shapes	rough (sea)
88	Shapes	calm (sea)
89	Shapes	hollow
90	Shapes	solid
91	Descriptives	old (thing)
92	Descriptives	new (thing)
93	Descriptives	wet (cloth)
94	Descriptives	dry (cloth)
95	Descriptives	green (wood)
96	Descriptives	dry (wood)
97	Descriptives	cold (water)
98	Descriptives	warm (water)
99	Descriptives	hot (water)
100	Descriptives	good (fence)
101	Descriptives	bad/useless (fence)
102	Descriptives	good/edible (food)
103	Descriptives	bad/poisonous (food)
104	Descriptives	rotten (food)
105	Descriptives	hard/firm (ground)
106	Descriptives	soft (ground)
107	Descriptives	strong (rope)
108	Descriptives	weak (rope)
109	Descriptives	sweet
110	Descriptives	sour
111	Descriptives	bitter
112	Descriptives	hot tasting
113	Descriptives	loose
114	Descriptives	tight
115	Descriptives	level
116	Descriptives	sloping
117	Descriptives	vertical
118	Descriptives	leaning
119	Descriptives	silent (person)
120	Descriptives	talkative (person)
121	Descriptives	quiet (children)
122	Descriptives	noisy (children)
123	Descriptives	soft (call)
124	Descriptives	loud (call)
125	Descriptives	sick
126	Descriptives	well
127	Descriptives	quickly
128	Descriptives	slowly
129	Colors	clean
130	Colors	dirty
131	Colors	bright
132	Colors	pale/faded
133	Colors	dark
134	Colors	light
135	Colors	black
136	Colors	brown
137	Colors	yellow
138	Colors	white
139	Colors	blue
140	Colors	green
141	Colors	orange
142	Colors	red
143	Colors	purple
144	Postures	sit down
145	Postures	be seated
146	Postures	lie down
147	Postures	be reclining
148	Postures	stand up
149	Postures	be standing
150	Postures	kneel down
151	Postures	be kneeling
152	Postures	bend over
153	Postures	rise/get up
154	Postures	rest (when climbing)
155	Postures	wait
156	Motions	come
157	Motions	come in/up, etc.
158	Motions	go
159	Motions	go down/in, etc.
160	Motions	depart/go away
161	Motions	go home
162	Motions	walk
163	Motions	run
164	Motions	crawl
165	Motions	slip/slide
166	Motions	move along
167	Motions	fly
168	Motions	fall (from a tree)
169	Motions	swim
170	Motions	turn (oneself) (around, over)
171	Motions	float
172	Motions	sink
173	Motions	flow
174	Motions	flee/run away
175	Motions	hide (oneself)
176	Motions	jump (across, up)
177	Motions	pass
178	Motions	return / come back
179	Motions	roll
180	Motions	miss (a target)
181	Motions	stumble/trip
