NUMBER	GLOSS
1	all
2	and
3	animal
4	ashes
5	at
6	back
7	bad
8	bark
9	because
10	belly
11	big
12	bird
13	bite
14	black
15	blood
16	blow
17	bone
18	breathe
19	burn
20	child
21	cloud
22	cold
23	come
24	count
25	cut
26	day
27	die
28	dig
29	dirty
30	dog
31	drink
32	dry
33	dull
34	dust
35	ear
36	earth
37	eat
38	egg
39	eye
40	fall
41	far
42	fat-grease
43	father
44	fear
45	fear
46	few
47	fight
48	fire
49	fish
50	five
51	float
52	flow
53	flower
54	fly
55	fog
56	foot
57	four
58	freeze
59	fruit
60	give
61	good
62	grass
63	green
64	guts
65	hair
66	hand
67	he
68	head
69	hear
70	heart
71	heavy
72	here
73	hit
74	hold-take
75	how
76	hunt
77	husband
78	I
79	ice
80	if
81	in
82	kill
83	know
84	lake
85	laugh
86	leaf
87	leftside
88	leg
89	lie
90	live
91	liver
92	long
93	louse
94	man-male
95	many
96	meat-flesh
97	mother
98	mountain
99	mouth
100	name
101	narrow
102	near
103	neck
104	new
105	night
106	nose
107	not
108	old
109	one
110	other
111	person
112	play
113	pull
114	push
115	rain
116	red
117	right-correct
118	rightside
119	rier
120	road
121	root
122	rope
123	rotten
124	rub
125	salt
126	sand
127	say
128	scratch
129	sea
130	see
131	seed
132	sew
133	sharp
134	short
135	sing
136	sit
137	skin
138	sky
139	sleep
140	small
141	smell
142	smoke
143	smooth
144	snake
145	snow
146	some
147	spit
148	split
149	squeeze
150	stab-pierce
151	stand
152	star
153	stick
154	stone
155	straight
156	suck
157	sun
158	swell
159	swim
160	tail
161	that
162	there
163	they
164	thick
165	thin
166	think
167	this
168	thou
169	three
170	throw
171	tie
172	tongue
173	tooth
174	tree
175	turn
176	two
177	vomit
178	walk
179	warm
180	wash
181	water
182	we
183	wet
184	what?
185	when?
186	where?
187	white
188	who?
189	wide
190	wife
191	wind
192	wing
193	wipe
194	with
195	woman
196	woods
197	worm
198	ye
199	year
200	yellow
