NUMBER	GLOSS	STABILITY
2	ashes	38
6	bird	33
8	black	48
9	blood	20
10	bone	34
13	fingernail	19
17	die	13
18	dog	16
19	drink	15
20	dry	24
21	ear	32
23	eat	25
24	egg	47
25	eye	4
28	fire	7
31	foot	43
36	hair	27
37	hand	11
38	head	9
39	hear	45
40	heart	14
41	horn	44
42	I	3
43	kill	42
46	leaf	41
48	liver	25a
53	meat	46
54	moon	18
56	mouth	31
57	name	10
59	new	23
60	night	50
61	nose	29
62	not	30
63	one	21
65	rain	39
78	smoke	36
80	star	40
81	stone	9
82	sun	35
84	tail	26
87	thou	5
88	tongue	8
89	tooth	22
90	tree	37
91	two	2
94	water	28
95	we	1
96	what	12
98	who	6
