NUMBER	GLOSS	MSEA_281	MSEA_436	Matisoff_209	Swadesh_100	Swadesh_200	CONCEPTICON_ID	CONCEPTICON_GLOSS	MATCH_QUALITY
3	all	all	all	---	all	all	98	ALL	2

4	and	and	---	---	---	and	1577	AND	2

14	at	at	---	---	---	at	1461	AT	2

27	because	because	---	---	---	because	1157	BECAUSE	2

127	eight	eight	eight	eight	---	---	1705	EIGHT	2

130	emerge	---	---	emerge	---	---	1076	EMERGE, APPEAR (verb)	2

139	fall	fall/ drop (object)	fall	fall	---	fall	2234	FALL (SNOW, RAIN) (verb)	2

142	fat (n.)	fat	fat	fat/grease	---	fat	1282	FAT (SUBSTANCE) (noun)	2

146	few	few	few	---	---	few	1242	FEW	2

153	five	five	five	five	---	five	493	FIVE	2

159	fly (n.)	fly	fly	---	---	---	1504	FLY (INSECT) (noun)	2

164	four	four	four	four	---	four	1500	FOUR	2

192	he	he, she	he, she	---	---	he	1211	HE	2

198	here	here	---	---	---	here	136	HERE	2

199	hide	---	---	hide	---	---	602	HIDE, CONCEAL (verb)	2

206	how	how many	how many	---	---	how	1239	HOW	2

207	hundred	hundred	hundred	hundred	---	---	1634	HUNDRED	2

212	I (1sg.)	I (familiar)	I (familiar)	I	I	I	1209	I	2

214	if	if	---	---	---	if	1459	IF	2

216	in	in	---	---	---	in	1460	IN	2

257	many	many	many	many	many	many	1198	MANY	2

282	nine	nine	nine	nine	---	---	1483	NINE	2

286	not	not	---	---	not	not	1240	NOT	2

287	old	old	old	old	---	old	2113	OLD (USED)	2

288	one	one	one	one	one	one	1493	ONE	2

290	other	---	different	---	---	other	197	OTHER	2

343	same	---	the same	---	---	---	200	SAME	2

352	seven	seven	seven	seven	---	---	1704	SEVEN	2

366	sink	---	sink	---	---	---	1088	SINK, DESCEND (verb)	2

372	six	six	six	six	---	---	1703	SIX	2

391	some	some	some	---	---	some	1241	SOME	2

427	ten	ten	ten	ten	---	---	1515	TEN	2

429	that	that	that	---	that	that	78	THAT	2

430	there	there	---	---	---	there	1937	THERE	2

431	they	they	they	---	---	they	817	THEY	2

437	this	this	this	---	this	this	1214	THIS	2

438	this	---	---	---	---	---	1214	THIS	2

440	thousand	---	thousand	---	---	---	1843	THOUSAND	2

441	three	three	three	three	---	three	492	THREE	2

447	tomorrow	---	tomorrow	---	---	---	1329	TOMORROW	2

455	twenty/score	twenty	---	twenty/score	---	---	1710	TWENTY	2
456	two	two	two	two	two	two	1498	TWO	2

467	we	we (inclusive)	we (inclusive)	---	we	we	1212	WE	2

473	what	what	what	---	what	what	1236	WHAT	2

474	when (future)	when (future)	when (future)	---	---	---	1238	WHEN	2

475	when (past)	when (past)	when (past)	---	---	when	1238	WHEN	2

476	where	where	where	---	---	where	1237	WHERE	2

479	who	who	who	---	who	who	1235	WHO	2

489	with	with	---	---	---	with	1340	WITH	2

492	work	work	work	---	---	---	984	WORK (CRAFT, LABOUR) (noun)	2

498	yesterday	---	yesterday	---	---	---	1174	YESTERDAY	2

499	you (2s.)	thou (2s)	thou (2s)	thou	---	thou	1213	YOU	2

500	you (2pl.)	you	you	you	you	you	1213	YOU	2

2	alive	live/alive	---	alive	---	---	1422	BE ALIVE (verb)	3

5	angry	—	angry	---	---	---	2223	BE ANGRY (verb)	3

6	animal	animal	animal	meat/animal	---	animal	619	ANIMAL (noun)	3

7	answer	—	answer	---	---	---	1275	ANSWER (verb)	3

8	ant	—	---	ant	---	---	587	ANT (noun)	3

10	armpit	—	armpit	---	---	---	1886	ARMPIT (noun)	3

11	arrow	arrow	arrow	arrow	---	---	977	ARROW (noun)	3

12	ashamed	---	---	ashamed	---	---	1894	ASHAMED (adjective)	3

16	back	back	back	---	---	back	1291	BACK (noun)	3

17	bad	bad	bad	---	---	bad	1292	BAD (adjective)	3

18	bald	---	bald	---	---	---	1125	BALD (adjective)	3

19	bamboo	---	bamboo	bamboo	---	---	1927	BAMBOO (noun)	3

21	banana/plantain	banana	banana	banana	---	---	868	BANANA (noun)	3

22	bark	tree bark	tree bark	---	bark	bark	1204	BARK (noun)	3

23	bark	---	bark	---	---	---	1206	BARK (noun)	3

24	bathe	---	bathe	---	---	---	138	BATHE (verb)	3

25	bear	---	bear	bear	---	---	1820	BEAR (noun)	3

26	beard	---	beard	---	---	---	678	BEARD (noun)	3

28	bee	---	bee	bee	---	---	665	BEE (noun)	3

29	belly	belly	belly	belly	belly	belly	1251	BELLY (noun)	3

30	bend	---	bend	---	---	---	2004	BEND (verb)	3

31	betel nut	betel nut	betel nut	---	---	---	2369	BETEL NUT (noun)	3

32	big	big	big	---	big	big	1202	BIG (adjective)	3

33	bird	bird	bird	bird	bird	bird	937	BIRD (noun)	3

35	bite	bite	bite	bite	bite	bite	1403	BITE (verb)	3

36	bitter	---	bitter	bitter	---	---	887	BITTER (adjective)	3

37	black	black	black	black	black	black	163	BLACK (adjective)	3

38	blanket	---	blanket	---	---	---	806	BLANKET (noun)	3

39	blind	---	blind	---	---	---	1653	BLIND (adjective)	3

40	blood	blood	blood	blood	blood	blood	946	BLOOD (noun)	3

41	blow	blow	---	blow	---	blow	175	BLOW (OF WIND) (verb)	3

42	boat	---	boat	boat	---	---	1844	BOAT (noun)	3

43	boil	---	boil	---	---	---	792	BOIL (OF LIQUID) (verb)	3

44	bone	bone	bone	bone	bone	bone	1394	BONE (noun)	3

45	born	---	---	born	---	---	1090	BE BORN (verb)	3

46	bow	crossbow	bow, crossbow	bow	---	---	994	BOW (noun)	3

47	brain	---	brain	brain	---	---	1583	BRAIN (noun)	3

48	branch	branch	branch	branch	---	---	826	BRANCH (BIFURCATION) (noun)	3

49	breast	chest/breast	---	---	breast	---	1402	BREAST (noun)	3

50	breast/milk	chest/breast	milk	vagina/breast/milk	---	---	2129	BREAST (noun)	3

51	breath	breathe	breath	breath/life	---	breathe	870	BREATH (noun)	3

52	bright	---	bright	---	---	---	679	BRIGHT (adjective)	3

53	brother (eldr. of f.)	brother (eldr. of f.)	brother (eldr. of f.)	---	---	---	560	BROTHER (OF WOMAN) (noun)	3

54	brother (eldr. of m.)	brother (eldr. of m.)	brother (eldr. of m.)	---	---	---	560	BROTHER (OF MAN) (noun)	3

55	brother(yngr. of f.)	---	brother(yngr.	of f.)	---	---	560	BROTHER (OF WOMAN) (noun)	3

56	brother(yngr. of m.)	---	brother(yngr.	of m.)	---	---	560	BROTHER (OF WOMAN) (noun)	3

57	buffalo	buffalo	buffalo	---	---	---	934	BUFFALO (noun)	3

58	burn	burn	burn	burn	burn	burn	141	BURN (SOMETHING) (verb)	3

59	bury	---	bury	---	---	---	1719	BURY (verb)	3

60	butterfly	---	butterfly	---	---	---	1791	BUTTERFLY (noun)	3

